,Country A,Country B,Starting Year A,Starting Year B,Pattern Length,Number of Indexes,Average Correlation,Sources,Pattern Power Ranking
0,40,44,1990,1991,30,7,95.61%,1,5.673682622950819
1,40,44,1990,1991,29,7,95.73%,1,5.574372229508197
2,44,177,1990,1990,32,6,94.55%,2,5.5673015
3,40,236,1990,1990,31,6,96.88%,1,5.481253578947369
4,44,13,1990,1990,30,6,97.48%,1,5.384855275862069
5,44,21,1990,1990,32,5,97.62%,1,5.285735063829788
6,40,165,1990,1990,29,6,95.94%,1,5.27565812
7,44,98,1990,1995,26,7,95.84%,2,5.275038131147541
8,40,21,1990,1990,31,5,97.21%,1,5.183263574468085
9,44,176,1990,1993,28,6,96.96%,2,5.181773142857143
10,40,44,1990,1991,25,7,95.02%,1,5.170108786885246
11,44,21,1990,1990,30,5,97.75%,1,5.08651429787234
12,44,98,1990,1995,27,6,95.84%,2,5.075017529411765
13,44,13,1990,1991,32,4,98.08%,1,4.9884926486486485
14,40,236,1990,1990,29,5,97.92%,1,4.987494043478261
15,44,13,1990,1990,26,6,97.36%,1,4.984151103448276
16,44,84,1990,1990,20,8,96.04%,2,4.976250650000001
17,44,81,1990,1990,31,4,98.08%,1,4.88845336
18,40,44,1990,1993,25,6,96.99%,1,4.88192944
19,44,176,1990,1991,28,5,96.37%,2,4.878222625000001
20,40,21,1990,1993,30,4,98.72%,1,4.792337351351351
21,44,176,1990,1994,27,5,96.92%,2,4.781538375
22,40,74,1990,1990,24,6,96.27%,1,4.777647827586207
23,44,84,1990,1990,21,7,94.85%,2,4.769096173913043
24,40,21,1990,1993,29,4,98.71%,1,4.692242324324325
25,40,74,1990,1990,32,3,97.93%,1,4.6875972
26,44,21,1990,1990,26,5,97.86%,1,4.687131021276596
27,44,176,1990,1994,23,6,97.62%,2,4.685747714285714
28,44,84,1990,1991,20,7,94.57%,2,4.667443
29,44,81,1990,1990,28,4,98.12%,1,4.58870392
30,40,236,1990,1991,31,3,97.9%,1,4.587420057142857
31,40,44,1990,1995,25,5,97.86%,1,4.587187375
32,44,13,1990,1990,22,6,97.55%,1,4.585295448275862
33,44,84,1990,1992,16,8,97.08%,2,4.5824896
34,44,156,1990,1996,27,4,98.64%,1,4.491820216216217
35,44,14,1990,1993,30,3,98.27%,1,4.489591846153846
36,40,44,1990,1995,24,5,97.81%,1,4.4868805
37,44,84,1990,1992,15,8,97.09%,2,4.48256625
38,44,140,1990,1995,21,6,95.83%,2,4.47498970212766
39,40,216,1990,1991,32,2,98.74%,1,4.392440923076923
40,44,156,1990,1996,26,4,98.55%,1,4.391323189189189
41,44,215,1990,1994,29,3,98.25%,1,4.389510615384616
42,44,176,1990,1994,20,6,97.75%,2,4.386512285714286
43,44,84,1990,1993,14,8,97.23%,2,4.38337415
44,44,176,1990,1991,23,5,96.86%,2,4.3811594375
45,44,84,1990,1992,17,7,96.65%,1,4.379873355932204
46,34,181,1995,1995,28,3,98.65%,1,4.291927692307692
47,40,216,1990,1992,31,2,98.53%,1,4.291156923076923
48,40,14,1990,1996,25,4,98.5%,1,4.290974628571429
49,44,176,1990,1993,22,5,98.2%,1,4.289224
50,40,236,1990,1990,19,6,97.45%,1,4.284685517241379
51,44,177,1990,1990,16,7,97.1%,2,4.282590338983051
52,40,216,1990,1991,30,2,98.92%,1,4.193510307692308
53,34,181,1995,1995,27,3,98.56%,1,4.191381230769231
54,40,215,1990,1994,24,4,98.51%,1,4.191071837837838
55,34,81,2006,2006,15,7,94.55%,1,4.167282
56,40,216,1990,1991,29,2,98.91%,1,4.093465076923077
57,34,181,1995,1995,26,3,98.51%,1,4.091077076923077
58,40,44,1990,1995,23,4,96.74%,1,4.080443230769231
59,40,13,1990,1990,17,6,96.69%,1,4.080116264705882
60,40,106,1990,1999,20,5,95.97%,1,4.07579684
61,34,81,2006,2006,14,7,94.35%,1,4.066076
62,34,106,1995,1993,28,2,98.09%,1,3.9885233846153847
63,Barbados,Bahamas,2007,2007,13,7,96.4%,1,3.9783888571428574
64,Bangladesh,China,1990,1992,25,3,96.08%,2,3.9764704615384616
65,34,81,2006,2006,16,6,94.65%,1,3.967906
66,Argentina,Brazil,1990,1990,27,2,98.73%,1,3.8923768571428576
67,34,181,1995,1995,24,3,98.21%,1,3.8892798461538463
68,34,181,2006,2006,15,6,94.26%,1,3.86558
69,Argentina,Brazil,1990,1990,26,2,98.78%,1,3.7926894285714288
70,Barbados,Bahamas,2007,2007,17,5,97.96%,1,3.7877372
71,Barbados,Bahamas,2007,2007,14,6,97.01%,1,3.782036
72,39,156,1993,1997,23,3,93.17%,1,3.759002
73,Bangladesh,Ethiopia,1990,1995,25,2,99.64%,2,3.697856363636364
74,34,181,1995,1995,22,3,97.88%,1,3.6872744615384616
75,Barbados,Bahamas,2007,2007,16,5,97.88%,1,3.6872608
76,33,134,2007,2007,13,6,96.16%,1,3.676984
