country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,country_a_id_fk
181,2006,2006,16,6,0.941055,1,3.964633,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
181,2006,2006,15,6,0.9424166666666666,1,3.8654499999999996,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
181,2006,2006,17,5,0.944854,1,3.7669124000000003,"['Human Rights Development', 'Social Sector']",102
80,2006,2006,17,4,0.958995,1,3.4753970000000005,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
219,2006,2006,17,4,0.9565625,1,3.4739375000000003,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
113,2006,2006,17,4,0.9474925,1,3.4684955000000004,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
176,2006,2006,17,4,0.9425275,1,3.4655165000000006,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
227,2006,2006,17,4,0.9406275,1,3.4643765,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
181,2006,2006,14,5,0.940408,1,3.4642448000000003,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
206,2006,2007,17,4,0.9377175,1,3.4626305000000004,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
67,2006,2006,16,4,0.96527,1,3.379162,"['Human Rights Development', 'Social Sector']",102
80,2006,2006,16,4,0.9643675,1,3.3786205,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
227,2006,2006,16,4,0.95983,1,3.375898,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
176,2006,2006,16,4,0.957495,1,3.374497,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
67,2006,2007,16,4,0.9523775,1,3.3714264999999997,"['Human Rights Development', 'Social Sector']",102
203,2006,2006,16,4,0.943395,1,3.366037,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
197,2006,2006,16,4,0.94303,1,3.365818,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
120,2006,2006,16,4,0.942295,1,3.3653769999999996,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
113,2006,2006,16,4,0.94171,1,3.365026,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
80,2006,2007,16,4,0.9398575,1,3.3639145,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
206,2006,2007,16,4,0.9385325,1,3.3631195,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
181,2006,2007,16,4,0.932285,1,3.359371,"['Human Rights Development', 'Social Sector']",102
113,2006,2008,16,4,0.9302125,1,3.3581274999999997,"['Human Rights Development', 'Social Sector']",102
206,2006,2006,16,4,0.930025,1,3.358015,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
67,2006,2006,15,4,0.9658074999999999,1,3.2794845,"['Human Rights Development', 'Social Sector']",102
227,2006,2006,15,4,0.96134,1,3.2768040000000003,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
80,2006,2006,15,4,0.96126,1,3.2767560000000002,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
176,2006,2006,15,4,0.957865,1,3.274719,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
120,2006,2006,15,4,0.9534325,1,3.2720595,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
67,2006,2007,15,4,0.952885,1,3.271731,"['Human Rights Development', 'Social Sector']",102
197,2006,2006,15,4,0.9526625,1,3.2715975000000004,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
162,2006,2007,15,4,0.946485,1,3.267891,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
113,2006,2006,15,4,0.9400225,1,3.2640135,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
80,2006,2007,15,4,0.9379275,1,3.2627565,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
206,2006,2007,15,4,0.9371475,1,3.2622885000000004,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
206,2006,2006,15,4,0.9309975,1,3.2585985,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
113,2006,2008,15,4,0.9297725,1,3.2578635,"['Human Rights Development', 'Social Sector']",102
181,2006,2007,15,4,0.927315,1,3.2563890000000004,"['Human Rights Development', 'Social Sector']",102
132,2006,2007,17,3,0.96636,1,3.179816,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
101,2006,2006,17,3,0.96599,1,3.179594,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
80,2006,2007,14,4,0.96576,1,3.179456,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
219,2006,2007,17,3,0.96396,1,3.178376,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
67,2006,2006,17,3,0.9621433333333332,1,3.177286,"['Human Rights Development', 'Social Sector']",102
227,2006,2006,14,4,0.959705,1,3.1758230000000003,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
67,2006,2007,14,4,0.9595875,1,3.1757525,"['Human Rights Development', 'Social Sector']",102
67,2006,2006,14,4,0.9595775,1,3.1757465,"['Human Rights Development', 'Social Sector']",102
98,2006,2006,17,3,0.95858,1,3.175148,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
80,2006,2006,14,4,0.95757,1,3.174542,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
197,2006,2006,17,3,0.9567733333333334,1,3.174064,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
101,2006,2007,14,4,0.95616,1,3.173696,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
134,2006,2007,14,4,0.9545399999999999,1,3.172724,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
142,2006,2006,17,3,0.9544166666666666,1,3.17265,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
176,2006,2006,14,4,0.9543975,1,3.1726385,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
80,2006,2007,17,3,0.95395,1,3.17237,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
113,2006,2007,14,4,0.9537,1,3.1722200000000003,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
162,2006,2006,17,3,0.9536166666666667,1,3.17217,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
138,2006,2006,17,3,0.9535399999999999,1,3.172124,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
203,2006,2006,17,3,0.9527333333333333,1,3.17164,"['Human Rights Development', 'Social Sector']",102
195,2006,2006,17,3,0.9519133333333333,1,3.171148,"['Human Rights Development', 'Social Sector']",102
181,2006,2007,14,4,0.950895,1,3.170537,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
53,2006,2006,17,3,0.9504966666666667,1,3.170298,"['Human Rights Development', 'Social Sector']",102
211,2006,2006,17,3,0.9493,1,3.16958,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
197,2006,2006,14,4,0.9482625,1,3.1689575000000003,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
162,2006,2007,14,4,0.94777,1,3.1686620000000003,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
57,2006,2006,17,3,0.9473633333333332,1,3.168418,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
113,2006,2007,17,3,0.9462433333333333,1,3.167746,"['Human Rights Development', 'Social Sector']",102
120,2006,2006,14,4,0.944655,1,3.166793,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
67,2006,2007,17,3,0.9441700000000001,1,3.1665020000000004,"['Human Rights Development', 'Social Sector']",102
227,2006,2007,14,4,0.9431625,1,3.1658975,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
142,2006,2007,14,4,0.9425975,1,3.1655585,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
202,2006,2006,17,3,0.9425266666666667,1,3.165516,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
120,2006,2007,14,4,0.9425125,1,3.1655075,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
28,2006,2006,17,3,0.9424333333333333,1,3.16546,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
197,2006,2007,17,3,0.9392633333333333,1,3.163558,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
195,2006,2007,14,4,0.93914,1,3.163484,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
206,2006,2006,17,3,0.9369466666666666,1,3.162168,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
206,2006,2007,14,4,0.9366,1,3.16196,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
126,2006,2006,17,3,0.9357099999999999,1,3.161426,"['Human Rights Development', 'Social Sector']",102
45,2006,2009,14,4,0.9356725,1,3.1614035,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
181,2006,2007,17,3,0.93196,1,3.159176,"['Human Rights Development', 'Social Sector']",102
113,2006,2008,14,4,0.931425,1,3.158855,"['Human Rights Development', 'Social Sector']",102
21,2006,2007,17,3,0.92551,1,3.155306,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
17,2006,2007,17,3,0.9253233333333334,1,3.155194,['Social Sector'],102
229,2006,2006,17,3,0.91007,1,3.146042,"['Human Rights Development', 'Social Sector']",102
219,2006,2006,16,3,0.9723100000000001,1,3.083386,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
101,2006,2006,16,3,0.97121,1,3.082726,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
219,2006,2007,16,3,0.9707733333333334,1,3.082464,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
142,2006,2006,16,3,0.9692033333333333,1,3.081522,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
118,2006,2006,16,3,0.9655166666666667,1,3.07931,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
202,2006,2006,16,3,0.96522,1,3.079132,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
132,2006,2007,16,3,0.9651433333333334,1,3.079086,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
162,2006,2006,16,3,0.96164,1,3.076984,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
228,2006,2006,16,3,0.9597366666666667,1,3.0758419999999997,"['Human Rights Development', 'Social Sector']",102
132,2006,2008,16,3,0.9568633333333333,1,3.074118,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
98,2006,2006,16,3,0.95676,1,3.074056,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
162,2006,2007,16,3,0.9561666666666667,1,3.0737,"['Human Rights Development', 'Social Sector']",102
134,2006,2007,13,4,0.95584,1,3.073504,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
182,2006,2006,16,3,0.9555933333333333,1,3.073356,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
11,2006,2006,16,3,0.95519,1,3.073114,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
227,2006,2006,13,4,0.9550025,1,3.0730015,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
57,2006,2006,16,3,0.9545333333333333,1,3.07272,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
2,2006,2006,16,3,0.95431,1,3.072586,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
113,2006,2007,16,3,0.9531166666666667,1,3.07187,"['Human Rights Development', 'Social Sector']",102
239,2006,2006,16,3,0.9530500000000001,1,3.0718300000000003,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
211,2006,2007,16,3,0.9505066666666666,1,3.070304,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
176,2006,2006,13,4,0.95017,1,3.070102,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
67,2006,2007,13,4,0.9501225,1,3.0700735,"['Human Rights Development', 'Social Sector']",102
25,2006,2007,16,3,0.9500933333333332,1,3.070056,"['Human Rights Development', 'Social Sector']",102
45,2006,2010,13,4,0.949955,1,3.069973,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
101,2006,2007,13,4,0.949655,1,3.0697929999999998,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
138,2006,2006,16,3,0.9490733333333333,1,3.069444,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
113,2006,2008,13,4,0.9476625,1,3.0685975,"['Political State Sector', 'Human Rights Development', 'Social Sector']",102
195,2006,2008,13,4,0.947605,1,3.068563,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",102
