country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,country_a_id_fk
98,1990,1991,29,5,0.94885625,1,4.96931375,106
98,1990,1991,31,4,0.9618133333333333,1,4.877088,106
228,1990,1994,28,5,0.9583752941176471,1,4.875025176470589,106
98,1990,1991,28,5,0.9465575,1,4.8679345000000005,106
98,1990,1991,30,4,0.961845,1,4.777107,106
228,1990,1995,27,5,0.9567794117647059,1,4.774067647058824,106
228,1990,1994,27,5,0.956750588235294,1,4.774050352941177,106
98,1990,1991,27,5,0.944758125,1,4.766854875,106
98,1990,1991,32,3,0.9713520000000001,1,4.6828112,106
228,1990,1994,26,5,0.9667052941176472,1,4.680023176470588,106
228,1990,1995,26,5,0.9564505882352942,1,4.673870352941176,106
48,1990,1990,32,3,0.953172,1,4.671903199999999,106
48,1990,1991,32,3,0.950304,1,4.6701824,106
84,1990,1990,32,3,0.948135,1,4.668881,106
81,1990,1992,29,4,0.9459905882352941,1,4.667594352941177,106
98,1990,1992,29,4,0.94565,1,4.66739,106
98,1990,1991,26,5,0.944523125,1,4.666713874999999,106
107,1990,1990,32,3,0.926226,1,4.6557356,106
48,1990,1991,29,4,0.92326375,1,4.6539582500000005,106
57,1990,1995,28,4,0.9582412499999999,1,4.57494475,106
48,1990,1990,31,3,0.9562419999999999,1,4.5737452,106
48,1990,1991,31,3,0.9469239999999999,1,4.5681544,106
84,1990,1990,31,3,0.9468924999999999,1,4.5681355,106
81,1990,1992,28,4,0.9444570588235294,1,4.566674235294117,106
98,1990,1992,28,4,0.9439273333333333,1,4.5663564,106
107,1990,1990,31,3,0.9264100000000001,1,4.555846,106
48,1990,1992,28,4,0.9199112500000001,1,4.55194675,106
98,1990,1992,30,3,0.966696,1,4.4800176,106
228,1990,1996,24,5,0.964500588235294,1,4.478700352941177,106
228,1990,1995,24,5,0.963160588235294,1,4.477896352941177,106
228,1990,1994,24,5,0.9630594117647059,1,4.477835647058824,106
48,1990,1990,30,3,0.9620340000000001,1,4.4772204,106
176,1990,1992,30,3,0.961174,1,4.4767044,106
202,1990,1996,27,4,0.960686,1,4.4764116000000005,106
57,1990,1995,27,4,0.956895,1,4.474137000000001,106
84,1990,1990,30,3,0.94818,1,4.468908,106
98,1990,1991,24,5,0.9481081250000001,1,4.468864875,106
57,1990,1996,27,4,0.94787875,1,4.468727250000001,106
48,1990,1991,30,3,0.9451599999999999,1,4.467096,106
81,1990,1991,27,4,0.9444088235294119,1,4.466645294117647,106
