unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
31185947,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,10,206,22,0.91214,2000,"1.15,1.18,1.09,1.06,0.88,0.85,0.79,0.79,0.76,0.89,0.81,0.76,0.78,0.84,0.88,0.85,0.81,0.86,0.73,0.7,0.73,0.63",2001,"1.48,1.53,1.47,1.36,1.23,1.15,1.06,1.04,1.09,1.0,1.0,1.03,1.03,1.02,1.01,0.97,0.94,0.9,0.88,0.96,0.81,0.74",2024-01-17 01:37:57,Military Sector
32155317,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,10,206,22,0.96721,2000,"4.07,4.01,4.47,4.31,3.84,3.47,2.96,2.68,2.48,2.57,2.44,2.19,2.13,2.23,2.26,2.06,1.95,2.06,1.88,1.84,1.73,1.65",2001,"5.88,6.16,5.78,5.34,4.91,4.68,4.33,4.0,3.83,3.55,3.57,3.61,3.56,3.49,3.34,3.25,3.16,2.97,2.81,2.76,2.45,2.25",2024-01-19 01:29:07,Military Sector
31185948,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,10,144,22,0.92463,2000,"1.15,1.18,1.09,1.06,0.88,0.85,0.79,0.79,0.76,0.89,0.81,0.76,0.78,0.84,0.88,0.85,0.81,0.86,0.73,0.7,0.73,0.63",2001,"1.78,1.8,1.51,1.38,1.02,0.96,1.05,0.82,0.63,0.76,0.84,0.92,0.82,0.86,0.88,0.86,0.76,0.73,0.69,0.78,0.63,0.6",2024-01-17 01:37:57,Military Sector
32155319,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,10,144,22,0.94706,2000,"4.07,4.01,4.47,4.31,3.84,3.47,2.96,2.68,2.48,2.57,2.44,2.19,2.13,2.23,2.26,2.06,1.95,2.06,1.88,1.84,1.73,1.65",2001,"5.18,5.1,4.53,4.38,4.7,4.38,3.78,3.15,2.32,2.42,2.21,2.56,2.56,2.67,2.81,2.18,2.37,2.56,2.24,2.12,1.8,1.78",2024-01-19 01:29:07,Military Sector
31185945,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,10,144,21,0.92592,2000,"1.15,1.18,1.09,1.06,0.88,0.85,0.79,0.79,0.76,0.89,0.81,0.76,0.78,0.84,0.88,0.85,0.81,0.86,0.73,0.7,0.73",2001,"1.78,1.8,1.51,1.38,1.02,0.96,1.05,0.82,0.63,0.76,0.84,0.92,0.82,0.86,0.88,0.86,0.76,0.73,0.69,0.78,0.63",2024-01-17 01:37:56,Military Sector
32155298,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,10,144,21,0.94326,2000,"4.07,4.01,4.47,4.31,3.84,3.47,2.96,2.68,2.48,2.57,2.44,2.19,2.13,2.23,2.26,2.06,1.95,2.06,1.88,1.84,1.73",2001,"5.18,5.1,4.53,4.38,4.7,4.38,3.78,3.15,2.32,2.42,2.21,2.56,2.56,2.67,2.81,2.18,2.37,2.56,2.24,2.12,1.8",2024-01-19 01:29:05,Military Sector
31185927,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,10,238,18,0.91284,2000,"1.15,1.18,1.09,1.06,0.88,0.85,0.79,0.79,0.76,0.89,0.81,0.76,0.78,0.84,0.88,0.85,0.81,0.86",2000,"2.44,2.5,2.53,2.24,2.04,2.0,2.01,1.78,1.87,1.82,1.88,1.72,1.8,1.82,1.81,1.82,1.72,1.81",2024-01-17 01:37:53,Military Sector
31628510,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,10,238,18,0.95831,2000,"88.6,85.4,29.6,36.1,38.1,43.7,47.0,57.9,69.6,73.7,85.0,98.1,109.3,121.8,116.8,127.3,103.7,124.3",2000,"167.5,157.3,103.5,81.1,84.1,104.6,118.1,124.9,170.0,172.3,225.0,244.8,273.6,308.4,304.3,284.3,288.6,339.2",2024-01-17 14:52:16,Military Sector
32155155,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,10,238,18,0.93242,2000,"4.07,4.01,4.47,4.31,3.84,3.47,2.96,2.68,2.48,2.57,2.44,2.19,2.13,2.23,2.26,2.06,1.95,2.06",2000,"8.41,8.25,8.4,7.4,7.03,6.98,6.85,6.09,6.52,6.14,6.28,5.99,5.97,5.78,5.69,5.89,5.79,6.04",2024-01-19 01:28:54,Military Sector
32155294,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,10,206,21,0.98688,2000,"4.07,4.01,4.47,4.31,3.84,3.47,2.96,2.68,2.48,2.57,2.44,2.19,2.13,2.23,2.26,2.06,1.95,2.06,1.88,1.84,1.73",2000,"5.5,5.88,6.16,5.78,5.34,4.91,4.68,4.33,4.0,3.83,3.55,3.57,3.61,3.56,3.49,3.34,3.25,3.16,2.97,2.81,2.76",2024-01-19 01:29:05,Military Sector
65641190,OECD,Health Spending,Health Spending,2024,10,206,21,0.90569,2000,"8.22,8.37,7.39,6.89,7.23,7.61,7.64,7.83,8.18,9.46,9.45,9.42,9.83,9.78,9.67,10.23,9.0,10.44,9.53,9.36,9.98",2000,"7.34,7.12,6.68,7.04,6.94,6.86,6.88,6.91,7.15,7.65,7.79,7.94,8.0,8.1,7.87,8.05,8.08,7.98,8.08,8.23,8.53",2024-03-10 13:10:47,Unknown
65641191,OECD,Health Spending,Health Spending,2024,10,206,21,0.90569,2000,"8.22,8.37,7.39,6.89,7.23,7.61,7.64,7.83,8.18,9.46,9.45,9.42,9.83,9.78,9.67,10.23,9.0,10.44,9.53,9.36,9.98",2000,"7.34,7.12,6.68,7.04,6.94,6.86,6.88,6.91,7.15,7.65,7.79,7.94,8.0,8.1,7.87,8.05,8.08,7.98,8.08,8.23,8.53",2024-03-10 13:10:47,Unknown
65641192,OECD,Health Spending,Health Spending,2024,10,206,21,0.90569,2000,"8.22,8.37,7.39,6.89,7.23,7.61,7.64,7.83,8.18,9.46,9.45,9.42,9.83,9.78,9.67,10.23,9.0,10.44,9.53,9.36,9.98",2000,"7.34,7.12,6.68,7.04,6.94,6.86,6.88,6.91,7.15,7.65,7.79,7.94,8.0,8.1,7.87,8.05,8.08,7.98,8.08,8.23,8.53",2024-03-10 13:10:47,Unknown
65641193,OECD,Health Spending,Health Spending,2024,10,206,21,0.90569,2000,"8.22,8.37,7.39,6.89,7.23,7.61,7.64,7.83,8.18,9.46,9.45,9.42,9.83,9.78,9.67,10.23,9.0,10.44,9.53,9.36,9.98",2000,"7.34,7.12,6.68,7.04,6.94,6.86,6.88,6.91,7.15,7.65,7.79,7.94,8.0,8.1,7.87,8.05,8.08,7.98,8.08,8.23,8.53",2024-03-10 13:10:47,Unknown
65641194,OECD,Health Spending,Health Spending,2024,10,206,21,0.90569,2000,"8.22,8.37,7.39,6.89,7.23,7.61,7.64,7.83,8.18,9.46,9.45,9.42,9.83,9.78,9.67,10.23,9.0,10.44,9.53,9.36,9.98",2000,"7.34,7.12,6.68,7.04,6.94,6.86,6.88,6.91,7.15,7.65,7.79,7.94,8.0,8.1,7.87,8.05,8.08,7.98,8.08,8.23,8.53",2024-03-10 13:10:47,Unknown
65641195,OECD,Health Spending,Health Spending,2024,10,206,21,0.90569,2000,"8.22,8.37,7.39,6.89,7.23,7.61,7.64,7.83,8.18,9.46,9.45,9.42,9.83,9.78,9.67,10.23,9.0,10.44,9.53,9.36,9.98",2000,"7.34,7.12,6.68,7.04,6.94,6.86,6.88,6.91,7.15,7.65,7.79,7.94,8.0,8.1,7.87,8.05,8.08,7.98,8.08,8.23,8.53",2024-03-10 13:10:47,Unknown
65641196,OECD,Health Spending,Health Spending,2024,10,206,21,0.90569,2000,"8.22,8.37,7.39,6.89,7.23,7.61,7.64,7.83,8.18,9.46,9.45,9.42,9.83,9.78,9.67,10.23,9.0,10.44,9.53,9.36,9.98",2000,"7.34,7.12,6.68,7.04,6.94,6.86,6.88,6.91,7.15,7.65,7.79,7.94,8.0,8.1,7.87,8.05,8.08,7.98,8.08,8.23,8.53",2024-03-10 13:10:48,Unknown
31185944,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,10,183,21,0.90322,2000,"1.15,1.18,1.09,1.06,0.88,0.85,0.79,0.79,0.76,0.89,0.81,0.76,0.78,0.84,0.88,0.85,0.81,0.86,0.73,0.7,0.73",2000,"3.54,3.4,3.05,2.45,1.97,1.74,1.64,1.37,1.31,1.33,1.22,1.09,1.04,1.05,1.1,1.21,1.24,1.25,1.23,1.2,1.47",2024-01-17 01:37:56,Military Sector
32155279,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,10,183,21,0.91477,2000,"4.07,4.01,4.47,4.31,3.84,3.47,2.96,2.68,2.48,2.57,2.44,2.19,2.13,2.23,2.26,2.06,1.95,2.06,1.88,1.84,1.73",2000,"16.26,15.18,12.71,11.42,9.7,7.69,7.98,6.09,5.82,5.94,5.11,4.44,4.24,4.03,4.01,4.57,4.94,4.98,4.68,4.25,4.4",2024-01-19 01:29:04,Military Sector
31185914,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,10,238,17,0.91673,2000,"1.15,1.18,1.09,1.06,0.88,0.85,0.79,0.79,0.76,0.89,0.81,0.76,0.78,0.84,0.88,0.85,0.81",2000,"2.44,2.5,2.53,2.24,2.04,2.0,2.01,1.78,1.87,1.82,1.88,1.72,1.8,1.82,1.81,1.82,1.72",2024-01-17 01:37:52,Military Sector
31628504,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,10,238,17,0.95587,2000,"88.6,85.4,29.6,36.1,38.1,43.7,47.0,57.9,69.6,73.7,85.0,98.1,109.3,121.8,116.8,127.3,103.7",2000,"167.5,157.3,103.5,81.1,84.1,104.6,118.1,124.9,170.0,172.3,225.0,244.8,273.6,308.4,304.3,284.3,288.6",2024-01-17 14:52:13,Military Sector
32155080,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,10,238,17,0.93272,2000,"4.07,4.01,4.47,4.31,3.84,3.47,2.96,2.68,2.48,2.57,2.44,2.19,2.13,2.23,2.26,2.06,1.95",2000,"8.41,8.25,8.4,7.4,7.03,6.98,6.85,6.09,6.52,6.14,6.28,5.99,5.97,5.78,5.69,5.89,5.79",2024-01-19 01:28:49,Military Sector
31185940,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,10,144,20,0.92189,2000,"1.15,1.18,1.09,1.06,0.88,0.85,0.79,0.79,0.76,0.89,0.81,0.76,0.78,0.84,0.88,0.85,0.81,0.86,0.73,0.7",2001,"1.78,1.8,1.51,1.38,1.02,0.96,1.05,0.82,0.63,0.76,0.84,0.92,0.82,0.86,0.88,0.86,0.76,0.73,0.69,0.78",2024-01-17 01:37:56,Military Sector
32155259,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,10,144,20,0.93905,2000,"4.07,4.01,4.47,4.31,3.84,3.47,2.96,2.68,2.48,2.57,2.44,2.19,2.13,2.23,2.26,2.06,1.95,2.06,1.88,1.84",2001,"5.18,5.1,4.53,4.38,4.7,4.38,3.78,3.15,2.32,2.42,2.21,2.56,2.56,2.67,2.81,2.18,2.37,2.56,2.24,2.12",2024-01-19 01:29:02,Military Sector
32155254,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,10,206,20,0.98632,2000,"4.07,4.01,4.47,4.31,3.84,3.47,2.96,2.68,2.48,2.57,2.44,2.19,2.13,2.23,2.26,2.06,1.95,2.06,1.88,1.84",2000,"5.5,5.88,6.16,5.78,5.34,4.91,4.68,4.33,4.0,3.83,3.55,3.57,3.61,3.56,3.49,3.34,3.25,3.16,2.97,2.81",2024-01-19 01:29:02,Military Sector
