country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,country_a_id_fk
81,1990,1990,31,3,0.9935253333333333,1,4.5961152,110
74,1990,1990,31,3,0.9915866666666667,1,4.594952,110
81,1990,1991,31,3,0.9901613333333333,1,4.5940968,110
215,1990,1990,31,3,0.990026,1,4.5940156,110
21,1990,1990,31,3,0.9873886666666667,1,4.5924332,110
74,1990,1991,31,3,0.9861926666666666,1,4.5917156,110
215,1990,1991,31,3,0.985814,1,4.5914884,110
81,1990,1992,31,3,0.9855646666666666,1,4.5913388,110
21,1990,1991,31,3,0.98443,1,4.590658,110
235,1990,1990,31,3,0.9840913333333334,1,4.5904548,110
21,1990,1992,31,3,0.983626,1,4.5901756,110
13,1990,1990,31,3,0.9833733333333333,1,4.590024,110
153,1990,1990,31,3,0.9829500000000001,1,4.58977,110
215,1990,1992,31,3,0.982586,1,4.5895516,110
58,1990,1990,31,3,0.9819619999999999,1,4.5891772,110
216,1990,1990,31,3,0.981298,1,4.5887788,110
153,1990,1991,31,3,0.9811799999999999,1,4.588708,110
236,1990,1990,31,3,0.9806819999999999,1,4.5884092,110
177,1990,1990,31,3,0.9806100000000001,1,4.588366,110
98,1990,1991,31,3,0.9804342857142857,1,4.588260571428571,110
13,1990,1991,31,3,0.9803993333333333,1,4.5882396,110
216,1990,1991,31,3,0.9799666666666667,1,4.58798,110
153,1990,1992,31,3,0.9796433333333334,1,4.587786,110
98,1990,1992,31,3,0.9794685714285715,1,4.587681142857143,110
235,1990,1991,31,3,0.9792093333333334,1,4.5875256,110
13,1990,1992,31,3,0.978532,1,4.5871192,110
156,1990,1990,31,3,0.9783419999999999,1,4.5870052,110
236,1990,1991,31,3,0.9782173333333333,1,4.5869304,110
73,1990,1990,31,3,0.9775493333333334,1,4.5865296,110
74,1990,1992,31,3,0.9772453333333334,1,4.5863472000000005,110
44,1990,1990,31,3,0.9769280000000001,1,4.5861568,110
58,1990,1991,31,3,0.9767086666666667,1,4.5860252,110
216,1990,1992,31,3,0.976602,1,4.5859612,110
177,1990,1991,31,3,0.9765266666666667,1,4.585916,110
235,1990,1992,31,3,0.9745513333333334,1,4.5847308,110
73,1990,1991,31,3,0.9731533333333332,1,4.583892,110
156,1990,1991,31,3,0.9727786666666667,1,4.5836672,110
44,1990,1991,31,3,0.9720813333333334,1,4.5832488,110
58,1990,1992,31,3,0.9711506666666667,1,4.5826904,110
156,1990,1992,31,3,0.9689693333333333,1,4.5813816,110
44,1990,1992,31,3,0.9689306666666667,1,4.5813584,110
73,1990,1992,31,3,0.9688413333333333,1,4.5813048,110
177,1990,1992,31,3,0.9658506666666666,1,4.5795104,110
106,1990,1990,31,3,0.9430066666666667,1,4.565804,110
106,1990,1992,31,3,0.9357326666666667,1,4.5614396,110
228,1990,1992,31,3,0.93412,1,4.560472,110
106,1990,1991,31,3,0.9340646666666667,1,4.5604388,110
228,1990,1991,31,3,0.9327766666666667,1,4.559666,110
228,1990,1990,31,3,0.928972,1,4.5573832,110
210,1990,1990,31,3,0.9249553333333334,1,4.5549732,110
127,1990,1990,31,3,0.924952,1,4.5549712,110
81,1990,1990,29,3,0.9936360000000001,1,4.3961816,110
81,1990,1991,29,3,0.9912106666666667,1,4.394726400000001,110
74,1990,1990,29,3,0.990646,1,4.3943876,110
215,1990,1990,29,3,0.989328,1,4.3935968,110
14,1990,1990,32,2,0.98817,1,4.392902,110
74,1990,1991,29,3,0.9876406666666667,1,4.3925844000000005,110
21,1990,1990,29,3,0.9875733333333334,1,4.392544,110
81,1990,1990,32,2,0.9874750000000001,1,4.392485000000001,110
215,1990,1991,29,3,0.9873913333333334,1,4.3924348,110
21,1990,1991,29,3,0.9859306666666666,1,4.3915584,110
57,1990,1994,29,3,0.98559,1,4.391354,110
81,1990,1992,29,3,0.9855586666666666,1,4.3913352,110
216,1990,1991,29,3,0.9849993333333333,1,4.390999600000001,110
21,1990,1993,29,3,0.9847893333333334,1,4.3908736,110
215,1990,1992,29,3,0.9847239999999999,1,4.3908344,110
153,1990,1990,29,3,0.9844426666666666,1,4.3906656,110
21,1990,1992,29,3,0.98434,1,4.390604000000001,110
58,1990,1990,29,3,0.9841040000000001,1,4.3904624000000005,110
57,1990,1990,32,2,0.98407,1,4.390442,110
57,1990,1993,29,3,0.9840385714285714,1,4.390423142857143,110
21,1990,1990,32,2,0.984035,1,4.390421,110
215,1990,1990,32,2,0.983655,1,4.390193,110
235,1990,1990,29,3,0.9834906666666666,1,4.390094400000001,110
235,1990,1990,32,2,0.9832799999999999,1,4.3899680000000005,110
215,1990,1993,29,3,0.9831686666666666,1,4.389901200000001,110
81,1990,1993,29,3,0.9831186666666666,1,4.3898712,110
153,1990,1991,29,3,0.9827493333333333,1,4.3896496,110
216,1990,1992,29,3,0.9827086666666667,1,4.3896252,110
13,1990,1990,29,3,0.982638,1,4.3895828,110
58,1990,1990,32,2,0.982615,1,4.389569,110
98,1990,1993,29,3,0.9825514285714286,1,4.389530857142858,110
21,1990,1994,29,3,0.9824226666666667,1,4.3894536,110
153,1990,1990,32,2,0.9822850000000001,1,4.389371000000001,110
98,1990,1994,29,3,0.9822285714285713,1,4.389337142857143,110
97,1990,1990,32,2,0.98208,1,4.389248,110
216,1990,1990,29,3,0.9815186666666667,1,4.3889112,110
215,1990,1994,29,3,0.9812740000000001,1,4.3887644,110
81,1990,1994,29,3,0.9812646666666667,1,4.388758800000001,110
