unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
32589809,OECD,FDI Total Restrictiveness Index,FDI Total Restrictiveness Index,2024,112,221,7,1.0,2012,"0.408,0.408,0.408,0.408,0.358,0.358,0.358",2013,"0.165,0.165,0.165,0.165,0.14,0.14,0.14",2024-01-26 01:12:16,Investments Sector
32592450,OECD,FDI Total Restrictiveness Index,Primary Sector,2024,112,221,7,1.0,2012,"0.623,0.623,0.623,0.623,0.573,0.573,0.573",2013,"0.098,0.098,0.098,0.098,0.073,0.073,0.073",2024-01-26 03:30:23,Investments Sector
32594947,OECD,FDI Total Restrictiveness Index,Manufacturing,2024,112,221,7,1.0,2012,"0.095,0.095,0.095,0.095,0.045,0.045,0.045",2013,"0.115,0.115,0.115,0.115,0.09,0.09,0.09",2024-01-26 05:18:05,Investments Sector
32600126,OECD,FDI Total Restrictiveness Index,Electricity,2024,112,221,7,1.0,2012,"0.228,0.228,0.228,0.228,0.178,0.178,0.178",2013,"0.481,0.481,0.481,0.481,0.456,0.456,0.456",2024-01-26 07:12:09,Investments Sector
32605447,OECD,FDI Total Restrictiveness Index,Distribution,2024,112,221,7,1.0,2012,"0.095,0.095,0.095,0.095,0.045,0.045,0.045",2013,"0.091,0.091,0.091,0.091,0.066,0.066,0.066",2024-01-26 09:06:20,Investments Sector
32608828,OECD,FDI Total Restrictiveness Index,Transport,2024,112,221,7,1.0,2012,"0.462,0.462,0.462,0.462,0.412,0.412,0.412",2013,"0.546,0.546,0.546,0.546,0.521,0.521,0.521",2024-01-26 12:46:21,Investments Sector
32612132,OECD,FDI Total Restrictiveness Index,Media,2024,112,221,7,1.0,2012,"0.16,0.16,0.16,0.16,0.11,0.11,0.11",2013,"0.463,0.463,0.463,0.463,0.438,0.438,0.438",2024-01-26 15:04:46,Investments Sector
32615374,OECD,FDI Total Restrictiveness Index,Telecommunications,2024,112,221,7,1.0,2012,"0.095,0.095,0.095,0.095,0.045,0.045,0.045",2013,"0.515,0.515,0.515,0.515,0.49,0.49,0.49",2024-01-26 17:21:08,Investments Sector
32623092,OECD,FDI Total Restrictiveness Index,Financial Services,2024,112,221,7,1.0,2012,"0.299,0.299,0.299,0.299,0.243,0.243,0.243",2013,"0.291,0.291,0.291,0.291,0.268,0.268,0.268",2024-01-26 19:45:07,Investments Sector
32634245,OECD,FDI Total Restrictiveness Index,Business Services,2024,112,221,7,1.0,2012,"0.745,0.745,0.745,0.745,0.562,0.562,0.562",2013,"0.403,0.403,0.403,0.403,0.378,0.378,0.378",2024-01-26 22:48:01,Investments Sector
32589812,OECD,FDI Total Restrictiveness Index,FDI Total Restrictiveness Index,2024,112,243,7,0.99828,2012,"0.408,0.408,0.408,0.408,0.358,0.358,0.358",2011,"0.114,0.12,0.12,0.12,0.051,0.051,0.051",2024-01-26 01:12:16,Investments Sector
32592452,OECD,FDI Total Restrictiveness Index,Primary Sector,2024,112,243,7,0.99989,2012,"0.623,0.623,0.623,0.623,0.573,0.573,0.573",2011,"0.308,0.308,0.305,0.305,0.155,0.155,0.155",2024-01-26 03:30:23,Investments Sector
32594950,OECD,FDI Total Restrictiveness Index,Manufacturing,2024,112,243,7,1.0,2012,"0.095,0.095,0.095,0.095,0.045,0.045,0.045",2011,"0.054,0.054,0.054,0.054,0.01,0.01,0.01",2024-01-26 05:18:05,Investments Sector
32600129,OECD,FDI Total Restrictiveness Index,Electricity,2024,112,243,7,0.98523,2012,"0.228,0.228,0.228,0.228,0.178,0.178,0.178",2011,"0.363,0.313,0.305,0.305,0.109,0.109,0.109",2024-01-26 07:12:10,Investments Sector
32605450,OECD,FDI Total Restrictiveness Index,Distribution,2024,112,243,7,1.0,2012,"0.095,0.095,0.095,0.095,0.045,0.045,0.045",2011,"0.107,0.107,0.107,0.107,0.025,0.025,0.025",2024-01-26 09:06:20,Investments Sector
32608830,OECD,FDI Total Restrictiveness Index,Transport,2024,112,243,7,1.0,2012,"0.462,0.462,0.462,0.462,0.412,0.412,0.412",2011,"0.52,0.52,0.52,0.52,0.408,0.408,0.408",2024-01-26 12:46:22,Investments Sector
32612135,OECD,FDI Total Restrictiveness Index,Media,2024,112,243,7,0.98922,2012,"0.16,0.16,0.16,0.16,0.11,0.11,0.11",2011,"0.361,0.361,0.308,0.308,0.061,0.061,0.061",2024-01-26 15:04:47,Investments Sector
32615376,OECD,FDI Total Restrictiveness Index,Telecommunications,2024,112,243,7,1.0,2012,"0.095,0.095,0.095,0.095,0.045,0.045,0.045",2011,"0.633,0.633,0.633,0.633,0.583,0.583,0.583",2024-01-26 17:21:09,Investments Sector
32623095,OECD,FDI Total Restrictiveness Index,Financial Services,2024,112,243,7,0.99695,2012,"0.299,0.299,0.299,0.299,0.243,0.243,0.243",2011,"0.3,0.292,0.281,0.281,0.132,0.132,0.132",2024-01-26 19:45:07,Investments Sector
32634247,OECD,FDI Total Restrictiveness Index,Business Services,2024,112,243,7,0.99747,2012,"0.745,0.745,0.745,0.745,0.562,0.562,0.562",2011,"0.735,0.716,0.716,0.712,0.528,0.528,0.528",2024-01-26 22:48:01,Investments Sector
32589807,OECD,FDI Total Restrictiveness Index,FDI Total Restrictiveness Index,2024,112,156,7,1.0,2012,"0.408,0.408,0.408,0.408,0.358,0.358,0.358",2013,"0.2,0.2,0.2,0.2,0.19,0.19,0.19",2024-01-26 01:12:16,Investments Sector
32592448,OECD,FDI Total Restrictiveness Index,Primary Sector,2024,112,156,7,1.0,2012,"0.623,0.623,0.623,0.623,0.573,0.573,0.573",2013,"0.2,0.2,0.2,0.2,0.19,0.19,0.19",2024-01-26 03:30:23,Investments Sector
32594944,OECD,FDI Total Restrictiveness Index,Manufacturing,2024,112,156,7,1.0,2012,"0.095,0.095,0.095,0.095,0.045,0.045,0.045",2013,"0.2,0.2,0.2,0.2,0.19,0.19,0.19",2024-01-26 05:18:05,Investments Sector
32600122,OECD,FDI Total Restrictiveness Index,Electricity,2024,112,156,7,1.0,2012,"0.228,0.228,0.228,0.228,0.178,0.178,0.178",2013,"0.233,0.233,0.233,0.233,0.223,0.223,0.223",2024-01-26 07:12:09,Investments Sector
32605445,OECD,FDI Total Restrictiveness Index,Distribution,2024,112,156,7,1.0,2012,"0.095,0.095,0.095,0.095,0.045,0.045,0.045",2013,"0.2,0.2,0.2,0.2,0.19,0.19,0.19",2024-01-26 09:06:20,Investments Sector
32608825,OECD,FDI Total Restrictiveness Index,Transport,2024,112,156,7,1.0,2012,"0.462,0.462,0.462,0.462,0.412,0.412,0.412",2013,"0.2,0.2,0.2,0.2,0.19,0.19,0.19",2024-01-26 12:46:21,Investments Sector
32612130,OECD,FDI Total Restrictiveness Index,Media,2024,112,156,7,0.97662,2012,"0.16,0.16,0.16,0.16,0.11,0.11,0.11",2013,"0.325,0.325,0.325,0.325,0.318,0.32,0.32",2024-01-26 15:04:46,Investments Sector
32615372,OECD,FDI Total Restrictiveness Index,Telecommunications,2024,112,156,7,1.0,2012,"0.095,0.095,0.095,0.095,0.045,0.045,0.045",2013,"0.4,0.4,0.4,0.4,0.39,0.39,0.39",2024-01-26 17:21:08,Investments Sector
32623089,OECD,FDI Total Restrictiveness Index,Financial Services,2024,112,156,7,0.93043,2012,"0.299,0.299,0.299,0.299,0.243,0.243,0.243",2013,"0.24,0.24,0.24,0.24,0.231,0.235,0.235",2024-01-26 19:45:06,Investments Sector
32634242,OECD,FDI Total Restrictiveness Index,Business Services,2024,112,156,7,1.0,2012,"0.745,0.745,0.745,0.745,0.562,0.562,0.562",2013,"0.283,0.283,0.283,0.283,0.273,0.273,0.273",2024-01-26 22:48:01,Investments Sector
32589797,OECD,FDI Total Restrictiveness Index,FDI Total Restrictiveness Index,2024,112,221,6,1.0,2012,"0.408,0.408,0.408,0.408,0.358,0.358",2013,"0.165,0.165,0.165,0.165,0.14,0.14",2024-01-26 01:12:15,Investments Sector
32592437,OECD,FDI Total Restrictiveness Index,Primary Sector,2024,112,221,6,1.0,2012,"0.623,0.623,0.623,0.623,0.573,0.573",2013,"0.098,0.098,0.098,0.098,0.073,0.073",2024-01-26 03:30:23,Investments Sector
32594936,OECD,FDI Total Restrictiveness Index,Manufacturing,2024,112,221,6,1.0,2012,"0.095,0.095,0.095,0.095,0.045,0.045",2013,"0.115,0.115,0.115,0.115,0.09,0.09",2024-01-26 05:18:05,Investments Sector
32600113,OECD,FDI Total Restrictiveness Index,Electricity,2024,112,221,6,1.0,2012,"0.228,0.228,0.228,0.228,0.178,0.178",2013,"0.481,0.481,0.481,0.481,0.456,0.456",2024-01-26 07:12:09,Investments Sector
