unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
19284367,World Bank,GDP (current US$),GDP (current US$),2023,114,208,17,0.94025,2000,"12705350153.4012,12986007425.8781,13147736954.17,14904517649.8476,16095337093.8366,18737895400.78,25825512277.8911,31958195182.2406,35895153327.8497,42347217912.9176,45405615233.0693,46869473165.8905,56396704833.4676,61671440480.6895,68285796662.6532,70120446663.6256,74815143796.3978",2006,"1053216892422.02,1172614134912.05,1047339041903.85,943941876218.743,1144066965324.49,1253223044718.99,1278427634342.59,1370795199976.18,1484318219633.63,1465773245547.15,1500111596236.37,1623901496835.79,1724845615629.26,1651422932447.77,1644312785467.12,1810955871380.98,1665245538594.96",2024-01-02 06:14:19,Finance Economy Sector
31406840,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,114,208,17,0.9486,2000,"5.2,5.9,6.3,7.1,7.3,8.6,10.0,12.8,14.6,14.1,14.8,15.0,18.9,18.9,17.5,17.6,19.0",2006,"515.1,565.4,530.1,498.0,568.7,622.5,638.3,681.5,742.0,719.6,723.5,766.6,841.7,861.0,899.5,991.6,903.3",2024-01-17 07:40:36,Military Sector
32026738,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,114,208,17,0.93113,2000,"6.45,6.99,7.18,7.18,7.38,7.41,7.32,7.46,7.47,6.73,6.36,6.86,6.74,6.01,5.12,5.05,4.92",2006,"12.28,12.07,12.5,12.79,13.22,12.97,12.71,12.57,12.8,12.64,12.62,12.33,12.25,11.85,11.17,10.75,10.57",2024-01-18 11:36:51,Military Sector
19285317,World Bank,GDP (current US$),GDP (current US$),2023,114,174,17,0.99513,2000,"12705350153.4012,12986007425.8781,13147736954.17,14904517649.8476,16095337093.8366,18737895400.78,25825512277.8911,31958195182.2406,35895153327.8497,42347217912.9176,45405615233.0693,46869473165.8905,56396704833.4676,61671440480.6895,68285796662.6532,70120446663.6256,74815143796.3978",2000,"83669788254.7279,78921234457.5487,84307346432.1264,87039092438.9644,95002000250.4167,107419977968.185,127652927611.904,155980408072.596,181624627927.891,175974754207.575,208368892319.281,234216730703.65,261920542606.621,283902829721.261,297483553299.593,306445871631.969,318627003965.989",2024-01-02 06:15:27,Finance Economy Sector
31406928,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,114,174,17,0.97065,2000,"5.2,5.9,6.3,7.1,7.3,8.6,10.0,12.8,14.6,14.1,14.8,15.0,18.9,18.9,17.5,17.6,19.0",2000,"16.7,14.1,14.7,15.7,14.7,15.9,18.3,22.5,25.0,22.9,25.9,28.3,29.8,34.2,30.9,32.7,32.1",2024-01-17 07:40:42,Military Sector
19285610,World Bank,GDP (current US$),GDP (current US$),2023,114,200,17,0.98113,2000,"12705350153.4012,12986007425.8781,13147736954.17,14904517649.8476,16095337093.8366,18737895400.78,25825512277.8911,31958195182.2406,35895153327.8497,42347217912.9176,45405615233.0693,46869473165.8905,56396704833.4676,61671440480.6895,68285796662.6532,70120446663.6256,74815143796.3978",2000,"96076521349.0621,89793815727.6029,92538355642.8848,97646382412.8729,115033570415.043,127807810333.769,148627255181.674,180941741377.766,193617346346.785,194150322022.092,239807921966.007,279356526366.334,295092839974.919,307576360584.992,314863580758.455,307998545269.398,319029973659.293",2024-01-02 06:15:48,Finance Economy Sector
31406942,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,114,200,17,0.98453,2000,"5.2,5.9,6.3,7.1,7.3,8.6,10.0,12.8,14.6,14.1,14.8,15.0,18.9,18.9,17.5,17.6,19.0",2000,"1074.9,1056.9,1103.3,1144.0,1207.4,1280.8,1324.5,1423.6,1560.8,1517.6,1580.4,1695.0,1708.3,1713.5,1736.6,1678.1,1746.3",2024-01-17 07:40:43,Military Sector
19285318,World Bank,GDP (current US$),GDP (current US$),2023,114,174,17,0.99031,2000,"12705350153.4012,12986007425.8781,13147736954.17,14904517649.8476,16095337093.8366,18737895400.78,25825512277.8911,31958195182.2406,35895153327.8497,42347217912.9176,45405615233.0693,46869473165.8905,56396704833.4676,61671440480.6895,68285796662.6532,70120446663.6256,74815143796.3978",2001,"78921234457.5487,84307346432.1264,87039092438.9644,95002000250.4167,107419977968.185,127652927611.904,155980408072.596,181624627927.891,175974754207.575,208368892319.281,234216730703.65,261920542606.621,283902829721.261,297483553299.593,306445871631.969,318627003965.989,328480738147.1",2024-01-02 06:15:27,Finance Economy Sector
31406929,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,114,174,17,0.97419,2000,"5.2,5.9,6.3,7.1,7.3,8.6,10.0,12.8,14.6,14.1,14.8,15.0,18.9,18.9,17.5,17.6,19.0",2001,"14.1,14.7,15.7,14.7,15.9,18.3,22.5,25.0,22.9,25.9,28.3,29.8,34.2,30.9,32.7,32.1,36.5",2024-01-17 07:40:42,Military Sector
19283508,World Bank,GDP (current US$),GDP (current US$),2023,114,62,17,0.98647,2000,"12705350153.4012,12986007425.8781,13147736954.17,14904517649.8476,16095337093.8366,18737895400.78,25825512277.8911,31958195182.2406,35895153327.8497,42347217912.9176,45405615233.0693,46869473165.8905,56396704833.4676,61671440480.6895,68285796662.6532,70120446663.6256,74815143796.3978",2000,"18327764882.4412,24468324000.0,28548945000.0,32432858000.0,36591661000.0,41507085000.0,46802044000.0,51007777000.0,61762635000.0,62519686000.0,69555367000.0,79276664000.0,87924544000.0,95129659000.0,101726331000.0,99290381000.0,99937696000.0",2024-01-02 06:13:18,Finance Economy Sector
