country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,Power
112,1970,1975,41,1,0.94989,4.969934
112,1970,1974,41,1,0.94938,4.969628
89,1970,1973,41,1,0.94774,4.968644
228,1970,1970,41,1,0.94751,4.9685060000000005
96,1970,1974,41,1,0.94729,4.968374000000001
96,1970,1975,41,1,0.94724,4.968344
170,1970,1978,41,1,0.9467,4.96802
170,1970,1977,41,1,0.94662,4.9679720000000005
89,1970,1974,41,1,0.94623,4.967738000000001
170,1970,1976,41,1,0.94611,4.967666
112,1970,1976,41,1,0.94607,4.967642000000001
228,1970,1971,41,1,0.94584,4.967504
69,1970,1982,41,1,0.94583,4.967498
18,1970,1982,41,1,0.94568,4.967408000000001
45,1970,1962,41,1,0.94567,4.967402
26,1970,1977,41,1,0.94537,4.9672220000000005
61,1970,1972,41,1,0.94507,4.967042
62,1970,1976,41,1,0.94489,4.966934
26,1970,1976,41,1,0.94489,4.966934
63,1970,1975,41,1,0.94481,4.966886000000001
45,1970,1961,41,1,0.94477,4.966862000000001
52,1970,1973,41,1,0.94465,4.9667900000000005
170,1970,1975,41,1,0.94464,4.9667840000000005
52,1970,1974,41,1,0.9444,4.96664
112,1970,1973,41,1,0.94415,4.96649
23,1970,1971,41,1,0.94389,4.966334000000001
52,1970,1975,41,1,0.94381,4.966286
26,1970,1975,41,1,0.94373,4.966238000000001
61,1970,1973,41,1,0.94361,4.966166
18,1970,1981,41,1,0.94356,4.9661360000000005
23,1970,1970,41,1,0.94346,4.966076
170,1970,1979,41,1,0.94325,4.96595
100,1970,1973,41,1,0.94316,4.965896000000001
96,1970,1976,41,1,0.94308,4.965848
114,1970,1974,41,1,0.94305,4.96583
62,1970,1975,41,1,0.94304,4.9658240000000005
127,1970,1970,41,1,0.94284,4.965704000000001
114,1970,1975,41,1,0.94273,4.965638
89,1970,1971,41,1,0.94243,4.965458
62,1970,1974,41,1,0.94241,4.965446
45,1970,1963,41,1,0.94221,4.965326
170,1970,1974,41,1,0.94212,4.965272000000001
26,1970,1974,41,1,0.94198,4.965188
63,1970,1974,41,1,0.94195,4.9651700000000005
62,1970,1973,41,1,0.94191,4.965146000000001
89,1970,1972,41,1,0.94187,4.965122
152,1970,1977,41,1,0.94176,4.965056000000001
48,1970,1974,41,1,0.94175,4.965050000000001
48,1970,1973,41,1,0.94159,4.9649540000000005
100,1970,1974,41,1,0.94147,4.964882
114,1970,1976,41,1,0.94139,4.964834000000001
45,1970,1977,41,1,0.94135,4.96481
114,1970,1972,41,1,0.94128,4.964768
114,1970,1973,41,1,0.94114,4.964684
69,1970,1981,41,1,0.94106,4.9646360000000005
45,1970,1976,41,1,0.94094,4.964564
133,1970,1974,41,1,0.94093,4.964558
89,1970,1975,41,1,0.94087,4.9645220000000005
217,1970,1970,41,1,0.94072,4.964432
211,1970,1976,41,1,0.94055,4.96433
133,1970,1973,41,1,0.94047,4.964282000000001
104,1970,1968,41,1,0.94041,4.964246
155,1970,1970,41,1,0.94029,4.964174
195,1970,1973,41,1,0.94022,4.964132
54,1970,1976,41,1,0.94013,4.964078000000001
104,1970,1969,41,1,0.93989,4.963934
62,1970,1977,41,1,0.93984,4.963904
195,1970,1974,41,1,0.93977,4.963862000000001
45,1970,1975,41,1,0.93972,4.963832
133,1970,1971,41,1,0.93969,4.963814
45,1970,1960,41,1,0.93967,4.963802
228,1970,1972,41,1,0.93962,4.9637720000000005
54,1970,1975,41,1,0.93943,4.963658000000001
54,1970,1977,41,1,0.93927,4.9635620000000005
167,1970,1971,41,1,0.93926,4.9635560000000005
152,1970,1974,41,1,0.93909,4.9634540000000005
152,1970,1975,41,1,0.93906,4.963436000000001
165,1970,1970,41,1,0.93892,4.963352
45,1970,1978,41,1,0.93887,4.963322000000001
167,1970,1974,41,1,0.9388,4.96328
96,1970,1977,41,1,0.93873,4.9632380000000005
112,1970,1977,41,1,0.93871,4.963226000000001
166,1970,1974,41,1,0.9387,4.963220000000001
