country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,event_correlation_score,country_a_id_fk,event_correlation_count,similar_event_year_a,similar_raw_event,similar_event_year_b
243,2006,2007,17,6,0.9517483333333333,1,4.071049,"['Political State Sector', 'Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,119,0,,,
243,2006,2006,17,6,0.9502799999999999,1,4.070168,"['Political State Sector', 'Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,119,0,,,
243,2006,2007,16,6,0.9528083333333334,1,3.971685,"['Political State Sector', 'Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,119,0,,,
243,2006,2006,16,6,0.9474716666666666,1,3.968483,"['Political State Sector', 'Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,119,0,,,
243,2006,2007,15,6,0.9424383333333334,1,3.865463,"['Political State Sector', 'Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,119,0,,,
243,2016,2014,5,9,0.9902355555555555,2,3.794141333333333,"['Human Rights Development', 'Investments Sector']",0,119,0,,,
221,2016,2016,5,9,0.9873788888888888,2,3.792427333333333,"['Human Rights Development', 'Investments Sector']",0,119,0,,,
239,2006,2007,17,5,0.943916,1,3.7663496000000003,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,119,0,,,
243,2016,2014,4,9,0.9997288888888889,2,3.699837333333333,"['Human Rights Development', 'Investments Sector']",0,119,0,,,
101,2016,2017,4,9,0.9995077777777779,2,3.6997046666666664,"['Human Rights Development', 'Investments Sector']",0,119,0,,,
112,2016,2015,4,9,0.9994611111111111,2,3.699676666666666,"['Human Rights Development', 'Investments Sector']",0,119,0,,,
221,2016,2016,4,9,0.9981133333333333,2,3.6988679999999996,"['Human Rights Development', 'Investments Sector']",0,119,0,,,
26,2006,2006,15,5,0.944848,1,3.5669088,"['Political State Sector', 'Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,119,0,,,
216,2016,2006,5,8,0.9872575,1,3.4923545,['Investments Sector'],0,119,0,,,
73,2016,2006,5,8,0.9872575,1,3.4923545,['Investments Sector'],0,119,0,,,
206,2016,2006,5,8,0.9872575,1,3.4923545,['Investments Sector'],0,119,0,,,
113,2016,2015,5,8,0.98623125,2,3.4917387499999997,"['Human Rights Development', 'Investments Sector']",0,119,0,,,
156,2016,2016,5,8,0.9857875,2,3.4914725,"['Human Rights Development', 'Investments Sector']",0,119,0,,,
149,2016,2016,5,8,0.98416625,2,3.4904997499999997,"['Human Rights Development', 'Investments Sector']",0,119,0,,,
208,2016,1997,5,8,0.98388125,1,3.4903287499999998,['Investments Sector'],0,119,0,,,
233,2016,2013,5,8,0.9829375,2,3.4897625,"['Human Rights Development', 'Investments Sector']",0,119,0,,,
