unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
366160,The Fund For Peace,Fragile State Index,Total,2023,120,67,17,0.97134,2006,"56.2,56.7,54.5,54.6,55.4,54.2,51.9,47.9,48.0,48.5,47.4,46.4,44.899921744994565,43.9,42.31122746144478,44.0,42.8",2006,"51.0,50.5,51.0,51.2,50.7,49.3,47.5,45.3,45.2,43.7,43.4,44.7,42.990053644081904,40.8,38.52345451018706,39.50000000000001,37.7",2023-12-13 09:45:37
2496378,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,120,67,17,0.97332,2006,"4.5,4.6,4.6,4.5,4.6,4.9,5.2,5.4,5.8,7.4,7.7,8.0,8.3,8.5,8.625858592796266,8.3,8.0",2006,"4.5,4.5,5.1,4.9,5.0,5.4,5.7,5.9,6.2,6.5,6.8,7.3,7.536316184776602,7.6,7.671490131054446,7.4,7.1",2023-12-15 14:05:27
3376104,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,120,67,17,0.94681,2006,"7.0,7.0,6.0,6.2,6.0,5.7,5.4,4.9,4.6,4.6,4.3,4.1,3.8,3.5,3.2,3.5,3.6",2006,"5.0,4.9,4.9,5.4,5.2,4.9,4.6,4.3,4.0,3.7,3.4,3.2,2.9000000000000004,2.6,2.3000000000000003,2.6,2.7",2023-12-16 16:28:17
4935208,The Fund For Peace,Fragile State Index,P1: State Legitimacy,2023,120,67,17,0.94639,2006,"4.8,4.7,4.7,5.1,5.4,5.3,4.8,4.5,4.2,3.9,3.6,3.4,3.1,2.8,2.5,2.2,2.1",2006,"5.0,5.0,4.8,4.7,4.5,4.1,3.8,3.8,3.5,3.2,2.9,2.7,2.4000000000000004,2.1,1.8,1.5,1.2",2023-12-18 15:31:43
5716843,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,120,67,17,0.94977,2006,"3.7,3.8,3.8,3.7,3.5,3.6,3.5,3.2,3.3,3.0,2.8,2.8,2.825982371916365,3.0,2.7,2.4,2.1",2006,"3.7,3.7,3.5,3.5,3.3,3.0,2.7,2.4,2.5,2.0,1.8,1.7,1.9140246915151315,1.7,1.4,1.3,1.3",2023-12-19 07:49:55
6196146,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,120,67,17,0.98074,2006,"5.7,5.2,4.9,4.5,4.3,4.2,3.9,3.6,3.7,3.4,3.1,2.9,2.6,2.3,2.0,3.0,3.5",2006,"5.0,4.8,4.8,4.7,4.5,4.1,3.8,3.5,3.6,3.3,3.0,2.8,2.5,2.2,1.9,2.9,3.2",2023-12-19 17:37:50
6638356,The Fund For Peace,Fragile State Index,S2: Refugees and IDPs,2023,120,67,17,0.96969,2006,"5.9,5.7,4.9,4.5,4.3,3.9,3.6,3.3,3.2,2.9,3.0,2.8,2.5,2.2,2.1,1.9,2.0",2006,"5.1,4.8,4.8,4.4,4.2,3.9,3.6,3.3,3.2,2.9,2.6,3.1,2.8000000000000003,2.5,2.2,1.9,1.6",2023-12-20 03:51:26
366161,The Fund For Peace,Fragile State Index,Total,2023,120,67,17,0.96155,2006,"56.2,56.7,54.5,54.6,55.4,54.2,51.9,47.9,48.0,48.5,47.4,46.4,44.899921744994565,43.9,42.31122746144478,44.0,42.8",2007,"50.5,51.0,51.2,50.7,49.3,47.5,45.3,45.2,43.7,43.4,44.7,42.990053644081904,40.8,38.52345451018706,39.50000000000001,37.7,38.6",2023-12-13 09:45:37
2496379,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,120,67,17,0.94577,2006,"4.5,4.6,4.6,4.5,4.6,4.9,5.2,5.4,5.8,7.4,7.7,8.0,8.3,8.5,8.625858592796266,8.3,8.0",2007,"4.5,5.1,4.9,5.0,5.4,5.7,5.9,6.2,6.5,6.8,7.3,7.536316184776602,7.6,7.671490131054446,7.4,7.1,6.8",2023-12-15 14:05:27
3376105,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,120,67,17,0.94381,2006,"7.0,7.0,6.0,6.2,6.0,5.7,5.4,4.9,4.6,4.6,4.3,4.1,3.8,3.5,3.2,3.5,3.6",2007,"4.9,4.9,5.4,5.2,4.9,4.6,4.3,4.0,3.7,3.4,3.2,2.9000000000000004,2.6,2.3000000000000003,2.6,2.7,3.0",2023-12-16 16:28:17
