country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,Power
18,1982,1987,32,1,0.99236,4.095416
45,1982,1979,32,1,0.99232,4.095392
211,1982,1981,32,1,0.99232,4.095392
18,1982,1986,32,1,0.99186,4.095116
26,1982,1982,32,1,0.99163,4.094978
45,1982,1982,32,1,0.99162,4.094972
45,1982,1980,32,1,0.99154,4.094924
45,1982,1981,32,1,0.99149,4.094894
170,1982,1982,32,1,0.99102,4.094612
101,1982,1981,32,1,0.99095,4.09457
26,1982,1983,32,1,0.99092,4.094552
170,1982,1983,32,1,0.99075,4.09445
45,1982,1978,32,1,0.99065,4.09439
152,1982,1981,32,1,0.99058,4.094348
133,1982,1978,32,1,0.99036,4.094216
211,1982,1980,32,1,0.99035,4.09421
200,1982,1965,32,1,0.98988,4.093928
211,1982,1982,32,1,0.98933,4.093598
234,1982,1977,32,1,0.98933,4.093598
133,1982,1977,32,1,0.98883,4.093298
152,1982,1980,32,1,0.9884,4.09304
200,1982,1964,32,1,0.98822,4.092932
152,1982,1979,32,1,0.98815,4.09289
18,1982,1985,32,1,0.9881,4.09286
18,1982,1988,32,1,0.98696,4.092176
45,1982,1977,32,1,0.98696,4.092176
45,1982,1966,32,1,0.98677,4.092062
152,1982,1982,32,1,0.98642,4.091852
170,1982,1981,32,1,0.98636,4.091816
45,1982,1983,32,1,0.98634,4.091804
101,1982,1980,32,1,0.9862,4.09172
234,1982,1976,32,1,0.98616,4.091696
100,1982,1979,32,1,0.98606,4.091636
208,1982,1960,32,1,0.98585,4.0915099999999995
149,1982,1982,32,1,0.9856,4.09136
149,1982,1965,32,1,0.98554,4.091324
45,1982,1967,32,1,0.98541,4.091246
100,1982,1978,32,1,0.98537,4.091222
100,1982,1977,32,1,0.98528,4.091168
100,1982,1980,32,1,0.98507,4.091042
22,1982,1962,32,1,0.98506,4.091036
170,1982,1984,32,1,0.98501,4.091006
133,1982,1979,32,1,0.98499,4.090994
200,1982,1963,32,1,0.98461,4.090766
149,1982,1966,32,1,0.98451,4.090706
221,1982,1964,32,1,0.98451,4.090706
173,1982,1982,32,1,0.9845,4.0907
112,1982,1979,32,1,0.9845,4.0907
22,1982,1961,32,1,0.98443,4.090658
211,1982,1979,32,1,0.98439,4.090634
100,1982,1976,32,1,0.98434,4.090604
45,1982,1976,32,1,0.9842,4.09052
149,1982,1981,32,1,0.98418,4.090508
200,1982,1966,32,1,0.98394,4.090364
48,1982,1982,32,1,0.98368,4.090208
48,1982,1981,32,1,0.98357,4.090142
221,1982,1965,32,1,0.98345,4.09007
173,1982,1981,32,1,0.98342,4.090052
208,1982,1964,32,1,0.98337,4.090022
208,1982,1965,32,1,0.98335,4.0900099999999995
149,1982,1979,32,1,0.98333,4.089998
172,1982,1982,32,1,0.98331,4.089986
174,1982,1982,32,1,0.98329,4.089974
166,1982,1982,32,1,0.98316,4.0898959999999995
26,1982,1981,32,1,0.98314,4.089884
13,1982,1981,32,1,0.98298,4.089788
179,1982,1982,32,1,0.98294,4.089764
133,1982,1980,32,1,0.98292,4.089752
13,1982,1982,32,1,0.98273,4.089638
23,1982,1974,32,1,0.9827,4.08962
208,1982,1961,32,1,0.98245,4.08947
112,1982,1980,32,1,0.98237,4.089422
165,1982,1977,32,1,0.98221,4.089326
166,1982,1981,32,1,0.98216,4.089296
35,1982,1978,32,1,0.98215,4.08929
23,1982,1977,32,1,0.98194,4.089164
170,1982,1980,32,1,0.98173,4.089038
97,1982,1963,32,1,0.98138,4.088828
101,1982,1982,32,1,0.98074,4.088444
221,1982,1963,32,1,0.98071,4.088426
171,1982,1982,32,1,0.98068,4.088408
25,1982,1980,32,1,0.98059,4.088354
23,1982,1975,32,1,0.98044,4.088264
166,1982,1977,32,1,0.98027,4.088162
152,1982,1978,32,1,0.98026,4.088156
112,1982,1978,32,1,0.98021,4.088126
104,1982,1974,32,1,0.9802,4.08812
104,1982,1975,32,1,0.98002,4.088012
100,1982,1981,32,1,0.97998,4.087988
119,1982,1984,32,1,0.97991,4.087946
130,1982,1980,32,1,0.97985,4.08791
200,1982,1962,32,1,0.9798,4.08788
104,1982,1976,32,1,0.97961,4.087766
208,1982,1963,32,1,0.97956,4.087736
234,1982,1975,32,1,0.97949,4.087694
35,1982,1979,32,1,0.97946,4.087676
45,1982,1975,32,1,0.97929,4.087574
133,1982,1976,32,1,0.97928,4.087568
82,1982,1982,32,1,0.97918,4.087508
114,1982,1978,32,1,0.97916,4.087496
166,1982,1980,32,1,0.97911,4.087466
208,1982,1962,32,1,0.97908,4.087448
18,1982,1984,32,1,0.97901,4.087406
177,1982,1961,32,1,0.97865,4.08719
228,1982,1977,32,1,0.97863,4.087178
97,1982,1964,32,1,0.97849,4.0870940000000004
179,1982,1981,32,1,0.97847,4.087082
114,1982,1979,32,1,0.97846,4.087076
45,1982,1968,32,1,0.97827,4.086962
35,1982,1977,32,1,0.97815,4.08689
101,1982,1979,32,1,0.97814,4.0868839999999995
166,1982,1979,32,1,0.97808,4.086848
211,1982,1983,32,1,0.97805,4.08683
26,1982,1984,32,1,0.97802,4.086812
149,1982,1980,32,1,0.97801,4.086806
44,1982,1966,32,1,0.97796,4.086776
23,1982,1976,32,1,0.97784,4.086704
174,1982,1981,32,1,0.97777,4.0866620000000005
29,1982,1960,32,1,0.97772,4.086632
97,1982,1962,32,1,0.97772,4.086632
92,1982,1977,32,1,0.9776,4.08656
114,1982,1981,32,1,0.97732,4.086392
62,1982,1982,32,1,0.97718,4.086308
45,1982,1965,32,1,0.97701,4.086206
35,1982,1980,32,1,0.97689,4.086134
221,1982,1962,32,1,0.97687,4.086122
23,1982,1978,32,1,0.97685,4.08611
240,1982,1980,32,1,0.97684,4.086104
13,1982,1980,32,1,0.97684,4.086104
114,1982,1983,32,1,0.97681,4.086086
170,1982,1985,32,1,0.97655,4.08593
149,1982,1978,32,1,0.97646,4.085876
195,1982,1982,32,1,0.97642,4.085852
114,1982,1982,32,1,0.97642,4.085852
174,1982,1983,32,1,0.97642,4.085852
18,1982,1989,32,1,0.97635,4.08581
5,1982,1976,32,1,0.97622,4.085732
170,1982,1979,32,1,0.97619,4.085714
26,1982,1980,32,1,0.97609,4.085654
63,1982,1982,32,1,0.97599,4.085594
171,1982,1981,32,1,0.97589,4.085534
45,1982,1984,32,1,0.97586,4.085516
25,1982,1981,32,1,0.97585,4.08551
149,1982,1983,32,1,0.9758,4.0854800000000004
112,1982,1981,32,1,0.97575,4.08545
48,1982,1980,32,1,0.97573,4.085438
152,1982,1977,32,1,0.9757,4.08542
172,1982,1983,32,1,0.9757,4.08542
52,1982,1982,32,1,0.97569,4.085414
180,1982,1981,32,1,0.97557,4.085342
22,1982,1963,32,1,0.97545,4.0852699999999995
100,1982,1975,32,1,0.9754,4.08524
92,1982,1978,32,1,0.97538,4.085228
119,1982,1985,32,1,0.9752,4.08512
249,1982,1982,32,1,0.97518,4.085108
199,1982,1983,32,1,0.97503,4.085018
5,1982,1977,32,1,0.97469,4.084814
62,1982,1981,32,1,0.97453,4.084718
171,1982,1983,32,1,0.97452,4.084712
217,1982,1979,32,1,0.97447,4.084682
45,1982,1969,32,1,0.9744,4.08464
63,1982,1983,32,1,0.97431,4.084586
45,1982,1974,32,1,0.9743,4.08458
180,1982,1982,32,1,0.97424,4.084544
97,1982,1965,32,1,0.97414,4.084484
114,1982,1980,32,1,0.97409,4.084454
149,1982,1964,32,1,0.97405,4.08443
200,1982,1961,32,1,0.97382,4.084292
150,1982,1981,32,1,0.97378,4.084268
96,1982,1978,32,1,0.97375,4.08425
18,1982,1983,32,1,0.97369,4.084214
167,1982,1977,32,1,0.97367,4.084202
173,1982,1980,32,1,0.97363,4.084178
137,1982,1981,32,1,0.97363,4.084178
217,1982,1977,32,1,0.97343,4.084058
228,1982,1976,32,1,0.97339,4.084034
179,1982,1980,32,1,0.97337,4.084022
211,1982,1978,32,1,0.97334,4.084004
217,1982,1978,32,1,0.97332,4.083992
166,1982,1976,32,1,0.9733,4.08398
22,1982,1960,32,1,0.97328,4.0839680000000005
104,1982,1977,32,1,0.97321,4.083926
63,1982,1981,32,1,0.97311,4.083866
172,1982,1981,32,1,0.97305,4.08383
23,1982,1973,32,1,0.97304,4.083824
104,1982,1973,32,1,0.97281,4.083686
114,1982,1977,32,1,0.97269,4.083614
240,1982,1979,32,1,0.97254,4.083524
45,1982,1970,32,1,0.97244,4.083464
137,1982,1982,32,1,0.97242,4.083452
137,1982,1980,32,1,0.97238,4.083428
52,1982,1981,32,1,0.97233,4.083398
54,1982,1977,32,1,0.97206,4.083236
96,1982,1979,32,1,0.97204,4.0832239999999995
179,1982,1979,32,1,0.97198,4.083188
112,1982,1982,32,1,0.97197,4.083182
29,1982,1961,32,1,0.97196,4.083176
62,1982,1983,32,1,0.97193,4.083158
62,1982,1980,32,1,0.97171,4.083026
97,1982,1961,32,1,0.97158,4.082948
99,1982,1976,32,1,0.97157,4.082942
18,1982,1990,32,1,0.97148,4.082888
54,1982,1978,32,1,0.97142,4.082852
165,1982,1976,32,1,0.97139,4.082834
112,1982,1977,32,1,0.97137,4.082822
131,1982,1981,32,1,0.9712,4.08272
179,1982,1983,32,1,0.97115,4.0826899999999995
45,1982,1973,32,1,0.97111,4.082666
221,1982,1961,32,1,0.97103,4.082618
249,1982,1981,32,1,0.97093,4.082558
180,1982,1980,32,1,0.97089,4.082534
179,1982,1974,32,1,0.97085,4.08251
82,1982,1983,32,1,0.97066,4.082396
5,1982,1975,32,1,0.97058,4.082348
195,1982,1981,32,1,0.97054,4.082324
127,1982,1964,32,1,0.9705,4.0823
96,1982,1980,32,1,0.97041,4.082246
31,1982,1966,32,1,0.97038,4.082228
45,1982,1971,32,1,0.97012,4.082072
82,1982,1981,32,1,0.97009,4.082054
13,1982,1979,32,1,0.96995,4.08197
132,1982,1980,32,1,0.96994,4.081964
179,1982,1976,32,1,0.96988,4.081928
97,1982,1966,32,1,0.96983,4.081898
131,1982,1982,32,1,0.96972,4.081832
40,1982,1977,32,1,0.96958,4.081748
173,1982,1983,32,1,0.96954,4.0817239999999995
44,1982,1981,32,1,0.96948,4.081688
179,1982,1975,32,1,0.96943,4.081658
69,1982,1986,32,1,0.96941,4.081646
131,1982,1965,32,1,0.9694,4.08164
150,1982,1980,32,1,0.96938,4.081628
242,1982,1979,32,1,0.96935,4.0816099999999995
177,1982,1962,32,1,0.96934,4.0816040000000005
31,1982,1981,32,1,0.96933,4.081598
240,1982,1981,32,1,0.96928,4.081568
170,1982,1978,32,1,0.96927,4.081562
166,1982,1978,32,1,0.96925,4.08155
45,1982,1972,32,1,0.96917,4.081502
69,1982,1984,32,1,0.96906,4.081436
6,1982,1982,32,1,0.96905,4.08143
63,1982,1984,32,1,0.969,4.0814
35,1982,1981,32,1,0.96889,4.081334
69,1982,1985,32,1,0.96884,4.081304
117,1982,1977,32,1,0.96868,4.081208
18,1982,1982,32,1,0.96865,4.08119
200,1982,1982,32,1,0.96861,4.081166
119,1982,1986,32,1,0.96857,4.081142
172,1982,1980,32,1,0.96848,4.081088
167,1982,1978,32,1,0.96843,4.081058
44,1982,1982,32,1,0.96835,4.08101
152,1982,1983,32,1,0.96818,4.080908
166,1982,1983,32,1,0.96818,4.080908
18,1982,1991,32,1,0.96814,4.080884
232,1982,1980,32,1,0.96793,4.080758
170,1982,1986,32,1,0.96786,4.080716
114,1982,1984,32,1,0.96786,4.080716
131,1982,1966,32,1,0.9678,4.08068
200,1982,1981,32,1,0.96765,4.08059
133,1982,1981,32,1,0.96749,4.080494
48,1982,1979,32,1,0.96732,4.080392
22,1982,1964,32,1,0.96732,4.080392
180,1982,1977,32,1,0.96726,4.080356
174,1982,1980,32,1,0.96711,4.080266
26,1982,1979,32,1,0.96702,4.0802119999999995
180,1982,1979,32,1,0.96691,4.080146
43,1982,1977,32,1,0.96672,4.080032
167,1982,1976,32,1,0.96664,4.079984
200,1982,1960,32,1,0.96657,4.079942
48,1982,1983,32,1,0.96653,4.079918
149,1982,1977,32,1,0.9665,4.0799
92,1982,1976,32,1,0.96641,4.079846
101,1982,1978,32,1,0.96635,4.07981
211,1982,1977,32,1,0.96632,4.079792
62,1982,1979,32,1,0.96628,4.079768
179,1982,1978,32,1,0.96616,4.079696
59,1982,1987,32,1,0.96607,4.079642
52,1982,1983,32,1,0.96607,4.079642
97,1982,1960,32,1,0.966,4.0796
18,1982,1981,32,1,0.96591,4.079546
127,1982,1962,32,1,0.9659,4.07954
127,1982,1977,32,1,0.96587,4.079522
64,1982,1966,32,1,0.96583,4.079498
44,1982,1965,32,1,0.96578,4.079468
179,1982,1973,32,1,0.96574,4.079444
18,1982,1980,32,1,0.96574,4.079444
234,1982,1978,32,1,0.96572,4.079432
107,1982,1961,32,1,0.96568,4.079408
112,1982,1983,32,1,0.96566,4.079396
92,1982,1980,32,1,0.96565,4.07939
44,1982,1967,32,1,0.96553,4.079318
96,1982,1981,32,1,0.96548,4.079288
217,1982,1976,32,1,0.96545,4.07927
131,1982,1980,32,1,0.96544,4.079264
208,1982,1966,32,1,0.9654,4.07924
133,1982,1975,32,1,0.96526,4.079156
210,1982,1961,32,1,0.96526,4.079156
64,1982,1967,32,1,0.96521,4.0791260000000005
211,1982,1984,32,1,0.96518,4.079108
127,1982,1963,32,1,0.96492,4.078952
221,1982,1960,32,1,0.96471,4.078826
52,1982,1980,32,1,0.96459,4.078754
187,1982,1960,32,1,0.9644,4.07864
127,1982,1965,32,1,0.96436,4.078616
78,1982,1977,32,1,0.96436,4.078616
92,1982,1979,32,1,0.96435,4.07861
127,1982,1961,32,1,0.96425,4.07855
52,1982,1964,32,1,0.96424,4.078544
69,1982,1983,32,1,0.96414,4.0784839999999996
35,1982,1982,32,1,0.96377,4.078262
31,1982,1980,32,1,0.96376,4.078256
107,1982,1960,32,1,0.96376,4.078256
179,1982,1977,32,1,0.96347,4.078082
13,1982,1977,32,1,0.96346,4.078076
249,1982,1980,32,1,0.96326,4.077956
158,1982,1980,32,1,0.96305,4.07783
100,1982,1982,32,1,0.96299,4.077794
177,1982,1960,32,1,0.96291,4.077746
174,1982,1984,32,1,0.96284,4.077704
147,1982,1978,32,1,0.96273,4.077638
117,1982,1976,32,1,0.96255,4.07753
167,1982,1980,32,1,0.9625,4.0775
228,1982,1975,32,1,0.96247,4.077482
6,1982,1981,32,1,0.96223,4.077338
31,1982,1982,32,1,0.96217,4.0773019999999995
82,1982,1980,32,1,0.96217,4.0773019999999995
96,1982,1977,32,1,0.96215,4.07729
54,1982,1981,32,1,0.96211,4.077266
115,1982,1981,32,1,0.96196,4.077176
69,1982,1987,32,1,0.96194,4.077164
110,1982,1964,32,1,0.96186,4.077116
158,1982,1979,32,1,0.96174,4.077044
167,1982,1981,32,1,0.9616,4.07696
152,1982,1976,32,1,0.9616,4.07696
54,1982,1980,32,1,0.9616,4.07696
31,1982,1965,32,1,0.96153,4.076918
110,1982,1963,32,1,0.96151,4.076906
63,1982,1980,32,1,0.96148,4.076888
199,1982,1982,32,1,0.96146,4.076876
196,1982,1978,32,1,0.96144,4.076864
35,1982,1976,32,1,0.96125,4.07675
127,1982,1978,32,1,0.96117,4.076702
137,1982,1979,32,1,0.961,4.0766
26,1982,1985,32,1,0.96099,4.076594
45,1982,1964,32,1,0.96086,4.076516
173,1982,1979,32,1,0.96065,4.07639
195,1982,1983,32,1,0.96059,4.076354
158,1982,1981,32,1,0.96056,4.0763359999999995
33,1982,1977,32,1,0.96055,4.0763300000000005
238,1982,1967,32,1,0.96055,4.0763300000000005
40,1982,1976,32,1,0.96054,4.076324
206,1982,1980,32,1,0.96045,4.07627
43,1982,1979,32,1,0.96043,4.076258
54,1982,1982,32,1,0.96022,4.076132
84,1982,1977,32,1,0.96016,4.076096
232,1982,1981,32,1,0.96013,4.076078
52,1982,1965,32,1,0.96008,4.076048
158,1982,1982,32,1,0.95997,4.075982
54,1982,1979,32,1,0.95992,4.075952
45,1982,1985,32,1,0.95991,4.075946
56,1982,1977,32,1,0.95982,4.075892
100,1982,1974,32,1,0.95981,4.075886
170,1982,1987,32,1,0.95981,4.075886
43,1982,1978,32,1,0.95974,4.075844
165,1982,1978,32,1,0.9597,4.07582
64,1982,1965,32,1,0.95947,4.0756820000000005
48,1982,1966,32,1,0.95917,4.075502
171,1982,1980,32,1,0.95916,4.075496
25,1982,1982,32,1,0.95905,4.07543
167,1982,1979,32,1,0.95896,4.075376
13,1982,1978,32,1,0.95893,4.075358
16,1982,1969,32,1,0.95888,4.075328
17,1982,1980,32,1,0.95881,4.075286
228,1982,1978,32,1,0.95876,4.0752559999999995
44,1982,1980,32,1,0.95873,4.075238
23,1982,1979,32,1,0.95868,4.075208
119,1982,1987,32,1,0.95853,4.075118
91,1982,1991,32,1,0.95852,4.075112
195,1982,1980,32,1,0.95844,4.075064
242,1982,1978,32,1,0.95842,4.075052
92,1982,1975,32,1,0.95834,4.075004
132,1982,1981,32,1,0.95831,4.074986
52,1982,1984,32,1,0.95805,4.07483
43,1982,1980,32,1,0.95796,4.074776
217,1982,1967,32,1,0.95796,4.074776
149,1982,1976,32,1,0.95793,4.074758
131,1982,1964,32,1,0.95793,4.074758
33,1982,1981,32,1,0.95792,4.074752
110,1982,1962,32,1,0.95791,4.074746
5,1982,1974,32,1,0.9579,4.07474
29,1982,1962,32,1,0.95789,4.074734
6,1982,1983,32,1,0.95782,4.074692
180,1982,1978,32,1,0.9576,4.07456
31,1982,1967,32,1,0.95753,4.074518
