unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
2789585,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,129,122,17,0.95439,2007,"5.1,5.1,5.6,5.4,5.2,5.2,4.9,4.9,4.6,4.3,4.1,3.8,3.5,3.2,3.3,3.6,3.8",2007,"5.5,5.6,5.2,5.2,5.0,4.7,4.7,4.7,4.4,4.1,3.9,3.6,3.3,3.0,2.7,3.0,3.1",2023-12-16 05:31:39,Social Sector
4354425,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,129,122,17,0.964,2007,"7.0,7.2,7.6,7.7,7.8,7.6,7.9,8.2,8.5,8.8,9.1,9.0504107400165,9.0,8.880230904515388,9.0,9.1,9.2",2007,"5.5,5.6,5.6,5.7,6.1,6.4,6.7,7.0,7.3,7.6,8.1,7.8,8.1,8.282136433125421,8.2,8.1,7.9",2023-12-18 04:51:18,Human Rights Development
4829768,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,129,122,17,0.91185,2007,"5.0,5.0,5.0,5.3,4.9,5.2,5.5,5.8,6.1,6.4,6.7,7.0,6.7,6.4,6.1,5.8,5.9",2007,"5.4,6.0,6.5,6.7,6.8,6.5,6.8,7.1,7.4,7.7,8.0,8.286126448523195,8.0,7.827497444993677,7.5,7.6,7.5",2023-12-18 13:34:09,Human Rights Development
2279326,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,129,23,17,0.92447,2007,"6.1,5.8,5.9,6.4,6.8,6.9,7.0,6.8,7.1,7.3,7.1,7.199999999999999,6.9,6.6000000000000005,6.3,6.0,5.7",2007,"5.2,5.2,5.2,5.3,6.0,6.0,5.8,5.9,6.2,5.9,6.2,6.199977171518274,5.9,5.6000000000000005,5.3,5.0,5.2",2023-12-15 09:43:38,Social Sector
2789564,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,129,23,17,0.91544,2007,"5.1,5.1,5.6,5.4,5.2,5.2,4.9,4.9,4.6,4.3,4.1,3.8,3.5,3.2,3.3,3.6,3.8",2007,"4.0,4.0,4.1,4.2,3.9,3.6,3.6,3.6,3.9,3.6,3.4,3.1,2.8,2.9,2.6,2.5,2.6",2023-12-16 05:31:37,Social Sector
7425135,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,129,23,17,0.93116,2007,"7.5,7.5,7.8,8.0,8.3,8.0,7.7,7.6,7.3,7.0,6.8,6.5,6.2,5.9,5.6,5.3,5.0",2007,"6.6,6.6,6.7,7.0,7.3,7.0,7.3,7.6,7.1,6.8,6.6,6.3,6.0,5.777981320422433,5.5,5.2,4.9",2023-12-20 18:49:47,Sovereignty
2789560,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,129,122,16,0.95872,2007,"5.1,5.1,5.6,5.4,5.2,5.2,4.9,4.9,4.6,4.3,4.1,3.8,3.5,3.2,3.3,3.6",2008,"5.6,5.2,5.2,5.0,4.7,4.7,4.7,4.4,4.1,3.9,3.6,3.3,3.0,2.7,3.0,3.1",2023-12-16 05:31:37,Social Sector
4354409,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,129,122,16,0.9554,2007,"7.0,7.2,7.6,7.7,7.8,7.6,7.9,8.2,8.5,8.8,9.1,9.0504107400165,9.0,8.880230904515388,9.0,9.1",2008,"5.6,5.6,5.7,6.1,6.4,6.7,7.0,7.3,7.6,8.1,7.8,8.1,8.282136433125421,8.2,8.1,7.9",2023-12-18 04:51:17,Human Rights Development
4829739,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,129,122,16,0.93592,2007,"5.0,5.0,5.0,5.3,4.9,5.2,5.5,5.8,6.1,6.4,6.7,7.0,6.7,6.4,6.1,5.8",2008,"6.0,6.5,6.7,6.8,6.5,6.8,7.1,7.4,7.7,8.0,8.286126448523195,8.0,7.827497444993677,7.5,7.6,7.5",2023-12-18 13:34:07,Human Rights Development
2789559,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,129,122,16,0.95584,2007,"5.1,5.1,5.6,5.4,5.2,5.2,4.9,4.9,4.6,4.3,4.1,3.8,3.5,3.2,3.3,3.6",2007,"5.5,5.6,5.2,5.2,5.0,4.7,4.7,4.7,4.4,4.1,3.9,3.6,3.3,3.0,2.7,3.0",2023-12-16 05:31:37,Social Sector
