country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,overall_event_correlation_score,detailed_event_correlation_scores,country_a_id_fk,event_correlation_count,similar_event_year_a,similar_raw_event,similar_event_year_b
100,1990,1994,10,2,0.9153387804878048,1,2.149203268292683,['Unknown'],0.0,,12,0,,,
100,1990,1994,8,2,0.9168756097560976,1,1.9501253658536584,['Unknown'],0.0,,12,0,,,
45,1990,2007,5,2,0.9567307692307693,1,1.6740384615384616,['Unknown'],0.0,,12,0,,,
196,1990,2012,5,2,0.95165,1,1.6709900000000002,['Unknown'],0.0,,12,0,,,
163,1990,2002,5,2,0.9305049999999999,1,1.658303,['Unknown'],0.0,,12,0,,,
196,1990,2012,4,2,0.9827699999999999,1,1.589662,['Unknown'],0.0,,12,0,,,
43,1990,1997,4,2,0.9690369696969697,1,1.5814221818181817,['Unknown'],0.0,,12,0,,,
89,1990,1993,4,2,0.9645292682926828,1,1.5787175609756097,['Unknown'],0.0,,12,0,,,
100,1990,2015,4,2,0.9557300000000001,1,1.573438,['Unknown'],0.0,,12,0,,,
35,1990,1995,4,2,0.949099024390244,1,1.5694594146341463,['Unknown'],0.0,,12,0,,,
69,1990,1994,4,2,0.9477167741935484,1,1.568630064516129,['Unknown'],0.0,,12,0,,,
79,1990,1992,4,2,0.9461473684210526,1,1.5676884210526314,['Unknown'],0.0,,12,0,,,
45,1990,2007,4,2,0.9431123076923077,1,1.5658673846153845,['Unknown'],0.0,,12,0,,,
15,1990,1997,4,2,0.9372005263157894,1,1.5623203157894736,['Unknown'],0.0,,12,0,,,
64,1990,1997,4,2,0.91660075,1,1.54996045,['Unknown'],0.0,,12,0,,,
173,1990,2011,4,2,0.9057834146341462,1,1.5434700487804878,['Unknown'],0.0,,12,0,,,
183,1990,2008,3,2,0.999837894736842,1,1.4999027368421052,['Unknown'],0.0,,12,0,,,
103,1990,1994,3,2,0.9993893333333334,1,1.4996336000000001,['Unknown'],0.0,,12,0,,,
37,1990,1990,3,2,0.9986538461538461,1,1.4991923076923077,['Unknown'],0.0,,12,0,,,
48,1990,2011,3,2,0.9982748780487806,1,1.4989649268292684,['Unknown'],0.0,,12,0,,,
138,1990,2013,3,2,0.996210294117647,1,1.4977261764705883,['Unknown'],0.0,,12,0,,,
6,1990,2010,3,2,0.9950754545454547,1,1.4970452727272727,['Unknown'],0.0,,12,0,,,
167,1990,1994,3,2,0.9948331707317073,1,1.4968999024390244,['Unknown'],0.0,,12,0,,,
50,1990,2015,3,2,0.9946304999999999,1,1.4967783,['Unknown'],0.0,,12,0,,,
28,1990,2014,3,2,0.9941928571428571,1,1.4965157142857142,['Unknown'],0.0,,12,0,,,
94,1990,1996,3,2,0.9927440000000001,1,1.4956464,['Unknown'],0.0,,12,0,,,
42,1990,1994,3,2,0.9918782352941177,1,1.4951269411764705,['Unknown'],0.0,,12,0,,,
96,1990,1999,3,2,0.9917819512195122,1,1.4950691707317074,['Unknown'],0.0,,12,0,,,
211,1990,2012,3,2,0.9912243902439024,1,1.4947346341463414,['Unknown'],0.0,,12,0,,,
43,1990,2005,3,2,0.9906042424242424,1,1.4943625454545453,['Unknown'],0.0,,12,0,,,
91,1990,2012,3,2,0.9896600000000001,1,1.4937960000000001,['Unknown'],0.0,,12,0,,,
203,1990,1997,3,2,0.989585,1,1.493751,['Unknown'],0.0,,12,0,,,
131,1990,1995,3,2,0.9883848780487804,1,1.493030926829268,['Unknown'],0.0,,12,0,,,
1,1990,2016,3,2,0.98821375,1,1.4929282499999998,['Unknown'],0.0,,12,0,,,
103,1990,2011,3,2,0.9874566666666666,1,1.492474,['Unknown'],0.0,,12,0,,,
101,1990,2001,3,2,0.9870984615384615,1,1.492259076923077,['Unknown'],0.0,,12,0,,,
112,1990,1997,3,2,0.9869636111111111,1,1.4921781666666667,['Unknown'],0.0,,12,0,,,
100,1990,2015,3,2,0.9867656097560976,1,1.4920593658536587,['Unknown'],0.0,,12,0,,,
2,1990,2012,3,2,0.9863233333333332,1,1.491794,['Unknown'],0.0,,12,0,,,
220,1990,2018,3,2,0.9861336666666668,1,1.4916802000000002,['Unknown'],0.0,,12,0,,,
92,1990,2016,3,2,0.9854703703703704,1,1.4912822222222224,['Unknown'],0.0,,12,0,,,
196,1990,2012,3,2,0.985115,1,1.491069,['Unknown'],0.0,,12,0,,,
92,1990,1996,3,2,0.984782962962963,1,1.4908697777777777,['Unknown'],0.0,,12,0,,,
222,1990,2007,3,2,0.9846241666666667,1,1.4907745000000001,['Unknown'],0.0,,12,0,,,
169,1990,2014,3,2,0.9843488235294118,1,1.4906092941176472,['Unknown'],0.0,,12,0,,,
103,1990,1998,3,2,0.9842726666666667,1,1.4905636,['Unknown'],0.0,,12,0,,,
43,1990,1997,3,2,0.9834284848484848,1,1.4900570909090909,['Unknown'],0.0,,12,0,,,
169,1990,2011,3,2,0.9833623529411765,1,1.4900174117647058,['Unknown'],0.0,,12,0,,,
100,1990,1994,3,2,0.9831748780487805,1,1.4899049268292681,['Unknown'],0.0,,12,0,,,
80,1990,2010,3,2,0.9822378947368421,1,1.4893427368421053,['Unknown'],0.0,,12,0,,,
69,1990,2011,3,2,0.9816345161290322,1,1.4889807096774192,['Unknown'],0.0,,12,0,,,
42,1990,1996,3,2,0.9808029411764705,1,1.4884817647058823,['Unknown'],0.0,,12,0,,,
191,1990,2011,3,2,0.980345,1,1.488207,['Unknown'],0.0,,12,0,,,
