unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
80342750,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:02,Unknown
80342752,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:02,Unknown
80342754,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:03,Unknown
80342756,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:03,Unknown
80342758,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:03,Unknown
80342760,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:03,Unknown
80342762,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:03,Unknown
80342764,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:03,Unknown
80342766,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:03,Unknown
80342768,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:03,Unknown
80342770,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:04,Unknown
80342772,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:04,Unknown
80342774,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:04,Unknown
80342776,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:04,Unknown
80342778,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:04,Unknown
80342780,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:04,Unknown
80342782,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:04,Unknown
80342784,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:04,Unknown
80342786,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:05,Unknown
80342788,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:05,Unknown
80342790,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,100,10,0.90069,1990,"5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756",1994,"10.2479355556119,10.2248861637545,8.97715233826453,7.16425211462723,13.2308389767977,4.66982038037589,4.0094359104519,3.77929312235641,4.29715203929562,3.80585899528852",2024-04-06 12:03:05,Unknown
86529732,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,100,10,0.93072,1990,"3.96016524098612,2.88903747468842,3.15913340675828,2.3334767222092,1.48962721765101,1.97629230718668,1.43385017961099,1.66174039821275,0.678404591373222,-0.4392272976742",1994,"0.718742621391669,0.486405286338674,0.489232252713631,0.399271085229708,0.38510716923389,0.327452814765662,0.298524696387658,0.359411933030119,0.339832614035861,0.119514011657598",2024-04-15 12:40:03,Unknown
86529734,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,100,10,0.93072,1990,"3.96016524098612,2.88903747468842,3.15913340675828,2.3334767222092,1.48962721765101,1.97629230718668,1.43385017961099,1.66174039821275,0.678404591373222,-0.4392272976742",1994,"0.718742621391669,0.486405286338674,0.489232252713631,0.399271085229708,0.38510716923389,0.327452814765662,0.298524696387658,0.359411933030119,0.339832614035861,0.119514011657598",2024-04-15 12:40:04,Unknown
86529736,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,100,10,0.93072,1990,"3.96016524098612,2.88903747468842,3.15913340675828,2.3334767222092,1.48962721765101,1.97629230718668,1.43385017961099,1.66174039821275,0.678404591373222,-0.4392272976742",1994,"0.718742621391669,0.486405286338674,0.489232252713631,0.399271085229708,0.38510716923389,0.327452814765662,0.298524696387658,0.359411933030119,0.339832614035861,0.119514011657598",2024-04-15 12:40:04,Unknown
86529738,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,100,10,0.93072,1990,"3.96016524098612,2.88903747468842,3.15913340675828,2.3334767222092,1.48962721765101,1.97629230718668,1.43385017961099,1.66174039821275,0.678404591373222,-0.4392272976742",1994,"0.718742621391669,0.486405286338674,0.489232252713631,0.399271085229708,0.38510716923389,0.327452814765662,0.298524696387658,0.359411933030119,0.339832614035861,0.119514011657598",2024-04-15 12:40:04,Unknown
86529740,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,100,10,0.93072,1990,"3.96016524098612,2.88903747468842,3.15913340675828,2.3334767222092,1.48962721765101,1.97629230718668,1.43385017961099,1.66174039821275,0.678404591373222,-0.4392272976742",1994,"0.718742621391669,0.486405286338674,0.489232252713631,0.399271085229708,0.38510716923389,0.327452814765662,0.298524696387658,0.359411933030119,0.339832614035861,0.119514011657598",2024-04-15 12:40:04,Unknown
86529742,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,100,10,0.93072,1990,"3.96016524098612,2.88903747468842,3.15913340675828,2.3334767222092,1.48962721765101,1.97629230718668,1.43385017961099,1.66174039821275,0.678404591373222,-0.4392272976742",1994,"0.718742621391669,0.486405286338674,0.489232252713631,0.399271085229708,0.38510716923389,0.327452814765662,0.298524696387658,0.359411933030119,0.339832614035861,0.119514011657598",2024-04-15 12:40:04,Unknown
86529744,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,100,10,0.93072,1990,"3.96016524098612,2.88903747468842,3.15913340675828,2.3334767222092,1.48962721765101,1.97629230718668,1.43385017961099,1.66174039821275,0.678404591373222,-0.4392272976742",1994,"0.718742621391669,0.486405286338674,0.489232252713631,0.399271085229708,0.38510716923389,0.327452814765662,0.298524696387658,0.359411933030119,0.339832614035861,0.119514011657598",2024-04-15 12:40:04,Unknown
86529746,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,100,10,0.93072,1990,"3.96016524098612,2.88903747468842,3.15913340675828,2.3334767222092,1.48962721765101,1.97629230718668,1.43385017961099,1.66174039821275,0.678404591373222,-0.4392272976742",1994,"0.718742621391669,0.486405286338674,0.489232252713631,0.399271085229708,0.38510716923389,0.327452814765662,0.298524696387658,0.359411933030119,0.339832614035861,0.119514011657598",2024-04-15 12:40:05,Unknown
