country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,event_correlation_score,country_a_id_fk,event_correlation_count,similar_event_year_a,similar_raw_event,similar_event_year_b
217,2006,2007,15,5,0.9262539999999999,1,3.5557524,"['Sovereignty', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,133,0,,,
248,2006,2006,17,4,0.9497125,1,3.4698275,"['Sovereignty', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,133,0,,,
217,2006,2007,14,5,0.936386,1,3.4618316000000005,"['Sovereignty', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,133,0,,,
84,2006,2006,14,5,0.928676,1,3.4572056000000004,"['Political State Sector', 'Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,133,0,,,
84,2006,2007,14,5,0.926118,1,3.4556708000000005,"['Political State Sector', 'Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,133,0,,,
126,2000,2001,22,2,0.95244,1,3.3714640000000005,['Military Sector'],0,133,0,,,
248,2006,2006,16,4,0.949695,1,3.369817,"['Sovereignty', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,133,0,,,
84,2006,2007,13,5,0.941042,1,3.3646252,"['Political State Sector', 'Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,133,0,,,
35,2000,2004,19,3,0.9360400000000001,1,3.361624,['Military Sector'],0,133,0,,,
217,2006,2007,13,5,0.935304,1,3.3611823999999997,"['Sovereignty', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,133,0,,,
84,2006,2006,13,5,0.929762,1,3.3578571999999998,"['Political State Sector', 'Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,133,0,,,
152,2000,2000,21,2,0.9771618181818181,2,3.286297090909091,"['Military Sector', 'Unknown']",0,133,0,,,
126,2000,2002,21,2,0.953145,1,3.2718870000000004,['Military Sector'],0,133,0,,,
126,2000,2001,21,2,0.94902,1,3.269412,['Military Sector'],0,133,0,,,
248,2006,2006,15,4,0.946815,1,3.2680890000000002,"['Sovereignty', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,133,0,,,
35,2000,2002,21,2,0.94394,1,3.2663640000000003,['Military Sector'],0,133,0,,,
84,2006,2006,15,4,0.9303250000000001,1,3.258195,"['Sovereignty', 'Finance Economy Sector', 'Social Sector']",0,133,0,,,
217,2006,2007,12,5,0.9296960000000001,1,3.2578176,"['Sovereignty', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,133,0,,,
84,2006,2006,12,5,0.9228099999999999,1,3.253686,"['Political State Sector', 'Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,133,0,,,
248,2006,2007,15,4,0.9224125,1,3.2534475,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Sovereignty']",0,133,0,,,
126,2000,2001,20,2,0.9452400000000001,1,3.167144,['Military Sector'],0,133,0,,,
35,2000,2003,20,2,0.941765,1,3.1650590000000003,['Military Sector'],0,133,0,,,
126,2000,2002,20,2,0.94151,1,3.164906,['Military Sector'],0,133,0,,,
248,2006,2006,14,4,0.94064,1,3.164384,"['Sovereignty', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,133,0,,,
148,2006,2007,17,3,0.9332966666666667,1,3.159978,"['Sovereignty', 'Finance Economy Sector', 'Social Sector']",0,133,0,,,
35,2000,2002,20,2,0.931485,1,3.158891,['Military Sector'],0,133,0,,,
148,2006,2006,17,3,0.9303833333333333,1,3.15823,"['Sovereignty', 'Finance Economy Sector', 'Social Sector']",0,133,0,,,
248,2006,2007,14,4,0.9238175,1,3.1542905,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Sovereignty']",0,133,0,,,
84,2006,2006,11,5,0.91936,1,3.151616,"['Political State Sector', 'Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,133,0,,,
236,2006,2006,17,3,0.9188766666666667,1,3.151326,['Social Sector'],0,133,0,,,
