unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
2174446,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,137,138,17,0.9184,2006,"7.6,7.4,7.2,7.9,7.9,7.9,7.7,7.8,7.7,7.4,7.1,6.9,6.6000000000000005,6.3,6.6,6.3,6.0",2007,"3.5,3.5,3.6,3.7,3.6,3.6,3.3,3.1,2.8,2.5,2.3,2.0,1.7,1.5039479205735793,1.2,1.1,1.0",2023-12-15 07:44:49,Social Sector
4732125,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,137,138,17,0.90154,2006,"5.0,5.0,5.0,5.0,5.2,5.5,5.4,5.7,6.0,6.3,6.6,6.9,7.2,6.9,6.6000000000000005,6.5,6.2",2007,"2.1,2.1,2.4,2.6,3.0,3.3,3.6,3.9,4.2,4.1,4.4,4.604406459498729,4.3,4.26089737788501,4.2,4.1,4.2",2023-12-18 11:43:44,Human Rights Development
7312367,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,137,138,17,0.93993,2006,"6.7,6.7,7.3,7.3,7.6,7.9,7.6,7.9,8.2,8.5,8.2,8.0,7.7,7.4,7.1000000000000005,6.8,6.5",2007,"2.8,2.8,3.2,3.6,4.0,4.3,4.6,4.9,5.2,4.9,4.7,4.4,4.1,3.8,3.5,3.2,2.9",2023-12-20 16:48:13,Sovereignty
2406954,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,137,124,16,0.90609,2006,"7.9,7.9,7.6,8.0,7.9,7.9,8.1,8.2,8.5,8.8,8.8,8.8,8.8,8.8,8.8,8.8",2008,"7.0,7.1,7.1,7.0,8.0,8.0,8.1,9.1,9.4,9.4,9.4,9.7,9.7,9.4,9.1,9.3",2023-12-15 12:17:31,Social Sector
5133004,The Fund For Peace,Fragile State Index,P1: State Legitimacy,2023,137,124,16,0.91133,2006,"7.1,6.8,6.6,7.0,7.5,7.3,7.6,7.7,7.4,7.9,8.2,8.0,8.155497785600774,8.3,8.0,7.9",2008,"7.4,7.1,7.3,7.3,8.1,8.4,8.5,9.8,9.5,9.5,9.8,9.7,9.793718492361826,9.9,9.4,9.6",2023-12-18 19:16:12,Political State Sector
6835518,The Fund For Peace,Fragile State Index,S2: Refugees and IDPs,2023,137,124,16,0.9449,2006,"5.9,6.2,6.2,6.2,6.4,6.8,6.5,8.3,8.8,8.5,8.2,8.0,7.7,7.4,7.6,7.9",2008,"4.0,4.2,4.3,4.6,5.1,5.4,5.7,7.4,8.0,8.3,8.0,7.7,8.0,7.7,7.4,7.5",2023-12-20 07:42:03,Social Sector
2174411,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,137,138,16,0.90189,2006,"7.6,7.4,7.2,7.9,7.9,7.9,7.7,7.8,7.7,7.4,7.1,6.9,6.6000000000000005,6.3,6.6,6.3",2007,"3.5,3.5,3.6,3.7,3.6,3.6,3.3,3.1,2.8,2.5,2.3,2.0,1.7,1.5039479205735793,1.2,1.1",2023-12-15 07:44:47,Social Sector
4732091,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,137,138,16,0.90391,2006,"5.0,5.0,5.0,5.0,5.2,5.5,5.4,5.7,6.0,6.3,6.6,6.9,7.2,6.9,6.6000000000000005,6.5",2007,"2.1,2.1,2.4,2.6,3.0,3.3,3.6,3.9,4.2,4.1,4.4,4.604406459498729,4.3,4.26089737788501,4.2,4.1",2023-12-18 11:43:41,Human Rights Development
7312363,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,137,138,16,0.9352,2006,"6.7,6.7,7.3,7.3,7.6,7.9,7.6,7.9,8.2,8.5,8.2,8.0,7.7,7.4,7.1000000000000005,6.8",2007,"2.8,2.8,3.2,3.6,4.0,4.3,4.6,4.9,5.2,4.9,4.7,4.4,4.1,3.8,3.5,3.2",2023-12-20 16:48:12,Sovereignty
2406907,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,137,124,15,0.90402,2006,"7.9,7.9,7.6,8.0,7.9,7.9,8.1,8.2,8.5,8.8,8.8,8.8,8.8,8.8,8.8",2008,"7.0,7.1,7.1,7.0,8.0,8.0,8.1,9.1,9.4,9.4,9.4,9.7,9.7,9.4,9.1",2023-12-15 12:17:27,Social Sector
5132995,The Fund For Peace,Fragile State Index,P1: State Legitimacy,2023,137,124,15,0.90916,2006,"7.1,6.8,6.6,7.0,7.5,7.3,7.6,7.7,7.4,7.9,8.2,8.0,8.155497785600774,8.3,8.0",2008,"7.4,7.1,7.3,7.3,8.1,8.4,8.5,9.8,9.5,9.5,9.8,9.7,9.793718492361826,9.9,9.4",2023-12-18 19:16:11,Political State Sector
6835503,The Fund For Peace,Fragile State Index,S2: Refugees and IDPs,2023,137,124,15,0.94325,2006,"5.9,6.2,6.2,6.2,6.4,6.8,6.5,8.3,8.8,8.5,8.2,8.0,7.7,7.4,7.6",2008,"4.0,4.2,4.3,4.6,5.1,5.4,5.7,7.4,8.0,8.3,8.0,7.7,8.0,7.7,7.4",2023-12-20 07:42:01,Social Sector
2174460,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,137,66,17,0.95811,2006,"7.6,7.4,7.2,7.9,7.9,7.9,7.7,7.8,7.7,7.4,7.1,6.9,6.6000000000000005,6.3,6.6,6.3,6.0",2007,"7.5,7.5,7.4,7.6,7.7,7.8,7.5,7.6,7.7,7.4,7.2,6.9,6.6,6.4854309467181,6.2,5.9,6.0",2023-12-15 07:44:50,Social Sector
