country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,country_a_id_fk
156,1990,1990,30,5,0.9751632203389831,1,5.085097932203389,13
156,1990,1990,32,4,0.9872825000000001,1,4.992369500000001,13
156,1990,1991,32,4,0.9860285416666666,1,4.991617125,13
21,1990,1990,32,4,0.9853860416666667,1,4.991231625,13
21,1990,1991,32,4,0.9839872916666667,1,4.990392375000001,13
44,1990,1990,32,4,0.9836764583333334,1,4.990205875,13
40,1990,1990,32,4,0.9832381250000001,1,4.9899428750000006,13
215,1990,1991,32,4,0.9822108333333334,1,4.989326500000001,13
235,1990,1991,32,4,0.9812391666666667,1,4.9887435,13
235,1990,1990,32,4,0.9812212499999999,1,4.9887327500000005,13
40,1990,1991,32,4,0.9808139583333334,1,4.988488375,13
74,1990,1990,32,4,0.97924,1,4.987544000000001,13
74,1990,1991,32,4,0.9754497916666667,1,4.985269875,13
215,1990,1990,32,4,0.9750054166666667,1,4.98500325,13
156,1990,1990,29,5,0.9730971186440678,1,4.983858271186441,13
40,1990,1991,29,5,0.9705438983050848,1,4.982326338983051,13
81,1990,1991,32,4,0.9669572916666667,1,4.980174375000001,13
236,1990,1990,32,4,0.9634075000000001,1,4.9780445,13
153,1990,1991,32,4,0.9536822916666666,1,4.972209375,13
153,1990,1990,32,4,0.9518989583333334,1,4.971139375,13
73,1990,1991,32,4,0.9416129166666667,1,4.9649677500000005,13
73,1990,1990,32,4,0.9348683333333333,1,4.960921000000001,13
215,1990,1992,31,4,0.9869606249999999,1,4.892176375,13
156,1990,1990,31,4,0.9868229166666667,1,4.89209375,13
156,1990,1991,31,4,0.9850914583333333,1,4.891054875,13
44,1990,1990,31,4,0.985065625,1,4.891039375,13
21,1990,1990,31,4,0.9848252083333334,1,4.890895125,13
21,1990,1991,31,4,0.9837939583333334,1,4.890276375,13
21,1990,1992,31,4,0.9830620833333333,1,4.889837249999999,13
156,1990,1992,31,4,0.9824735416666667,1,4.889484125,13
40,1990,1990,31,4,0.9823512499999999,1,4.88941075,13
235,1990,1991,31,4,0.9818741666666667,1,4.889124499999999,13
215,1990,1991,31,4,0.9815058333333333,1,4.8889035,13
235,1990,1990,31,4,0.9814172916666667,1,4.888850375,13
40,1990,1991,31,4,0.9801341666666666,1,4.8880805,13
235,1990,1992,31,4,0.9794675,1,4.8876805,13
74,1990,1990,31,4,0.9785429166666667,1,4.88712575,13
74,1990,1991,31,4,0.9754495833333334,1,4.88526975,13
74,1990,1992,31,4,0.9735566666666666,1,4.8841339999999995,13
215,1990,1990,31,4,0.9732077083333333,1,4.883924625,13
156,1990,1990,28,5,0.971474406779661,1,4.882884644067797,13
40,1990,1991,28,5,0.9686622033898306,1,4.881197322033899,13
236,1990,1990,31,4,0.9641154166666666,1,4.87846925,13
81,1990,1991,31,4,0.9637372916666666,1,4.878242374999999,13
81,1990,1992,31,4,0.9637235416666666,1,4.878234125,13
236,1990,1991,31,4,0.9572620833333333,1,4.87435725,13
153,1990,1992,31,4,0.9524316666666666,1,4.871459,13
153,1990,1991,31,4,0.9496714583333333,1,4.8698028749999995,13
153,1990,1990,31,4,0.9474560416666665,1,4.868473625,13
73,1990,1992,31,4,0.938048125,1,4.862828875,13
73,1990,1991,31,4,0.9368172916666667,1,4.862090375,13
73,1990,1990,31,4,0.9290908333333333,1,4.857454499999999,13
215,1990,1993,30,4,0.9894735416666668,1,4.793684125,13
44,1990,1990,30,4,0.988384375,1,4.793030625,13
215,1990,1992,30,4,0.98683,1,4.792098,13
156,1990,1991,30,4,0.9846314583333333,1,4.790778875,13
21,1990,1990,30,4,0.984584375,1,4.790750625,13
21,1990,1991,30,4,0.98302875,1,4.7898172500000005,13
21,1990,1992,30,4,0.982635,1,4.789581,13
235,1990,1991,30,4,0.9822141666666666,1,4.7893285,13
21,1990,1993,30,4,0.9821322916666667,1,4.7892793750000004,13
156,1990,1992,30,4,0.9813714583333333,1,4.788822875,13
74,1990,1990,30,4,0.9804966666666667,1,4.788298,13
235,1990,1990,30,4,0.9804420833333333,1,4.78826525,13
215,1990,1991,30,4,0.98043625,1,4.78826175,13
156,1990,1993,30,4,0.9801131249999999,1,4.788067875,13
235,1990,1992,30,4,0.9800935416666666,1,4.788056125,13
40,1990,1990,30,4,0.9798066666666667,1,4.787884,13
40,1990,1991,30,4,0.9794412499999999,1,4.78766475,13
40,1990,1992,30,4,0.9766120833333333,1,4.785967250000001,13
235,1990,1993,30,4,0.975905,1,4.7855430000000005,13
74,1990,1991,30,4,0.9743016666666667,1,4.784581,13
40,1990,1993,27,5,0.9738092,1,4.78428552,13
74,1990,1992,30,4,0.9732556250000001,1,4.783953375,13
74,1990,1993,30,4,0.9730039583333334,1,4.7838023750000005,13
156,1990,1990,27,5,0.9712635593220339,1,4.7827581355932205,13
106,1990,1996,27,5,0.9711601960784314,1,4.782696117647059,13
215,1990,1990,30,4,0.970795625,1,4.782477375,13
40,1990,1991,27,5,0.9672938983050847,1,4.780376338983051,13
236,1990,1990,30,4,0.9647941666666666,1,4.7788765,13
81,1990,1991,30,4,0.9627966666666666,1,4.777678,13
81,1990,1993,30,4,0.9627447916666667,1,4.777646875,13
81,1990,1992,30,4,0.9600591666666666,1,4.7760355,13
236,1990,1991,30,4,0.957753125,1,4.774651875,13
153,1990,1993,30,4,0.95136125,1,4.77081675,13
236,1990,1992,30,4,0.9511860416666665,1,4.770711625000001,13
153,1990,1992,30,4,0.9482143749999999,1,4.768928625,13
153,1990,1990,30,4,0.9453310416666666,1,4.767198625,13
153,1990,1991,30,4,0.9447662499999999,1,4.76685975,13
57,1990,1993,30,4,0.9441163829787235,1,4.766469829787234,13
98,1990,1993,30,4,0.9401745454545455,1,4.764104727272727,13
73,1990,1993,30,4,0.9326914583333333,1,4.7596148750000005,13
215,1990,1994,29,4,0.9900527083333334,1,4.694031625000001,13
215,1990,1993,29,4,0.9887800000000001,1,4.693268000000001,13
44,1990,1991,29,4,0.9881612500000001,1,4.692896750000001,13
44,1990,1990,29,4,0.9880177083333334,1,4.692810625000001,13
81,1990,1990,32,3,0.9875126666666667,1,4.6925076,13
216,1990,1990,32,3,0.9857653333333334,1,4.6914592,13
215,1990,1992,29,4,0.98552875,1,4.691317250000001,13
