unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
2422319,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,145,57,16,0.91059,2007,"6.0,6.0,6.0,5.9,6.2,6.2,6.2,6.3,6.3,6.5,6.5,6.5,6.5,6.5,6.5,6.5",2006,"3.5,3.5,3.5,3.3,3.3,3.8,3.8,4.2,4.3,4.3,5.0,5.0,5.3,5.3,5.3,5.3",2023-12-15 12:36:40,Social Sector
2756008,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,145,57,16,0.90812,2007,"5.8,6.1,6.4,6.6,6.4,6.5,6.5,7.0,7.3,7.6,7.9,8.200000000000001,8.5,9.0,9.1,9.2",2006,"3.2,3.2,3.2,3.6,3.4,3.8,3.5,3.8,3.8,3.8,5.0,4.8,5.1,4.8,4.9,4.6",2023-12-16 04:54:34,Social Sector
4290813,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,145,57,16,0.91195,2007,"4.3,4.3,4.6,4.4,4.1,3.8,3.5,3.2,2.9,2.6,2.4,2.1,1.8,1.5370531926225364,2.0,2.3",2006,"4.0,3.9,3.9,4.3,4.1,3.8,3.5,3.8,3.5,3.2,2.9,2.7,2.4000000000000004,2.1,1.8,2.0",2023-12-18 03:44:33,Human Rights Development
6033961,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,145,57,16,0.92158,2007,"5.6,5.6,5.5,5.3,5.0,4.7,4.4,4.5,4.2,4.1,4.1,3.864883240006903,3.7,3.691137161451357,3.4,3.2",2006,"3.0,3.5,3.5,3.5,3.3,3.0,2.7,2.4,2.4,2.1,2.6,2.4,2.247601456270883,2.2,2.090138975819589,2.0",2023-12-19 14:26:28,Human Rights Development
6517274,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,145,57,16,0.90864,2007,"5.4,5.4,5.1,4.9,4.5,4.2,3.9,3.6,3.3,3.0,2.8,2.5,2.2,1.9,3.9,4.4",2006,"4.0,4.0,3.8,3.5,3.3,3.0,2.8,2.5,2.4,1.9,1.6,1.4,1.1,1.0,0.9419068691335468,3.0",2023-12-20 00:10:47,Social Sector
2422269,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,145,57,15,0.90589,2007,"6.0,6.0,6.0,5.9,6.2,6.2,6.2,6.3,6.3,6.5,6.5,6.5,6.5,6.5,6.5",2006,"3.5,3.5,3.5,3.3,3.3,3.8,3.8,4.2,4.3,4.3,5.0,5.0,5.3,5.3,5.3",2023-12-15 12:36:37,Social Sector
2755959,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,145,57,15,0.92409,2007,"5.8,6.1,6.4,6.6,6.4,6.5,6.5,7.0,7.3,7.6,7.9,8.200000000000001,8.5,9.0,9.1",2006,"3.2,3.2,3.2,3.6,3.4,3.8,3.5,3.8,3.8,3.8,5.0,4.8,5.1,4.8,4.9",2023-12-16 04:54:30,Social Sector
4290474,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,145,57,15,0.92514,2007,"4.3,4.3,4.6,4.4,4.1,3.8,3.5,3.2,2.9,2.6,2.4,2.1,1.8,1.5370531926225364,2.0",2006,"4.0,3.9,3.9,4.3,4.1,3.8,3.5,3.8,3.5,3.2,2.9,2.7,2.4000000000000004,2.1,1.8",2023-12-18 03:44:13,Human Rights Development
6033816,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,145,57,15,0.9128,2007,"5.6,5.6,5.5,5.3,5.0,4.7,4.4,4.5,4.2,4.1,4.1,3.864883240006903,3.7,3.691137161451357,3.4",2006,"3.0,3.5,3.5,3.5,3.3,3.0,2.7,2.4,2.4,2.1,2.6,2.4,2.247601456270883,2.2,2.090138975819589",2023-12-19 14:26:20,Human Rights Development
6517202,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,145,57,15,0.90726,2007,"5.4,5.4,5.1,4.9,4.5,4.2,3.9,3.6,3.3,3.0,2.8,2.5,2.2,1.9,3.9",2006,"4.0,4.0,3.8,3.5,3.3,3.0,2.8,2.5,2.4,1.9,1.6,1.4,1.1,1.0,0.9419068691335468",2023-12-20 00:10:43,Social Sector
2422344,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,145,163,17,0.96444,2007,"6.0,6.0,6.0,5.9,6.2,6.2,6.2,6.3,6.3,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5",2007,"6.4,6.6,6.7,6.5,6.7,6.7,7.0,7.0,7.0,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3",2023-12-15 12:36:42,Social Sector
4291001,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,145,163,17,0.95896,2007,"4.3,4.3,4.6,4.4,4.1,3.8,3.5,3.2,2.9,2.6,2.4,2.1,1.8,1.5370531926225364,2.0,2.3,2.4",2007,"7.4,7.4,7.3,7.1,6.8,6.5,6.2,5.9,5.6,5.4,5.2,4.9,4.9,4.6000000000000005,4.5,4.4,4.3",2023-12-18 03:44:45,Human Rights Development
6034046,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,145,163,17,0.98674,2007,"5.6,5.6,5.5,5.3,5.0,4.7,4.4,4.5,4.2,4.1,4.1,3.864883240006903,3.7,3.691137161451357,3.4,3.2,2.9",2007,"5.3,5.3,5.3,5.1,5.0,4.6,4.3,4.2,3.9,4.0,3.8,3.5,3.2,2.9000000000000004,3.0,2.7,2.4",2023-12-19 14:26:33,Human Rights Development
6517299,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,145,163,17,0.99228,2007,"5.4,5.4,5.1,4.9,4.5,4.2,3.9,3.6,3.3,3.0,2.8,2.5,2.2,1.9,3.9,4.4,4.1",2007,"5.4,5.4,5.0,4.8,4.5,4.2,3.9,3.8,3.3,3.0,3.3,2.8,2.5,2.2,4.2,4.5,4.2",2023-12-20 00:10:49,Social Sector
2422359,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,145,57,17,0.97532,2007,"6.0,6.0,6.0,5.9,6.2,6.2,6.2,6.3,6.3,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5",2007,"3.5,3.5,3.3,3.3,3.8,3.8,4.2,4.3,4.3,5.0,5.0,5.3,5.3,5.3,5.3,5.3,5.3",2023-12-15 12:36:43,Social Sector
4291050,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,145,57,17,0.94951,2007,"4.3,4.3,4.6,4.4,4.1,3.8,3.5,3.2,2.9,2.6,2.4,2.1,1.8,1.5370531926225364,2.0,2.3,2.4",2007,"3.9,3.9,4.3,4.1,3.8,3.5,3.8,3.5,3.2,2.9,2.7,2.4000000000000004,2.1,1.8,2.0,1.9,1.9",2023-12-18 03:44:48,Human Rights Development
6034068,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,145,57,17,0.95281,2007,"5.6,5.6,5.5,5.3,5.0,4.7,4.4,4.5,4.2,4.1,4.1,3.864883240006903,3.7,3.691137161451357,3.4,3.2,2.9",2007,"3.5,3.5,3.5,3.3,3.0,2.7,2.4,2.4,2.1,2.6,2.4,2.247601456270883,2.2,2.090138975819589,2.0,2.0,1.9",2023-12-19 14:26:35,Human Rights Development
6517311,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,145,57,17,0.97393,2007,"5.4,5.4,5.1,4.9,4.5,4.2,3.9,3.6,3.3,3.0,2.8,2.5,2.2,1.9,3.9,4.4,4.1",2007,"4.0,3.8,3.5,3.3,3.0,2.8,2.5,2.4,1.9,1.6,1.4,1.1,1.0,0.9419068691335468,3.0,3.5,3.2",2023-12-20 00:10:50,Social Sector
2422210,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,145,57,14,0.97209,2007,"6.0,6.0,6.0,5.9,6.2,6.2,6.2,6.3,6.3,6.5,6.5,6.5,6.5,6.5",2007,"3.5,3.5,3.3,3.3,3.8,3.8,4.2,4.3,4.3,5.0,5.0,5.3,5.3,5.3",2023-12-15 12:36:33,Social Sector
