unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
2330676,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,153,81,15,0.901,2006,"1.0,1.0,1.0,1.4,1.7,2.4,2.4,2.6,2.6,2.6,3.1,3.1,3.4,3.4,3.4",2006,"1.8,1.8,1.8,1.8,2.0,2.1,2.1,2.0,2.0,2.0,2.3,2.3,2.6,2.6,2.6",2023-12-15 10:45:32
3415004,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,153,81,15,0.96226,2006,"4.0,4.0,3.7,3.3,3.2,2.9,2.6,2.3,2.4,2.7,2.4,2.2,1.9,1.6,1.3",2006,"6.2,5.5,5.3,4.9,4.7,4.4,4.1,3.9,3.6,3.3,3.0,2.8,2.7,2.4,2.1",2023-12-16 17:10:26
6649800,The Fund For Peace,Fragile State Index,S2: Refugees and IDPs,2023,153,81,15,0.92126,2006,"4.1,4.0,3.0,3.1,3.2,3.0,2.7,2.4,2.4,2.1,4.0,3.8,3.5,3.2,2.9000000000000004",2006,"5.0,4.8,4.3,3.9,4.0,4.2,3.9,3.6,3.3,3.0,5.7,5.4,4.9,4.6,4.3",2023-12-20 04:04:02
7064396,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,153,81,15,0.94679,2006,"2.0,2.0,2.0,2.0,2.4,2.1,1.8,1.5,1.6,1.2,0.9,1.2,1.2,1.0,0.7",2006,"2.1,2.1,2.1,2.4,2.2,2.0,1.7,1.4,1.6,1.3,1.0,1.0,0.7,0.7,0.5",2023-12-20 12:05:03
2330639,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,153,181,15,0.90105,2006,"1.0,1.0,1.0,1.4,1.7,2.4,2.4,2.6,2.6,2.6,3.1,3.1,3.4,3.4,3.4",2006,"4.1,4.5,4.7,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.4,5.4,5.7,5.7,5.7",2023-12-15 10:45:30
3414905,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,153,181,15,0.91238,2006,"4.0,4.0,3.7,3.3,3.2,2.9,2.6,2.3,2.4,2.7,2.4,2.2,1.9,1.6,1.3",2006,"6.0,6.1,6.1,5.8,5.6,5.8,5.6,5.3,5.0,4.7,4.4,4.2,3.9,3.6,3.3000000000000003",2023-12-16 17:10:19
5726479,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,153,181,15,0.92852,2006,"1.5,1.4,1.4,1.2,1.3,1.0,1.3,1.0,1.2,1.0,1.1,1.0,1.0,1.0,0.888005066085088",2006,"4.8,4.8,4.8,4.5,4.3,4.0,4.2,3.9,4.2,3.9,3.9,3.7,3.767890457178681,3.5,3.274493281444065",2023-12-19 08:03:04
7064378,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,153,181,15,0.90861,2006,"2.0,2.0,2.0,2.0,2.4,2.1,1.8,1.5,1.6,1.2,0.9,1.2,1.2,1.0,0.7",2006,"5.5,5.4,5.4,5.5,5.5,5.2,4.9,4.6,4.3,4.1,3.8,3.6,3.3000000000000003,3.6,3.9",2023-12-20 12:05:02
1957127,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,153,13,17,0.93683,2006,"1.0,1.0,1.0,1.0,1.1,1.4,1.7,1.8,2.1,1.8,1.7,1.5,1.8,2.1,2.4,2.2,2.1",2006,"1.0,0.9,0.9,1.0,1.4,1.7,2.0,1.7,2.0,2.1,1.8,2.1,2.4,2.7,3.0,2.7,2.4",2023-12-15 03:33:23
2330803,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,153,13,17,0.96937,2006,"1.0,1.0,1.0,1.4,1.7,2.4,2.4,2.6,2.6,2.6,3.1,3.1,3.4,3.4,3.4,3.4,3.4",2006,"1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7",2023-12-15 10:45:40
3415468,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,153,13,17,0.93714,2006,"4.0,4.0,3.7,3.3,3.2,2.9,2.6,2.3,2.4,2.7,2.4,2.2,1.9,1.6,1.3,1.6,1.7",2006,"4.5,4.4,4.4,4.4,4.2,3.9,3.6,3.3,3.0,2.7,2.4,2.2,1.9,1.6,1.546408857575207,1.8,2.3",2023-12-16 17:10:53
2508004,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,153,81,17,0.91607,2006,"4.8,4.8,4.9,4.7,4.7,4.4,4.1,4.1,4.1,3.9,4.4,4.5,4.5,4.2,3.9,3.6,3.3",2006,"4.9,4.9,4.9,4.9,4.7,4.7,4.4,4.3,4.3,4.6,4.8,5.0,4.9,4.6,4.3,4.0,3.7",2023-12-15 14:17:58
3415485,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,153,81,17,0.96752,2006,"4.0,4.0,3.7,3.3,3.2,2.9,2.6,2.3,2.4,2.7,2.4,2.2,1.9,1.6,1.3,1.6,1.7",2006,"6.2,5.5,5.3,4.9,4.7,4.4,4.1,3.9,3.6,3.3,3.0,2.8,2.7,2.4,2.1,2.5,2.4",2023-12-16 17:10:54
7064515,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,153,81,17,0.95854,2006,"2.0,2.0,2.0,2.0,2.4,2.1,1.8,1.5,1.6,1.2,0.9,1.2,1.2,1.0,0.7,0.5,0.3",2006,"2.1,2.1,2.1,2.4,2.2,2.0,1.7,1.4,1.6,1.3,1.0,1.0,0.7,0.7,0.5,0.5,0.3",2023-12-20 12:05:08
