country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,Power
147,2006,2007,17,3,0.9334866666666667,3.160092
147,2006,2007,14,4,0.9288225,3.1572935
96,2006,2007,17,3,0.9258633333333334,3.155518
54,2006,2006,17,3,0.92448,3.154688
147,2006,2007,16,3,0.9323633333333333,3.059418
54,2006,2006,16,3,0.9286066666666667,3.057164
147,2006,2007,13,4,0.9285825,3.0571495
96,2006,2007,16,3,0.9203066666666667,3.052184
96,2006,2006,16,3,0.9186966666666666,3.051218
147,2006,2007,15,3,0.93213,2.959278
147,2006,2006,15,3,0.9320400000000001,2.959224
96,2006,2007,15,3,0.92123,2.952738
96,2006,2006,17,2,0.93662,2.861972
25,2006,2007,17,2,0.934315,2.860589
220,2006,2007,17,2,0.93424,2.860544
147,2006,2006,14,3,0.93207,2.8592419999999996
15,2006,2006,17,2,0.92967,2.8578020000000004
197,2006,2006,17,2,0.929415,2.8576490000000003
147,2006,2006,17,2,0.9290050000000001,2.857403
96,2006,2007,14,3,0.9282533333333333,2.8569519999999997
119,2006,2007,17,2,0.91875,2.8512500000000003
183,2006,2007,17,2,0.91806,2.850836
119,2006,2006,17,2,0.91769,2.850614
15,2006,2006,14,3,0.91633,2.849798
25,2006,2008,14,3,0.91539,2.849234
3,2006,2007,17,2,0.9153800000000001,2.849228
120,2006,2007,17,2,0.913235,2.8479410000000005
222,2006,2007,17,2,0.90513,2.843078
195,2006,2006,17,2,0.90381,2.842286
54,2006,2006,13,3,0.9414899999999999,2.764894
220,2006,2007,16,2,0.939085,2.763451
25,2006,2007,16,2,0.938735,2.7632410000000003
220,2006,2008,16,2,0.9359249999999999,2.761555
220,2006,2009,13,3,0.9344566666666667,2.7606740000000003
197,2006,2006,16,2,0.9299599999999999,2.757976
15,2006,2006,16,2,0.9297850000000001,2.757871
147,2006,2006,16,2,0.9290849999999999,2.757451
158,2006,2008,16,2,0.928075,2.756845
147,2006,2006,13,3,0.9276566666666667,2.756594
183,2006,2007,16,2,0.9259,2.75554
204,2006,2009,13,3,0.9240766666666667,2.754446
243,2006,2011,13,3,0.9236766666666667,2.754206
229,2006,2006,16,2,0.923365,2.754019
119,2006,2006,16,2,0.9232499999999999,2.75395
211,2006,2010,13,3,0.9228166666666667,2.75369
101,2006,2007,13,3,0.9209900000000001,2.752594
195,2006,2006,16,2,0.91867,2.751202
119,2006,2007,16,2,0.918605,2.751163
15,2006,2007,13,3,0.9173033333333334,2.750382
120,2006,2007,16,2,0.915435,2.749261
239,2006,2008,16,2,0.910785,2.746471
222,2006,2007,16,2,0.903335,2.742001
158,2006,2009,15,2,0.9478949999999999,2.668737
220,2006,2008,15,2,0.947425,2.668455
220,2006,2007,15,2,0.945065,2.667039
170,2006,2006,15,2,0.944645,2.6667870000000002
158,2006,2008,15,2,0.944405,2.666643
25,2006,2007,15,2,0.94391,2.666346
54,2006,2006,15,2,0.9416100000000001,2.664966
147,2006,2007,12,3,0.9308966666666666,2.658538
15,2006,2006,15,2,0.9302699999999999,2.658162
54,2006,2006,12,3,0.9295533333333333,2.657732
102,2006,2006,15,2,0.9293199999999999,2.657592
204,2006,2009,12,3,0.9264666666666667,2.65588
197,2006,2006,15,2,0.92533,2.655198
229,2006,2006,15,2,0.92519,2.655114
217,2006,2009,15,2,0.9248350000000001,2.654901
26,2006,2006,15,2,0.924755,2.654853
220,2006,2009,12,3,0.92467,2.654802
96,2006,2006,15,2,0.9232,2.6539200000000003
120,2006,2006,15,2,0.921045,2.652627
101,2006,2009,15,2,0.920465,2.652279
149,2006,2007,15,2,0.9195599999999999,2.651736
119,2006,2007,15,2,0.919145,2.651487
54,2006,2007,15,2,0.91873,2.651238
69,2006,2006,15,2,0.915535,2.649321
120,2006,2007,15,2,0.9104399999999999,2.646264
131,2006,2007,15,2,0.90647,2.643882
25,2006,2006,17,1,0.97286,2.583716
170,2006,2006,17,1,0.9679,2.58074
179,2006,2007,17,1,0.96324,2.577944
113,2006,2006,17,1,0.96189,2.577134
45,2006,2006,17,1,0.96076,2.576456
108,2006,2006,17,1,0.9576,2.57456
158,2006,2009,14,2,0.952295,2.571377
183,2006,2006,17,1,0.9513,2.57078
140,2006,2006,17,1,0.95056,2.570336
220,2006,2007,14,2,0.945595,2.567357
15,2006,2007,17,1,0.9446,2.56676
220,2006,2008,14,2,0.943575,2.566145
35,2006,2006,17,1,0.94345,2.56607
172,2006,2006,17,1,0.94337,2.5660220000000002
158,2006,2008,14,2,0.94328,2.565968
229,2006,2006,17,1,0.942,2.5652
239,2006,2006,17,1,0.94141,2.564846
101,2006,2006,17,1,0.94122,2.564732
121,2006,2006,17,1,0.94038,2.564228
172,2006,2007,17,1,0.93952,2.5637119999999998
108,2006,2007,17,1,0.93827,2.5629619999999997
239,2006,2007,17,1,0.93508,2.561048
79,2006,2007,17,1,0.93424,2.560544
65,2006,2007,17,1,0.9336,2.5601599999999998
204,2006,2007,17,1,0.93351,2.560106
25,2006,2007,14,2,0.93275,2.55965
89,2006,2006,17,1,0.93229,2.559374
147,2006,2007,11,3,0.9311833333333333,2.55871
45,2006,2007,17,1,0.93073,2.5584379999999998
217,2006,2009,14,2,0.93066,2.558396
101,2006,2007,17,1,0.9304,2.55824
79,2006,2006,17,1,0.92817,2.556902
89,2006,2007,17,1,0.92811,2.556866
162,2006,2006,17,1,0.928,2.5568
72,2006,2007,17,1,0.92776,2.5566560000000003
86,2006,2007,17,1,0.92741,2.556446
226,2006,2007,17,1,0.92741,2.556446
96,2006,2006,14,2,0.9271050000000001,2.556263
3,2006,2006,17,1,0.92641,2.555846
158,2006,2007,17,1,0.92583,2.555498
101,2006,2007,14,2,0.92386,2.554316
120,2006,2006,17,1,0.92313,2.553878
131,2006,2006,17,1,0.92278,2.553668
227,2006,2007,14,2,0.922345,2.553407
129,2006,2007,17,1,0.92197,2.553182
69,2006,2006,14,2,0.9214549999999999,2.552873
101,2006,2008,14,2,0.92123,2.5527379999999997
131,2006,2007,17,1,0.9202,2.55212
204,2006,2009,11,3,0.9198933333333333,2.551936
220,2006,2009,14,2,0.91974,2.551844
124,2006,2007,17,1,0.9197,2.55182
206,2006,2006,14,2,0.9192899999999999,2.551574
200,2006,2007,17,1,0.91823,2.550938
149,2006,2007,14,2,0.91717,2.550302
138,2006,2006,14,2,0.916965,2.550179
42,2006,2007,17,1,0.91595,2.54957
138,2006,2006,17,1,0.91594,2.549564
40,2006,2006,17,1,0.91593,2.549558
223,2006,2006,17,1,0.91519,2.549114
34,2006,2006,17,1,0.91486,2.548916
133,2006,2006,17,1,0.91415,2.54849
196,2006,2007,17,1,0.91394,2.548364
102,2006,2006,17,1,0.91356,2.548136
52,2006,2006,17,1,0.9131,2.54786
96,2006,2008,14,2,0.9129,2.54774
28,2006,2006,17,1,0.91256,2.547536
227,2006,2007,17,1,0.9124,2.54744
229,2006,2007,17,1,0.91133,2.546798
170,2006,2007,17,1,0.91113,2.546678
195,2006,2007,17,1,0.9109,2.5465400000000002
219,2006,2007,17,1,0.91046,2.5462759999999998
109,2006,2006,17,1,0.91034,2.546204
100,2006,2007,17,1,0.90967,2.545802
227,2006,2006,17,1,0.9096,2.54576
120,2006,2006,14,2,0.90947,2.5456820000000002
109,2006,2007,14,2,0.908685,2.545211
137,2006,2007,17,1,0.90748,2.544488
119,2006,2007,14,2,0.90715,2.54429
66,2006,2009,14,2,0.9069849999999999,2.544191
34,2006,2007,17,1,0.90684,2.544104
48,2006,2006,17,1,0.90668,2.544008
38,2006,2007,17,1,0.90429,2.542574
113,2006,2007,17,1,0.9031,2.54186
205,2006,2007,17,1,0.90178,2.541068
158,2006,2006,17,1,0.90152,2.540912
196,2006,2006,17,1,0.9008,2.54048
25,2006,2006,16,1,0.97754,2.486524
170,2006,2006,16,1,0.96867,2.481202
192,2006,2008,16,1,0.96496,2.4789760000000003
179,2006,2007,16,1,0.96331,2.477986
113,2006,2006,16,1,0.9608,2.47648
158,2006,2009,13,2,0.9594,2.47564
45,2006,2006,16,1,0.95928,2.475568
108,2006,2006,16,1,0.95672,2.4740320000000002
239,2006,2006,16,1,0.95358,2.4721480000000002
158,2006,2011,13,2,0.95339,2.472034
129,2006,2008,16,1,0.95296,2.471776
25,2006,2006,13,2,0.952925,2.471755
72,2006,2008,16,1,0.95108,2.470648
183,2006,2006,16,1,0.9488,2.4692800000000004
179,2006,2008,16,1,0.94827,2.4689620000000003
15,2006,2007,16,1,0.94716,2.468296
140,2006,2006,16,1,0.94701,2.4682060000000003
239,2008,2014,10,3,0.9469533333333334,2.468172
170,2006,2006,13,2,0.94633,2.467798
121,2006,2006,16,1,0.94483,2.466898
243,2006,2010,13,2,0.944815,2.466889
110,2006,2008,16,1,0.94471,2.466826
229,2006,2007,16,1,0.94458,2.466748
220,2006,2007,13,2,0.9445600000000001,2.466736
89,2006,2006,16,1,0.94394,2.466364
239,2006,2007,16,1,0.94363,2.466178
35,2006,2006,16,1,0.94328,2.465968
243,2006,2009,13,2,0.94323,2.465938
158,2006,2008,13,2,0.94304,2.465824
204,2006,2008,16,1,0.94217,2.4653020000000003
220,2006,2008,13,2,0.94181,2.465086
79,2006,2007,16,1,0.94137,2.4648220000000003
25,2006,2007,13,2,0.9413,2.4647799999999997
172,2006,2006,16,1,0.94121,2.464726
101,2006,2006,16,1,0.94,2.464
25,2006,2008,13,2,0.938685,2.463211
72,2008,2010,10,3,0.9386466666666666,2.4631879999999997
172,2006,2007,16,1,0.93836,2.463016
72,2006,2007,16,1,0.9382,2.46292
54,2006,2007,13,2,0.93746,2.4624759999999997
96,2006,2007,13,2,0.93622,2.461732
108,2006,2007,16,1,0.9356,2.46136
229,2008,2007,10,3,0.9355466666666666,2.461328
204,2006,2007,16,1,0.93539,2.461234
93,2006,2007,13,2,0.9350449999999999,2.4610269999999996
15,2006,2006,13,2,0.93482,2.460892
26,2006,2006,13,2,0.9331,2.45986
118,2006,2008,16,1,0.9331,2.45986
177,2008,2011,10,3,0.93308,2.459848
26,2008,2008,10,3,0.9330233333333333,2.4598139999999997
118,2006,2008,13,2,0.932205,2.459323
248,2006,2008,16,1,0.9322,2.45932
65,2006,2007,16,1,0.93212,2.4592720000000003
194,2006,2009,13,2,0.932045,2.459227
162,2006,2006,16,1,0.93148,2.458888
96,2006,2008,13,2,0.9296150000000001,2.457769
108,2006,2008,16,1,0.92946,2.457676
25,2006,2009,10,3,0.9290833333333334,2.4574499999999997
194,2006,2010,13,2,0.9289000000000001,2.45734
3,2006,2006,16,1,0.92884,2.457304
45,2006,2007,16,1,0.92876,2.457256
158,2006,2007,16,1,0.9287,2.45722
65,2006,2007,13,2,0.928665,2.457199
137,2006,2008,16,1,0.92863,2.457178
243,2008,2014,10,3,0.9284433333333334,2.457066
79,2006,2006,16,1,0.92813,2.456878
217,2006,2009,13,2,0.9276,2.4565599999999996
89,2006,2007,16,1,0.92701,2.456206
69,2006,2006,13,2,0.92697,2.456182
101,2006,2007,16,1,0.92697,2.456182
219,2006,2014,10,3,0.9266366666666667,2.4559819999999997
86,2006,2007,16,1,0.92635,2.45581
113,2006,2006,13,2,0.925805,2.455483
147,2006,2008,16,1,0.92551,2.455306
239,2006,2006,13,2,0.92534,2.455204
69,2006,2008,16,1,0.92473,2.454838
170,2006,2007,13,2,0.924685,2.454811
108,2006,2009,13,2,0.9243650000000001,2.454619
206,2006,2008,16,1,0.92427,2.454562
195,2006,2007,16,1,0.92422,2.4545320000000004
96,2006,2006,13,2,0.923835,2.454301
134,2008,2007,10,3,0.9237533333333333,2.454252
226,2006,2007,16,1,0.92331,2.453986
42,2006,2007,16,1,0.92325,2.45395
239,2008,2008,10,3,0.9231033333333333,2.453862
239,2006,2008,13,2,0.923095,2.4538569999999997
181,2006,2010,13,2,0.92283,2.453698
62,2006,2008,13,2,0.9227799999999999,2.453668
138,2006,2006,13,2,0.922465,2.4534789999999997
222,2006,2007,13,2,0.92241,2.453446
129,2006,2007,16,1,0.92189,2.4531340000000004
124,2006,2007,16,1,0.92109,2.452654
181,2006,2011,13,2,0.920315,2.4521889999999997
170,2006,2007,16,1,0.92028,2.4521680000000003
176,2008,2008,10,3,0.92014,2.4520839999999997
227,2006,2006,16,1,0.92007,2.452042
149,2006,2006,16,1,0.92,2.452
227,2006,2007,13,2,0.919665,2.451799
89,2006,2008,16,1,0.91921,2.4515260000000003
131,2006,2006,16,1,0.91897,2.451382
141,2006,2008,16,1,0.91893,2.451358
62,2006,2008,16,1,0.9188,2.45128
10,2006,2008,16,1,0.91855,2.45113
223,2006,2006,16,1,0.91849,2.4510940000000003
200,2006,2008,16,1,0.91842,2.4510520000000002
204,2006,2009,10,3,0.9182600000000001,2.4509559999999997
101,2006,2009,13,2,0.917825,2.4506949999999996
118,2006,2007,13,2,0.917815,2.4506889999999997
200,2006,2007,16,1,0.91778,2.4506680000000003
195,2006,2008,16,1,0.91752,2.4505120000000002
238,2006,2008,16,1,0.91747,2.450482
120,2006,2006,16,1,0.91742,2.4504520000000003
239,2006,2011,13,2,0.91736,2.4504159999999997
101,2006,2008,16,1,0.91618,2.449708
239,2006,2007,13,2,0.9158599999999999,2.449516
222,2006,2008,16,1,0.9158,2.4494800000000003
137,2006,2007,16,1,0.91574,2.449444
3,2006,2007,16,1,0.91563,2.4493780000000003
20,2006,2008,16,1,0.91558,2.449348
144,2006,2009,13,2,0.9153,2.44918
122,2006,2008,16,1,0.91521,2.449126
35,2006,2007,16,1,0.91484,2.448904
138,2006,2007,13,2,0.91446,2.448676
131,2006,2007,16,1,0.91423,2.448538
196,2006,2007,16,1,0.91386,2.448316
109,2006,2006,16,1,0.91346,2.4480760000000004
10,2006,2008,13,2,0.913355,2.448013
40,2006,2006,16,1,0.91315,2.44789
119,2006,2007,13,2,0.9131100000000001,2.447866
138,2006,2006,16,1,0.91273,2.447638
108,2006,2008,13,2,0.91255,2.44753
227,2006,2007,16,1,0.91234,2.447404
34,2006,2006,16,1,0.9123,2.44738
152,2006,2010,13,2,0.91212,2.447272
102,2006,2006,16,1,0.9119,2.44714
205,2006,2007,16,1,0.91168,2.4470080000000003
149,2006,2007,13,2,0.911305,2.446783
194,2006,2007,16,1,0.91097,2.4465820000000003
206,2006,2006,16,1,0.91095,2.4465700000000004
192,2006,2007,16,1,0.91094,2.446564
120,2006,2007,13,2,0.91044,2.4462639999999998
181,2006,2009,13,2,0.9104300000000001,2.446258
26,2006,2007,16,1,0.9103,2.44618
202,2006,2006,16,1,0.91009,2.446054
124,2006,2008,16,1,0.91007,2.4460420000000003
243,2006,2008,16,1,0.90964,2.445784
28,2006,2006,16,1,0.90904,2.445424
173,2006,2006,16,1,0.9086,2.44516
52,2006,2006,16,1,0.90816,2.444896
25,2006,2008,16,1,0.90752,2.444512
26,2006,2006,16,1,0.90741,2.444446
158,2006,2006,16,1,0.90739,2.444434
172,2006,2008,16,1,0.90717,2.444302
219,2006,2007,16,1,0.90698,2.444188
222,2006,2009,13,2,0.9061950000000001,2.443717
102,2006,2008,16,1,0.90576,2.4434560000000003
162,2006,2008,16,1,0.90515,2.44309
