country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,country_a_id_fk
54,2006,2007,15,7,0.9327385714285714,1,4.159643142857143,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
54,2006,2006,15,6,0.9408316666666666,1,3.864499,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
54,2006,2006,17,5,0.94194,1,3.7651640000000004,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
54,2006,2007,17,5,0.93025,1,3.75815,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
54,2006,2006,14,6,0.9292666666666666,1,3.7575600000000002,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
54,2006,2006,16,5,0.941638,1,3.6649828,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
54,2006,2007,16,5,0.937896,1,3.6627376,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
147,2006,2006,16,5,0.931222,1,3.6587332,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
162,2006,2006,16,5,0.92293,1,3.653758,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
250,2006,2006,16,5,0.91845,1,3.65107,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
113,2006,2006,15,5,0.949028,1,3.5694168,"['Political State Sector', 'Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
25,2006,2008,15,5,0.933732,1,3.5602392,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
162,2006,2006,15,5,0.9299019999999999,1,3.5579412,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
250,2006,2006,15,5,0.9252480000000001,1,3.5551488,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
219,1990,1990,23,2,0.9693636363636364,2,3.481618181818182,"['Unknown', 'Finance Economy Sector']",15
20,1990,1990,23,2,0.9644254545454545,2,3.478655272727273,"['Unknown', 'Finance Economy Sector']",15
80,1990,1991,23,2,0.9613683333333333,2,3.476821,"['Unknown', 'Finance Economy Sector']",15
25,2006,2007,17,4,0.9580625,1,3.4748375000000005,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
80,1990,1990,23,2,0.9565549999999999,2,3.473933,"['Unknown', 'Finance Economy Sector']",15
118,1990,1990,23,2,0.94977,2,3.4698620000000004,"['Unknown', 'Finance Economy Sector']",15
113,2006,2006,17,4,0.9435450000000001,1,3.466127,"['Social Sector', 'Political State Sector', 'Human Rights Development', 'Finance Economy Sector']",15
182,1990,1990,23,2,0.9402472727272727,2,3.464148363636364,"['Unknown', 'Finance Economy Sector']",15
202,2006,2006,17,4,0.936785,1,3.4620710000000003,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
113,2006,2006,14,5,0.9363720000000001,1,3.4618232000000004,"['Political State Sector', 'Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
233,1990,1990,23,2,0.9337972727272728,2,3.460278363636364,"['Unknown', 'Finance Economy Sector']",15
54,2006,2007,14,5,0.933708,1,3.4602248,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
80,1990,1992,23,2,0.9332691666666667,2,3.4599615000000004,"['Unknown', 'Finance Economy Sector']",15
147,2006,2006,17,4,0.9321925,1,3.4593155,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
219,1990,1991,23,2,0.9243654545454546,2,3.454619272727273,"['Unknown', 'Finance Economy Sector']",15
28,2006,2006,17,4,0.92378,1,3.4542680000000003,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",15
119,2006,2006,17,4,0.9233125,1,3.4539875,"['Political State Sector', 'Social Sector', 'Finance Economy Sector']",15
