country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,country_a_id_fk
40,1990,1990,31,5,0.9627071794871795,1,5.177624307692307,165
44,1990,1990,31,5,0.9581441025641027,1,5.1748864615384615,165
40,1990,1990,29,5,0.9669271794871795,1,4.980156307692308,165
44,1990,1991,29,5,0.9625943589743591,1,4.977556615384616,165
40,1990,1991,29,5,0.961987435897436,1,4.977192461538462,165
44,1990,1990,29,5,0.9591038461538463,1,4.975462307692308,165
40,1990,1990,32,4,0.9325735294117647,1,4.959544117647059,165
235,1990,1992,31,4,0.978722972972973,1,4.887233783783784,165
74,1990,1991,31,4,0.9769140540540541,1,4.8861484324324325,165
235,1990,1991,31,4,0.9764708108108109,1,4.885882486486486,165
74,1990,1990,31,4,0.9760697297297298,1,4.885641837837838,165
74,1990,1992,31,4,0.9749489189189189,1,4.8849693513513515,165
235,1990,1990,31,4,0.9696427027027026,1,4.8817856216216216,165
44,1990,1992,31,4,0.9628043243243243,1,4.877682594594594,165
40,1990,1991,31,4,0.9604127027027028,1,4.876247621621621,165
44,1990,1991,31,4,0.9587921621621621,1,4.875275297297297,165
40,1990,1992,31,4,0.9579894594594596,1,4.874793675675676,165
73,1990,1992,31,4,0.954738918918919,1,4.872843351351351,165
73,1990,1991,31,4,0.9527405405405405,1,4.871644324324324,165
73,1990,1990,31,4,0.9391462162162162,1,4.863487729729729,165
40,1990,1990,30,4,0.9423658823529413,1,4.765419529411765,165
44,1990,1990,30,4,0.93341,1,4.760046,165
235,1990,1993,29,4,0.9788570270270269,1,4.687314216216217,165
235,1990,1992,29,4,0.9780616216216216,1,4.686836972972974,165
74,1990,1991,29,4,0.9777024324324325,1,4.6866214594594595,165
74,1990,1990,29,4,0.9766405405405405,1,4.685984324324325,165
235,1990,1991,29,4,0.9748367567567569,1,4.684902054054055,165
74,1990,1992,29,4,0.9737927027027027,1,4.684275621621622,165
73,1990,1991,32,3,0.9723153333333332,1,4.6833892,165
235,1990,1991,32,3,0.9688086666666667,1,4.6812852,165
74,1990,1993,29,4,0.9686078378378379,1,4.681164702702703,165
215,1990,1993,29,4,0.9678608108108109,1,4.680716486486487,165
235,1990,1990,32,3,0.9667673333333333,1,4.6800603999999995,165
73,1990,1990,32,3,0.9661326666666666,1,4.6796796,165
44,1990,1993,29,4,0.9647751351351351,1,4.6788650810810815,165
44,1990,1992,29,4,0.9647364864864866,1,4.678841891891892,165
215,1990,1992,29,4,0.9634610810810811,1,4.678076648648649,165
44,1990,1994,29,4,0.9608502702702703,1,4.676510162162162,165
74,1990,1990,32,3,0.9593586666666667,1,4.675615199999999,165
74,1990,1991,32,3,0.9587880000000001,1,4.6752728,165
40,1990,1992,29,4,0.9553405405405405,1,4.673204324324325,165
73,1990,1992,29,4,0.9494591891891891,1,4.669675513513514,165
73,1990,1993,29,4,0.9481502702702702,1,4.668890162162163,165
73,1990,1991,29,4,0.9468102702702704,1,4.6680861621621625,165
107,1990,1990,32,3,0.943592,1,4.6661551999999995,165
206,1990,1990,32,3,0.9428066666666667,1,4.665684,165
73,1990,1994,29,4,0.9423086486486486,1,4.665385189189189,165
73,1990,1990,29,4,0.9303145945945946,1,4.658188756756758,165
44,1990,1991,32,3,0.9283966666666666,1,4.657038,165
44,1990,1990,32,3,0.9278493333333333,1,4.656709599999999,165
40,1990,1991,32,3,0.925988,1,4.6555928,165
40,1990,1990,28,4,0.9814299999999999,1,4.588858,165
