unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
56355238,OECD,Primary Energy Supply,Primary Energy Supply,2024,167,159,28,0.97993,1991,"44.077,46.896,49.221,51.322,53.521,55.976,57.435,58.502,61.834,63.636,64.727,65.712,68.738,73.702,76.303,79.606,84.232,82.871,84.119,85.421,86.047,87.123,89.165,93.281,95.969,100.735,105.533,107.803",1994,"71.79,73.061,76.053,79.193,80.153,82.834,87.444,91.188,93.974,98.596,100.102,105.962,106.726,110.812,114.56,112.531,128.875,140.631,142.34,145.351,148.769,146.455,151.653,151.572,151.149,160.218,160.711,164.912",2024-02-24 12:56:08,Unknown
56355243,OECD,Primary Energy Supply,Primary Energy Supply,2024,167,159,28,0.97993,1991,"44.077,46.896,49.221,51.322,53.521,55.976,57.435,58.502,61.834,63.636,64.727,65.712,68.738,73.702,76.303,79.606,84.232,82.871,84.119,85.421,86.047,87.123,89.165,93.281,95.969,100.735,105.533,107.803",1994,"71.79,73.061,76.053,79.193,80.153,82.834,87.444,91.188,93.974,98.596,100.102,105.962,106.726,110.812,114.56,112.531,128.875,140.631,142.34,145.351,148.769,146.455,151.653,151.572,151.149,160.218,160.711,164.912",2024-02-24 12:56:09,Unknown
56355248,OECD,Primary Energy Supply,Primary Energy Supply,2024,167,159,28,0.97993,1991,"44.077,46.896,49.221,51.322,53.521,55.976,57.435,58.502,61.834,63.636,64.727,65.712,68.738,73.702,76.303,79.606,84.232,82.871,84.119,85.421,86.047,87.123,89.165,93.281,95.969,100.735,105.533,107.803",1994,"71.79,73.061,76.053,79.193,80.153,82.834,87.444,91.188,93.974,98.596,100.102,105.962,106.726,110.812,114.56,112.531,128.875,140.631,142.34,145.351,148.769,146.455,151.653,151.572,151.149,160.218,160.711,164.912",2024-02-24 12:56:09,Unknown
56355253,OECD,Primary Energy Supply,Primary Energy Supply,2024,167,159,28,0.97993,1991,"44.077,46.896,49.221,51.322,53.521,55.976,57.435,58.502,61.834,63.636,64.727,65.712,68.738,73.702,76.303,79.606,84.232,82.871,84.119,85.421,86.047,87.123,89.165,93.281,95.969,100.735,105.533,107.803",1994,"71.79,73.061,76.053,79.193,80.153,82.834,87.444,91.188,93.974,98.596,100.102,105.962,106.726,110.812,114.56,112.531,128.875,140.631,142.34,145.351,148.769,146.455,151.653,151.572,151.149,160.218,160.711,164.912",2024-02-24 12:56:10,Unknown
56355258,OECD,Primary Energy Supply,Primary Energy Supply,2024,167,159,28,0.97993,1991,"44.077,46.896,49.221,51.322,53.521,55.976,57.435,58.502,61.834,63.636,64.727,65.712,68.738,73.702,76.303,79.606,84.232,82.871,84.119,85.421,86.047,87.123,89.165,93.281,95.969,100.735,105.533,107.803",1994,"71.79,73.061,76.053,79.193,80.153,82.834,87.444,91.188,93.974,98.596,100.102,105.962,106.726,110.812,114.56,112.531,128.875,140.631,142.34,145.351,148.769,146.455,151.653,151.572,151.149,160.218,160.711,164.912",2024-02-24 12:56:10,Unknown
56355263,OECD,Primary Energy Supply,Primary Energy Supply,2024,167,159,28,0.97993,1991,"44.077,46.896,49.221,51.322,53.521,55.976,57.435,58.502,61.834,63.636,64.727,65.712,68.738,73.702,76.303,79.606,84.232,82.871,84.119,85.421,86.047,87.123,89.165,93.281,95.969,100.735,105.533,107.803",1994,"71.79,73.061,76.053,79.193,80.153,82.834,87.444,91.188,93.974,98.596,100.102,105.962,106.726,110.812,114.56,112.531,128.875,140.631,142.34,145.351,148.769,146.455,151.653,151.572,151.149,160.218,160.711,164.912",2024-02-24 12:56:11,Unknown
56355268,OECD,Primary Energy Supply,Primary Energy Supply,2024,167,159,28,0.97993,1991,"44.077,46.896,49.221,51.322,53.521,55.976,57.435,58.502,61.834,63.636,64.727,65.712,68.738,73.702,76.303,79.606,84.232,82.871,84.119,85.421,86.047,87.123,89.165,93.281,95.969,100.735,105.533,107.803",1994,"71.79,73.061,76.053,79.193,80.153,82.834,87.444,91.188,93.974,98.596,100.102,105.962,106.726,110.812,114.56,112.531,128.875,140.631,142.34,145.351,148.769,146.455,151.653,151.572,151.149,160.218,160.711,164.912",2024-02-24 12:56:11,Unknown
56355273,OECD,Primary Energy Supply,Primary Energy Supply,2024,167,159,28,0.97993,1991,"44.077,46.896,49.221,51.322,53.521,55.976,57.435,58.502,61.834,63.636,64.727,65.712,68.738,73.702,76.303,79.606,84.232,82.871,84.119,85.421,86.047,87.123,89.165,93.281,95.969,100.735,105.533,107.803",1994,"71.79,73.061,76.053,79.193,80.153,82.834,87.444,91.188,93.974,98.596,100.102,105.962,106.726,110.812,114.56,112.531,128.875,140.631,142.34,145.351,148.769,146.455,151.653,151.572,151.149,160.218,160.711,164.912",2024-02-24 12:56:12,Unknown
56355278,OECD,Primary Energy Supply,Primary Energy Supply,2024,167,159,28,0.97993,1991,"44.077,46.896,49.221,51.322,53.521,55.976,57.435,58.502,61.834,63.636,64.727,65.712,68.738,73.702,76.303,79.606,84.232,82.871,84.119,85.421,86.047,87.123,89.165,93.281,95.969,100.735,105.533,107.803",1994,"71.79,73.061,76.053,79.193,80.153,82.834,87.444,91.188,93.974,98.596,100.102,105.962,106.726,110.812,114.56,112.531,128.875,140.631,142.34,145.351,148.769,146.455,151.653,151.572,151.149,160.218,160.711,164.912",2024-02-24 12:56:12,Unknown
56355283,OECD,Primary Energy Supply,Primary Energy Supply,2024,167,159,28,0.97993,1991,"44.077,46.896,49.221,51.322,53.521,55.976,57.435,58.502,61.834,63.636,64.727,65.712,68.738,73.702,76.303,79.606,84.232,82.871,84.119,85.421,86.047,87.123,89.165,93.281,95.969,100.735,105.533,107.803",1994,"71.79,73.061,76.053,79.193,80.153,82.834,87.444,91.188,93.974,98.596,100.102,105.962,106.726,110.812,114.56,112.531,128.875,140.631,142.34,145.351,148.769,146.455,151.653,151.572,151.149,160.218,160.711,164.912",2024-02-24 12:56:12,Unknown
