unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
602356,The Fund For Peace,Fragile State Index,Total,2023,176,202,13,0.91244,2006,"47.9,47.6,47.6,49.6,49.0,46.8,44.3,40.9,42.1,39.8,40.7,40.8,41.46116976149038",2006,"49.9,49.3,48.8,48.6,48.8,47.1,47.4,45.3,45.3,42.6,44.9,44.3,42.47488888000861",2023-12-13 17:06:49
1984957,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,176,202,13,0.90991,2006,"2.0,2.0,2.0,2.3,2.4,2.5,2.8,2.5,2.6,2.3,2.0,1.8,2.1",2006,"2.0,2.0,2.0,2.0,2.1,2.3,2.6,2.3,2.6,2.3,2.0,1.8,2.1",2023-12-15 04:05:56
2541476,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,176,202,13,0.95848,2006,"3.2,3.2,3.2,3.2,3.3,3.5,3.8,3.8,4.1,4.4,4.9,5.4,5.9",2006,"4.4,4.4,4.2,4.3,4.8,5.0,5.3,5.0,5.6,5.9,6.5,6.9,6.6000000000000005",2023-12-15 14:54:38
3549640,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,176,202,13,0.94221,2006,"4.7,4.8,4.8,4.9,4.8,4.7,4.4,3.9,3.8,3.5,3.2,3.0,2.7",2006,"6.5,6.5,6.2,5.8,5.6,5.2,4.9,4.6,4.3,4.0,3.7,3.5,3.2",2023-12-16 19:41:09
4510103,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,176,202,13,0.97659,2006,"6.5,6.5,6.4,6.1,5.9,5.6,5.3,5.0,4.7,4.4,4.2,4.5,4.461169761490381",2006,"5.5,5.5,5.3,5.4,5.2,5.1,4.8,4.5,4.5,4.2,3.9,4.2,3.9",2023-12-18 07:41:20
5384896,The Fund For Peace,Fragile State Index,P2: Public Services,2023,176,202,13,0.94276,2006,"4.3,4.2,3.8,3.9,3.7,3.3,3.1,2.8,3.1,2.8,2.5,2.3,2.0",2006,"4.3,4.1,4.1,4.0,3.8,3.6,3.8,3.5,3.2,2.9,2.6,2.4,2.1",2023-12-19 00:34:22
6269044,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,176,202,13,0.98951,2006,"5.0,4.9,4.8,4.9,4.7,4.3,3.8,3.5,3.6,3.3,3.0,3.0,2.7",2006,"4.5,4.3,4.3,4.3,4.1,3.8,3.5,3.2,3.1,2.8,2.5,2.3,2.0",2023-12-19 19:00:59
2344755,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,176,181,17,0.95488,2006,"3.0,3.0,3.3,3.7,3.7,3.6,3.6,3.6,3.8,3.8,3.8,4.2,4.2,4.2,4.2,4.2,4.2",2006,"4.1,4.5,4.7,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.4,5.4,5.7,5.7,5.7,5.7,5.7",2023-12-15 11:03:05
3550965,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,176,181,17,0.9841,2006,"4.7,4.8,4.8,4.9,4.8,4.7,4.4,3.9,3.8,3.5,3.2,3.0,2.7,2.4,2.1,2.4,2.2",2006,"6.0,6.1,6.1,5.8,5.6,5.8,5.6,5.3,5.0,4.7,4.4,4.2,3.9,3.6,3.3000000000000003,3.8,3.9",2023-12-16 19:42:28
5385301,The Fund For Peace,Fragile State Index,P2: Public Services,2023,176,181,17,0.92781,2006,"4.3,4.2,3.8,3.9,3.7,3.3,3.1,2.8,3.1,2.8,2.5,2.3,2.0,2.1,2.0044834772027382,3.0,3.3",2006,"5.3,5.2,5.2,5.0,4.8,4.5,4.4,4.3,4.6,4.3,4.0,3.8,3.710357407219053,3.4,3.2691941359262167,4.8,5.3",2023-12-19 00:35:01
