country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,country_a_id_fk
162,2007,2007,17,4,0.94889,1,3.4693340000000004,"['Finance Economy Sector', 'Social Sector']",179
162,2007,2007,14,5,0.9365539999999999,1,3.4619324000000002,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",179
162,2007,2006,17,4,0.9338850000000001,1,3.4603310000000005,"['Finance Economy Sector', 'Social Sector']",179
198,2007,2007,17,4,0.9325424999999999,1,3.4595255000000003,"['Finance Economy Sector', 'Social Sector']",179
56,2007,2007,17,4,0.9302699999999999,1,3.458162,"['Political State Sector', 'Social Sector']",179
234,2007,2007,17,4,0.92952,1,3.4577120000000003,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
239,2007,2007,17,4,0.9252024999999999,1,3.4551215,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
234,2007,2008,13,5,0.95009,1,3.3700539999999997,"['Political State Sector', 'Human Rights Development', 'Social Sector']",179
162,2007,2007,16,4,0.9420975,1,3.3652585,"['Finance Economy Sector', 'Social Sector']",179
134,2007,2008,16,4,0.9373750000000001,1,3.362425,"['Finance Economy Sector', 'Social Sector']",179
162,2007,2009,13,5,0.929892,1,3.3579352,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",179
198,2007,2008,16,4,0.9287650000000001,1,3.357259,"['Finance Economy Sector', 'Social Sector']",179
120,2007,2007,16,4,0.9283475,1,3.3570085,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",179
38,2007,2008,16,4,0.9242375,1,3.3545425,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
239,2007,2008,16,4,0.9099975,1,3.3459985,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
162,2007,2007,15,4,0.9395125,1,3.2637075,"['Finance Economy Sector', 'Social Sector']",179
134,2007,2009,15,4,0.93655,1,3.26193,"['Finance Economy Sector', 'Social Sector']",179
195,2007,2007,15,4,0.92936,1,3.257616,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",179
130,2007,2009,15,4,0.9159225,1,3.2495535,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
130,2007,2007,17,3,0.9499366666666665,1,3.169962,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
195,2007,2007,17,3,0.9492633333333332,1,3.169558,"['Finance Economy Sector', 'Social Sector']",179
132,2007,2007,17,3,0.9480566666666667,1,3.168834,"['Finance Economy Sector', 'Social Sector']",179
33,2007,2007,17,3,0.9470299999999999,1,3.168218,"['Finance Economy Sector', 'Social Sector']",179
234,2007,2008,11,5,0.9462160000000001,1,3.1677296000000004,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
234,2007,2010,14,4,0.94352,1,3.166112,"['Finance Economy Sector', 'Social Sector']",179
101,2007,2007,17,3,0.9418133333333333,1,3.165088,"['Finance Economy Sector', 'Social Sector']",179
162,2007,2008,14,4,0.9404425,1,3.1642655,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",179
162,2007,2009,14,4,0.9403025,1,3.1641815,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",179
61,2007,2006,17,3,0.9394633333333333,1,3.163678,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
195,2007,2007,14,4,0.9389875,1,3.1633925,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",179
134,2007,2007,17,3,0.9384366666666667,1,3.163062,"['Finance Economy Sector', 'Social Sector']",179
22,2007,2010,14,4,0.936795,1,3.162077,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
234,2007,2007,14,4,0.9357125,1,3.1614275000000003,"['Political State Sector', 'Human Rights Development', 'Social Sector']",179
40,2007,2007,17,3,0.9347633333333333,1,3.160858,"['Human Rights Development', 'Social Sector']",179
101,2007,2006,17,3,0.9341766666666667,1,3.160506,"['Finance Economy Sector', 'Social Sector']",179
131,2007,2009,11,5,0.93345,1,3.16007,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",179
162,2007,2010,14,4,0.932085,1,3.1592510000000003,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
25,2007,2006,17,3,0.9300233333333333,1,3.158014,"['Finance Economy Sector', 'Social Sector']",179
45,2007,2010,14,4,0.92953,1,3.157718,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
25,2007,2007,17,3,0.92855,1,3.15713,"['Finance Economy Sector', 'Social Sector']",179
163,2007,2007,17,3,0.9254033333333332,1,3.155242,"['Finance Economy Sector', 'Social Sector']",179
142,2007,2007,14,4,0.9249050000000001,1,3.1549430000000003,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",179
120,2007,2007,17,3,0.92078,1,3.152468,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",179
239,2007,2006,17,3,0.9190033333333334,1,3.151402,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
204,2007,2007,17,3,0.9096766666666666,1,3.145806,"['Finance Economy Sector', 'Social Sector']",179
130,2007,2008,16,3,0.95262,1,3.0715719999999997,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
234,2007,2011,13,4,0.94665,1,3.06799,"['Finance Economy Sector', 'Social Sector']",179
234,2007,2008,16,3,0.94603,1,3.067618,"['Human Rights Development', 'Social Sector']",179
162,2007,2008,13,4,0.94554,1,3.067324,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",179
162,2007,2008,16,3,0.9453,1,3.06718,"['Finance Economy Sector', 'Social Sector']",179
171,2007,2008,16,3,0.94489,1,3.066934,"['Human Rights Development', 'Social Sector']",179
130,2007,2007,16,3,0.9437266666666666,1,3.066236,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
162,2007,2007,13,4,0.9427825,1,3.0656695,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",179
234,2007,2010,13,4,0.94208,1,3.065248,"['Finance Economy Sector', 'Social Sector']",179
195,2007,2007,16,3,0.9419633333333334,1,3.065178,"['Finance Economy Sector', 'Social Sector']",179
33,2007,2007,16,3,0.9405100000000001,1,3.064306,"['Finance Economy Sector', 'Social Sector']",179
101,2007,2008,16,3,0.9390333333333333,1,3.06342,"['Finance Economy Sector', 'Social Sector']",179
33,2007,2007,13,4,0.93869,1,3.063214,"['Political State Sector', 'Social Sector']",179
56,2007,2007,16,3,0.9386800000000001,1,3.063208,"['Political State Sector', 'Social Sector']",179
198,2007,2007,16,3,0.9356099999999999,1,3.061366,"['Finance Economy Sector', 'Social Sector']",179
54,2007,2006,16,3,0.93506,1,3.061036,"['Finance Economy Sector', 'Social Sector']",179
101,2007,2007,16,3,0.9334600000000001,1,3.060076,"['Finance Economy Sector', 'Social Sector']",179
61,2007,2006,16,3,0.9325633333333334,1,3.059538,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
234,2007,2007,16,3,0.93183,1,3.059098,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
162,2007,2006,16,3,0.9315533333333333,1,3.058932,"['Finance Economy Sector', 'Social Sector']",179
120,2007,2008,16,3,0.9312100000000001,1,3.058726,"['Finance Economy Sector', 'Social Sector']",179
22,2007,2010,13,4,0.9311324999999999,1,3.0586794999999998,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
195,2007,2008,16,3,0.9285366666666667,1,3.057122,"['Finance Economy Sector', 'Social Sector']",179
61,2007,2007,16,3,0.92754,1,3.056524,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",179
134,2007,2007,16,3,0.92688,1,3.056128,"['Finance Economy Sector', 'Social Sector']",179
101,2007,2006,16,3,0.9245566666666667,1,3.054734,"['Finance Economy Sector', 'Social Sector']",179
204,2007,2007,16,3,0.9093566666666666,1,3.045614,"['Finance Economy Sector', 'Social Sector']",179
17,2007,2007,15,3,0.9529466666666666,1,2.971768,"['Political State Sector', 'Human Rights Development', 'Social Sector']",179
