unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
1655342,The Fund For Peace,Fragile State Index,Total,2023,17,248,17,0.91495,2007,"57.0,56.8,59.0,58.8,59.0,62.2,62.9,64.7,64.4,63.4,64.9,64.38675794712286,63.8,63.88791153504606,66.7,66.60000000000001,65.1",2007,"93.2,95.4,98.1,100.0,100.3,104.8,107.0,105.4,108.2,111.5,111.1,112.6715037597987,113.5,112.43869382016284,111.7,111.7,108.9",2023-12-14 14:41:24,Finance Economy Sector
2242208,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,17,248,17,0.93452,2007,"3.4,3.7,4.4,4.7,4.8,6.0,6.1,6.2,6.7,6.4,6.9,6.6000000000000005,6.3,6.165129158119498,5.9,5.6,5.3",2007,"8.0,8.2,8.4,8.9,9.3,9.7,9.8,9.5,10.0,10.0,9.8,9.9,10.0,9.7,9.4,9.1,8.6",2023-12-15 09:01:31,Social Sector
2421659,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,17,248,17,0.91151,2007,"6.0,6.0,6.1,6.1,6.6,7.0,7.1,7.1,7.1,7.1,7.6,7.6,7.6,7.6,7.6,7.6,7.6",2007,"9.0,8.9,9.0,9.2,9.3,9.8,9.5,9.4,9.4,9.5,9.5,10.0,10.0,10.0,10.0,10.0,9.9",2023-12-15 12:35:51,Social Sector
6029050,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,17,248,17,0.97643,2007,"4.7,4.7,5.0,5.4,5.9,7.0,7.5,7.8,7.8,8.3,8.8,8.916448241814312,8.6,8.7,8.6,8.6,8.7",2007,"7.2,7.5,7.7,8.0,7.7,8.4,8.7,9.0,9.1,9.4,9.7,9.762334024757603,9.9,9.95,9.7,9.9,9.6",2023-12-19 14:20:33,Human Rights Development
1655331,The Fund For Peace,Fragile State Index,Total,2023,17,84,17,0.92677,2007,"57.0,56.8,59.0,58.8,59.0,62.2,62.9,64.7,64.4,63.4,64.9,64.38675794712286,63.8,63.88791153504606,66.7,66.60000000000001,65.1",2007,"43.5,45.4,46.1,45.9,47.4,50.4,50.6,52.1,52.6,55.9,57.5,55.28241010073139,53.9,52.14869722028766,54.49999999999999,55.8,55.1",2023-12-14 14:41:23,Finance Economy Sector
2242204,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,17,84,17,0.92371,2007,"3.4,3.7,4.4,4.7,4.8,6.0,6.1,6.2,6.7,6.4,6.9,6.6000000000000005,6.3,6.165129158119498,5.9,5.6,5.3",2007,"3.1,3.1,3.5,3.4,3.8,4.0,3.9,4.2,4.5,4.2,4.5,4.418852145311638,4.3,4.248697220287658,3.9,3.6,3.3",2023-12-15 09:01:30,Social Sector
2421651,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,17,84,17,0.95455,2007,"6.0,6.0,6.1,6.1,6.6,7.0,7.1,7.1,7.1,7.1,7.6,7.6,7.6,7.6,7.6,7.6,7.6",2007,"1.6,1.6,2.0,2.4,2.5,2.5,3.0,3.5,3.7,3.8,4.1,4.1,4.1,4.1,4.1,4.1,4.1",2023-12-15 12:35:50,Social Sector
5216560,The Fund For Peace,Fragile State Index,P1: State Legitimacy,2023,17,84,17,0.90223,2007,"6.8,7.0,6.9,6.7,6.9,7.5,7.6,7.9,8.4,8.4,8.2,8.367130365016482,8.5,8.334304223095366,8.0,8.1,8.0",2007,"4.0,4.0,4.5,4.6,4.9,5.4,5.4,6.4,6.5,6.2,6.7,6.4,6.1,5.8,5.5,5.8,5.8",2023-12-18 20:56:58,Political State Sector
1654890,The Fund For Peace,Fragile State Index,Total,2023,17,124,13,0.94162,2007,"57.0,56.8,59.0,58.8,59.0,62.2,62.9,64.7,64.4,63.4,64.9,64.38675794712286,63.8",2007,"69.3,70.0,69.4,69.1,68.7,84.9,84.5,87.8,95.3,96.4,96.3,94.6,92.2",2023-12-14 14:40:55,Finance Economy Sector
2242052,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,17,124,13,0.94687,2007,"3.4,3.7,4.4,4.7,4.8,6.0,6.1,6.2,6.7,6.4,6.9,6.6000000000000005,6.3",2007,"5.3,5.6,5.4,5.2,5.9,9.0,8.9,9.2,9.3,9.6,9.6,9.3,9.0",2023-12-15 09:01:13,Social Sector
