unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
174226,The Fund For Peace,Fragile State Index,Total,2023,181,202,14,0.92905,2006,"62.6,60.9,59.9,61.3,60.2,59.8,59.5,57.4,56.9,54.2,52.9,50.9,49.36140868153144,47.8",2007,"49.3,48.8,48.6,48.8,47.1,47.4,45.3,45.3,42.6,44.9,44.3,42.47488888000861,40.5,38.22181460375541",2023-12-13 05:42:07
2461421,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,181,202,14,0.97366,2006,"5.4,5.2,5.2,5.5,5.6,6.0,6.0,6.3,6.6,6.8,7.0,6.8,6.5,6.2",2007,"4.4,4.2,4.3,4.8,5.0,5.3,5.0,5.6,5.9,6.5,6.9,6.6000000000000005,6.3,6.0",2023-12-15 13:25:19
3218468,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,181,202,14,0.95564,2006,"6.0,6.1,6.1,5.8,5.6,5.8,5.6,5.3,5.0,4.7,4.4,4.2,3.9,3.6",2007,"6.5,6.2,5.8,5.6,5.2,4.9,4.6,4.3,4.0,3.7,3.5,3.2,2.9,2.6",2023-12-16 13:34:28
4415056,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,181,202,14,0.90616,2006,"5.5,5.2,5.2,5.1,4.9,5.0,5.0,4.7,4.4,4.5,4.2,4.5,4.2,4.5",2007,"5.5,5.3,5.4,5.2,5.1,4.8,4.5,4.5,4.2,3.9,4.2,3.9,4.0,4.026438092545177",2023-12-18 05:57:14
5306722,The Fund For Peace,Fragile State Index,P2: Public Services,2023,181,202,14,0.92645,2006,"5.3,5.2,5.2,5.0,4.8,4.5,4.4,4.3,4.6,4.3,4.0,3.8,3.710357407219053,3.4",2007,"4.1,4.1,4.0,3.8,3.6,3.8,3.5,3.2,2.9,2.6,2.4,2.1,2.0,2.1367614254366787",2023-12-18 22:48:14
5671254,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,181,202,14,0.92363,2006,"4.8,4.8,4.8,4.5,4.3,4.0,4.2,3.9,4.2,3.9,3.9,3.7,3.767890457178681,3.5",2007,"3.9,4.3,4.0,3.8,3.6,3.3,3.0,3.0,2.7,2.7,2.5,2.45121912580466,2.4,2.4259545764315424",2023-12-19 06:50:30
6140722,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,181,202,14,0.97282,2006,"6.5,5.5,5.3,5.6,5.4,5.1,4.6,4.3,4.0,3.7,3.4,3.2,2.9000000000000004,2.6",2007,"4.3,4.3,4.3,4.1,3.8,3.5,3.2,3.1,2.8,2.5,2.3,2.0,1.7,1.4",2023-12-19 16:33:16
6995945,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,181,202,14,0.92265,2006,"5.5,5.4,5.4,5.5,5.5,5.2,4.9,4.6,4.3,4.1,3.8,3.6,3.3000000000000003,3.6",2007,"3.9,4.2,4.4,4.2,3.9,4.2,3.9,3.6,3.3,3.5,3.3,3.0,2.7,2.4000000000000004",2023-12-20 10:47:02
174227,The Fund For Peace,Fragile State Index,Total,2023,181,202,14,0.93756,2006,"62.6,60.9,59.9,61.3,60.2,59.8,59.5,57.4,56.9,54.2,52.9,50.9,49.36140868153144,47.8",2008,"48.8,48.6,48.8,47.1,47.4,45.3,45.3,42.6,44.9,44.3,42.47488888000861,40.5,38.22181460375541,39.00000000000001",2023-12-13 05:42:07
1903757,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,181,202,14,0.90985,2006,"3.5,3.4,3.4,4.3,4.1,4.1,4.4,4.1,3.8,3.5,3.2,3.0,2.7,2.5",2008,"2.0,2.0,2.1,2.3,2.6,2.3,2.6,2.3,2.0,1.8,2.1,1.8,1.5326605093420147,1.2",2023-12-15 01:17:08
2461422,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,181,202,14,0.93988,2006,"5.4,5.2,5.2,5.5,5.6,6.0,6.0,6.3,6.6,6.8,7.0,6.8,6.5,6.2",2008,"4.2,4.3,4.8,5.0,5.3,5.0,5.6,5.9,6.5,6.9,6.6000000000000005,6.3,6.0,5.7",2023-12-15 13:25:19
3218469,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,181,202,14,0.94936,2006,"6.0,6.1,6.1,5.8,5.6,5.8,5.6,5.3,5.0,4.7,4.4,4.2,3.9,3.6",2008,"6.2,5.8,5.6,5.2,4.9,4.6,4.3,4.0,3.7,3.5,3.2,2.9,2.6,2.6",2023-12-16 13:34:28
4415057,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,181,202,14,0.92653,2006,"5.5,5.2,5.2,5.1,4.9,5.0,5.0,4.7,4.4,4.5,4.2,4.5,4.2,4.5",2008,"5.3,5.4,5.2,5.1,4.8,4.5,4.5,4.2,3.9,4.2,3.9,4.0,4.026438092545177,4.1",2023-12-18 05:57:14
5671255,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,181,202,14,0.95747,2006,"4.8,4.8,4.8,4.5,4.3,4.0,4.2,3.9,4.2,3.9,3.9,3.7,3.767890457178681,3.5",2008,"4.3,4.0,3.8,3.6,3.3,3.0,3.0,2.7,2.7,2.5,2.45121912580466,2.4,2.4259545764315424,2.3",2023-12-19 06:50:30
6140723,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,181,202,14,0.92618,2006,"6.5,5.5,5.3,5.6,5.4,5.1,4.6,4.3,4.0,3.7,3.4,3.2,2.9000000000000004,2.6",2008,"4.3,4.3,4.1,3.8,3.5,3.2,3.1,2.8,2.5,2.3,2.0,1.7,1.4,2.4",2023-12-19 16:33:16
6995946,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,181,202,14,0.94719,2006,"5.5,5.4,5.4,5.5,5.5,5.2,4.9,4.6,4.3,4.1,3.8,3.6,3.3000000000000003,3.6",2008,"4.2,4.4,4.2,3.9,4.2,3.9,3.6,3.3,3.5,3.3,3.0,2.7,2.4000000000000004,2.1",2023-12-20 10:47:02
173557,The Fund For Peace,Fragile State Index,Total,2023,181,202,13,0.92366,2006,"62.6,60.9,59.9,61.3,60.2,59.8,59.5,57.4,56.9,54.2,52.9,50.9,49.36140868153144",2008,"48.8,48.6,48.8,47.1,47.4,45.3,45.3,42.6,44.9,44.3,42.47488888000861,40.5,38.22181460375541",2023-12-13 05:41:22
2461337,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,181,202,13,0.93985,2006,"5.4,5.2,5.2,5.5,5.6,6.0,6.0,6.3,6.6,6.8,7.0,6.8,6.5",2008,"4.2,4.3,4.8,5.0,5.3,5.0,5.6,5.9,6.5,6.9,6.6000000000000005,6.3,6.0",2023-12-15 13:25:13
3217986,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,181,202,13,0.95011,2006,"6.0,6.1,6.1,5.8,5.6,5.8,5.6,5.3,5.0,4.7,4.4,4.2,3.9",2008,"6.2,5.8,5.6,5.2,4.9,4.6,4.3,4.0,3.7,3.5,3.2,2.9,2.6",2023-12-16 13:33:52
4414984,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,181,202,13,0.92342,2006,"5.5,5.2,5.2,5.1,4.9,5.0,5.0,4.7,4.4,4.5,4.2,4.5,4.2",2008,"5.3,5.4,5.2,5.1,4.8,4.5,4.5,4.2,3.9,4.2,3.9,4.0,4.026438092545177",2023-12-18 05:57:10
5306586,The Fund For Peace,Fragile State Index,P2: Public Services,2023,181,202,13,0.9227,2006,"5.3,5.2,5.2,5.0,4.8,4.5,4.4,4.3,4.6,4.3,4.0,3.8,3.710357407219053",2008,"4.1,4.0,3.8,3.6,3.8,3.5,3.2,2.9,2.6,2.4,2.1,2.0,2.1367614254366787",2023-12-18 22:48:04
5671103,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,181,202,13,0.96052,2006,"4.8,4.8,4.8,4.5,4.3,4.0,4.2,3.9,4.2,3.9,3.9,3.7,3.767890457178681",2008,"4.3,4.0,3.8,3.6,3.3,3.0,3.0,2.7,2.7,2.5,2.45121912580466,2.4,2.4259545764315424",2023-12-19 06:50:13
6140507,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,181,202,13,0.9661,2006,"6.5,5.5,5.3,5.6,5.4,5.1,4.6,4.3,4.0,3.7,3.4,3.2,2.9000000000000004",2008,"4.3,4.3,4.1,3.8,3.5,3.2,3.1,2.8,2.5,2.3,2.0,1.7,1.4",2023-12-19 16:33:03
6995708,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,181,202,13,0.96278,2006,"5.5,5.4,5.4,5.5,5.5,5.2,4.9,4.6,4.3,4.1,3.8,3.6,3.3000000000000003",2008,"4.2,4.4,4.2,3.9,4.2,3.9,3.6,3.3,3.5,3.3,3.0,2.7,2.4000000000000004",2023-12-20 10:46:48
173556,The Fund For Peace,Fragile State Index,Total,2023,181,202,13,0.90036,2006,"62.6,60.9,59.9,61.3,60.2,59.8,59.5,57.4,56.9,54.2,52.9,50.9,49.36140868153144",2007,"49.3,48.8,48.6,48.8,47.1,47.4,45.3,45.3,42.6,44.9,44.3,42.47488888000861,40.5",2023-12-13 05:41:22
2461336,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,181,202,13,0.97919,2006,"5.4,5.2,5.2,5.5,5.6,6.0,6.0,6.3,6.6,6.8,7.0,6.8,6.5",2007,"4.4,4.2,4.3,4.8,5.0,5.3,5.0,5.6,5.9,6.5,6.9,6.6000000000000005,6.3",2023-12-15 13:25:13
3217985,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,181,202,13,0.94821,2006,"6.0,6.1,6.1,5.8,5.6,5.8,5.6,5.3,5.0,4.7,4.4,4.2,3.9",2007,"6.5,6.2,5.8,5.6,5.2,4.9,4.6,4.3,4.0,3.7,3.5,3.2,2.9",2023-12-16 13:33:52
4414983,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,181,202,13,0.90425,2006,"5.5,5.2,5.2,5.1,4.9,5.0,5.0,4.7,4.4,4.5,4.2,4.5,4.2",2007,"5.5,5.3,5.4,5.2,5.1,4.8,4.5,4.5,4.2,3.9,4.2,3.9,4.0",2023-12-18 05:57:10
5306585,The Fund For Peace,Fragile State Index,P2: Public Services,2023,181,202,13,0.92309,2006,"5.3,5.2,5.2,5.0,4.8,4.5,4.4,4.3,4.6,4.3,4.0,3.8,3.710357407219053",2007,"4.1,4.1,4.0,3.8,3.6,3.8,3.5,3.2,2.9,2.6,2.4,2.1,2.0",2023-12-18 22:48:04
5671102,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,181,202,13,0.92182,2006,"4.8,4.8,4.8,4.5,4.3,4.0,4.2,3.9,4.2,3.9,3.9,3.7,3.767890457178681",2007,"3.9,4.3,4.0,3.8,3.6,3.3,3.0,3.0,2.7,2.7,2.5,2.45121912580466,2.4",2023-12-19 06:50:13
6140506,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,181,202,13,0.96625,2006,"6.5,5.5,5.3,5.6,5.4,5.1,4.6,4.3,4.0,3.7,3.4,3.2,2.9000000000000004",2007,"4.3,4.3,4.3,4.1,3.8,3.5,3.2,3.1,2.8,2.5,2.3,2.0,1.7",2023-12-19 16:33:03
6995707,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,181,202,13,0.93787,2006,"5.5,5.4,5.4,5.5,5.5,5.2,4.9,4.6,4.3,4.1,3.8,3.6,3.3000000000000003",2007,"3.9,4.2,4.4,4.2,3.9,4.2,3.9,3.6,3.3,3.5,3.3,3.0,2.7",2023-12-20 10:46:48
173555,The Fund For Peace,Fragile State Index,Total,2023,181,202,13,0.91379,2006,"62.6,60.9,59.9,61.3,60.2,59.8,59.5,57.4,56.9,54.2,52.9,50.9,49.36140868153144",2006,"49.9,49.3,48.8,48.6,48.8,47.1,47.4,45.3,45.3,42.6,44.9,44.3,42.47488888000861",2023-12-13 05:41:22
2461335,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,181,202,13,0.90988,2006,"5.4,5.2,5.2,5.5,5.6,6.0,6.0,6.3,6.6,6.8,7.0,6.8,6.5",2006,"4.4,4.4,4.2,4.3,4.8,5.0,5.3,5.0,5.6,5.9,6.5,6.9,6.6000000000000005",2023-12-15 13:25:13
3217984,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,181,202,13,0.95973,2006,"6.0,6.1,6.1,5.8,5.6,5.8,5.6,5.3,5.0,4.7,4.4,4.2,3.9",2006,"6.5,6.5,6.2,5.8,5.6,5.2,4.9,4.6,4.3,4.0,3.7,3.5,3.2",2023-12-16 13:33:52
4414982,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,181,202,13,0.94898,2006,"5.5,5.2,5.2,5.1,4.9,5.0,5.0,4.7,4.4,4.5,4.2,4.5,4.2",2006,"5.5,5.5,5.3,5.4,5.2,5.1,4.8,4.5,4.5,4.2,3.9,4.2,3.9",2023-12-18 05:57:10
5306584,The Fund For Peace,Fragile State Index,P2: Public Services,2023,181,202,13,0.93268,2006,"5.3,5.2,5.2,5.0,4.8,4.5,4.4,4.3,4.6,4.3,4.0,3.8,3.710357407219053",2006,"4.3,4.1,4.1,4.0,3.8,3.6,3.8,3.5,3.2,2.9,2.6,2.4,2.1",2023-12-18 22:48:04
5671101,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,181,202,13,0.91994,2006,"4.8,4.8,4.8,4.5,4.3,4.0,4.2,3.9,4.2,3.9,3.9,3.7,3.767890457178681",2006,"4.6,3.9,4.3,4.0,3.8,3.6,3.3,3.0,3.0,2.7,2.7,2.5,2.45121912580466",2023-12-19 06:50:13
6140505,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,181,202,13,0.98021,2006,"6.5,5.5,5.3,5.6,5.4,5.1,4.6,4.3,4.0,3.7,3.4,3.2,2.9000000000000004",2006,"4.5,4.3,4.3,4.3,4.1,3.8,3.5,3.2,3.1,2.8,2.5,2.3,2.0",2023-12-19 16:33:02
6995706,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,181,202,13,0.91529,2006,"5.5,5.4,5.4,5.5,5.5,5.2,4.9,4.6,4.3,4.1,3.8,3.6,3.3000000000000003",2006,"4.0,3.9,4.2,4.4,4.2,3.9,4.2,3.9,3.6,3.3,3.5,3.3,3.0",2023-12-20 10:46:47
174969,The Fund For Peace,Fragile State Index,Total,2023,181,142,15,0.95186,2006,"62.6,60.9,59.9,61.3,60.2,59.8,59.5,57.4,56.9,54.2,52.9,50.9,49.36140868153144,47.8,46.65460149468231",2006,"82.5,85.7,85.7,85.1,83.8,81.2,78.7,76.5,75.1,73.0,73.2,72.0,69.54603613998039,67.1,65.97954327737929",2023-12-13 05:43:02
1903782,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,181,142,15,0.90623,2006,"3.5,3.4,3.4,4.3,4.1,4.1,4.4,4.1,3.8,3.5,3.2,3.0,2.7,2.5,2.401909752989619",2006,"5.5,6.3,6.5,8.0,7.8,7.8,7.5,7.2,6.9,6.6,6.3,6.1,5.8,5.5,5.373892370374437",2023-12-15 01:17:11
2304318,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,181,142,15,0.92966,2006,"4.1,4.5,4.7,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.4,5.4,5.7,5.7,5.7",2006,"6.8,7.5,7.7,8.0,8.0,8.0,8.0,7.7,7.8,7.8,8.3,8.3,8.3,8.3,8.3",2023-12-15 10:14:23
3219015,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,181,142,15,0.97973,2006,"6.0,6.1,6.1,5.8,5.6,5.8,5.6,5.3,5.0,4.7,4.4,4.2,3.9,3.6,3.3000000000000003",2006,"7.5,7.5,7.2,7.0,6.8,6.5,6.2,5.9,5.6,5.3,5.0,4.8,4.5,4.2,3.9",2023-12-16 13:35:03
4415104,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,181,142,15,0.90729,2006,"5.5,5.2,5.2,5.1,4.9,5.0,5.0,4.7,4.4,4.5,4.2,4.5,4.2,4.5,4.909004324322407",2006,"8.0,8.4,8.4,8.0,7.8,7.5,7.2,6.9,6.6,6.4,6.3,6.6,6.388532468382307,6.7,7.0",2023-12-18 05:57:17
5306866,The Fund For Peace,Fragile State Index,P2: Public Services,2023,181,142,15,0.95293,2006,"5.3,5.2,5.2,5.0,4.8,4.5,4.4,4.3,4.6,4.3,4.0,3.8,3.710357407219053,3.4,3.2691941359262167",2006,"7.0,7.1,7.0,6.7,6.7,6.3,6.0,5.7,5.4,5.4,5.1,4.9,4.7427387249033925,4.5,4.7060704179532",2023-12-18 22:48:25
6140942,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,181,142,15,0.9718,2006,"6.5,5.5,5.3,5.6,5.4,5.1,4.6,4.3,4.0,3.7,3.4,3.2,2.9000000000000004,2.6,2.3000000000000003",2006,"7.0,7.0,7.0,6.6,6.4,6.1,5.8,5.9,5.6,5.3,5.0,4.8,4.5,4.2,3.9",2023-12-19 16:33:30
174225,The Fund For Peace,Fragile State Index,Total,2023,181,202,14,0.93878,2006,"62.6,60.9,59.9,61.3,60.2,59.8,59.5,57.4,56.9,54.2,52.9,50.9,49.36140868153144,47.8",2006,"49.9,49.3,48.8,48.6,48.8,47.1,47.4,45.3,45.3,42.6,44.9,44.3,42.47488888000861,40.5",2023-12-13 05:42:07
3218467,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,181,202,14,0.9648,2006,"6.0,6.1,6.1,5.8,5.6,5.8,5.6,5.3,5.0,4.7,4.4,4.2,3.9,3.6",2006,"6.5,6.5,6.2,5.8,5.6,5.2,4.9,4.6,4.3,4.0,3.7,3.5,3.2,2.9",2023-12-16 13:34:28
4415055,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,181,202,14,0.94269,2006,"5.5,5.2,5.2,5.1,4.9,5.0,5.0,4.7,4.4,4.5,4.2,4.5,4.2,4.5",2006,"5.5,5.5,5.3,5.4,5.2,5.1,4.8,4.5,4.5,4.2,3.9,4.2,3.9,4.0",2023-12-18 05:57:14
5306721,The Fund For Peace,Fragile State Index,P2: Public Services,2023,181,202,14,0.94874,2006,"5.3,5.2,5.2,5.0,4.8,4.5,4.4,4.3,4.6,4.3,4.0,3.8,3.710357407219053,3.4",2006,"4.3,4.1,4.1,4.0,3.8,3.6,3.8,3.5,3.2,2.9,2.6,2.4,2.1,2.0",2023-12-18 22:48:14
5671253,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,181,202,14,0.92833,2006,"4.8,4.8,4.8,4.5,4.3,4.0,4.2,3.9,4.2,3.9,3.9,3.7,3.767890457178681,3.5",2006,"4.6,3.9,4.3,4.0,3.8,3.6,3.3,3.0,3.0,2.7,2.7,2.5,2.45121912580466,2.4",2023-12-19 06:50:30
6140721,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,181,202,14,0.9834,2006,"6.5,5.5,5.3,5.6,5.4,5.1,4.6,4.3,4.0,3.7,3.4,3.2,2.9000000000000004,2.6",2006,"4.5,4.3,4.3,4.3,4.1,3.8,3.5,3.2,3.1,2.8,2.5,2.3,2.0,1.7",2023-12-19 16:33:16
6995944,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,181,202,14,0.90268,2006,"5.5,5.4,5.4,5.5,5.5,5.2,4.9,4.6,4.3,4.1,3.8,3.6,3.3000000000000003,3.6",2006,"4.0,3.9,4.2,4.4,4.2,3.9,4.2,3.9,3.6,3.3,3.5,3.3,3.0,2.7",2023-12-20 10:47:02
175498,The Fund For Peace,Fragile State Index,Total,2023,181,202,17,0.91257,2006,"62.6,60.9,59.9,61.3,60.2,59.8,59.5,57.4,56.9,54.2,52.9,50.9,49.36140868153144,47.8,46.65460149468231,51.0,50.8",2007,"49.3,48.8,48.6,48.8,47.1,47.4,45.3,45.3,42.6,44.9,44.3,42.47488888000861,40.5,38.22181460375541,39.00000000000001,37.1,37.8",2023-12-13 05:43:41
1903836,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,181,202,17,0.90459,2006,"3.5,3.4,3.4,4.3,4.1,4.1,4.4,4.1,3.8,3.5,3.2,3.0,2.7,2.5,2.401909752989619,2.1,2.2",2007,"2.0,2.0,2.0,2.1,2.3,2.6,2.3,2.6,2.3,2.0,1.8,2.1,1.8,1.5326605093420147,1.2,0.9,1.2",2023-12-15 01:17:15
