unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
31096662,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,183,238,20,0.96176,2000,"3.54,3.4,3.05,2.45,1.97,1.74,1.64,1.37,1.31,1.33,1.22,1.09,1.04,1.05,1.1,1.21,1.24,1.25,1.23,1.2",2000,"2.44,2.5,2.53,2.24,2.04,2.0,2.01,1.78,1.87,1.82,1.88,1.72,1.8,1.82,1.81,1.82,1.72,1.81,1.97,1.89",2024-01-16 22:58:05,Military Sector
31452560,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,183,238,20,0.91824,2000,"7.7,6.9,6.1,5.3,4.7,5.1,6.0,6.0,7.1,7.7,7.4,7.3,7.6,7.6,8.2,9.1,9.2,9.7,9.7,9.8",2000,"167.5,157.3,103.5,81.1,84.1,104.6,118.1,124.9,170.0,172.3,225.0,244.8,273.6,308.4,304.3,284.3,288.6,339.2,368.5,333.6",2024-01-17 08:43:24,Military Sector
32049778,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,183,238,20,0.9657,2000,"16.26,15.18,12.71,11.42,9.7,7.69,7.98,6.09,5.82,5.94,5.11,4.44,4.24,4.03,4.01,4.57,4.94,4.98,4.68,4.25",2000,"8.41,8.25,8.4,7.4,7.03,6.98,6.85,6.09,6.52,6.14,6.28,5.99,5.97,5.78,5.69,5.89,5.79,6.04,6.42,6.07",2024-01-18 12:43:42,Military Sector
31096712,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,183,215,22,0.95344,2000,"3.54,3.4,3.05,2.45,1.97,1.74,1.64,1.37,1.31,1.33,1.22,1.09,1.04,1.05,1.1,1.21,1.24,1.25,1.23,1.2,1.47,1.51",2000,"1.83,1.71,1.64,1.6,1.44,1.41,1.32,1.3,1.16,1.16,1.19,1.1,1.13,1.11,1.13,1.07,1.05,1.02,1.03,1.09,1.15,1.19",2024-01-16 22:58:07,Military Sector
32049839,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,183,215,22,0.96518,2000,"16.26,15.18,12.71,11.42,9.7,7.69,7.98,6.09,5.82,5.94,5.11,4.44,4.24,4.03,4.01,4.57,4.94,4.98,4.68,4.25,4.4,4.81",2000,"3.49,3.3,3.1,3.0,2.78,2.74,2.63,2.69,2.38,2.26,2.4,2.26,2.27,2.2,2.27,2.2,2.16,2.12,2.12,2.28,2.25,2.39",2024-01-18 12:43:48,Military Sector
31096711,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,183,197,22,0.96601,2000,"3.54,3.4,3.05,2.45,1.97,1.74,1.64,1.37,1.31,1.33,1.22,1.09,1.04,1.05,1.1,1.21,1.24,1.25,1.23,1.2,1.47,1.51",2001,"4.03,4.21,3.45,2.97,2.27,2.17,2.25,2.13,2.16,2.09,2.0,1.97,1.9,1.94,1.83,1.75,1.84,1.61,2.21,2.1,2.01,2.28",2024-01-16 22:58:07,Military Sector
32049835,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,183,197,22,0.9526,2000,"16.26,15.18,12.71,11.42,9.7,7.69,7.98,6.09,5.82,5.94,5.11,4.44,4.24,4.03,4.01,4.57,4.94,4.98,4.68,4.25,4.4,4.81",2001,"11.91,9.81,8.23,7.28,5.71,5.12,5.33,4.98,5.04,4.87,4.81,4.37,4.49,4.33,4.28,4.17,4.58,3.97,5.27,4.36,4.31,5.25",2024-01-18 12:43:48,Military Sector
31096710,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,183,197,22,0.96548,2000,"3.54,3.4,3.05,2.45,1.97,1.74,1.64,1.37,1.31,1.33,1.22,1.09,1.04,1.05,1.1,1.21,1.24,1.25,1.23,1.2,1.47,1.51",2000,"5.15,4.03,4.21,3.45,2.97,2.27,2.17,2.25,2.13,2.16,2.09,2.0,1.97,1.9,1.94,1.83,1.75,1.84,1.61,2.21,2.1,2.01",2024-01-16 22:58:07,Military Sector
32049834,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,183,197,22,0.94594,2000,"16.26,15.18,12.71,11.42,9.7,7.69,7.98,6.09,5.82,5.94,5.11,4.44,4.24,4.03,4.01,4.57,4.94,4.98,4.68,4.25,4.4,4.81",2000,"16.43,11.91,9.81,8.23,7.28,5.71,5.12,5.33,4.98,5.04,4.87,4.81,4.37,4.49,4.33,4.28,4.17,4.58,3.97,5.27,4.36,4.31",2024-01-18 12:43:48,Military Sector
31096717,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,183,69,22,0.94392,2000,"3.54,3.4,3.05,2.45,1.97,1.74,1.64,1.37,1.31,1.33,1.22,1.09,1.04,1.05,1.1,1.21,1.24,1.25,1.23,1.2,1.47,1.51",2001,"4.35,3.72,3.24,3.07,2.81,2.31,1.9,1.52,1.2,1.15,1.09,0.87,0.81,0.77,0.71,0.68,0.68,0.65,0.58,0.52,0.49,0.9",2024-01-16 22:58:08,Military Sector
