unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
2624134,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,1,129,16,0.92561,2006,"9.1,9.1,9.5,9.6,9.7,9.3,9.4,9.2,8.7,8.9,8.6,8.4,8.1,7.8,7.5,7.2",2007,"5.1,5.1,5.6,5.4,5.2,5.2,4.9,4.9,4.6,4.3,4.1,3.8,3.5,3.2,3.3,3.6",2023-12-15 16:27:19,Social Sector
4643067,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,1,129,16,0.9053,2006,"7.0,7.0,7.0,7.2,7.2,7.2,7.4,7.2,7.8,8.1,8.4,8.2,8.1,7.8,7.5,7.0",2007,"5.0,5.0,5.0,5.3,4.9,5.2,5.5,5.8,6.1,6.4,6.7,7.0,6.7,6.4,6.1,5.8",2023-12-18 10:04:32,Human Rights Development
7226239,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,1,129,16,0.90781,2006,"10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.9,9.8,9.9,9.7,9.4,9.1,8.63212854734157,8.3",2007,"7.5,7.5,7.8,8.0,8.3,8.0,7.7,7.6,7.3,7.0,6.8,6.5,6.2,5.9,5.6,5.3",2023-12-20 15:14:38,Sovereignty
1038583,The Fund For Peace,Fragile State Index,Total,2023,1,129,15,0.90593,2006,"99.8,102.3,105.4,108.2,109.3,107.5,106.0,106.7,106.5,107.9,107.9,107.3,106.62076809859944,105.0,102.90118710068992",2007,"76.5,76.7,81.6,82.6,83.2,82.5,82.7,83.1,83.6,84.2,84.0,83.57162962089447,80.9,79.53029880171496,79.49999999999999",2023-12-14 03:38:16,Finance Economy Sector
2624072,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,1,129,15,0.95345,2006,"9.1,9.1,9.5,9.6,9.7,9.3,9.4,9.2,8.7,8.9,8.6,8.4,8.1,7.8,7.5",2007,"5.1,5.1,5.6,5.4,5.2,5.2,4.9,4.9,4.6,4.3,4.1,3.8,3.5,3.2,3.3",2023-12-15 16:27:15,Social Sector
4643045,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,1,129,15,0.94142,2006,"7.0,7.0,7.0,7.2,7.2,7.2,7.4,7.2,7.8,8.1,8.4,8.2,8.1,7.8,7.5",2007,"5.0,5.0,5.0,5.3,4.9,5.2,5.5,5.8,6.1,6.4,6.7,7.0,6.7,6.4,6.1",2023-12-18 10:04:31,Human Rights Development
1038473,The Fund For Peace,Fragile State Index,Total,2023,1,129,14,0.90307,2006,"99.8,102.3,105.4,108.2,109.3,107.5,106.0,106.7,106.5,107.9,107.9,107.3,106.62076809859944,105.0",2007,"76.5,76.7,81.6,82.6,83.2,82.5,82.7,83.1,83.6,84.2,84.0,83.57162962089447,80.9,79.53029880171496",2023-12-14 03:38:09,Finance Economy Sector
2624011,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,1,129,14,0.9525,2006,"9.1,9.1,9.5,9.6,9.7,9.3,9.4,9.2,8.7,8.9,8.6,8.4,8.1,7.8",2007,"5.1,5.1,5.6,5.4,5.2,5.2,4.9,4.9,4.6,4.3,4.1,3.8,3.5,3.2",2023-12-15 16:27:12,Social Sector
4643000,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,1,129,14,0.95016,2006,"7.0,7.0,7.0,7.2,7.2,7.2,7.4,7.2,7.8,8.1,8.4,8.2,8.1,7.8",2007,"5.0,5.0,5.0,5.3,4.9,5.2,5.5,5.8,6.1,6.4,6.7,7.0,6.7,6.4",2023-12-18 10:04:28,Human Rights Development
2624156,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,1,26,17,0.93207,2006,"9.1,9.1,9.5,9.6,9.7,9.3,9.4,9.2,8.7,8.9,8.6,8.4,8.1,7.8,7.5,7.2,8.2",2006,"7.0,7.0,7.3,7.5,7.7,7.7,7.4,7.1,6.8,6.5,6.2,6.0,5.7,5.4,5.9,5.6,6.1",2023-12-15 16:27:20,Social Sector
7226266,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,1,26,17,0.93265,2006,"10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.9,9.8,9.9,9.7,9.4,9.1,8.63212854734157,8.3,8.0",2006,"6.0,5.9,6.4,6.8,6.7,6.9,6.6,6.3,6.3,6.2,6.0,5.8,5.5,5.2,4.948956606911955,4.6,4.3",2023-12-20 15:14:40,Sovereignty
2624141,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,1,109,17,0.90178,2006,"9.1,9.1,9.5,9.6,9.7,9.3,9.4,9.2,8.7,8.9,8.6,8.4,8.1,7.8,7.5,7.2,8.2",2006,"4.5,4.3,4.3,4.5,4.5,4.3,4.0,4.0,4.0,3.9,3.6,3.4,3.1,2.8,2.5,2.2,1.9",2023-12-15 16:27:19,Social Sector
7226242,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,1,109,17,0.96061,2006,"10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.9,9.8,9.9,9.7,9.4,9.1,8.63212854734157,8.3,8.0",2006,"6.1,6.0,6.0,6.3,6.1,6.3,6.0,6.3,6.0,5.7,6.0,5.8,5.5,5.2,4.985097858913624,4.7,4.8",2023-12-20 15:14:39,Sovereignty
