country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,country_a_id_fk
14,1990,1990,30,4,0.9709541176470587,1,4.782572470588235,208
153,1990,1992,30,4,0.9614841176470589,1,4.776890470588236,208
13,1990,1991,32,3,0.9847273333333333,1,4.690836399999999,208
13,1990,1990,32,3,0.9838186666666666,1,4.6902912,208
14,1990,1990,32,3,0.982858,1,4.6897148,208
74,1990,1990,32,3,0.9823793333333334,1,4.6894276,208
21,1990,1990,32,3,0.981004,1,4.6886024,208
14,1990,1991,32,3,0.9790646666666666,1,4.6874388,208
74,1990,1991,32,3,0.9788226666666666,1,4.687293599999999,208
156,1990,1991,32,3,0.9778893333333334,1,4.686733599999999,208
156,1990,1990,32,3,0.9773346666666666,1,4.6864007999999995,208
236,1990,1990,32,3,0.9773173333333334,1,4.6863904,208
21,1990,1991,32,3,0.9769053333333333,1,4.6861432,208
44,1990,1990,32,3,0.9755246666666666,1,4.6853148,208
235,1990,1991,32,3,0.9719633333333333,1,4.683178,208
153,1990,1990,32,3,0.9712946666666666,1,4.682776799999999,208
44,1990,1991,32,3,0.969604,1,4.681762399999999,208
153,1990,1991,32,3,0.9692913333333333,1,4.6815748,208
235,1990,1990,32,3,0.9638933333333334,1,4.678336,208
200,1990,1990,32,3,0.96351,1,4.678106,208
200,1990,1991,32,3,0.96182,1,4.677092,208
153,1990,1992,29,4,0.9592570588235293,1,4.675554235294118,208
81,1990,1991,32,3,0.9554946666666667,1,4.673296799999999,208
215,1990,1991,32,3,0.9543213333333334,1,4.672592799999999,208
57,1990,1990,32,3,0.9418333333333333,1,4.6651,208
215,1990,1990,32,3,0.9415873333333332,1,4.6649524,208
57,1990,1991,32,3,0.9371326666666666,1,4.6622796,208
73,1990,1991,32,3,0.9306386666666667,1,4.658383199999999,208
73,1990,1990,32,3,0.9119593333333333,1,4.6471756,208
228,1997,2003,13,9,0.9890677777777778,1,4.593440666666667,208
153,1990,1993,28,4,0.9599935294117647,1,4.575996117647059,208
200,1990,1992,31,3,0.95884,1,4.575304,208
