unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
1861463,The Fund For Peace,Fragile State Index,Total,2023,209,79,12,0.90361,2012,"108.4,110.6,112.9,114.5,113.8,113.9,113.35731518994112,112.2,110.75219038198196,109.4,108.4,108.5",2012,"80.6,81.8,83.1,85.4,86.8,89.4,87.06418531960836,83.9,82.21463956781182,80.5,78.6,76.10000000000001",2023-12-14 18:39:42,Finance Economy Sector
2803997,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,209,79,12,0.94144,2012,"10.0,10.0,10.0,10.0,9.9,9.7,9.7,9.4,9.1,8.8,8.5,8.6",2012,"3.7,3.7,3.7,3.7,3.4,3.8,3.5,3.2,2.9000000000000004,2.6,2.7,2.8",2023-12-16 05:47:47,Social Sector
7433767,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,209,79,12,0.95067,2012,"10.0,10.0,9.9,10.0,10.0,9.8,9.624950491181016,9.4,9.45741927196228,9.3,9.1,9.2",2012,"7.2,6.9,7.2,7.5,7.2,7.0,6.7,6.4,6.397726675829536,6.1,5.8,5.5",2023-12-20 18:59:19,Sovereignty
2804105,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,209,61,12,0.96871,2012,"10.0,10.0,10.0,10.0,9.9,9.7,9.7,9.4,9.1,8.8,8.5,8.6",2012,"5.8,6.1,6.1,5.8,6.0,5.8,5.5,5.2,4.9,4.6,4.6,4.6",2023-12-16 05:47:54,Social Sector
7433932,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,209,61,12,0.9727,2012,"10.0,10.0,9.9,10.0,10.0,9.8,9.624950491181016,9.4,9.45741927196228,9.3,9.1,9.2",2012,"5.9,5.9,5.8,5.9,5.6,5.4,5.1000000000000005,4.8,4.5,4.2,3.9,3.6",2023-12-20 18:59:30,Sovereignty
2804104,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,209,61,12,0.97736,2012,"10.0,10.0,10.0,10.0,9.9,9.7,9.7,9.4,9.1,8.8,8.5,8.6",2011,"6.1,5.8,6.1,6.1,5.8,6.0,5.8,5.5,5.2,4.9,4.6,4.6",2023-12-16 05:47:54,Social Sector
7433931,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,209,61,12,0.96251,2012,"10.0,10.0,9.9,10.0,10.0,9.8,9.624950491181016,9.4,9.45741927196228,9.3,9.1,9.2",2011,"6.2,5.9,5.9,5.8,5.9,5.6,5.4,5.1000000000000005,4.8,4.5,4.2,3.9",2023-12-20 18:59:30,Sovereignty
2804034,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,209,114,12,0.97017,2012,"10.0,10.0,10.0,10.0,9.9,9.7,9.7,9.4,9.1,8.8,8.5,8.6",2012,"8.9,9.0,9.3,9.0,9.1,8.9,8.9,8.6,8.299999999999999,8.0,8.0,8.0",2023-12-16 05:47:49,Social Sector
7433868,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,209,114,12,0.96731,2012,"10.0,10.0,9.9,10.0,10.0,9.8,9.624950491181016,9.4,9.45741927196228,9.3,9.1,9.2",2012,"8.4,8.5,8.2,8.0,8.3,8.1,7.8,7.5,7.2,6.9,6.6,6.9",2023-12-20 18:59:26,Sovereignty
2804170,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,209,129,12,0.97184,2012,"10.0,10.0,10.0,10.0,9.9,9.7,9.7,9.4,9.1,8.8,8.5,8.6",2010,"5.4,5.2,5.2,4.9,4.9,4.6,4.3,4.1,3.8,3.5,3.2,3.3",2023-12-16 05:47:57,Social Sector
