country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,Power
58,2006,2006,15,3,0.9419433333333332,2.965166
58,2006,2006,17,2,0.945465,2.8672790000000004
58,2006,2006,16,2,0.946455,2.7678730000000002
165,2006,2006,16,2,0.935415,2.7612490000000003
104,2006,2006,16,2,0.92473,2.7548380000000003
248,2006,2008,16,2,0.923065,2.753839
74,2006,2006,16,2,0.918185,2.7509110000000003
156,2006,2006,16,2,0.90866,2.745196
65,2006,2006,16,2,0.906435,2.743861
33,2006,2009,15,2,0.9476800000000001,2.668608
63,2006,2007,15,2,0.93885,2.66331
165,2006,2006,15,2,0.9294450000000001,2.657667
156,2006,2006,15,2,0.92321,2.6539260000000002
104,2006,2006,15,2,0.92108,2.652648
74,2006,2006,15,2,0.914795,2.648877
58,2006,2006,14,2,0.96189,2.577134
165,2006,2006,17,1,0.95559,2.573354
63,2006,2007,17,1,0.95341,2.572046
123,2006,2007,17,1,0.94166,2.564996
114,2006,2006,17,1,0.94007,2.5640419999999997
215,2006,2006,17,1,0.94003,2.564018
98,2006,2006,17,1,0.93795,2.56277
63,2006,2007,14,2,0.935235,2.561141
57,2006,2006,17,1,0.93211,2.559266
65,2006,2006,17,1,0.92626,2.5557559999999997
156,2006,2006,17,1,0.92606,2.555636
104,2006,2006,17,1,0.92341,2.554046
109,2006,2006,17,1,0.92328,2.5539680000000002
163,2006,2007,14,2,0.9228350000000001,2.553701
23,2006,2006,17,1,0.9218,2.55308
165,2006,2006,14,2,0.92072,2.552432
107,2006,2006,17,1,0.92016,2.5520959999999997
200,2006,2006,17,1,0.91892,2.551352
65,2006,2007,17,1,0.91863,2.551178
56,2006,2007,17,1,0.91798,2.550788
153,2006,2006,17,1,0.91603,2.5496179999999997
40,2006,2006,17,1,0.91298,2.5477879999999997
156,2006,2006,14,2,0.9092800000000001,2.5455680000000003
48,2006,2007,17,1,0.9091,2.54546
63,2006,2008,14,2,0.908075,2.544845
228,2006,2008,14,2,0.907465,2.544479
169,2006,2007,14,2,0.907315,2.544389
104,2006,2006,14,2,0.907315,2.544389
219,2006,2006,17,1,0.90703,2.544218
74,2006,2006,17,1,0.90701,2.544206
203,2006,2006,17,1,0.90463,2.542778
40,2006,2007,17,1,0.90369,2.542214
53,2006,2006,17,1,0.90333,2.541998
34,2006,2006,17,1,0.90294,2.5417639999999997
148,2006,2007,17,1,0.90289,2.541734
200,2006,2007,17,1,0.90266,2.541596
159,2006,2007,17,1,0.90188,2.541128
58,2006,2006,13,2,0.96551,2.479306
114,2006,2006,16,1,0.95307,2.471842
63,2006,2007,16,1,0.95148,2.470888
215,2006,2006,16,1,0.94623,2.467738
21,2006,2006,16,1,0.94574,2.467444
98,2006,2006,16,1,0.94399,2.466394
170,2006,2008,16,1,0.94145,2.4648700000000003
1,2006,2006,16,1,0.9393,2.4635800000000003
63,2006,2007,13,2,0.936785,2.462071
183,2006,2008,13,2,0.936185,2.4617109999999998
169,2006,2007,16,1,0.93518,2.4611080000000003
227,2006,2008,13,2,0.933445,2.460067
169,2006,2008,13,2,0.93242,2.4594519999999997
102,2006,2007,13,2,0.9316150000000001,2.4589689999999997
57,2006,2006,16,1,0.9304,2.45824
102,2006,2008,13,2,0.930095,2.458057
48,2006,2007,16,1,0.92955,2.45773
235,2006,2006,16,1,0.92759,2.456554
123,2006,2007,16,1,0.9261,2.45566
137,2006,2008,16,1,0.92442,2.4546520000000003
163,2006,2007,13,2,0.923435,2.454061
109,2006,2006,16,1,0.92319,2.453914
34,2006,2006,16,1,0.92287,2.453722
150,2006,2008,16,1,0.92287,2.453722
173,2006,2007,16,1,0.9226,2.45356
169,2006,2008,16,1,0.92201,2.453206
123,2006,2008,16,1,0.91751,2.4505060000000003
170,2006,2007,16,1,0.91699,2.450194
228,2006,2008,13,2,0.91689,2.450134
169,2006,2007,13,2,0.91675,2.45005
63,2006,2008,13,2,0.91591,2.449546
73,2006,2008,16,1,0.91557,2.449342
65,2006,2007,16,1,0.91547,2.449282
243,2006,2006,16,1,0.91422,2.448532
107,2006,2006,16,1,0.9141,2.44846
14,2006,2006,13,2,0.9140900000000001,2.448454
153,2006,2006,16,1,0.91188,2.447128
84,2006,2006,16,1,0.91151,2.4469060000000002
211,2006,2006,16,1,0.91134,2.446804
104,2006,2006,13,2,0.9113199999999999,2.446792
65,2006,2008,16,1,0.91014,2.446084
217,2006,2008,16,1,0.90799,2.444794
40,2006,2006,13,2,0.907375,2.444425
173,2006,2008,16,1,0.90679,2.444074
159,2006,2007,16,1,0.90395,2.4423700000000004
103,2006,2006,16,1,0.90346,2.442076
53,2006,2006,16,1,0.90321,2.441926
72,2006,2007,16,1,0.90291,2.441746
203,2006,2006,16,1,0.90141,2.440846
78,2006,2006,16,1,0.9014,2.44084
23,2006,2006,16,1,0.90132,2.440792
195,2006,2008,15,1,0.97152,2.382912
177,2006,2006,12,2,0.9702500000000001,2.38215
21,2006,2006,15,1,0.96754,2.380524
15,2006,2008,15,1,0.96705,2.38023
57,2006,2006,15,1,0.9654,2.3792400000000002
126,2006,2006,15,1,0.96091,2.3765460000000003
98,2006,2006,15,1,0.96009,2.376054
119,2006,2008,15,1,0.95873,2.375238
33,2006,2008,15,1,0.95776,2.374656
239,2006,2008,15,1,0.95734,2.374404
248,2006,2009,15,1,0.95693,2.374158
120,2006,2006,15,1,0.95558,2.373348
198,2006,2009,15,1,0.95555,2.37333
