country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,event_correlation_score,country_a_id_fk
124,2006,2006,17,7,0.9468271428571429,1,4.3680962857142855,"['Finance Economy Sector', 'Social Sector', 'Human Rights Development', 'Political State Sector', 'Sovereignty']",0,217
124,2006,2006,16,7,0.94608,1,4.267648,"['Finance Economy Sector', 'Social Sector', 'Human Rights Development', 'Political State Sector', 'Sovereignty']",0,217
124,2006,2006,15,7,0.9412585714285714,1,4.1647551428571425,"['Finance Economy Sector', 'Social Sector', 'Human Rights Development', 'Political State Sector', 'Sovereignty']",0,217
124,2006,2006,14,6,0.9446249999999999,1,3.766775,"['Finance Economy Sector', 'Political State Sector', 'Sovereignty', 'Social Sector']",0,217
124,2006,2006,13,6,0.9495533333333334,1,3.6697319999999998,"['Finance Economy Sector', 'Political State Sector', 'Sovereignty', 'Social Sector']",0,217
242,2006,2009,15,5,0.933526,1,3.5601156,"['Finance Economy Sector', 'Political State Sector', 'Human Rights Development']",0,217
133,2006,2007,14,5,0.935956,1,3.4615736000000004,"['Finance Economy Sector', 'Sovereignty', 'Social Sector', 'Human Rights Development']",0,217
242,2006,2009,14,5,0.932078,1,3.4592468000000003,"['Finance Economy Sector', 'Political State Sector', 'Human Rights Development']",0,217
133,2006,2007,16,4,0.9445250000000001,1,3.3667149999999997,"['Finance Economy Sector', 'Sovereignty', 'Social Sector', 'Human Rights Development']",0,217
248,2006,2006,16,4,0.9413225000000001,1,3.3647934999999998,"['Finance Economy Sector', 'Sovereignty', 'Social Sector', 'Human Rights Development']",0,217
242,2006,2008,16,4,0.9355975,1,3.3613584999999997,"['Finance Economy Sector', 'Political State Sector', 'Human Rights Development']",0,217
133,2006,2007,13,5,0.9315239999999999,1,3.3589143999999997,"['Finance Economy Sector', 'Sovereignty', 'Social Sector', 'Human Rights Development']",0,217
133,2006,2007,15,4,0.9444075000000001,1,3.2666445,"['Finance Economy Sector', 'Sovereignty', 'Social Sector', 'Human Rights Development']",0,217
248,2006,2006,15,4,0.9405425,1,3.2643255,"['Finance Economy Sector', 'Sovereignty', 'Social Sector', 'Human Rights Development']",0,217
242,2006,2008,15,4,0.9364175,1,3.2618505000000004,"['Finance Economy Sector', 'Political State Sector', 'Human Rights Development']",0,217
248,2006,2006,17,3,0.9477099999999999,1,3.168626,"['Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,217
133,2006,2007,17,3,0.9450500000000001,1,3.16703,"['Finance Economy Sector', 'Sovereignty', 'Human Rights Development']",0,217
84,2006,2006,17,3,0.94077,1,3.1644620000000003,"['Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,217
248,2006,2006,14,4,0.93513,1,3.161078,"['Finance Economy Sector', 'Sovereignty', 'Social Sector', 'Human Rights Development']",0,217
242,2006,2008,14,4,0.9296774999999999,1,3.1578065,"['Finance Economy Sector', 'Political State Sector', 'Human Rights Development']",0,217
31,2006,2010,14,4,0.9284224999999999,1,3.1570535,"['Finance Economy Sector', 'Political State Sector', 'Human Rights Development']",0,217
124,2006,2007,17,3,0.9235833333333333,1,3.15415,"['Political State Sector', 'Social Sector']",0,217
84,2006,2006,16,3,0.94532,1,3.067192,"['Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,217
133,2006,2006,16,3,0.9384100000000001,1,3.063046,"['Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,217
242,2006,2010,13,4,0.933425,1,3.060055,"['Finance Economy Sector', 'Political State Sector', 'Social Sector']",0,217
242,2006,2009,13,4,0.93175,1,3.05905,"['Finance Economy Sector', 'Political State Sector', 'Human Rights Development']",0,217
248,2006,2006,13,4,0.9267775,1,3.0560665,"['Finance Economy Sector', 'Sovereignty', 'Social Sector', 'Human Rights Development']",0,217
31,2006,2010,13,4,0.92281,1,3.053686,"['Finance Economy Sector', 'Political State Sector', 'Human Rights Development']",0,217
227,2006,2006,16,3,0.9195933333333333,1,3.051756,"['Social Sector', 'Human Rights Development']",0,217
236,2006,2012,12,4,0.946785,1,2.968071,"['Finance Economy Sector', 'Social Sector', 'Human Rights Development']",0,217
133,2006,2006,15,3,0.9463566666666666,1,2.9678139999999997,"['Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,217
84,2006,2006,15,3,0.9457166666666666,1,2.96743,"['Finance Economy Sector', 'Sovereignty', 'Social Sector']",0,217
228,2006,2009,15,3,0.9294266666666666,1,2.957656,"['Political State Sector', 'Social Sector', 'Human Rights Development']",0,217
145,2006,2009,15,3,0.9212600000000001,1,2.952756,"['Sovereignty', 'Social Sector']",0,217
227,2006,2006,15,3,0.9209366666666666,1,2.952562,"['Social Sector', 'Human Rights Development']",0,217
133,2006,2008,15,3,0.9112499999999999,1,2.9467499999999998,"['Sovereignty', 'Social Sector']",0,217
