unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
31199697,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,218,238,15,0.90514,2000,"2.65,2.66,2.44,2.35,2.25,2.13,1.97,2.0,2.15,2.33,2.04,2.06,2.12,1.94,1.85",2001,"2.5,2.53,2.24,2.04,2.0,2.01,1.78,1.87,1.82,1.88,1.72,1.8,1.82,1.81,1.82",2024-01-17 02:02:22
31660613,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,218,238,15,0.92747,2000,"400.6,361.0,338.3,333.3,347.1,352.8,335.0,355.8,389.3,394.8,392.1,429.7,449.6,425.4,417.3",2001,"157.3,103.5,81.1,84.1,104.6,118.1,124.9,170.0,172.3,225.0,244.8,273.6,308.4,304.3,284.3",2024-01-17 15:54:41
31199686,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,218,211,14,0.91887,2001,"2.66,2.44,2.35,2.25,2.13,1.97,2.0,2.15,2.33,2.04,2.06,2.12,1.94,1.85",2000,"5.03,4.29,3.34,2.87,3.0,2.64,2.8,3.26,3.24,3.16,2.7,2.69,2.16,2.15",2024-01-17 02:02:21
31660584,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,218,211,14,0.94053,2001,"361.0,338.3,333.3,347.1,352.8,335.0,355.8,389.3,394.8,392.1,429.7,449.6,425.4,417.3",2000,"43.8,35.7,30.0,28.2,31.9,33.0,40.2,53.2,75.6,75.6,75.6,86.0,71.8,77.5",2024-01-17 15:54:38
31199682,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,218,211,13,0.90713,2001,"2.66,2.44,2.35,2.25,2.13,1.97,2.0,2.15,2.33,2.04,2.06,2.12,1.94",2000,"5.03,4.29,3.34,2.87,3.0,2.64,2.8,3.26,3.24,3.16,2.7,2.69,2.16",2024-01-17 02:02:19
31660496,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,218,211,13,0.93578,2001,"361.0,338.3,333.3,347.1,352.8,335.0,355.8,389.3,394.8,392.1,429.7,449.6,425.4",2000,"43.8,35.7,30.0,28.2,31.9,33.0,40.2,53.2,75.6,75.6,75.6,86.0,71.8",2024-01-17 15:54:31
31197949,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,218,174,4,0.99694,2011,"2.06,2.12,1.94,1.85",2002,"1.47,1.55,1.36,1.28",2024-01-17 02:00:25
32164689,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,218,174,4,0.99285,2011,"10.22,10.52,10.02,10.09",2002,"6.92,7.32,6.76,6.82",2024-01-19 01:49:55
31197683,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,218,130,4,0.98281,2011,"2.06,2.12,1.94,1.85",2008,"0.84,0.95,0.72,0.66",2024-01-17 02:00:13
32164608,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,218,130,4,0.99556,2011,"10.22,10.52,10.02,10.09",2008,"2.88,3.34,2.6,2.76",2024-01-19 01:49:50
