country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,event_correlation_score,country_a_id_fk,event_correlation_count,similar_event_year_a,similar_raw_event,similar_event_year_b
74,1990,1990,32,7,0.9714134285714286,1,5.882848057142858,"['Unknown', 'Trade Sector']",2,21,0,,,
74,1990,1990,29,7,0.9683828571428571,1,5.581029714285714,"['Unknown', 'Trade Sector']",2,21,0,,,
235,1990,1990,32,6,0.9637159420289855,1,5.578229565217391,"['Unknown', 'Trade Sector']",0,21,0,,,
14,1990,1990,32,6,0.9579281355932204,1,5.574756881355932,"['Unknown', 'Trade Sector']",0,21,0,,,
153,1990,1990,32,6,0.9548278260869566,1,5.572896695652174,"['Unknown', 'Trade Sector']",5,21,0,,,
215,1990,1990,32,6,0.952995652173913,1,5.571797391304348,"['Unknown', 'Trade Sector']",6,21,0,,,
210,1990,1990,32,6,0.9476969565217392,1,5.568618173913044,"['Unknown', 'Trade Sector']",8,21,0,,,
216,1990,1990,32,6,0.9404721052631579,1,5.564283263157895,"['Unknown', 'Trade Sector']",0,21,0,,,
74,1990,1990,31,6,0.9773689830508474,1,5.486421389830509,"['Unknown', 'Trade Sector']",2,21,0,,,
74,1990,1990,28,7,0.96698,1,5.480188,"['Unknown', 'Trade Sector']",2,21,0,,,
74,1990,1990,30,6,0.9665610810810811,1,5.379936648648648,"['Unknown', 'Trade Sector']",2,21,0,,,
74,1990,1990,27,7,0.9653825714285714,1,5.379229542857144,"['Unknown', 'Trade Sector']",2,21,0,,,
216,1990,1990,30,6,0.9382510526315789,1,5.362950631578947,"['Unknown', 'Trade Sector']",0,21,0,,,
13,1990,1991,32,5,0.9775167796610168,1,5.28651006779661,"['Unknown', 'Trade Sector']",0,21,0,,,
13,1990,1990,32,5,0.977235593220339,1,5.286341355932204,"['Unknown', 'Trade Sector']",0,21,0,,,
44,1990,1990,32,5,0.9768767796610169,1,5.28612606779661,"['Unknown', 'Trade Sector']",2,21,0,,,
235,1990,1991,32,5,0.9755869491525423,1,5.285352169491525,"['Unknown', 'Trade Sector']",0,21,0,,,
44,1990,1991,32,5,0.9748977966101695,1,5.284938677966101,"['Unknown', 'Trade Sector']",2,21,0,,,
236,1990,1990,32,5,0.9718383050847458,1,5.283102983050847,"['Unknown', 'Trade Sector']",0,21,0,,,
74,1990,1991,32,5,0.9692572881355932,1,5.281554372881356,"['Unknown', 'Trade Sector']",2,21,0,,,
156,1990,1990,32,5,0.9673005084745763,1,5.280380305084746,"['Unknown', 'Trade Sector']",0,21,0,,,
40,1990,1990,29,6,0.966778115942029,1,5.280066869565218,"['Unknown', 'Trade Sector']",2,21,0,,,
236,1990,1990,29,6,0.9665146376811594,1,5.279908782608696,"['Unknown', 'Trade Sector']",0,21,0,,,
110,1990,1990,32,5,0.965568611111111,1,5.279341166666667,"['Unknown', 'Trade Sector']",2,21,0,,,
74,1990,1991,29,6,0.9636888405797102,1,5.278213304347826,"['Unknown', 'Trade Sector']",2,21,0,,,
215,1990,1993,29,6,0.9635653623188407,1,5.278139217391304,"['Unknown', 'Trade Sector']",4,21,0,,,
74,1990,1990,26,7,0.9635228571428572,1,5.278113714285714,"['Unknown', 'Trade Sector']",2,21,0,,,
40,1990,1991,29,6,0.9630882608695652,1,5.277852956521739,"['Unknown', 'Trade Sector']",2,21,0,,,
215,1990,1992,29,6,0.9627185507246377,1,5.2776311304347825,"['Unknown', 'Trade Sector']",4,21,0,,,
215,1990,1991,32,5,0.9624486440677966,1,5.277469186440678,"['Unknown', 'Trade Sector']",6,21,0,,,
156,1990,1991,32,5,0.9605130508474575,1,5.2763078305084745,"['Unknown', 'Trade Sector']",0,21,0,,,
235,1990,1992,29,6,0.9600360869565218,1,5.276021652173913,"['Unknown', 'Trade Sector']",0,21,0,,,
74,1990,1992,29,6,0.9596020289855073,1,5.275761217391304,"['Unknown', 'Trade Sector']",2,21,0,,,
236,1990,1991,29,6,0.9594917391304348,1,5.275695043478261,"['Unknown', 'Trade Sector']",0,21,0,,,
74,1990,1993,29,6,0.9579859420289855,1,5.274791565217392,"['Unknown', 'Trade Sector']",2,21,0,,,
