unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
3015629,The Fund For Peace,Fragile State Index,E1: Economy,2023,220,158,17,0.97042,2006,"7.0,7.4,7.2,7.5,7.2,7.4,6.9,6.8,6.7,6.7,6.4,6.2,6.26057602971615,6.2,5.916975920910515,5.8,5.9",2006,"9.0,9.2,9.2,9.2,9.2,8.9,8.6,8.4,8.1,8.2,8.0,7.5,7.282442209026627,7.1,6.8,6.8,6.5",2023-12-16 09:50:00
4712773,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,220,158,17,0.96659,2006,"6.0,6.0,6.0,6.0,6.1,5.8,6.1,6.4,6.7,7.0,7.3,7.6,7.614697806547812,7.6,7.3,7.0,6.7",2006,"6.0,6.0,6.0,6.3,6.5,6.2,6.0,6.3,6.6,6.9,7.2,7.5,7.569514875551318,7.6,7.3,7.0,6.9",2023-12-18 11:22:45
3015630,The Fund For Peace,Fragile State Index,E1: Economy,2023,220,158,17,0.96079,2006,"7.0,7.4,7.2,7.5,7.2,7.4,6.9,6.8,6.7,6.7,6.4,6.2,6.26057602971615,6.2,5.916975920910515,5.8,5.9",2007,"9.2,9.2,9.2,9.2,8.9,8.6,8.4,8.1,8.2,8.0,7.5,7.282442209026627,7.1,6.8,6.8,6.5,6.4",2023-12-16 09:50:01
4712774,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,220,158,17,0.95301,2006,"6.0,6.0,6.0,6.0,6.1,5.8,6.1,6.4,6.7,7.0,7.3,7.6,7.614697806547812,7.6,7.3,7.0,6.7",2007,"6.0,6.0,6.3,6.5,6.2,6.0,6.3,6.6,6.9,7.2,7.5,7.569514875551318,7.6,7.3,7.0,6.9,6.6",2023-12-18 11:22:45
2678650,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,220,129,17,0.97202,2006,"6.0,6.2,6.4,6.6,6.4,6.1,5.8,6.0,5.9,5.7,5.4,5.2,4.9,5.0,4.7,4.9,5.1",2007,"5.1,5.1,5.6,5.4,5.2,5.2,4.9,4.9,4.6,4.3,4.1,3.8,3.5,3.2,3.3,3.6,3.8",2023-12-15 17:26:23
4712777,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,220,129,17,0.92896,2006,"6.0,6.0,6.0,6.0,6.1,5.8,6.1,6.4,6.7,7.0,7.3,7.6,7.614697806547812,7.6,7.3,7.0,6.7",2007,"5.0,5.0,5.0,5.3,4.9,5.2,5.5,5.8,6.1,6.4,6.7,7.0,6.7,6.4,6.1,5.8,5.9",2023-12-18 11:22:45
4712762,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,220,206,17,0.97222,2006,"6.0,6.0,6.0,6.0,6.1,5.8,6.1,6.4,6.7,7.0,7.3,7.6,7.614697806547812,7.6,7.3,7.0,6.7",2006,"4.0,4.0,4.0,4.3,4.4,4.1,4.0,4.3,4.6,4.9,5.2,5.5,5.8,5.5,5.2,4.9,4.8",2023-12-18 11:22:43
6819086,The Fund For Peace,Fragile State Index,S2: Refugees and IDPs,2023,220,206,17,0.90726,2006,"6.8,7.1,7.0,7.1,7.3,7.4,7.1,6.8,6.7,6.4,6.9,6.7,6.4,6.1,5.8,5.5,5.2",2006,"5.8,6.0,7.0,7.4,7.0,6.7,6.4,6.5,6.2,5.9,5.6,5.4,5.1000000000000005,4.8,4.5,4.2,3.9",2023-12-20 07:22:48
4712761,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,220,79,17,0.93596,2006,"6.0,6.0,6.0,6.0,6.1,5.8,6.1,6.4,6.7,7.0,7.3,7.6,7.614697806547812,7.6,7.3,7.0,6.7",2006,"6.0,6.0,6.0,6.4,6.2,6.5,6.8,7.1,7.4,7.7,8.4,8.3,8.200000000000001,7.9,7.6,7.3,7.2",2023-12-18 11:22:43
6428304,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,220,79,17,0.93653,2006,"7.0,7.4,7.4,8.0,8.2,8.1,8.2,8.6,8.6,8.8,8.9,8.7,8.291312640980813,8.3,8.551544659585122,8.6,8.9",2006,"6.0,6.4,6.9,7.2,7.6,7.9,7.8,7.7,7.9,8.2,8.5,8.3,8.064185319608349,8.2,8.401335360906664,8.4,8.5",2023-12-19 22:22:43
6819087,The Fund For Peace,Fragile State Index,S2: Refugees and IDPs,2023,220,211,17,0.90084,2006,"6.8,7.1,7.0,7.1,7.3,7.4,7.1,6.8,6.7,6.4,6.9,6.7,6.4,6.1,5.8,5.5,5.2",2006,"8.2,8.6,9.0,9.3,9.4,8.6,8.7,8.4,8.5,8.2,7.9,8.4,8.1,7.8,7.5,7.2,6.9",2023-12-20 07:22:48
7290563,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,220,211,17,0.93242,2006,"7.0,7.0,7.0,6.8,7.0,7.4,7.4,7.7,7.6,7.3,7.4,7.2,6.9,7.2,6.9,6.6,6.3",2006,"6.5,6.1,6.1,6.1,6.4,6.8,6.5,6.8,6.7,6.4,6.5,6.3,6.0,6.3,6.0,5.7,5.4",2023-12-20 16:24:39
2678648,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,220,222,17,0.92806,2006,"6.0,6.2,6.4,6.6,6.4,6.1,5.8,6.0,5.9,5.7,5.4,5.2,4.9,5.0,4.7,4.9,5.1",2007,"7.1,7.1,7.3,7.5,7.1,6.8,6.8,6.8,6.5,6.7,6.5,6.2,5.9,5.6000000000000005,5.3,5.3,5.0",2023-12-15 17:26:23
4712776,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,220,222,17,0.90509,2006,"6.0,6.0,6.0,6.0,6.1,5.8,6.1,6.4,6.7,7.0,7.3,7.6,7.614697806547812,7.6,7.3,7.0,6.7",2007,"5.3,5.3,5.7,6.1,5.8,6.1,6.4,6.7,7.0,7.3,7.6,7.899999999999999,7.6,7.3,7.0,6.9,6.6",2023-12-18 11:22:45
2678642,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,220,54,17,0.93051,2006,"6.0,6.2,6.4,6.6,6.4,6.1,5.8,6.0,5.9,5.7,5.4,5.2,4.9,5.0,4.7,4.9,5.1",2006,"5.5,5.5,5.5,5.5,5.5,5.1,4.8,4.8,4.8,4.5,4.2,4.0,3.7,3.4,3.1,2.8,2.5",2023-12-15 17:26:22
6819089,The Fund For Peace,Fragile State Index,S2: Refugees and IDPs,2023,220,54,17,0.90188,2006,"6.8,7.1,7.0,7.1,7.3,7.4,7.1,6.8,6.7,6.4,6.9,6.7,6.4,6.1,5.8,5.5,5.2",2006,"4.7,4.7,4.7,5.9,5.7,5.4,5.0,5.3,5.0,4.5,4.2,4.0,3.7,3.4,3.1,3.0,2.7",2023-12-20 07:22:48
2678629,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,220,79,17,0.91446,2006,"6.0,6.2,6.4,6.6,6.4,6.1,5.8,6.0,5.9,5.7,5.4,5.2,4.9,5.0,4.7,4.9,5.1",2007,"4.2,4.2,4.4,4.6,4.0,3.7,3.7,3.7,3.7,3.4,3.8,3.5,3.2,2.9000000000000004,2.6,2.7,2.8",2023-12-15 17:26:21
6428305,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,220,79,17,0.91638,2006,"7.0,7.4,7.4,8.0,8.2,8.1,8.2,8.6,8.6,8.8,8.9,8.7,8.291312640980813,8.3,8.551544659585122,8.6,8.9",2007,"6.4,6.9,7.2,7.6,7.9,7.8,7.7,7.9,8.2,8.5,8.3,8.064185319608349,8.2,8.401335360906664,8.4,8.5,8.2",2023-12-19 22:22:43
2678638,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,220,162,17,0.92753,2006,"6.0,6.2,6.4,6.6,6.4,6.1,5.8,6.0,5.9,5.7,5.4,5.2,4.9,5.0,4.7,4.9,5.1",2006,"7.2,7.2,7.2,7.2,7.2,6.9,6.6,6.6,6.6,6.3,6.0,5.8,5.8,5.8,5.5,5.2,4.9",2023-12-15 17:26:22
3015624,The Fund For Peace,Fragile State Index,E1: Economy,2023,220,162,17,0.90197,2006,"7.0,7.4,7.2,7.5,7.2,7.4,6.9,6.8,6.7,6.7,6.4,6.2,6.26057602971615,6.2,5.916975920910515,5.8,5.9",2006,"9.5,9.6,9.6,9.6,9.6,9.2,9.3,9.3,9.0,9.0,8.9,8.9,8.9,8.9,8.6,8.9,8.6",2023-12-16 09:50:00
2678644,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,220,26,17,0.92582,2006,"6.0,6.2,6.4,6.6,6.4,6.1,5.8,6.0,5.9,5.7,5.4,5.2,4.9,5.0,4.7,4.9,5.1",2006,"7.0,7.0,7.3,7.5,7.7,7.7,7.4,7.1,6.8,6.5,6.2,6.0,5.7,5.4,5.9,5.6,6.1",2023-12-15 17:26:22
6819091,The Fund For Peace,Fragile State Index,S2: Refugees and IDPs,2023,220,26,17,0.90118,2006,"6.8,7.1,7.0,7.1,7.3,7.4,7.1,6.8,6.7,6.4,6.9,6.7,6.4,6.1,5.8,5.5,5.2",2006,"4.0,3.7,4.2,4.9,4.7,4.6,4.3,4.0,4.3,3.8,4.1,3.9,3.658827773732677,3.4,3.3,3.1,2.9",2023-12-20 07:22:48
3015602,The Fund For Peace,Fragile State Index,E1: Economy,2023,220,158,16,0.96959,2006,"7.0,7.4,7.2,7.5,7.2,7.4,6.9,6.8,6.7,6.7,6.4,6.2,6.26057602971615,6.2,5.916975920910515,5.8",2006,"9.0,9.2,9.2,9.2,9.2,8.9,8.6,8.4,8.1,8.2,8.0,7.5,7.282442209026627,7.1,6.8,6.8",2023-12-16 09:49:59
4712750,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,220,158,16,0.9691,2006,"6.0,6.0,6.0,6.0,6.1,5.8,6.1,6.4,6.7,7.0,7.3,7.6,7.614697806547812,7.6,7.3,7.0",2006,"6.0,6.0,6.0,6.3,6.5,6.2,6.0,6.3,6.6,6.9,7.2,7.5,7.569514875551318,7.6,7.3,7.0",2023-12-18 11:22:42
3015603,The Fund For Peace,Fragile State Index,E1: Economy,2023,220,158,16,0.95563,2006,"7.0,7.4,7.2,7.5,7.2,7.4,6.9,6.8,6.7,6.7,6.4,6.2,6.26057602971615,6.2,5.916975920910515,5.8",2007,"9.2,9.2,9.2,9.2,8.9,8.6,8.4,8.1,8.2,8.0,7.5,7.282442209026627,7.1,6.8,6.8,6.5",2023-12-16 09:49:59
