unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
709052,The Fund For Peace,Fragile State Index,Total,2023,236,235,17,0.92658,2006,"34.5,33.6,32.8,34.0,35.3,34.8,34.8,33.5,35.4,35.4,34.0,35.6,37.7,38.0,38.27275827818653,44.6,46.6",2006,"34.2,34.1,32.9,33.6,33.9,34.1,35.3,33.2,34.3,33.4,32.4,33.2,34.29882224337588,36.7,38.2604753610204,41.50000000000001,40.6",2023-12-13 19:08:12
2358330,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,236,235,17,0.96177,2006,"1.5,1.7,2.0,2.5,3.3,3.6,3.6,3.9,4.0,4.0,4.3,5.3,5.8,5.8,6.8,7.3,7.3",2006,"3.0,2.7,2.7,2.9,3.2,3.6,3.6,3.5,3.5,3.5,3.5,4.5,5.0,5.5,5.8,5.8,5.8",2023-12-15 11:20:03
2561082,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,236,235,17,0.93432,2006,"3.0,3.2,3.2,3.3,3.4,3.6,3.9,4.2,4.5,5.0,5.1,6.0,6.1,6.1,6.199999999999999,6.5,6.8",2006,"5.0,4.2,4.5,4.3,4.1,4.4,4.7,5.0,5.3,5.6,5.9,6.4,6.4,6.4,6.4,6.1,6.1",2023-12-15 15:16:21
5409867,The Fund For Peace,Fragile State Index,P2: Public Services,2023,236,235,17,0.91207,2006,"1.0,1.4,1.8,2.3,2.5,2.7,2.7,2.4,2.5,2.1,1.8,1.6,1.3,1.2,1.2131292703119094,2.7,2.5",2006,"1.8,1.8,1.8,2.2,2.3,2.2,2.6,2.3,2.4,2.1,1.8,1.6,1.3472112469160171,1.5,1.6062945821150745,2.6,2.3",2023-12-19 01:07:13
709029,The Fund For Peace,Fragile State Index,Total,2023,236,235,16,0.91108,2006,"34.5,33.6,32.8,34.0,35.3,34.8,34.8,33.5,35.4,35.4,34.0,35.6,37.7,38.0,38.27275827818653,44.6",2006,"34.2,34.1,32.9,33.6,33.9,34.1,35.3,33.2,34.3,33.4,32.4,33.2,34.29882224337588,36.7,38.2604753610204,41.50000000000001",2023-12-13 19:08:10
2358303,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,236,235,16,0.95406,2006,"1.5,1.7,2.0,2.5,3.3,3.6,3.6,3.9,4.0,4.0,4.3,5.3,5.8,5.8,6.8,7.3",2006,"3.0,2.7,2.7,2.9,3.2,3.6,3.6,3.5,3.5,3.5,3.5,4.5,5.0,5.5,5.8,5.8",2023-12-15 11:20:01
2561041,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,236,235,16,0.9457,2006,"3.0,3.2,3.2,3.3,3.4,3.6,3.9,4.2,4.5,5.0,5.1,6.0,6.1,6.1,6.199999999999999,6.5",2006,"5.0,4.2,4.5,4.3,4.1,4.4,4.7,5.0,5.3,5.6,5.9,6.4,6.4,6.4,6.4,6.1",2023-12-15 15:16:18
5409864,The Fund For Peace,Fragile State Index,P2: Public Services,2023,236,235,16,0.90868,2006,"1.0,1.4,1.8,2.3,2.5,2.7,2.7,2.4,2.5,2.1,1.8,1.6,1.3,1.2,1.2131292703119094,2.7",2006,"1.8,1.8,1.8,2.2,2.3,2.2,2.6,2.3,2.4,2.1,1.8,1.6,1.3472112469160171,1.5,1.6062945821150745,2.6",2023-12-19 01:07:13
2013381,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,236,57,15,0.91098,2006,"1.0,1.3,1.3,1.4,1.6,1.6,1.9,2.2,2.7,2.8,2.9,3.2,3.464329018518069,3.5,3.8",2006,"2.0,2.0,2.0,2.0,2.1,2.1,2.1,2.1,2.3,2.6,2.3,2.6,2.9,3.2,2.9000000000000004",2023-12-15 04:40:07
2358272,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,236,57,15,0.91067,2006,"1.5,1.7,2.0,2.5,3.3,3.6,3.6,3.9,4.0,4.0,4.3,5.3,5.8,5.8,6.8",2006,"3.5,3.5,3.5,3.3,3.3,3.8,3.8,4.2,4.3,4.3,5.0,5.0,5.3,5.3,5.3",2023-12-15 11:19:59
2560986,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,236,57,15,0.93002,2006,"3.0,3.2,3.2,3.3,3.4,3.6,3.9,4.2,4.5,5.0,5.1,6.0,6.1,6.1,6.199999999999999",2006,"3.2,3.2,3.2,3.6,3.4,3.8,3.5,3.8,3.8,3.8,5.0,4.8,5.1,4.8,4.9",2023-12-15 15:16:14
3658289,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,236,57,15,0.92271,2006,"6.0,5.8,5.5,5.3,5.4,5.4,5.1,4.8,4.5,4.8,4.5,4.3,4.0,3.7,3.4000000000000004",2006,"4.0,3.9,3.9,4.3,4.1,3.8,3.5,3.8,3.5,3.2,2.9,2.7,2.4000000000000004,2.1,1.8",2023-12-17 05:51:19
2561080,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,236,120,17,0.96836,2006,"3.0,3.2,3.2,3.3,3.4,3.6,3.9,4.2,4.5,5.0,5.1,6.0,6.1,6.1,6.199999999999999,6.5,6.8",2006,"4.5,4.6,4.6,4.5,4.6,4.9,5.2,5.4,5.8,7.4,7.7,8.0,8.3,8.5,8.625858592796266,8.3,8.0",2023-12-15 15:16:20
3658773,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,236,120,17,0.98061,2006,"6.0,5.8,5.5,5.3,5.4,5.4,5.1,4.8,4.5,4.8,4.5,4.3,4.0,3.7,3.4000000000000004,3.7,3.7",2006,"7.0,7.0,6.0,6.2,6.0,5.7,5.4,4.9,4.6,4.6,4.3,4.1,3.8,3.5,3.2,3.5,3.6",2023-12-17 05:51:50
6702955,The Fund For Peace,Fragile State Index,S2: Refugees and IDPs,2023,236,120,17,0.90098,2006,"6.0,5.5,4.0,3.7,3.2,2.9,2.6,2.3,2.4,2.1,2.1,2.0,2.1,2.4,2.1,2.3,2.5",2006,"5.9,5.7,4.9,4.5,4.3,3.9,3.6,3.3,3.2,2.9,3.0,2.8,2.5,2.2,2.1,1.9,2.0",2023-12-20 05:06:38
