unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
773012,The Fund For Peace,Fragile State Index,Total,2023,239,243,17,0.98883,2006,"94.4,93.5,93.4,92.8,90.5,88.3,87.5,86.9,86.3,85.3,83.5,81.5,79.1,75.7,73.10388718030978,72.00000000000001,69.6",2007,"77.8,74.6,76.9,76.6,76.1,74.0,73.1,72.7,72.4,70.7,70.2,68.39565234056963,66.1,63.885397212926094,63.29999999999999,60.9,58.3",2023-12-13 20:21:16,Finance Economy Sector
2035639,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,239,243,17,0.96093,2006,"9.1,8.9,9.0,9.0,8.8,8.5,8.2,7.9,7.6,7.6,7.3,7.1,7.1,6.8,6.5,6.2,5.9",2007,"7.4,6.4,6.2,6.0,6.0,5.7,5.4,5.1,5.1,4.8,4.6,4.3,4.2,4.210822322932687,3.9,3.8,3.5",2023-12-15 05:05:58,Social Sector
2927361,The Fund For Peace,Fragile State Index,E1: Economy,2023,239,243,17,0.95816,2006,"7.0,7.5,7.7,7.2,7.0,6.8,7.1,7.2,7.1,6.8,6.5,6.3,6.1,5.8,5.5,5.4,5.1",2007,"6.2,6.1,6.7,6.6,6.1,6.1,6.2,5.7,5.8,5.3,5.1,4.8,4.3,4.0,3.9,3.6,3.6",2023-12-16 08:09:22,Finance Economy Sector
3715148,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,239,243,17,0.98094,2006,"8.1,8.6,8.6,8.7,8.5,8.2,7.9,7.6,7.3,7.0,7.1,6.9,6.7,6.2,5.9,5.7,5.6",2007,"6.2,6.2,6.5,6.5,6.2,5.9,5.8,5.8,5.5,5.2,5.0,4.7,4.2,3.9,3.8,3.5,3.5",2023-12-17 06:50:36,Human Rights Development
5428196,The Fund For Peace,Fragile State Index,P2: Public Services,2023,239,243,17,0.94997,2006,"7.0,6.8,6.8,6.6,6.4,6.0,5.7,5.4,5.4,5.4,5.1,4.9,4.7,4.4,4.1000000000000005,4.6,4.3",2007,"6.5,6.0,6.3,6.4,6.4,6.1,5.8,5.5,5.2,4.9,4.7,4.4,4.1,3.8,4.3,4.0,3.8",2023-12-19 01:30:21,Political State Sector
6330995,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,239,243,17,0.93871,2006,"7.7,7.7,7.7,7.9,7.7,7.3,7.0,6.7,6.4,6.1,5.8,5.6,5.4,5.1,4.8,4.8,4.5",2007,"6.5,6.6,6.8,6.9,6.7,6.1,5.9,6.2,6.1,5.8,6.1,5.8,5.5,5.0,5.0,4.7,4.4",2023-12-19 20:14:41,Social Sector
7166736,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,239,243,17,0.90529,2006,"7.0,7.0,6.3,6.5,6.2,6.0,5.7,5.4,5.4,5.1,4.8,4.6,4.1,4.1,4.263375520181347,4.0,3.7",2007,"5.9,5.9,6.0,6.2,6.1,5.9,5.6,5.4,5.1,5.4,5.2,5.2,4.9,4.6000000000000005,4.3,4.0,3.7",2023-12-20 14:02:50,Sovereignty
773027,The Fund For Peace,Fragile State Index,Total,2023,239,229,17,0.97745,2006,"94.4,93.5,93.4,92.8,90.5,88.3,87.5,86.9,86.3,85.3,83.5,81.5,79.1,75.7,73.10388718030978,72.00000000000001,69.6",2006,"86.1,87.5,86.2,84.3,82.5,79.7,77.4,76.7,78.2,77.4,76.0,74.4,72.62111503765558,71.4,69.05814193586684,68.20000000000002,66.5",2023-12-13 20:21:17,Finance Economy Sector
2035648,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,239,229,17,0.98053,2006,"9.1,8.9,9.0,9.0,8.8,8.5,8.2,7.9,7.6,7.6,7.3,7.1,7.1,6.8,6.5,6.2,5.9",2006,"8.5,8.5,8.3,7.6,7.7,7.5,7.2,7.1,6.8,6.8,6.5,6.3,6.0,5.7,5.4,5.1,4.8",2023-12-15 05:05:58,Social Sector
3715159,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,239,229,17,0.93665,2006,"8.1,8.6,8.6,8.7,8.5,8.2,7.9,7.6,7.3,7.0,7.1,6.9,6.7,6.2,5.9,5.7,5.6",2006,"7.2,7.3,7.3,7.6,7.4,7.1,6.8,6.5,6.7,6.9,6.9,6.7,6.7,6.4,6.1000000000000005,6.0,5.9",2023-12-17 06:50:37,Human Rights Development
4567619,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,239,229,17,0.91186,2006,"7.5,7.1,7.1,7.0,6.6,6.3,6.0,6.3,6.6,6.3,6.0,6.0,5.8,5.5,5.2,5.2,5.1",2006,"6.0,5.6,5.6,5.6,5.4,5.1,4.8,4.9,5.1,5.1,4.8,5.1,4.971753033941711,5.1,4.8,4.5,4.4",2023-12-18 08:42:38,Human Rights Development
5428206,The Fund For Peace,Fragile State Index,P2: Public Services,2023,239,229,17,0.97255,2006,"7.0,6.8,6.8,6.6,6.4,6.0,5.7,5.4,5.4,5.4,5.1,4.9,4.7,4.4,4.1000000000000005,4.6,4.3",2006,"7.2,7.7,7.7,7.2,7.0,6.7,6.4,6.1,6.4,6.1,5.8,5.6,5.3,5.0,4.7,4.7,4.4",2023-12-19 01:30:22,Political State Sector
6330999,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,239,229,17,0.91071,2006,"7.7,7.7,7.7,7.9,7.7,7.3,7.0,6.7,6.4,6.1,5.8,5.6,5.4,5.1,4.8,4.8,4.5",2006,"7.0,7.0,7.0,7.0,6.8,6.5,6.2,5.9,6.0,5.7,5.6,5.4,5.41182646618788,5.1,4.850653194640705,5.4,5.9",2023-12-19 20:14:41,Social Sector
7166739,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,239,229,17,0.97031,2006,"7.0,7.0,6.3,6.5,6.2,6.0,5.7,5.4,5.4,5.1,4.8,4.6,4.1,4.1,4.263375520181347,4.0,3.7",2006,"6.0,6.5,6.3,6.0,5.6,5.2,4.9,4.6,4.9,4.6,4.3,4.1,3.8,3.5,3.2,2.9,2.6",2023-12-20 14:02:50,Sovereignty
773028,The Fund For Peace,Fragile State Index,Total,2023,239,229,17,0.97747,2006,"94.4,93.5,93.4,92.8,90.5,88.3,87.5,86.9,86.3,85.3,83.5,81.5,79.1,75.7,73.10388718030978,72.00000000000001,69.6",2007,"87.5,86.2,84.3,82.5,79.7,77.4,76.7,78.2,77.4,76.0,74.4,72.62111503765558,71.4,69.05814193586684,68.20000000000002,66.5,64.5",2023-12-13 20:21:17,Finance Economy Sector
2035649,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,239,229,17,0.97862,2006,"9.1,8.9,9.0,9.0,8.8,8.5,8.2,7.9,7.6,7.6,7.3,7.1,7.1,6.8,6.5,6.2,5.9",2007,"8.5,8.3,7.6,7.7,7.5,7.2,7.1,6.8,6.8,6.5,6.3,6.0,5.7,5.4,5.1,4.8,4.5",2023-12-15 05:05:59,Social Sector
2572340,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,239,229,17,0.90293,2006,"7.5,7.1,7.1,7.4,7.4,7.4,7.7,7.5,7.4,7.6,7.3,7.1,6.9,6.6,6.3,6.0,5.7",2007,"6.2,6.2,6.5,6.3,6.6,6.4,6.7,6.9,7.1,6.8,6.6,6.3,6.0,5.7,5.6,5.4,5.3",2023-12-15 15:28:29,Social Sector
3715160,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,239,229,17,0.91698,2006,"8.1,8.6,8.6,8.7,8.5,8.2,7.9,7.6,7.3,7.0,7.1,6.9,6.7,6.2,5.9,5.7,5.6",2007,"7.3,7.3,7.6,7.4,7.1,6.8,6.5,6.7,6.9,6.9,6.7,6.7,6.4,6.1000000000000005,6.0,5.9,5.6",2023-12-17 06:50:37,Human Rights Development
4567620,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,239,229,17,0.91272,2006,"7.5,7.1,7.1,7.0,6.6,6.3,6.0,6.3,6.6,6.3,6.0,6.0,5.8,5.5,5.2,5.2,5.1",2007,"5.6,5.6,5.6,5.4,5.1,4.8,4.9,5.1,5.1,4.8,5.1,4.971753033941711,5.1,4.8,4.5,4.4,4.1",2023-12-18 08:42:38,Human Rights Development
5428207,The Fund For Peace,Fragile State Index,P2: Public Services,2023,239,229,17,0.96764,2006,"7.0,6.8,6.8,6.6,6.4,6.0,5.7,5.4,5.4,5.4,5.1,4.9,4.7,4.4,4.1000000000000005,4.6,4.3",2007,"7.7,7.7,7.2,7.0,6.7,6.4,6.1,6.4,6.1,5.8,5.6,5.3,5.0,4.7,4.7,4.4,4.1",2023-12-19 01:30:22,Political State Sector
7166740,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,239,229,17,0.97507,2006,"7.0,7.0,6.3,6.5,6.2,6.0,5.7,5.4,5.4,5.1,4.8,4.6,4.1,4.1,4.263375520181347,4.0,3.7",2007,"6.5,6.3,6.0,5.6,5.2,4.9,4.6,4.9,4.6,4.3,4.1,3.8,3.5,3.2,2.9,2.6,2.3",2023-12-20 14:02:50,Sovereignty
772766,The Fund For Peace,Fragile State Index,Total,2023,239,243,16,0.98563,2006,"94.4,93.5,93.4,92.8,90.5,88.3,87.5,86.9,86.3,85.3,83.5,81.5,79.1,75.7,73.10388718030978,72.00000000000001",2008,"74.6,76.9,76.6,76.1,74.0,73.1,72.7,72.4,70.7,70.2,68.39565234056963,66.1,63.885397212926094,63.29999999999999,60.9,58.3",2023-12-13 20:20:59,Finance Economy Sector
2035560,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,239,243,16,0.98812,2006,"9.1,8.9,9.0,9.0,8.8,8.5,8.2,7.9,7.6,7.6,7.3,7.1,7.1,6.8,6.5,6.2",2008,"6.4,6.2,6.0,6.0,5.7,5.4,5.1,5.1,4.8,4.6,4.3,4.2,4.210822322932687,3.9,3.8,3.5",2023-12-15 05:05:53,Social Sector
2927347,The Fund For Peace,Fragile State Index,E1: Economy,2023,239,243,16,0.94453,2006,"7.0,7.5,7.7,7.2,7.0,6.8,7.1,7.2,7.1,6.8,6.5,6.3,6.1,5.8,5.5,5.4",2008,"6.1,6.7,6.6,6.1,6.1,6.2,5.7,5.8,5.3,5.1,4.8,4.3,4.0,3.9,3.6,3.6",2023-12-16 08:09:20,Finance Economy Sector
3714969,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,239,243,16,0.97074,2006,"8.1,8.6,8.6,8.7,8.5,8.2,7.9,7.6,7.3,7.0,7.1,6.9,6.7,6.2,5.9,5.7",2008,"6.2,6.5,6.5,6.2,5.9,5.8,5.8,5.5,5.2,5.0,4.7,4.2,3.9,3.8,3.5,3.5",2023-12-17 06:50:26,Human Rights Development
5428140,The Fund For Peace,Fragile State Index,P2: Public Services,2023,239,243,16,0.94985,2006,"7.0,6.8,6.8,6.6,6.4,6.0,5.7,5.4,5.4,5.4,5.1,4.9,4.7,4.4,4.1000000000000005,4.6",2008,"6.0,6.3,6.4,6.4,6.1,5.8,5.5,5.2,4.9,4.7,4.4,4.1,3.8,4.3,4.0,3.8",2023-12-19 01:30:17,Political State Sector
6330932,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,239,243,16,0.92585,2006,"7.7,7.7,7.7,7.9,7.7,7.3,7.0,6.7,6.4,6.1,5.8,5.6,5.4,5.1,4.8,4.8",2008,"6.6,6.8,6.9,6.7,6.1,5.9,6.2,6.1,5.8,6.1,5.8,5.5,5.0,5.0,4.7,4.4",2023-12-19 20:14:37,Social Sector
7166673,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,239,243,16,0.92102,2006,"7.0,7.0,6.3,6.5,6.2,6.0,5.7,5.4,5.4,5.1,4.8,4.6,4.1,4.1,4.263375520181347,4.0",2008,"5.9,6.0,6.2,6.1,5.9,5.6,5.4,5.1,5.4,5.2,5.2,4.9,4.6000000000000005,4.3,4.0,3.7",2023-12-20 14:02:45,Sovereignty
772403,The Fund For Peace,Fragile State Index,Total,2023,239,243,15,0.98239,2006,"94.4,93.5,93.4,92.8,90.5,88.3,87.5,86.9,86.3,85.3,83.5,81.5,79.1,75.7,73.10388718030978",2008,"74.6,76.9,76.6,76.1,74.0,73.1,72.7,72.4,70.7,70.2,68.39565234056963,66.1,63.885397212926094,63.29999999999999,60.9",2023-12-13 20:20:34,Finance Economy Sector
2035440,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,239,243,15,0.98646,2006,"9.1,8.9,9.0,9.0,8.8,8.5,8.2,7.9,7.6,7.6,7.3,7.1,7.1,6.8,6.5",2008,"6.4,6.2,6.0,6.0,5.7,5.4,5.1,5.1,4.8,4.6,4.3,4.2,4.210822322932687,3.9,3.8",2023-12-15 05:05:46,Social Sector
2927330,The Fund For Peace,Fragile State Index,E1: Economy,2023,239,243,15,0.93657,2006,"7.0,7.5,7.7,7.2,7.0,6.8,7.1,7.2,7.1,6.8,6.5,6.3,6.1,5.8,5.5",2008,"6.1,6.7,6.6,6.1,6.1,6.2,5.7,5.8,5.3,5.1,4.8,4.3,4.0,3.9,3.6",2023-12-16 08:09:19,Finance Economy Sector
3714712,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,239,243,15,0.96663,2006,"8.1,8.6,8.6,8.7,8.5,8.2,7.9,7.6,7.3,7.0,7.1,6.9,6.7,6.2,5.9",2008,"6.2,6.5,6.5,6.2,5.9,5.8,5.8,5.5,5.2,5.0,4.7,4.2,3.9,3.8,3.5",2023-12-17 06:50:12,Human Rights Development
5428061,The Fund For Peace,Fragile State Index,P2: Public Services,2023,239,243,15,0.94771,2006,"7.0,6.8,6.8,6.6,6.4,6.0,5.7,5.4,5.4,5.4,5.1,4.9,4.7,4.4,4.1000000000000005",2008,"6.0,6.3,6.4,6.4,6.1,5.8,5.5,5.2,4.9,4.7,4.4,4.1,3.8,4.3,4.0",2023-12-19 01:30:12,Political State Sector
6330831,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,239,243,15,0.91621,2006,"7.7,7.7,7.7,7.9,7.7,7.3,7.0,6.7,6.4,6.1,5.8,5.6,5.4,5.1,4.8",2008,"6.6,6.8,6.9,6.7,6.1,5.9,6.2,6.1,5.8,6.1,5.8,5.5,5.0,5.0,4.7",2023-12-19 20:14:31,Social Sector
7166565,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,239,243,15,0.92304,2006,"7.0,7.0,6.3,6.5,6.2,6.0,5.7,5.4,5.4,5.1,4.8,4.6,4.1,4.1,4.263375520181347",2008,"5.9,6.0,6.2,6.1,5.9,5.6,5.4,5.1,5.4,5.2,5.2,4.9,4.6000000000000005,4.3,4.0",2023-12-20 14:02:39,Sovereignty
772899,The Fund For Peace,Fragile State Index,Total,2023,239,113,17,0.98185,2006,"94.4,93.5,93.4,92.8,90.5,88.3,87.5,86.9,86.3,85.3,83.5,81.5,79.1,75.7,73.10388718030978,72.00000000000001,69.6",2006,"71.9,72.3,72.4,72.5,72.7,70.2,70.9,69.8,68.5,68.3,66.5,65.9,63.43851484252681,61.6,59.770101356315976,61.20000000000001,59.5",2023-12-13 20:21:08,Finance Economy Sector
2035605,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,239,113,17,0.95841,2006,"9.1,8.9,9.0,9.0,8.8,8.5,8.2,7.9,7.6,7.6,7.3,7.1,7.1,6.8,6.5,6.2,5.9",2006,"6.7,6.7,6.5,6.5,6.3,6.2,6.3,6.4,6.0,5.7,5.4,5.2,4.9,4.6,4.3,4.0,3.7",2023-12-15 05:05:56,Social Sector
3715046,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,239,113,17,0.98997,2006,"8.1,8.6,8.6,8.7,8.5,8.2,7.9,7.6,7.3,7.0,7.1,6.9,6.7,6.2,5.9,5.7,5.6",2006,"6.2,6.2,6.5,6.4,6.2,5.9,5.6,5.3,5.0,4.7,4.4,4.2,3.9,3.6,3.3000000000000003,3.2,2.9",2023-12-17 06:50:31,Human Rights Development
5428173,The Fund For Peace,Fragile State Index,P2: Public Services,2023,239,113,17,0.90877,2006,"7.0,6.8,6.8,6.6,6.4,6.0,5.7,5.4,5.4,5.4,5.1,4.9,4.7,4.4,4.1000000000000005,4.6,4.3",2006,"6.7,6.1,5.5,5.3,5.5,5.1,5.4,5.1,4.8,4.5,4.2,4.0,3.7,3.4,3.1,4.6,4.3",2023-12-19 01:30:20,Political State Sector
6330971,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,239,113,17,0.91552,2006,"7.7,7.7,7.7,7.9,7.7,7.3,7.0,6.7,6.4,6.1,5.8,5.6,5.4,5.1,4.8,4.8,4.5",2006,"5.0,5.7,6.2,6.0,5.8,5.5,5.6,5.3,5.1,5.0,4.7,4.5,4.2,3.9,3.6,4.1,4.4",2023-12-19 20:14:40,Social Sector
7166708,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,239,113,17,0.97844,2006,"7.0,7.0,6.3,6.5,6.2,6.0,5.7,5.4,5.4,5.1,4.8,4.6,4.1,4.1,4.263375520181347,4.0,3.7",2006,"6.6,6.6,6.6,6.4,6.2,5.9,5.6,5.3,5.0,4.7,4.4,4.2,3.9,3.6,3.3000000000000003,3.0,2.7",2023-12-20 14:02:48,Sovereignty
773011,The Fund For Peace,Fragile State Index,Total,2023,239,243,17,0.98354,2006,"94.4,93.5,93.4,92.8,90.5,88.3,87.5,86.9,86.3,85.3,83.5,81.5,79.1,75.7,73.10388718030978,72.00000000000001,69.6",2006,"78.6,77.8,74.6,76.9,76.6,76.1,74.0,73.1,72.7,72.4,70.7,70.2,68.39565234056963,66.1,63.885397212926094,63.29999999999999,60.9",2023-12-13 20:21:16,Finance Economy Sector
2035638,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,239,243,17,0.94637,2006,"9.1,8.9,9.0,9.0,8.8,8.5,8.2,7.9,7.6,7.6,7.3,7.1,7.1,6.8,6.5,6.2,5.9",2006,"7.5,7.4,6.4,6.2,6.0,6.0,5.7,5.4,5.1,5.1,4.8,4.6,4.3,4.2,4.210822322932687,3.9,3.8",2023-12-15 05:05:58,Social Sector
2927360,The Fund For Peace,Fragile State Index,E1: Economy,2023,239,243,17,0.94059,2006,"7.0,7.5,7.7,7.2,7.0,6.8,7.1,7.2,7.1,6.8,6.5,6.3,6.1,5.8,5.5,5.4,5.1",2006,"5.6,6.2,6.1,6.7,6.6,6.1,6.1,6.2,5.7,5.8,5.3,5.1,4.8,4.3,4.0,3.9,3.6",2023-12-16 08:09:21,Finance Economy Sector
