country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,event_correlation_score,country_a_id_fk,event_correlation_count,similar_event_year_a,similar_raw_event,similar_event_year_b
166,2006,2006,12,4,0.9405399999999999,1,2.9643240000000004,"['Finance Economy Sector', 'Human Rights Development']",0,249,0,,,
166,2006,2006,14,3,0.9383566666666666,1,2.8630139999999997,"['Finance Economy Sector', 'Human Rights Development']",0,249,0,,,
223,2006,2006,17,2,0.92102,1,2.852612,"['Social Sector', 'Human Rights Development']",0,249,0,,,
79,2006,2006,14,3,0.9196233333333333,1,2.851774,"['Finance Economy Sector', 'Human Rights Development']",0,249,0,,,
221,2006,2006,17,2,0.9078550000000001,1,2.8447130000000005,"['Human Rights Development', 'Social Sector']",0,249,0,,,
205,2006,2007,17,2,0.9052800000000001,1,2.8431680000000004,['Human Rights Development'],0,249,0,,,
166,2006,2006,13,3,0.9463166666666667,1,2.76779,"['Finance Economy Sector', 'Human Rights Development']",0,249,0,,,
66,2006,2006,16,2,0.9446300000000001,1,2.7667780000000004,"['Finance Economy Sector', 'Human Rights Development']",0,249,0,,,
79,2006,2006,13,3,0.93432,1,2.760592,"['Finance Economy Sector', 'Human Rights Development']",0,249,0,,,
166,2006,2006,16,2,0.924515,1,2.754709,"['Finance Economy Sector', 'Human Rights Development']",0,249,0,,,
129,2006,2008,16,2,0.917825,1,2.7506950000000003,['Human Rights Development'],0,249,0,,,
223,2006,2007,16,2,0.9129050000000001,1,2.7477430000000003,['Human Rights Development'],0,249,0,,,
205,2006,2007,16,2,0.9080550000000001,1,2.7448330000000003,['Human Rights Development'],0,249,0,,,
66,2006,2006,15,2,0.9489650000000001,1,2.669379,"['Finance Economy Sector', 'Human Rights Development']",0,249,0,,,
166,2006,2006,15,2,0.9377249999999999,1,2.662635,"['Finance Economy Sector', 'Human Rights Development']",0,249,0,,,
166,2006,2007,12,3,0.9313233333333333,1,2.658794,"['Finance Economy Sector', 'Human Rights Development']",0,249,0,,,
66,2006,2007,15,2,0.92631,1,2.655786,"['Finance Economy Sector', 'Human Rights Development']",0,249,0,,,
129,2006,2008,15,2,0.92426,1,2.654556,['Human Rights Development'],0,249,0,,,
205,2006,2007,15,2,0.917745,1,2.650647,['Human Rights Development'],0,249,0,,,
66,2006,2007,12,3,0.91654,1,2.649924,"['Finance Economy Sector', 'Human Rights Development']",0,249,0,,,
