country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,event_correlation_score,country_a_id_fk,event_correlation_count,similar_event_year_a,similar_raw_event,similar_event_year_b
158,1990,1990,32,2,0.9313806896551724,2,4.358828413793104,['Unknown'],0,35,0,,,
148,1991,1991,31,2,0.93509,2,4.261054,['Unknown'],0,35,0,,,
43,1991,1991,31,2,0.93417,2,4.260502,['Unknown'],0,35,0,,,
43,1990,1990,29,2,0.9286252173913043,2,4.057175130434783,['Unknown'],0,35,0,,,
158,1990,1990,29,2,0.9240151724137932,2,4.054409103448276,['Unknown'],0,35,0,,,
39,1990,1990,29,2,0.9087457142857144,2,4.045247428571429,['Unknown'],0,35,0,,,
43,1990,1990,28,2,0.9286991304347826,2,3.95721947826087,['Unknown'],0,35,0,,,
43,1991,1991,27,2,0.9155382608695651,1,3.849322956521739,['Unknown'],0,35,0,,,
43,1991,1993,26,2,0.94378,2,3.766268,['Unknown'],0,35,0,,,
43,1991,1992,26,2,0.9435,2,3.7661000000000002,['Unknown'],0,35,0,,,
43,1991,1991,26,2,0.9361650000000001,2,3.761699,['Unknown'],0,35,0,,,
50,1991,1994,26,2,0.9324100000000001,2,3.759446,['Unknown'],0,35,0,,,
50,1991,1995,26,2,0.9263966666666668,2,3.7558380000000002,['Unknown'],0,35,0,,,
43,1991,1994,26,2,0.9226749999999999,2,3.7536050000000003,['Unknown'],0,35,0,,,
50,1991,1996,26,2,0.9185533333333333,2,3.751132,['Unknown'],0,35,0,,,
43,1990,1990,25,2,0.9237839130434782,2,3.654270347826087,['Unknown'],0,35,0,,,
43,1990,1990,24,2,0.9189421739130436,2,3.5513653043478266,['Unknown'],0,35,0,,,
54,2006,2006,16,3,0.9285266666666666,1,3.0571159999999997,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,35,0,,,
56,2006,2006,16,3,0.9258233333333333,1,3.055494,"['Human Rights Development', 'Political State Sector', 'Social Sector']",0,35,0,,,
56,2006,2007,16,3,0.9184,1,3.05104,"['Human Rights Development', 'Political State Sector', 'Social Sector']",0,35,0,,,
54,2006,2007,16,3,0.9152333333333335,1,3.04914,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,35,0,,,
54,2006,2006,15,3,0.9426566666666667,1,2.965594,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,35,0,,,
56,2006,2006,15,3,0.9320133333333334,1,2.959208,"['Human Rights Development', 'Political State Sector', 'Social Sector']",0,35,0,,,
54,2006,2007,15,3,0.9314399999999999,1,2.9588639999999997,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,35,0,,,
2,2006,2007,15,3,0.9218933333333333,1,2.9531359999999998,"['Human Rights Development', 'Social Sector']",0,35,0,,,
149,2006,2007,15,3,0.9148200000000001,1,2.948892,"['Finance Economy Sector', 'Human Rights Development']",0,35,0,,,
232,2006,2007,17,2,0.933915,1,2.8603490000000003,"['Finance Economy Sector', 'Human Rights Development']",0,35,0,,,
110,2006,2006,17,2,0.92257,1,2.853542,"['Human Rights Development', 'Political State Sector']",0,35,0,,,
2,2006,2007,14,3,0.9212366666666667,1,2.8527419999999997,"['Human Rights Development', 'Social Sector']",0,35,0,,,
232,2006,2006,17,2,0.9208000000000001,1,2.8524800000000003,"['Finance Economy Sector', 'Human Rights Development']",0,35,0,,,
149,2006,2007,14,3,0.9176866666666667,1,2.850612,"['Finance Economy Sector', 'Human Rights Development']",0,35,0,,,
22,2006,2007,17,2,0.911405,1,2.8468430000000002,"['Political State Sector', 'Social Sector']",0,35,0,,,
149,2006,2007,17,2,0.911225,1,2.8467350000000002,['Human Rights Development'],0,35,0,,,
140,2006,2006,17,2,0.907905,1,2.8447430000000002,"['Finance Economy Sector', 'Human Rights Development']",0,35,0,,,
206,2006,2006,17,2,0.9074450000000001,1,2.8444670000000003,['Human Rights Development'],0,35,0,,,
25,2006,2006,16,2,0.940345,1,2.7642070000000003,"['Finance Economy Sector', 'Human Rights Development']",0,35,0,,,
53,2006,2006,16,2,0.9383349999999999,1,2.763001,['Human Rights Development'],0,35,0,,,
25,2006,2007,16,2,0.9334,1,2.76004,"['Finance Economy Sector', 'Human Rights Development']",0,35,0,,,
232,2006,2007,16,2,0.9329149999999999,1,2.7597490000000002,"['Finance Economy Sector', 'Human Rights Development']",0,35,0,,,
14,2006,2007,16,2,0.932375,1,2.7594250000000002,['Human Rights Development'],0,35,0,,,
250,2006,2007,16,2,0.9323,1,2.75938,"['Human Rights Development', 'Social Sector']",0,35,0,,,
