country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,overall_event_correlation_score,detailed_event_correlation_scores,country_a_id_fk,event_correlation_count,similar_event_year_a,similar_raw_event,similar_event_year_b
242,2006,2006,17,3,0.9279966666666667,1,3.156798,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
219,2006,2007,17,3,0.9243133333333334,1,3.1545880000000004,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
219,2006,2006,17,3,0.9215800000000001,1,3.1529480000000003,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
242,2006,2007,17,3,0.91129,1,3.146774,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
243,2006,2008,16,3,0.9227933333333334,1,3.053676,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
243,2006,2008,15,3,0.9264333333333333,1,2.95586,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
42,2012,2012,11,4,0.9581975,1,2.8749184999999997,['Unknown'],0.0,,36,0,,,
228,2006,2006,17,2,0.9487399999999999,1,2.869244,['Human Rights Development'],0.0,,36,0,,,
16,2006,2007,17,2,0.946755,1,2.868053,['Human Rights Development'],0.0,,36,0,,,
248,2006,2006,17,2,0.93801,1,2.8628060000000004,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
248,2006,2007,17,2,0.936885,1,2.862131,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
243,2006,2008,14,3,0.9341200000000001,1,2.8604719999999997,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
52,2006,2007,17,2,0.9198649999999999,1,2.851919,"['Social Sector', 'Human Rights Development']",0.0,,36,0,,,
107,2006,2006,17,2,0.9160900000000001,1,2.849654,"['Social Sector', 'Human Rights Development']",0.0,,36,0,,,
228,2006,2007,17,2,0.91494,1,2.8489640000000005,['Human Rights Development'],0.0,,36,0,,,
124,2006,2009,14,3,0.9145599999999999,1,2.8487359999999997,"['Political State Sector', 'Social Sector', 'Human Rights Development']",0.0,,36,0,,,
31,2006,2007,17,2,0.911975,1,2.847185,['Human Rights Development'],0.0,,36,0,,,
42,2012,2012,10,4,0.95655,1,2.77393,['Unknown'],0.0,,36,0,,,
16,2006,2008,16,2,0.9500649999999999,1,2.770039,['Human Rights Development'],0.0,,36,0,,,
16,2006,2007,16,2,0.94905,1,2.7694300000000003,['Human Rights Development'],0.0,,36,0,,,
228,2006,2006,16,2,0.9469650000000001,1,2.768179,['Human Rights Development'],0.0,,36,0,,,
22,2006,2008,16,2,0.944955,1,2.766973,['Human Rights Development'],0.0,,36,0,,,
210,2006,2008,16,2,0.942005,1,2.765203,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
31,2006,2008,16,2,0.941735,1,2.765041,['Human Rights Development'],0.0,,36,0,,,
248,2006,2007,16,2,0.93891,1,2.7633460000000003,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
174,2006,2008,16,2,0.93833,1,2.762998,['Human Rights Development'],0.0,,36,0,,,
242,2006,2006,16,2,0.9372849999999999,1,2.762371,['Human Rights Development'],0.0,,36,0,,,
243,2006,2008,13,3,0.9347666666666666,1,2.76086,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
228,2006,2007,16,2,0.93459,1,2.7607540000000004,['Human Rights Development'],0.0,,36,0,,,
80,2006,2008,16,2,0.933605,1,2.7601630000000004,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
248,2006,2006,16,2,0.93303,1,2.759818,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
180,2012,2012,10,4,0.932315,1,2.759389,['Unknown'],0.0,,36,0,,,
22,2006,2007,16,2,0.93145,1,2.75887,['Human Rights Development'],0.0,,36,0,,,
124,2006,2009,13,3,0.9312066666666666,1,2.758724,"['Political State Sector', 'Social Sector', 'Human Rights Development']",0.0,,36,0,,,
45,2006,2008,16,2,0.9310700000000001,1,2.758642,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
25,2006,2008,16,2,0.927975,1,2.7567850000000003,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
52,2006,2007,16,2,0.92065,1,2.75239,"['Social Sector', 'Human Rights Development']",0.0,,36,0,,,
242,2006,2007,16,2,0.920265,1,2.7521590000000002,['Human Rights Development'],0.0,,36,0,,,
166,2006,2008,16,2,0.9191400000000001,1,2.751484,['Political State Sector'],0.0,,36,0,,,
31,2006,2007,16,2,0.91892,1,2.7513520000000002,['Human Rights Development'],0.0,,36,0,,,
219,2006,2006,16,2,0.9182699999999999,1,2.7509620000000004,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
69,2006,2008,16,2,0.915685,1,2.7494110000000003,['Human Rights Development'],0.0,,36,0,,,
96,2006,2007,16,2,0.91238,1,2.747428,['Human Rights Development'],0.0,,36,0,,,
107,2006,2006,16,2,0.9099550000000001,1,2.745973,"['Social Sector', 'Human Rights Development']",0.0,,36,0,,,
42,2012,2012,9,4,0.9492,1,2.6695200000000003,['Unknown'],0.0,,36,0,,,
16,2006,2008,15,2,0.947695,1,2.6686170000000002,['Human Rights Development'],0.0,,36,0,,,
228,2006,2006,15,2,0.9474549999999999,1,2.668473,['Human Rights Development'],0.0,,36,0,,,
22,2006,2008,15,2,0.9469449999999999,1,2.668167,['Human Rights Development'],0.0,,36,0,,,
210,2006,2008,15,2,0.9468700000000001,1,2.6681220000000003,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
31,2006,2009,15,2,0.9462200000000001,1,2.667732,['Human Rights Development'],0.0,,36,0,,,
248,2006,2007,15,2,0.9386300000000001,1,2.6631780000000003,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
132,2006,2009,15,2,0.93816,1,2.662896,['Human Rights Development'],0.0,,36,0,,,
31,2006,2008,15,2,0.93808,1,2.6628480000000003,['Human Rights Development'],0.0,,36,0,,,
15,2006,2009,15,2,0.93756,1,2.6625360000000002,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
22,2006,2009,15,2,0.93655,1,2.66193,['Human Rights Development'],0.0,,36,0,,,
118,2006,2007,15,2,0.936285,1,2.661771,"['Social Sector', 'Human Rights Development']",0.0,,36,0,,,
22,2006,2007,15,2,0.9344349999999999,1,2.660661,['Human Rights Development'],0.0,,36,0,,,
16,2006,2009,15,2,0.933945,1,2.660367,['Human Rights Development'],0.0,,36,0,,,
120,2006,2006,15,2,0.933535,1,2.660121,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
69,2006,2008,15,2,0.933295,1,2.659977,['Human Rights Development'],0.0,,36,0,,,
124,2006,2008,15,2,0.932825,1,2.659695,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
228,2006,2007,15,2,0.9325600000000001,1,2.659536,['Human Rights Development'],0.0,,36,0,,,
248,2006,2006,15,2,0.9322349999999999,1,2.659341,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
242,2006,2006,15,2,0.9296,1,2.65776,['Human Rights Development'],0.0,,36,0,,,
80,2006,2008,15,2,0.928945,1,2.657367,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
242,2006,2007,15,2,0.9280349999999999,1,2.656821,['Human Rights Development'],0.0,,36,0,,,
124,2006,2007,15,2,0.92397,1,2.654382,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
124,2006,2009,15,2,0.913555,1,2.648133,"['Political State Sector', 'Social Sector']",0.0,,36,0,,,
167,2006,2007,15,2,0.9123749999999999,1,2.647425,"['Human Rights Development', 'Finance Economy Sector']",0.0,,36,0,,,
147,2006,2007,15,2,0.909215,1,2.645529,"['Political State Sector', 'Human Rights Development']",0.0,,36,0,,,
22,2006,2008,14,2,0.96091,1,2.576546,['Human Rights Development'],0.0,,36,0,,,
248,2012,2012,11,3,0.9587333333333333,1,2.57524,['Unknown'],0.0,,36,0,,,
