country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,Power
118,2006,1995,12,1,0.96849,2.081094
104,2006,2006,12,1,0.96787,2.080722
144,2006,1994,12,1,0.96561,2.0793660000000003
208,2006,1994,12,1,0.96524,2.0791440000000003
119,2006,1994,12,1,0.96359,2.078154
230,2006,2006,12,1,0.96301,2.0778060000000003
212,2006,1993,12,1,0.96166,2.0769960000000003
142,2006,1995,12,1,0.9611,2.0766600000000004
17,2006,1982,12,1,0.96031,2.0761860000000003
217,2006,1985,12,1,0.95911,2.0754660000000005
173,2006,1995,12,1,0.95865,2.07519
210,2006,1978,12,1,0.95737,2.074422
5,2006,1978,12,1,0.95736,2.0744160000000003
174,2006,1980,12,1,0.95694,2.074164
62,2006,1995,12,1,0.95693,2.074158
127,2006,1978,12,1,0.95658,2.073948
182,2006,1995,12,1,0.95627,2.0737620000000003
100,2006,1963,12,1,0.95574,2.0734440000000003
215,2006,1978,12,1,0.95516,2.073096
63,2006,1999,12,1,0.95502,2.0730120000000003
137,2006,2011,12,1,0.95486,2.072916
48,2006,1981,12,1,0.95443,2.072658
242,2006,1961,12,1,0.95314,2.0718840000000003
155,2006,1978,12,1,0.95299,2.071794
12,2006,2006,12,1,0.95298,2.071788
131,2006,1994,12,1,0.95233,2.0713980000000003
131,2006,1995,12,1,0.95213,2.0712780000000004
233,2006,1995,12,1,0.95181,2.071086
78,2006,1994,12,1,0.95173,2.071038
25,2006,1988,12,1,0.95165,2.07099
177,2006,1979,12,1,0.95104,2.0706240000000005
215,2006,1979,12,1,0.95097,2.070582
31,2006,1979,12,1,0.95068,2.070408
63,2006,1998,12,1,0.95018,2.0701080000000003
54,2006,1993,12,1,0.94976,2.069856
200,2006,1995,12,1,0.94935,2.06961
248,2006,1990,12,1,0.94877,2.069262
239,2006,1998,12,1,0.94835,2.0690100000000005
232,2006,1996,12,1,0.94729,2.0683740000000004
173,2006,1996,12,1,0.94704,2.0682240000000003
80,2006,1996,12,1,0.94703,2.0682180000000003
78,2006,1995,12,1,0.94691,2.0681460000000005
167,2006,1969,12,1,0.94661,2.067966
142,2006,1996,12,1,0.94654,2.067924
235,2006,1979,12,1,0.94565,2.06739
163,2006,1994,12,1,0.94532,2.0671920000000004
80,2006,1995,12,1,0.94477,2.0668620000000004
5,2006,1979,12,1,0.94324,2.065944
210,2006,1979,12,1,0.94323,2.065938
169,2006,1997,12,1,0.9424,2.06544
147,2006,1979,12,1,0.94189,2.0651340000000005
9,2006,2006,12,1,0.94131,2.0647860000000002
108,2006,1996,12,1,0.94106,2.064636
233,2006,1996,12,1,0.94074,2.064444
168,2006,2005,12,1,0.94067,2.0644020000000003
20,2006,1996,12,1,0.94061,2.064366
16,2006,2006,12,1,0.94039,2.064234
169,2006,1998,12,1,0.9403,2.0641800000000003
94,2006,1989,12,1,0.94014,2.0640840000000003
134,2006,1979,12,1,0.94006,2.064036
222,2006,2000,12,1,0.94,2.064
183,2006,1997,12,1,0.93972,2.063832
128,2006,1995,12,1,0.93962,2.063772
158,2006,1964,12,1,0.93939,2.0636340000000004
156,2006,1994,12,1,0.93925,2.06355
213,2006,1996,12,1,0.93907,2.063442
131,2006,1982,12,1,0.93901,2.063406
40,2006,1989,12,1,0.93872,2.063232
219,2006,1996,12,1,0.93862,2.0631720000000002
44,2006,1996,12,1,0.93825,2.0629500000000003
144,2006,2011,12,1,0.93812,2.062872
48,2006,1982,12,1,0.93782,2.062692
170,2006,1984,12,1,0.93777,2.0626620000000004
86,2006,2006,12,1,0.93654,2.0619240000000003
38,2006,1994,12,1,0.93598,2.0615880000000004
20,2006,1995,12,1,0.9358,2.0614800000000004
223,2006,1979,12,1,0.93535,2.06121
102,2006,1995,12,1,0.93513,2.061078
62,2006,1996,12,1,0.93501,2.0610060000000003
192,2006,1995,12,1,0.93497,2.060982
113,2006,1995,12,1,0.93479,2.060874
84,2006,1979,12,1,0.93472,2.0608320000000004
89,2006,1983,12,1,0.93406,2.060436
155,2006,1979,12,1,0.93328,2.0599680000000005
16,2006,2005,12,1,0.93315,2.05989
35,2006,1979,12,1,0.93302,2.059812
114,2006,1996,12,1,0.93295,2.0597700000000003
92,2006,1980,12,1,0.93294,2.0597640000000004
137,2006,1997,12,1,0.93289,2.059734
49,2006,1994,12,1,0.93276,2.0596560000000004
143,2006,1978,12,1,0.93256,2.059536
232,2006,1976,12,1,0.93238,2.059428
74,2006,1978,12,1,0.93232,2.0593920000000003
242,2006,1998,12,1,0.93188,2.0591280000000003
137,2006,1996,12,1,0.93186,2.0591160000000004
113,2006,1996,12,1,0.93149,2.0588940000000004
81,2006,1978,12,1,0.93148,2.058888
13,2006,1995,12,1,0.9312,2.05872
127,2006,1979,12,1,0.93078,2.0584680000000004
82,2006,1997,12,1,0.93058,2.058348
133,2006,1978,12,1,0.93026,2.0581560000000003
140,2006,1982,12,1,0.93017,2.0581020000000003
26,2006,1997,12,1,0.93017,2.0581020000000003
85,2006,1978,12,1,0.92922,2.057532
226,2006,1990,12,1,0.92903,2.057418
239,2006,1997,12,1,0.92885,2.05731
226,2006,1989,12,1,0.92854,2.057124
101,2006,1983,12,1,0.92827,2.0569620000000004
72,2006,1984,12,1,0.92785,2.0567100000000003
165,2006,1994,12,1,0.92735,2.05641
74,2006,1979,12,1,0.92708,2.056248
69,2006,1995,12,1,0.92708,2.056248
167,2006,1968,12,1,0.92698,2.056188
140,2006,1983,12,1,0.9269,2.05614
210,2006,1994,12,1,0.92683,2.0560980000000004
128,2006,1996,12,1,0.92613,2.0556780000000003
150,2006,1981,12,1,0.9261,2.0556600000000005
118,2006,1996,12,1,0.92606,2.0556360000000002
57,2006,1994,12,1,0.92604,2.0556240000000003
119,2006,1995,12,1,0.92596,2.0555760000000003
128,2006,1994,12,1,0.92549,2.055294
143,2006,1979,12,1,0.92546,2.055276
72,2006,1995,12,1,0.92518,2.055108
21,2006,1978,12,1,0.92503,2.0550180000000005
65,2006,1965,12,1,0.92498,2.0549880000000003
181,2006,1996,12,1,0.92485,2.05491
99,2006,1964,12,1,0.9247,2.0548200000000003
153,2006,1994,12,1,0.92464,2.054784
84,2006,1978,12,1,0.92457,2.054742
206,2006,1981,12,1,0.92433,2.0545980000000004
94,2006,1966,12,1,0.92419,2.054514
