country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,country_a_id_fk
79,2006,2006,14,4,0.9315450000000001,1,3.1589270000000003,"['Social Sector', 'Political State Sector', 'Human Rights Development', 'Finance Economy Sector']",42
79,2006,2006,13,4,0.9476675,1,3.0686005,"['Social Sector', 'Political State Sector', 'Human Rights Development', 'Finance Economy Sector']",42
79,2006,2006,16,3,0.9335133333333333,1,3.060108,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",42
79,2006,2006,12,4,0.9489099999999999,1,2.9693460000000003,"['Social Sector', 'Political State Sector', 'Human Rights Development', 'Finance Economy Sector']",42
79,2006,2006,15,3,0.9374433333333334,1,2.962466,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",42
66,2006,2007,15,3,0.9051166666666667,1,2.9430699999999996,"['Human Rights Development', 'Finance Economy Sector']",42
129,2006,2007,17,2,0.944245,1,2.866547,['Human Rights Development'],42
79,2006,2006,11,4,0.9431674999999999,1,2.8659004999999995,"['Social Sector', 'Political State Sector', 'Human Rights Development', 'Finance Economy Sector']",42
158,2006,2006,17,2,0.934775,1,2.8608650000000004,"['Human Rights Development', 'Social Sector']",42
79,2006,2006,17,2,0.930055,1,2.8580330000000003,"['Human Rights Development', 'Finance Economy Sector']",42
158,2006,2006,8,5,0.928968,1,2.8573807999999996,"['Sovereignty', 'Social Sector', 'Political State Sector', 'Finance Economy Sector', 'Human Rights Development']",42
148,2006,2006,14,3,0.9270933333333332,1,2.8562559999999997,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",42
158,2006,2007,17,2,0.92601,1,2.8556060000000003,"['Human Rights Development', 'Social Sector']",42
122,2006,2007,17,2,0.91656,1,2.8499360000000005,['Human Rights Development'],42
6,2006,2006,17,2,0.906625,1,2.8439750000000004,"['Political State Sector', 'Human Rights Development']",42
158,2006,2006,13,3,0.94679,1,2.7680740000000004,"['Human Rights Development', 'Social Sector']",42
129,2006,2007,16,2,0.946735,1,2.768041,['Human Rights Development'],42
248,2006,2008,16,2,0.94042,1,2.764252,"['Social Sector', 'Finance Economy Sector']",42
158,2006,2006,16,2,0.936665,1,2.7619990000000003,"['Human Rights Development', 'Social Sector']",42
196,2006,2006,16,2,0.932875,1,2.7597250000000004,"['Human Rights Development', 'Social Sector']",42
148,2006,2006,13,3,0.93145,1,2.75887,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",42
158,2006,2007,16,2,0.92772,1,2.756632,"['Human Rights Development', 'Social Sector']",42
223,2006,2007,13,3,0.9183933333333334,1,2.751036,"['Human Rights Development', 'Social Sector']",42
122,2006,2007,16,2,0.91636,1,2.749816,['Human Rights Development'],42
66,2006,2008,16,2,0.9157850000000001,1,2.749471,['Human Rights Development'],42
221,2006,2007,16,2,0.906775,1,2.744065,"['Social Sector', 'Human Rights Development']",42
6,2006,2006,13,3,0.9037033333333334,1,2.742222,"['Political State Sector', 'Human Rights Development']",42
66,2006,2007,16,2,0.9011450000000001,1,2.7406870000000003,"['Human Rights Development', 'Finance Economy Sector']",42
129,2006,2007,15,2,0.9536549999999999,1,2.672193,['Human Rights Development'],42
158,2006,2006,15,2,0.947545,1,2.668527,"['Human Rights Development', 'Social Sector']",42
248,2006,2008,15,2,0.944685,1,2.666811,"['Social Sector', 'Finance Economy Sector']",42
158,2006,2006,12,3,0.9437266666666666,1,2.666236,"['Human Rights Development', 'Social Sector']",42
196,2006,2006,15,2,0.9432050000000001,1,2.6659230000000003,"['Human Rights Development', 'Social Sector']",42
148,2006,2006,12,3,0.9354966666666668,1,2.6612980000000004,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",42
158,2006,2007,15,2,0.9310849999999999,1,2.658651,"['Human Rights Development', 'Social Sector']",42
1,2006,2006,15,2,0.928215,1,2.656929,"['Political State Sector', 'Human Rights Development']",42
66,2006,2009,15,2,0.925,1,2.6550000000000002,['Human Rights Development'],42
79,2006,2007,12,3,0.9212933333333333,1,2.6527760000000002,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",42
66,2006,2008,15,2,0.921165,1,2.652699,['Human Rights Development'],42
122,2006,2007,15,2,0.920115,1,2.652069,['Human Rights Development'],42
223,2006,2007,12,3,0.91203,1,2.647218,"['Human Rights Development', 'Social Sector']",42
124,2006,2007,15,2,0.9065350000000001,1,2.643921,"['Human Rights Development', 'Social Sector']",42
248,2006,2008,14,2,0.9549449999999999,1,2.572967,"['Social Sector', 'Finance Economy Sector']",42
196,2006,2006,14,2,0.95373,1,2.572238,"['Human Rights Development', 'Social Sector']",42
129,2006,2007,14,2,0.95191,1,2.571146,['Human Rights Development'],42
