country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,event_correlation_score,country_a_id_fk,event_correlation_count,similar_event_year_a,similar_raw_event,similar_event_year_b
13,1990,1990,30,6,0.9747587931034483,1,5.384855275862069,"['Unknown', 'Trade Sector']",0,44,0,,,
13,1990,1991,30,6,0.9705912068965517,1,5.382354724137931,"['Unknown', 'Trade Sector']",0,44,0,,,
13,1990,1992,30,6,0.9651096551724138,1,5.3790657931034485,"['Unknown', 'Trade Sector']",0,44,0,,,
165,1990,1990,30,6,0.9624676,1,5.3774805599999995,"['Unknown', 'Trade Sector']",0,44,0,,,
40,1990,1990,30,6,0.9613412068965517,1,5.376804724137931,"['Unknown', 'Trade Sector']",3,44,0,,,
40,1990,1991,30,6,0.9531406896551724,1,5.371884413793103,"['Unknown', 'Trade Sector']",3,44,0,,,
21,1990,1990,32,5,0.9762251063829787,1,5.2857350638297875,"['Unknown', 'Trade Sector']",2,44,0,,,
13,1990,1990,32,5,0.97351,1,5.284106,"['Unknown', 'Trade Sector']",0,44,0,,,
74,1990,1990,32,5,0.9716891489361702,1,5.283013489361702,"['Unknown', 'Trade Sector']",7,44,0,,,
177,1990,1990,32,5,0.9682388888888889,1,5.280943333333333,"['Unknown', 'Trade Sector']",7,44,1,1990,Educational Reform,1990
235,1990,1990,32,5,0.9661170212765957,1,5.279670212765957,"['Unknown', 'Trade Sector']",0,44,0,,,
215,1990,1990,32,5,0.9613353191489362,1,5.276801191489362,"['Unknown', 'Trade Sector']",3,44,0,,,
165,1990,1990,32,5,0.9611316666666667,1,5.276679000000001,"['Unknown', 'Trade Sector']",0,44,0,,,
153,1990,1990,32,5,0.9370714893617021,1,5.262242893617022,"['Unknown', 'Trade Sector']",3,44,0,,,
177,1990,1990,31,5,0.9678159259259259,1,5.180689555555555,"['Unknown', 'Trade Sector']",6,44,1,1990,Educational Reform,1990
13,1990,1990,31,5,0.9642141666666668,1,5.1785285,"['Unknown', 'Trade Sector']",0,44,0,,,
13,1990,1991,31,5,0.9584622222222223,1,5.175077333333333,"['Unknown', 'Trade Sector']",0,44,0,,,
40,1990,1990,31,5,0.9541838888888888,1,5.172510333333333,"['Unknown', 'Trade Sector']",5,44,0,,,
106,1990,1990,31,5,0.9455283333333333,1,5.167317,"['Unknown', 'Trade Sector']",3,44,0,,,
165,1990,1990,31,5,0.9453385714285715,1,5.167203142857143,"['Unknown', 'Trade Sector']",0,44,0,,,
21,1990,1990,30,5,0.9775238297872341,1,5.08651429787234,"['Unknown', 'Trade Sector']",1,44,0,,,
13,1990,1993,30,5,0.9767066666666667,1,5.086024,"['Unknown', 'Trade Sector']",0,44,0,,,
21,1990,1991,30,5,0.9764755319148937,1,5.085885319148936,"['Unknown', 'Trade Sector']",1,44,0,,,
215,1990,1992,30,5,0.9762,1,5.08572,"['Unknown', 'Trade Sector']",2,44,0,,,
