unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
1133372,The Fund For Peace,Fragile State Index,Total,2023,45,239,17,0.96671,2006,"82.5,81.2,80.3,84.6,83.0,80.1,78.3,80.9,79.0,76.5,74.9,74.7,72.39504122741063,71.1,69.85878789983346,68.89999999999999,66.9",2006,"94.4,93.5,93.4,92.8,90.5,88.3,87.5,86.9,86.3,85.3,83.5,81.5,79.1,75.7,73.10388718030978,72.00000000000001,69.6",2023-12-14 05:20:01,Finance Economy Sector
3929943,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,45,239,17,0.98776,2006,"9.2,9.0,9.0,9.2,9.0,8.6,8.3,8.0,7.7,7.4,7.5,7.3,7.0,6.7,6.4,5.9,6.0",2006,"8.1,8.6,8.6,8.7,8.5,8.2,7.9,7.6,7.3,7.0,7.1,6.9,6.7,6.2,5.9,5.7,5.6",2023-12-17 10:33:53,Human Rights Development
4669294,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,45,239,17,0.91769,2006,"6.6,6.5,6.3,6.1,5.9,5.6,5.3,5.0,4.8,4.6,4.6,4.9,4.92224398284014,4.6,4.3,3.8,3.5",2006,"7.5,7.1,7.1,7.0,6.6,6.3,6.0,6.3,6.6,6.3,6.0,6.0,5.8,5.5,5.2,5.2,5.1",2023-12-18 10:32:50,Human Rights Development
5481306,The Fund For Peace,Fragile State Index,P2: Public Services,2023,45,239,17,0.9101,2006,"7.3,6.5,6.6,7.2,7.0,6.6,6.3,6.8,6.5,6.2,5.9,5.7,5.4,5.1,4.8,5.3,5.0",2006,"7.0,6.8,6.8,6.6,6.4,6.0,5.7,5.4,5.4,5.4,5.1,4.9,4.7,4.4,4.1000000000000005,4.6,4.3",2023-12-19 02:46:43,Political State Sector
6385686,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,45,239,17,0.97848,2006,"8.5,8.7,8.8,9.0,8.8,8.2,7.9,8.1,7.7,7.4,6.9,6.7,6.2,5.9,5.6000000000000005,5.9,6.2",2006,"7.7,7.7,7.7,7.9,7.7,7.3,7.0,6.7,6.4,6.1,5.8,5.6,5.4,5.1,4.8,4.8,4.5",2023-12-19 21:24:06,Social Sector
1133412,The Fund For Peace,Fragile State Index,Total,2023,45,162,17,0.9547,2006,"82.5,81.2,80.3,84.6,83.0,80.1,78.3,80.9,79.0,76.5,74.9,74.7,72.39504122741063,71.1,69.85878789983346,68.89999999999999,66.9",2006,"97.3,97.7,97.7,98.3,97.8,95.6,95.5,95.1,94.0,93.8,93.9,93.3,93.2,92.7,90.21129784524967,89.99999999999999,89.10000000000001",2023-12-14 05:20:03,Finance Economy Sector
3929970,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,45,162,17,0.96458,2006,"9.2,9.0,9.0,9.2,9.0,8.6,8.3,8.0,7.7,7.4,7.5,7.3,7.0,6.7,6.4,5.9,6.0",2006,"9.0,8.8,8.8,8.8,8.8,8.5,8.6,8.3,8.0,8.0,7.7,7.5,7.5,7.5,7.2,7.3,7.4",2023-12-17 10:33:55,Human Rights Development
4669309,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,45,162,17,0.9697,2006,"6.6,6.5,6.3,6.1,5.9,5.6,5.3,5.0,4.8,4.6,4.6,4.9,4.92224398284014,4.6,4.3,3.8,3.5",2006,"5.0,5.0,5.0,5.0,5.0,4.7,4.4,4.4,4.4,4.2,4.1,4.4,4.4,4.4,4.1000000000000005,3.8,3.5",2023-12-18 10:32:51,Human Rights Development
5481310,The Fund For Peace,Fragile State Index,P2: Public Services,2023,45,162,17,0.94701,2006,"7.3,6.5,6.6,7.2,7.0,6.6,6.3,6.8,6.5,6.2,5.9,5.7,5.4,5.1,4.8,5.3,5.0",2006,"9.5,9.5,9.6,9.6,9.6,9.3,9.4,9.5,9.2,8.9,8.8,8.6,8.6,8.6,8.299999999999999,8.6,8.3",2023-12-19 02:46:43,Political State Sector
6385694,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,45,162,17,0.90422,2006,"8.5,8.7,8.8,9.0,8.8,8.2,7.9,8.1,7.7,7.4,6.9,6.7,6.2,5.9,5.6000000000000005,5.9,6.2",2006,"8.0,8.0,8.2,8.5,8.5,8.2,7.9,8.0,7.5,7.5,7.9,7.7,7.2,7.1,6.8,7.1,7.6",2023-12-19 21:24:07,Social Sector
1133451,The Fund For Peace,Fragile State Index,Total,2023,45,229,17,0.92735,2006,"82.5,81.2,80.3,84.6,83.0,80.1,78.3,80.9,79.0,76.5,74.9,74.7,72.39504122741063,71.1,69.85878789983346,68.89999999999999,66.9",2007,"87.5,86.2,84.3,82.5,79.7,77.4,76.7,78.2,77.4,76.0,74.4,72.62111503765558,71.4,69.05814193586684,68.20000000000002,66.5,64.5",2023-12-14 05:20:06,Finance Economy Sector
2392389,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,45,229,17,0.94321,2006,"8.0,7.5,7.0,7.2,7.2,6.9,6.9,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2",2007,"8.2,7.9,7.7,7.7,7.7,7.7,7.7,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8",2023-12-15 12:00:17,Social Sector
2649985,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,45,229,17,0.94928,2006,"8.0,8.0,7.8,7.9,8.0,7.9,7.9,8.3,8.6,8.3,8.1,7.9,7.6,7.3,7.399999999999999,7.1,6.8",2007,"6.2,6.2,6.5,6.3,6.6,6.4,6.7,6.9,7.1,6.8,6.6,6.3,6.0,5.7,5.6,5.4,5.3",2023-12-15 16:55:18,Social Sector
3930001,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,45,229,17,0.91921,2006,"9.2,9.0,9.0,9.2,9.0,8.6,8.3,8.0,7.7,7.4,7.5,7.3,7.0,6.7,6.4,5.9,6.0",2007,"7.3,7.3,7.6,7.4,7.1,6.8,6.5,6.7,6.9,6.9,6.7,6.7,6.4,6.1000000000000005,6.0,5.9,5.6",2023-12-17 10:33:57,Human Rights Development
5481321,The Fund For Peace,Fragile State Index,P2: Public Services,2023,45,229,17,0.91421,2006,"7.3,6.5,6.6,7.2,7.0,6.6,6.3,6.8,6.5,6.2,5.9,5.7,5.4,5.1,4.8,5.3,5.0",2007,"7.7,7.7,7.2,7.0,6.7,6.4,6.1,6.4,6.1,5.8,5.6,5.3,5.0,4.7,4.7,4.4,4.1",2023-12-19 02:46:44,Political State Sector
1133151,The Fund For Peace,Fragile State Index,Total,2023,45,162,16,0.94156,2006,"82.5,81.2,80.3,84.6,83.0,80.1,78.3,80.9,79.0,76.5,74.9,74.7,72.39504122741063,71.1,69.85878789983346,68.89999999999999",2006,"97.3,97.7,97.7,98.3,97.8,95.6,95.5,95.1,94.0,93.8,93.9,93.3,93.2,92.7,90.21129784524967,89.99999999999999",2023-12-14 05:19:48,Finance Economy Sector
3929769,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,45,162,16,0.96912,2006,"9.2,9.0,9.0,9.2,9.0,8.6,8.3,8.0,7.7,7.4,7.5,7.3,7.0,6.7,6.4,5.9",2006,"9.0,8.8,8.8,8.8,8.8,8.5,8.6,8.3,8.0,8.0,7.7,7.5,7.5,7.5,7.2,7.3",2023-12-17 10:33:43,Human Rights Development
4669262,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,45,162,16,0.96632,2006,"6.6,6.5,6.3,6.1,5.9,5.6,5.3,5.0,4.8,4.6,4.6,4.9,4.92224398284014,4.6,4.3,3.8",2006,"5.0,5.0,5.0,5.0,5.0,4.7,4.4,4.4,4.4,4.2,4.1,4.4,4.4,4.4,4.1000000000000005,3.8",2023-12-18 10:32:47,Human Rights Development
5481289,The Fund For Peace,Fragile State Index,P2: Public Services,2023,45,162,16,0.93858,2006,"7.3,6.5,6.6,7.2,7.0,6.6,6.3,6.8,6.5,6.2,5.9,5.7,5.4,5.1,4.8,5.3",2006,"9.5,9.5,9.6,9.6,9.6,9.3,9.4,9.5,9.2,8.9,8.8,8.6,8.6,8.6,8.299999999999999,8.6",2023-12-19 02:46:42,Political State Sector
6385625,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,45,162,16,0.92073,2006,"8.5,8.7,8.8,9.0,8.8,8.2,7.9,8.1,7.7,7.4,6.9,6.7,6.2,5.9,5.6000000000000005,5.9",2006,"8.0,8.0,8.2,8.5,8.5,8.2,7.9,8.0,7.5,7.5,7.9,7.7,7.2,7.1,6.8,7.1",2023-12-19 21:24:02,Social Sector
1133211,The Fund For Peace,Fragile State Index,Total,2023,45,229,16,0.90926,2006,"82.5,81.2,80.3,84.6,83.0,80.1,78.3,80.9,79.0,76.5,74.9,74.7,72.39504122741063,71.1,69.85878789983346,68.89999999999999",2007,"87.5,86.2,84.3,82.5,79.7,77.4,76.7,78.2,77.4,76.0,74.4,72.62111503765558,71.4,69.05814193586684,68.20000000000002,66.5",2023-12-14 05:19:52,Finance Economy Sector
2392387,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,45,229,16,0.94338,2006,"8.0,7.5,7.0,7.2,7.2,6.9,6.9,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2",2007,"8.2,7.9,7.7,7.7,7.7,7.7,7.7,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8",2023-12-15 12:00:16,Social Sector
