country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,event_correlation_score,country_a_id_fk
106,1990,1990,32,5,0.9474053846153846,1,5.268443230769231,"['Trade Sector', 'Unknown']",0,48
44,1990,1990,32,4,0.9457358823529411,1,4.967441529411765,"['Trade Sector', 'Unknown']",0,48
52,1990,1991,32,4,0.9398432,1,4.96390592,"['Trade Sector', 'Unknown']",0,48
228,1990,1990,32,4,0.9374907692307691,1,4.962494461538462,"['Trade Sector', 'Unknown']",0,48
228,1990,1991,32,4,0.9206065384615385,1,4.952363923076923,"['Trade Sector', 'Unknown']",0,48
106,1990,1990,31,4,0.968534,1,4.8811203999999995,"['Trade Sector', 'Unknown']",0,48
98,1990,1991,31,4,0.9679133333333334,1,4.880748,"['Trade Sector', 'Unknown']",0,48
100,1990,1990,31,4,0.96062,1,4.876372,"['Trade Sector', 'Unknown']",0,48
98,1990,1992,30,4,0.9733566666666665,1,4.784014,"['Trade Sector', 'Unknown']",0,48
98,1990,1991,30,4,0.971862,1,4.7831172,"['Trade Sector', 'Unknown']",0,48
106,1990,1990,30,4,0.969678,1,4.7818068,"['Trade Sector', 'Unknown']",0,48
176,1990,1992,30,4,0.9511999999999999,1,4.77072,"['Trade Sector', 'Unknown']",0,48
44,1990,1990,30,4,0.9402329411764706,1,4.764139764705883,"['Trade Sector', 'Unknown']",0,48
110,1990,1990,32,3,0.9834271428571429,1,4.690056285714285,"['Trade Sector', 'Unknown']",0,48
140,1990,1990,32,3,0.9791585714285714,1,4.687495142857142,"['Trade Sector', 'Unknown']",0,48
98,1990,1993,29,4,0.974192,1,4.684515200000001,"['Trade Sector', 'Unknown']",0,48
98,1990,1992,29,4,0.972672,1,4.6836032,"['Trade Sector', 'Unknown']",0,48
98,1990,1991,29,4,0.9711219999999999,1,4.6826732,"['Trade Sector', 'Unknown']",0,48
106,1990,1990,29,4,0.9700626666666666,1,4.6820376,"['Trade Sector', 'Unknown']",0,48
235,1990,1990,32,3,0.9696,1,4.68176,"['Trade Sector', 'Unknown']",0,48
81,1990,1990,32,3,0.9659942857142857,1,4.679596571428571,"['Trade Sector', 'Unknown']",0,48
13,1990,1990,32,3,0.9657914285714285,1,4.679474857142857,"['Trade Sector', 'Unknown']",0,48
52,1990,1992,29,4,0.9618436,1,4.677106160000001,"['Trade Sector', 'Unknown']",0,48
153,1990,1990,32,3,0.9617785714285715,1,4.677067142857142,"['Trade Sector', 'Unknown']",0,48
52,1990,1991,29,4,0.9616228,1,4.676973680000001,"['Trade Sector', 'Unknown']",0,48
52,1990,1993,29,4,0.959666,1,4.6757996,"['Trade Sector', 'Unknown']",0,48
14,1990,1990,32,3,0.9576914285714286,1,4.674614857142857,"['Trade Sector', 'Unknown']",0,48
73,1990,1990,32,3,0.95755,1,4.67453,"['Trade Sector', 'Unknown']",0,48
58,1990,1990,32,3,0.95708,1,4.6742479999999995,"['Trade Sector', 'Unknown']",0,48
176,1990,1992,29,4,0.9540000000000001,1,4.6724000000000006,"['Trade Sector', 'Unknown']",0,48
216,1990,1990,32,3,0.9537573333333333,1,4.6722544,"['Trade Sector', 'Unknown']",0,48
176,1990,1990,32,3,0.9508985714285715,1,4.670539142857143,"['Trade Sector', 'Unknown']",0,48
203,1990,1990,32,3,0.9465714285714285,1,4.667942857142856,"['Trade Sector', 'Unknown']",0,48
44,1990,1991,32,3,0.945722,1,4.6674332,"['Trade Sector', 'Unknown']",0,48
216,1990,1991,32,3,0.9445033333333334,1,4.666702,"['Trade Sector', 'Unknown']",0,48
215,1990,1990,32,3,0.9407914285714286,1,4.6644748571428565,"['Trade Sector', 'Unknown']",0,48
57,1990,1990,32,3,0.9406442857142857,1,4.664386571428571,"['Trade Sector', 'Unknown']",0,48
52,1990,1994,29,4,0.9400224,1,4.664013440000001,"['Trade Sector', 'Unknown']",0,48
98,1990,1991,32,3,0.935776,1,4.6614656,"['Trade Sector', 'Unknown']",0,48
84,1990,1990,32,3,0.9257684615384616,1,4.655461076923077,"['Trade Sector', 'Unknown']",0,48
21,1990,1990,32,3,0.9239842857142857,1,4.654390571428571,"['Trade Sector', 'Unknown']",0,48
104,1990,1993,29,4,0.9187544,1,4.651252640000001,"['Trade Sector', 'Unknown']",0,48
106,1990,1991,32,3,0.9181326666666666,1,4.6508796,"['Trade Sector', 'Unknown']",0,48
110,1990,1990,31,3,0.9829728571428572,1,4.589783714285714,"['Trade Sector', 'Unknown']",0,48
140,1990,1990,31,3,0.9795785714285714,1,4.587747142857143,"['Trade Sector', 'Unknown']",0,48
110,1990,1991,31,3,0.9777614285714286,1,4.586656857142857,"['Trade Sector', 'Unknown']",0,48
140,1990,1991,31,3,0.9768528571428572,1,4.586111714285714,"['Trade Sector', 'Unknown']",0,48
235,1990,1990,31,3,0.9714642857142858,1,4.582878571428571,"['Trade Sector', 'Unknown']",0,48
13,1990,1991,31,3,0.9671457142857144,1,4.580287428571428,"['Trade Sector', 'Unknown']",0,48
235,1990,1991,31,3,0.9669685714285714,1,4.580181142857143,"['Trade Sector', 'Unknown']",0,48
13,1990,1990,31,3,0.9661557142857143,1,4.579693428571429,"['Trade Sector', 'Unknown']",0,48
236,1990,1990,31,3,0.9659585714285714,1,4.579575142857143,"['Trade Sector', 'Unknown']",0,48
81,1990,1990,31,3,0.9656414285714287,1,4.579384857142857,"['Trade Sector', 'Unknown']",0,48
106,1990,1991,31,3,0.9640414285714286,1,4.578424857142857,"['Trade Sector', 'Unknown']",0,48
81,1990,1991,31,3,0.9629457142857143,1,4.577767428571429,"['Trade Sector', 'Unknown']",0,48
52,1990,1991,31,3,0.9619993333333333,1,4.5771996,"['Trade Sector', 'Unknown']",0,48
153,1990,1990,31,3,0.9607771428571429,1,4.576466285714286,"['Trade Sector', 'Unknown']",0,48
153,1990,1991,31,3,0.9580342857142857,1,4.574820571428571,"['Trade Sector', 'Unknown']",0,48
14,1990,1990,31,3,0.9562885714285715,1,4.573773142857143,"['Trade Sector', 'Unknown']",0,48
73,1990,1990,31,3,0.9560042857142858,1,4.573602571428571,"['Trade Sector', 'Unknown']",0,48
58,1990,1990,31,3,0.9549957142857143,1,4.572997428571428,"['Trade Sector', 'Unknown']",0,48
176,1990,1990,31,3,0.9547042857142857,1,4.5728225714285715,"['Trade Sector', 'Unknown']",0,48
58,1990,1991,31,3,0.9526471428571428,1,4.571588285714285,"['Trade Sector', 'Unknown']",0,48
216,1990,1990,31,3,0.9518353333333334,1,4.5711012,"['Trade Sector', 'Unknown']",0,48
216,1990,1991,31,3,0.9508166666666666,1,4.5704899999999995,"['Trade Sector', 'Unknown']",0,48
14,1990,1991,31,3,0.9492271428571428,1,4.569536285714285,"['Trade Sector', 'Unknown']",0,48
44,1990,1990,31,3,0.9479233333333333,1,4.568754,"['Trade Sector', 'Unknown']",0,48
176,1990,1991,31,3,0.9473514285714285,1,4.568410857142857,"['Trade Sector', 'Unknown']",0,48
203,1990,1990,31,3,0.947197142857143,1,4.568318285714286,"['Trade Sector', 'Unknown']",0,48
