country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,event_correlation_score,country_a_id_fk
138,2007,2007,9,5,0.9622160000000001,1,2.9773296,"['Political State Sector', 'Social Sector', 'Human Rights Development']",0,49
138,2007,2007,11,4,0.94214,1,2.865284,"['Political State Sector', 'Social Sector', 'Human Rights Development']",0,49
148,2007,2007,17,2,0.939585,1,2.863751,"['Social Sector', 'Human Rights Development']",0,49
25,2007,2007,17,2,0.9358500000000001,1,2.8615100000000004,"['Social Sector', 'Human Rights Development']",0,49
197,2007,2006,17,2,0.935395,1,2.861237,"['Social Sector', 'Human Rights Development']",0,49
148,2007,2006,17,2,0.930485,1,2.8582910000000004,"['Social Sector', 'Human Rights Development']",0,49
56,2007,2007,17,2,0.92801,1,2.856806,"['Social Sector', 'Human Rights Development']",0,49
53,2007,2006,17,2,0.9185049999999999,1,2.851103,"['Social Sector', 'Human Rights Development']",0,49
167,2007,2007,17,2,0.90727,1,2.8443620000000003,"['Social Sector', 'Human Rights Development']",0,49
166,2007,2006,17,2,0.9066749999999999,1,2.844005,['Social Sector'],0,49
150,2007,2006,17,2,0.9046000000000001,1,2.84276,"['Social Sector', 'Human Rights Development']",0,49
138,2007,2007,10,4,0.97064,1,2.782384,"['Political State Sector', 'Social Sector', 'Human Rights Development']",0,49
148,2007,2007,16,2,0.9426300000000001,1,2.765578,"['Social Sector', 'Human Rights Development']",0,49
129,2007,2008,16,2,0.9394,1,2.76364,"['Social Sector', 'Human Rights Development']",0,49
148,2007,2006,16,2,0.934755,1,2.760853,"['Social Sector', 'Human Rights Development']",0,49
148,2007,2008,16,2,0.93349,1,2.760094,"['Social Sector', 'Human Rights Development']",0,49
56,2007,2007,16,2,0.921815,1,2.753089,"['Social Sector', 'Human Rights Development']",0,49
42,2007,2007,16,2,0.91232,1,2.747392,"['Social Sector', 'Human Rights Development']",0,49
53,2007,2006,16,2,0.90915,1,2.74549,"['Social Sector', 'Human Rights Development']",0,49
148,2007,2007,15,2,0.93809,1,2.6628540000000003,"['Social Sector', 'Human Rights Development']",0,49
129,2007,2008,15,2,0.93687,1,2.662122,"['Social Sector', 'Human Rights Development']",0,49
129,2007,2009,15,2,0.92386,1,2.654316,['Human Rights Development'],0,49
42,2007,2007,15,2,0.911895,1,2.647137,"['Social Sector', 'Human Rights Development']",0,49
122,2007,2007,15,2,0.90768,1,2.644608,"['Political State Sector', 'Human Rights Development']",0,49
94,2007,2006,14,2,0.9356949999999999,1,2.561417,['Human Rights Development'],0,49
129,2007,2008,14,2,0.9341649999999999,1,2.560499,"['Social Sector', 'Human Rights Development']",0,49
166,2007,2006,11,3,0.9203899999999999,1,2.552234,"['Social Sector', 'Human Rights Development']",0,49
249,2007,2007,14,2,0.9146700000000001,1,2.5488020000000002,['Human Rights Development'],0,49
198,2007,2010,14,2,0.913985,1,2.548391,"['Social Sector', 'Human Rights Development']",0,49
249,2007,2008,14,2,0.9089499999999999,1,2.54537,['Human Rights Development'],0,49
127,2007,2007,11,3,0.9080400000000001,1,2.544824,"['Political State Sector', 'Social Sector', 'Human Rights Development']",0,49
138,2007,2006,10,3,0.9438033333333333,1,2.4662819999999996,"['Political State Sector', 'Social Sector', 'Human Rights Development']",0,49
138,2007,2008,10,3,0.94365,1,2.46619,"['Political State Sector', 'Social Sector', 'Human Rights Development']",0,49
148,2007,2006,13,2,0.94347,1,2.466082,"['Social Sector', 'Human Rights Development']",0,49
94,2007,2006,13,2,0.9345399999999999,1,2.460724,['Human Rights Development'],0,49
129,2007,2008,13,2,0.934315,1,2.4605889999999997,"['Social Sector', 'Human Rights Development']",0,49
148,2007,2007,13,2,0.93235,1,2.45941,"['Social Sector', 'Human Rights Development']",0,49
133,2007,2008,10,3,0.92997,1,2.457982,"['Social Sector', 'Human Rights Development']",0,49
144,2007,2007,13,2,0.929405,1,2.457643,"['Political State Sector', 'Social Sector']",0,49
122,2007,2007,13,2,0.9270499999999999,1,2.4562299999999997,"['Political State Sector', 'Human Rights Development']",0,49
124,2007,2009,13,2,0.922355,1,2.453413,"['Social Sector', 'Human Rights Development']",0,49
133,2007,2008,13,2,0.92079,1,2.452474,"['Social Sector', 'Human Rights Development']",0,49
166,2007,2006,13,2,0.9203399999999999,1,2.452204,['Social Sector'],0,49
142,2007,2007,13,2,0.9192,1,2.45152,"['Political State Sector', 'Social Sector']",0,49
129,2007,2008,10,3,0.9190366666666666,1,2.451422,"['Social Sector', 'Human Rights Development']",0,49
249,2007,2007,13,2,0.91882,1,2.451292,['Human Rights Development'],0,49
198,2007,2010,13,2,0.91203,1,2.447218,"['Social Sector', 'Human Rights Development']",0,49
249,2007,2008,13,2,0.910165,1,2.446099,['Human Rights Development'],0,49
148,2007,2006,12,2,0.95711,1,2.3742660000000004,"['Social Sector', 'Human Rights Development']",0,49
148,2007,2007,12,2,0.950245,1,2.3701470000000002,"['Social Sector', 'Human Rights Development']",0,49
183,2007,2006,12,2,0.9495,1,2.3697000000000004,"['Social Sector', 'Human Rights Development']",0,49
138,2007,2007,12,2,0.948645,1,2.369187,"['Social Sector', 'Human Rights Development']",0,49
144,2007,2007,12,2,0.9480999999999999,1,2.36886,"['Political State Sector', 'Social Sector']",0,49
124,2007,2009,12,2,0.94455,1,2.3667300000000004,"['Social Sector', 'Human Rights Development']",0,49
138,2007,2006,9,3,0.9412866666666666,1,2.364772,"['Political State Sector', 'Social Sector', 'Human Rights Development']",0,49
110,2007,2010,12,2,0.9402250000000001,1,2.364135,"['Political State Sector', 'Human Rights Development']",0,49
141,2007,2009,9,3,0.9388566666666667,1,2.363314,"['Political State Sector', 'Social Sector', 'Human Rights Development']",0,49
127,2007,2007,9,3,0.9344366666666666,1,2.3606619999999996,"['Political State Sector', 'Social Sector', 'Human Rights Development']",0,49
94,2007,2006,12,2,0.93394,1,2.360364,['Human Rights Development'],0,49
129,2007,2008,12,2,0.9333199999999999,1,2.359992,"['Social Sector', 'Human Rights Development']",0,49
166,2007,2006,12,2,0.9331400000000001,1,2.359884,['Social Sector'],0,49
183,2007,2007,12,2,0.931155,1,2.358693,"['Social Sector', 'Human Rights Development']",0,49
