country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,Power
18,2002,1968,15,1,0.9522,2.37132
129,2002,2001,15,1,0.94174,2.365044
82,2002,2006,15,1,0.9413,2.36478
82,2002,1979,15,1,0.93214,2.359284
10,2002,1967,15,1,0.92877,2.357262
76,2002,1980,15,1,0.92765,2.3565899999999997
118,2002,2001,15,1,0.92661,2.355966
29,2002,2004,15,1,0.92522,2.3551320000000002
58,2002,1980,15,1,0.92129,2.352774
91,2002,2001,15,1,0.91967,2.351802
37,2002,1986,15,1,0.9195,2.3517
152,2002,1968,15,1,0.91935,2.35161
1,2002,1960,15,1,0.91905,2.35143
220,2002,1991,15,1,0.91839,2.3510340000000003
105,2002,2001,15,1,0.91834,2.351004
172,2002,2001,15,1,0.9179,2.35074
45,2002,1978,15,1,0.91768,2.3506080000000003
216,2002,1980,15,1,0.91725,2.35035
85,2002,1997,15,1,0.91671,2.350026
106,2002,2001,15,1,0.91593,2.349558
227,2002,1985,15,1,0.91464,2.348784
138,2002,2001,15,1,0.91348,2.3480879999999997
93,2002,2000,15,1,0.91251,2.347506
234,2002,2001,15,1,0.91216,2.347296
125,2002,1980,15,1,0.91151,2.346906
187,2002,2001,15,1,0.91146,2.346876
140,2002,2000,15,1,0.91069,2.346414
80,2002,2001,15,1,0.91052,2.346312
110,2002,1981,15,1,0.91035,2.34621
135,2002,1995,15,1,0.91007,2.346042
156,2002,1997,15,1,0.91005,2.34603
49,2002,1997,15,1,0.90995,2.34597
194,2002,2007,15,1,0.90988,2.345928
14,2002,1980,15,1,0.90968,2.345808
103,2002,1973,15,1,0.90967,2.345802
43,2002,1998,15,1,0.90859,2.345154
226,2002,2001,15,1,0.90854,2.345124
39,2002,1997,15,1,0.90829,2.344974
219,2002,2001,15,1,0.90782,2.344692
240,2002,1984,15,1,0.90778,2.344668
92,2002,2001,15,1,0.90775,2.34465
61,2002,2000,15,1,0.90772,2.344632
18,2002,1989,15,1,0.90754,2.344524
166,2002,2001,15,1,0.90754,2.344524
44,2002,2000,15,1,0.90741,2.344446
172,2002,1984,15,1,0.90713,2.344278
93,2002,1968,15,1,0.90712,2.344272
121,2002,2002,15,1,0.9071,2.3442600000000002
71,2002,2007,15,1,0.90709,2.344254
78,2002,1969,15,1,0.90708,2.344248
19,2002,1974,15,1,0.90679,2.344074
147,2002,1981,15,1,0.90671,2.344026
171,2002,1967,15,1,0.90666,2.343996
21,2002,1997,15,1,0.90663,2.343978
155,2002,1981,15,1,0.90657,2.343942
22,2002,1973,15,1,0.9065,2.3439
96,2002,1972,15,1,0.90634,2.343804
13,2002,1982,15,1,0.90612,2.343672
