unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
7717138,World Bank,GDP (current US$),GDP (current US$),2023,4,18,15,0.9522,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1968,"7483685473.51275,8471006100.95399,8992721809.39332,8751842839.79658,6288245866.66667,8086725729.3407,12512460519.7088,19448348073.4565,10117113333.3333,9651149301.8746,13281767142.8571,15565480321.9448,18138049095.6072,20249694002.448,18525399201.5968",2023-12-21 21:04:31
7717192,World Bank,GDP (current US$),GDP (current US$),2023,4,129,15,0.94174,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2001,"5438332600.53228,5351701664.71362,6372498891.38118,5064732625.39054,5859269751.63826,6395712491.75146,8524620890.88039,10725137721.5622,9616879407.59474,9982711338.11814,11551819617.6271,11578975063.7975,12423555457.0352,12522957401.0395,11323020699.9128",2023-12-21 21:04:37
7717170,World Bank,GDP (current US$),GDP (current US$),2023,4,82,15,0.9413,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2006,"20885042153.0199,24827333947.3782,28679383241.0729,26048726185.6746,32197648061.1663,39336668080.559,41271708599.715,62824629066.0408,54783320576.8882,49406014245.4296,56164933479.4044,60405920071.1024,67298913752.0241,68337974418.7681,70043095503.2503",2023-12-21 21:04:35
7717169,World Bank,GDP (current US$),GDP (current US$),2023,4,82,15,0.93214,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1979,"4020227920.22792,4445228215.76763,4222441614.97432,4035994397.7591,4057275042.82903,4412279843.44423,4504342149.43471,5735921420.38769,5074829931.97279,5197840972.6857,5251764269.91812,5889174833.90034,6603130039.87292,6416079341.97329,5968905678.89099",2023-12-21 21:04:35
7717133,World Bank,GDP (current US$),GDP (current US$),2023,4,10,15,0.92877,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1967,"24256667553.2569,26436857247.4982,31256284543.6155,31584210365.5447,33293199095.4881,34733000536.2862,52544000116.9037,72436777342.4554,52438647921.9226,51169499892.1722,56781000101.0848,89049453088.3282,69252328951.6441,76961923741.0701,78676842366.5529",2023-12-21 21:04:31
7717164,World Bank,GDP (current US$),GDP (current US$),2023,4,76,15,0.92765,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1980,"1320416033.3067,1234743075.73705,1235897960.34047,1284180702.78595,1325515441.97513,1448281229.04101,2212028291.39222,2677977168.72512,2723496362.17218,2731683490.22561,3320159522.5334,3410078974.21418,3713785776.28354,3544608541.0505,3676123796.00755",2023-12-21 21:04:34
7717188,World Bank,GDP (current US$),GDP (current US$),2023,4,118,15,0.92661,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2001,"1525116370.27939,1605643104.73021,1919008090.49641,2211534585.0034,2460246796.05234,2834168893.27265,3802570572.37516,5139958956.02388,4690061344.16421,4794361821.20611,6197765941.67975,6605142864.372,7335033799.26212,7468102369.13654,6678177483.42949",2023-12-21 21:04:36
7717146,World Bank,GDP (current US$),GDP (current US$),2023,4,29,15,0.92522,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2004,"8957467706.5354,9918907108.09702,9919158482.41085,10567270655.5027,10730828592.459,10118459713.7024,12637273429.1339,15110642875.5965,13907464500.1489,14271738366.7917,15470087926.2484,13530749289.7861,15082636722.856,16105156375.5848,17031943186.1353",2023-12-21 21:04:32
7717156,World Bank,GDP (current US$),GDP (current US$),2023,4,58,15,0.92129,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1980,"71127002864.8499,61878103527.154,60412542585.6814,60644837444.4217,59105284414.6403,62658617565.4759,88078850821.6244,109414157336.77,115552417468.553,112409606609.965,138248216614.801,139225595726.802,152914810032.913,143194762031.877,156163573390.254",2023-12-21 21:04:33
7717173,World Bank,GDP (current US$),GDP (current US$),2023,4,91,15,0.91967,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2001,"2829435908.16305,2950198723.60858,3446441784.82252,3635458213.65962,2937071740.39148,4220019242.74824,6281917649.66709,6964179187.53836,6716904516.30084,6853467832.6761,6785137215.23269,7638045225.63676,8376613880.25749,8778473643.01989,8794202394.72245",2023-12-21 21:04:35
