country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,Power
114,1960,1960,62,1,0.97002,7.082012
45,1960,1960,62,1,0.96813,7.080878
114,1960,1961,62,1,0.96563,7.079378
152,1960,1960,62,1,0.96317,7.077902
82,1960,1960,62,1,0.96281,7.077686
45,1960,1961,62,1,0.96234,7.077404
26,1960,1960,62,1,0.96075,7.07645
170,1960,1960,62,1,0.95722,7.074332
152,1960,1961,62,1,0.95669,7.074014
158,1960,1960,62,1,0.95647,7.073882
18,1960,1961,62,1,0.95611,7.073666
100,1960,1960,62,1,0.95299,7.071794
26,1960,1961,62,1,0.95266,7.0715959999999995
18,1960,1960,62,1,0.95251,7.071506
183,1960,1960,62,1,0.95245,7.07147
82,1960,1961,62,1,0.95171,7.071026
170,1960,1961,62,1,0.9515,7.0709
183,1960,1961,62,1,0.94927,7.0695619999999995
93,1960,1960,62,1,0.94908,7.0694479999999995
171,1960,1960,62,1,0.94769,7.068614
89,1960,1960,62,1,0.9476,7.06856
174,1960,1960,62,1,0.94635,7.06781
100,1960,1961,62,1,0.94634,7.067804
158,1960,1961,62,1,0.94584,7.067504
35,1960,1960,62,1,0.94503,7.067018
89,1960,1961,62,1,0.94491,7.066946
171,1960,1961,62,1,0.94149,7.064894
174,1960,1961,62,1,0.93938,7.063628
167,1960,1960,62,1,0.93689,7.062134
52,1960,1960,62,1,0.93663,7.061978
232,1960,1960,62,1,0.93649,7.061894
211,1960,1960,62,1,0.93557,7.061342
108,1960,1960,62,1,0.9355,7.0613
35,1960,1961,62,1,0.93504,7.061024
96,1960,1960,62,1,0.93475,7.06085
96,1960,1961,62,1,0.93322,7.059932
232,1960,1961,62,1,0.93311,7.0598659999999995
108,1960,1961,62,1,0.92989,7.0579339999999995
62,1960,1960,62,1,0.92976,7.057856
61,1960,1960,62,1,0.929,7.0574
223,1960,1960,62,1,0.92818,7.056908
167,1960,1961,62,1,0.9278,7.05668
52,1960,1961,62,1,0.92767,7.056602
199,1960,1960,62,1,0.92765,7.05659
61,1960,1961,62,1,0.92581,7.055486
149,1960,1961,62,1,0.92445,7.05467
23,1960,1960,62,1,0.92348,7.054088
250,1960,1960,62,1,0.9233,7.05398
173,1960,1960,62,1,0.92309,7.053854
200,1960,1960,62,1,0.92212,7.053272
62,1960,1961,62,1,0.92211,7.053266
137,1960,1961,62,1,0.92182,7.0530919999999995
223,1960,1961,62,1,0.91964,7.051784
196,1960,1960,62,1,0.91768,7.050608
129,1960,1960,62,1,0.91473,7.048838
200,1960,1961,62,1,0.91374,7.048244
23,1960,1961,62,1,0.91322,7.047932
199,1960,1961,62,1,0.91187,7.047122
196,1960,1961,62,1,0.91144,7.046864
173,1960,1961,62,1,0.91031,7.046186
94,1960,1960,62,1,0.90977,7.045862
129,1960,1961,62,1,0.9085,7.0451
131,1960,1960,62,1,0.90785,7.04471
211,1960,1961,62,1,0.9077,7.04462
221,1960,1960,62,1,0.90728,7.044368
36,1960,1961,62,1,0.90549,7.0432939999999995
238,1960,1960,62,1,0.90397,7.042382
36,1960,1960,62,1,0.90175,7.04105
157,1960,1960,62,1,0.90147,7.040882
39,1960,1960,62,1,0.90145,7.04087
157,1960,1961,62,1,0.90095,7.04057
114,1960,1960,61,1,0.96464,6.978784
45,1960,1960,61,1,0.96206,6.977236
114,1960,1961,61,1,0.96025,6.9761500000000005
26,1960,1960,61,1,0.95889,6.975334
152,1960,1960,61,1,0.95714,6.974284000000001
82,1960,1960,61,1,0.95663,6.973978000000001
45,1960,1961,61,1,0.95563,6.973378
114,1960,1962,61,1,0.955,6.973000000000001
45,1960,1962,61,1,0.95474,6.972844
170,1960,1960,61,1,0.95345,6.97207
18,1960,1962,61,1,0.9529,6.9717400000000005
158,1960,1960,61,1,0.94998,6.969988000000001
82,1960,1961,61,1,0.94905,6.96943
26,1960,1961,61,1,0.94904,6.969424
152,1960,1961,61,1,0.94896,6.9693760000000005
18,1960,1961,61,1,0.94831,6.968986
183,1960,1960,61,1,0.94771,6.968626
100,1960,1960,61,1,0.94569,6.967414000000001
152,1960,1962,61,1,0.94508,6.967048
170,1960,1961,61,1,0.94436,6.966616
171,1960,1960,61,1,0.94418,6.966508
18,1960,1960,61,1,0.94406,6.966436
158,1960,1961,61,1,0.94302,6.965812000000001
82,1960,1962,61,1,0.94244,6.965464000000001
26,1960,1962,61,1,0.94194,6.965164000000001
93,1960,1960,61,1,0.94132,6.964792
174,1960,1960,61,1,0.94073,6.964438
170,1960,1962,61,1,0.94041,6.964246
183,1960,1961,61,1,0.94008,6.964048
89,1960,1960,61,1,0.94007,6.964042
100,1960,1961,61,1,0.93781,6.962686000000001
211,1960,1960,61,1,0.93656,6.961936000000001
183,1960,1962,61,1,0.93655,6.961930000000001
35,1960,1960,61,1,0.93603,6.9616180000000005
100,1960,1962,61,1,0.93597,6.961582
89,1960,1961,61,1,0.93584,6.961504000000001
89,1960,1962,61,1,0.93575,6.96145
158,1960,1962,61,1,0.9357,6.96142
174,1960,1961,61,1,0.93406,6.9604360000000005
52,1960,1960,61,1,0.93396,6.960376
149,1960,1961,61,1,0.93325,6.95995
171,1960,1961,61,1,0.93293,6.959758000000001
93,1960,1961,61,1,0.93185,6.959110000000001
167,1960,1960,61,1,0.93145,6.95887
62,1960,1960,61,1,0.93037,6.958222
199,1960,1960,61,1,0.92928,6.957568
232,1960,1960,61,1,0.92881,6.957286
35,1960,1961,61,1,0.92867,6.9572020000000006
174,1960,1962,61,1,0.92799,6.956794
171,1960,1962,61,1,0.92587,6.955522
96,1960,1960,61,1,0.9258,6.9554800000000006
108,1960,1960,61,1,0.92436,6.954616000000001
96,1960,1962,61,1,0.92347,6.9540820000000005
52,1960,1961,61,1,0.9232,6.95392
35,1960,1962,61,1,0.92314,6.953884
232,1960,1961,61,1,0.9227,6.953620000000001
96,1960,1961,61,1,0.92225,6.95335
108,1960,1961,61,1,0.92115,6.9526900000000005
61,1960,1960,61,1,0.92105,6.95263
108,1960,1962,61,1,0.92104,6.952624
173,1960,1960,61,1,0.92084,6.952504
167,1960,1961,61,1,0.91974,6.951844
211,1960,1961,61,1,0.91958,6.951748
199,1960,1961,61,1,0.91912,6.951472000000001
62,1960,1961,61,1,0.91904,6.951424
232,1960,1962,61,1,0.91892,6.951352
167,1960,1962,61,1,0.91818,6.950908
223,1960,1960,61,1,0.91808,6.950848000000001
52,1960,1962,61,1,0.91293,6.947758
61,1960,1961,61,1,0.91257,6.947542
