country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,country_a_id_fk
176,1991,1991,32,2,0.988775,1,4.393265,52
21,1991,1991,32,2,0.98737,1,4.392422,52
153,1991,1991,32,2,0.9865299999999999,1,4.391918,52
228,1991,1991,32,2,0.98567,1,4.391402,52
140,1991,1991,32,2,0.985555,1,4.391333,52
200,1991,1991,32,2,0.98551,1,4.391306,52
57,1991,1991,32,2,0.9846550000000001,1,4.390793,52
81,1991,1991,32,2,0.98382,1,4.3902920000000005,52
127,1991,1991,32,2,0.98376,1,4.390256,52
215,1991,1991,32,2,0.983565,1,4.3901390000000005,52
216,1991,1991,32,2,0.983325,1,4.389995,52
200,1991,1990,32,2,0.982985,1,4.389791000000001,52
98,1991,1991,32,2,0.981895,1,4.389137,52
106,1991,1991,32,2,0.981195,1,4.388717000000001,52
228,1991,1990,32,2,0.9809,1,4.38854,52
176,1991,1990,32,2,0.98085,1,4.38851,52
58,1991,1991,32,2,0.98072,1,4.388432,52
14,1991,1991,32,2,0.980505,1,4.3883030000000005,52
127,1991,1990,32,2,0.980135,1,4.388081000000001,52
208,1991,1991,32,2,0.978925,1,4.387355,52
203,1991,1991,32,2,0.9788,1,4.3872800000000005,52
153,1991,1990,32,2,0.977015,1,4.386209,52
208,1991,1990,32,2,0.9766699999999999,1,4.386002,52
216,1991,1990,32,2,0.9757100000000001,1,4.385426000000001,52
57,1991,1990,32,2,0.97504,1,4.3850240000000005,52
21,1991,1990,32,2,0.9735750000000001,1,4.384145,52
81,1991,1990,32,2,0.97278,1,4.383668,52
140,1991,1990,32,2,0.97224,1,4.383344,52
110,1991,1991,32,2,0.971735,1,4.383041,52
177,1991,1991,32,2,0.9705550000000001,1,4.382333,52
106,1991,1990,32,2,0.96997,1,4.381982000000001,52
13,1991,1991,32,2,0.969555,1,4.3817330000000005,52
215,1991,1990,32,2,0.96862,1,4.381172,52
13,1991,1990,32,2,0.968095,1,4.380857000000001,52
97,1991,1990,32,2,0.96709,1,4.380254,52
74,1991,1991,32,2,0.9669099999999999,1,4.380146,52
58,1991,1990,32,2,0.9664699999999999,1,4.379882,52
235,1991,1991,32,2,0.964655,1,4.378793,52
14,1991,1990,32,2,0.96291,1,4.377746,52
48,1991,1991,32,2,0.9596750000000001,1,4.375805000000001,52
110,1991,1990,32,2,0.95781,1,4.3746860000000005,52
156,1991,1991,32,2,0.95573,1,4.373438,52
203,1991,1990,32,2,0.95485,1,4.37291,52
236,1991,1990,32,2,0.950655,1,4.370393,52
74,1991,1990,32,2,0.949075,1,4.369445000000001,52
235,1991,1990,32,2,0.9479550000000001,1,4.368773,52
156,1991,1990,32,2,0.9468099999999999,1,4.368086,52
177,1991,1990,32,2,0.9457,1,4.36742,52
48,1991,1990,32,2,0.9424349999999999,1,4.365461,52
104,1991,1991,32,2,0.936855,1,4.362113,52
104,1991,1990,32,2,0.932935,1,4.359761000000001,52
73,1991,1991,32,2,0.9318150000000001,1,4.359089,52
206,1991,1991,32,2,0.927435,1,4.356461,52
176,1991,1991,31,2,0.98801,1,4.292806000000001,52
153,1991,1991,31,2,0.98688,1,4.292128,52
200,1991,1991,31,2,0.9868,1,4.29208,52
81,1991,1991,31,2,0.9866349999999999,1,4.291981,52
21,1991,1991,31,2,0.986505,1,4.2919030000000005,52
57,1991,1991,31,2,0.98631,1,4.291786,52
140,1991,1991,31,2,0.985625,1,4.291375,52
228,1991,1991,31,2,0.98482,1,4.290892,52
127,1991,1991,31,2,0.984035,1,4.290421,52
216,1991,1991,31,2,0.9829650000000001,1,4.289779,52
215,1991,1991,31,2,0.98238,1,4.289428,52
106,1991,1991,31,2,0.98237,1,4.289422,52
153,1991,1992,31,2,0.98193,1,4.2891580000000005,52
200,1991,1990,31,2,0.9817549999999999,1,4.289053,52
228,1991,1990,31,2,0.9807,1,4.28842,52
208,1991,1991,31,2,0.980575,1,4.2883450000000005,52
98,1991,1991,31,2,0.98056,1,4.288336,52
176,1991,1992,31,2,0.9796400000000001,1,4.287784,52
14,1991,1991,31,2,0.979465,1,4.287679,52
176,1991,1990,31,2,0.978685,1,4.287211,52
58,1991,1991,31,2,0.978525,1,4.287115,52
127,1991,1990,31,2,0.97851,1,4.2871060000000005,52
208,1991,1990,31,2,0.9778899999999999,1,4.286734,52
200,1991,1992,31,2,0.9778549999999999,1,4.286713,52
98,1991,1992,31,2,0.977425,1,4.286455,52
127,1991,1992,31,2,0.97713,1,4.286278,52
57,1991,1990,31,2,0.9770350000000001,1,4.286221,52
13,1991,1990,31,2,0.9769699999999999,1,4.286182,52
153,1991,1990,31,2,0.976805,1,4.2860830000000005,52
203,1991,1991,31,2,0.9766900000000001,1,4.286014,52
216,1991,1990,31,2,0.976375,1,4.285825,52
57,1991,1992,31,2,0.97637,1,4.2858220000000005,52
81,1991,1992,31,2,0.97629,1,4.285774,52
81,1991,1990,31,2,0.9749099999999999,1,4.284946,52
140,1991,1992,31,2,0.97438,1,4.2846280000000005,52
58,1991,1992,31,2,0.9738100000000001,1,4.284286,52
140,1991,1990,31,2,0.97357,1,4.284142,52
13,1991,1991,31,2,0.973565,1,4.284139,52
21,1991,1992,31,2,0.9734750000000001,1,4.284085,52
216,1991,1992,31,2,0.973125,1,4.283875,52
110,1991,1991,31,2,0.97306,1,4.283836,52
97,1991,1991,31,2,0.97296,1,4.2837760000000005,52
215,1991,1992,31,2,0.9723900000000001,1,4.283434,52
202,1991,1992,31,2,0.9721,1,4.28326,52
21,1991,1990,31,2,0.97143,1,4.282858,52
208,1991,1992,31,2,0.970655,1,4.282393,52
228,1991,1992,31,2,0.970345,1,4.2822070000000005,52
97,1991,1990,31,2,0.969555,1,4.281733,52
74,1991,1991,31,2,0.96901,1,4.2814060000000005,52
203,1991,1992,31,2,0.9687399999999999,1,4.281244,52
104,1991,1995,28,3,0.9682866666666666,1,4.280972,52
106,1991,1990,31,2,0.967895,1,4.280737,52
14,1991,1992,31,2,0.96753,1,4.280518,52
156,1991,1991,31,2,0.967195,1,4.280317,52
177,1991,1991,31,2,0.967055,1,4.280233,52
