unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
13412158,World Bank,GDP (current US$),GDP (current US$),2023,55,108,8,0.98554,2011,"2933128491.62011,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564",1995,"11000146268.6884,18071152820.9832,18047558026.6049,19619654770.0679,18870992455.7304,16577533891.5688,16810537038.4139,18054383333.5221",2023-12-27 18:09:12
13412178,World Bank,GDP (current US$),GDP (current US$),2023,55,225,8,0.98182,2011,"2933128491.62011,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564",1993,"138489884.393064,195990986.21421,208871665.748682,222100576.345483,214991452.314998,191504892.761394,199208752.453675,204848436.577021",2023-12-27 18:09:17
13412176,World Bank,GDP (current US$),GDP (current US$),2023,55,195,8,0.9729,2011,"2933128491.62011,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564",2010,"528207298529.872,676634577273.045,741849984943.256,753864543430.248,766605946720.427,669484381328.891,665999879694.192,714994694991.651",2023-12-27 18:09:16
13412173,World Bank,GDP (current US$),GDP (current US$),2023,55,168,8,0.96196,2011,"2933128491.62011,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564",2004,"165186200.0,190452900.0,192382400.0,198897700.0,198283900.0,187522800.0,185943000.0,196911100.0",2023-12-27 18:09:15
13412168,World Bank,GDP (current US$),GDP (current US$),2023,55,144,8,0.95862,2011,"2933128491.62011,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564",2010,"7189482000.66686,10409797375.1152,12292770631.1967,12582122604.1921,12226514666.0404,11619892592.6599,11181350649.2247,11480847740.0839",2023-12-27 18:09:14
13412154,World Bank,GDP (current US$),GDP (current US$),2023,55,24,8,0.95636,2011,"2933128491.62011,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564",2005,"4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0",2023-12-27 18:09:11
13412182,World Bank,GDP (current US$),GDP (current US$),2023,55,242,8,0.95305,2011,"2933128491.62011,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564",1979,"48310930232.5581,59116511627.907,66327441860.4651,67736744186.0465,67556279069.7674,59867743467.9335,61965466666.6667,60516123711.3402",2023-12-27 18:09:17
13412159,World Bank,GDP (current US$),GDP (current US$),2023,55,65,8,0.95152,2011,"2933128491.62011,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564",1964,"12712471.3960211,64748333.3333333,69110000.0,72317446.9327193,67514285.7142857,67225714.2857143,66331428.5714286,64946954.756798",2023-12-27 18:09:12
13412174,World Bank,GDP (current US$),GDP (current US$),2023,55,173,8,0.946,2011,"2933128491.62011,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564",1994,"44882079766.8913,53312793687.3836,55252414130.3019,58147522522.5225,55501467877.381,50187324567.883,51744749133.213,52030158775.4055",2023-12-27 18:09:15
13412169,World Bank,GDP (current US$),GDP (current US$),2023,55,149,8,0.94514,2011,"2933128491.62011,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564",1973,"667038769.091964,1000557949.59229,1128484859.02503,1155595925.08513,1000350726.87418,916914661.349421,919525191.636393,1010596805.47618",2023-12-27 18:09:15
13412161,World Bank,GDP (current US$),GDP (current US$),2023,55,80,8,0.94348,2011,"2933128491.62011,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564",2010,"12243219360.2985,15107482383.3798,16488819132.8835,17190068235.7892,17627336228.0536,14953675992.6704,15141598622.5692,16242647229.7398",2023-12-27 18:09:13
13412162,World Bank,GDP (current US$),GDP (current US$),2023,55,84,8,0.93776,2011,"2933128491.62011,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564",1994,"116601801966.292,136878365936.167,145861612400.906,143157600149.757,144428172489.335,142588875293.749,130457756628.436,136309295225.34",2023-12-27 18:09:13
13412179,World Bank,GDP (current US$),GDP (current US$),2023,55,232,8,0.9359,2011,"2933128491.62011,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564",1994,"3990430446.71216,5755818844.54988,6044585326.938,6269333313.17108,6584815846.52754,5998563257.94659,6193246837.09687,5840503868.57246",2023-12-27 18:09:17
