unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
2052166,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,63,182,17,0.9,2006,"6.5,6.1,6.1,6.2,6.5,6.8,7.0,7.3,7.9,8.2,8.3,8.1,8.2,8.2,7.899999999999999,7.6,7.3",2006,"7.5,6.8,7.0,6.9,6.8,7.2,8.2,8.5,8.6,9.1,9.2,8.9,8.6,8.3,8.0,7.7,7.8",2023-12-15 05:25:16,Social Sector
3773268,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,63,182,17,0.98436,2006,"8.0,7.8,7.8,7.6,7.4,7.4,7.4,7.1,6.8,6.5,6.2,6.0,5.7,5.7,5.4,5.1,4.8",2006,"8.0,8.2,7.9,8.1,7.9,7.6,7.3,7.0,6.7,6.4,6.4,6.2,5.9,5.6,5.3,5.2,4.7",2023-12-17 07:50:38,Human Rights Development
5444998,The Fund For Peace,Fragile State Index,P2: Public Services,2023,63,182,17,0.98691,2006,"7.3,6.7,6.3,6.4,6.1,5.9,5.9,5.6,5.7,5.4,5.1,4.9,4.6000000000000005,4.3,4.230977023349143,4.7,5.0",2006,"6.9,6.2,5.9,5.7,5.5,5.3,5.0,5.1,5.0,4.7,4.4,4.2,3.9,3.6,3.3000000000000003,4.3,4.0",2023-12-19 01:51:27,Political State Sector
6343321,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,63,182,17,0.92223,2006,"8.0,7.7,7.5,7.6,7.4,7.1,7.1,7.2,7.1,7.1,6.8,7.1,6.6,6.3,6.193830870308871,6.5,7.0",2006,"8.0,7.5,7.0,7.0,6.7,6.3,6.0,5.7,5.4,5.1,4.8,4.6,4.699999999999999,4.4,4.1000000000000005,4.6,5.1",2023-12-19 20:29:44,Social Sector
2052155,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,63,227,17,0.92607,2006,"6.5,6.1,6.1,6.2,6.5,6.8,7.0,7.3,7.9,8.2,8.3,8.1,8.2,8.2,7.899999999999999,7.6,7.3",2006,"6.0,5.9,5.9,6.2,6.5,7.0,7.5,7.2,7.3,7.8,7.9,8.3,8.0,7.7,7.4,7.1,7.2",2023-12-15 05:25:15,Social Sector
3773124,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,63,227,17,0.96596,2006,"8.0,7.8,7.8,7.6,7.4,7.4,7.4,7.1,6.8,6.5,6.2,6.0,5.7,5.7,5.4,5.1,4.8",2006,"7.5,7.4,7.2,7.2,7.0,6.6,6.3,6.0,5.7,5.4,5.1,4.9,5.0,4.9,4.6000000000000005,4.5,4.4",2023-12-17 07:50:30,Human Rights Development
5444957,The Fund For Peace,Fragile State Index,P2: Public Services,2023,63,227,17,0.9333,2006,"7.3,6.7,6.3,6.4,6.1,5.9,5.9,5.6,5.7,5.4,5.1,4.9,4.6000000000000005,4.3,4.230977023349143,4.7,5.0",2006,"6.0,5.9,5.9,6.1,5.7,5.3,5.0,5.0,5.2,4.9,4.6,4.4,4.1000000000000005,4.0,4.014628528518518,5.0,4.7",2023-12-19 01:51:20,Political State Sector
6343303,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,63,227,17,0.90775,2006,"8.0,7.7,7.5,7.6,7.4,7.1,7.1,7.2,7.1,7.1,6.8,7.1,6.6,6.3,6.193830870308871,6.5,7.0",2006,"5.7,5.6,5.6,5.9,5.7,5.5,5.2,4.9,4.7,4.7,4.4,4.2,3.9,3.6,3.311284497654845,4.3,4.6",2023-12-19 20:29:43,Social Sector
31323193,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,63,206,22,0.93499,2000,"2.55,2.99,3.28,3.18,2.88,2.71,2.61,2.38,2.18,2.03,1.95,1.84,1.65,1.61,1.69,1.72,1.67,1.42,1.25,1.18,1.12,1.12",2000,"1.39,1.48,1.53,1.47,1.36,1.23,1.15,1.06,1.04,1.09,1.0,1.0,1.03,1.03,1.02,1.01,0.97,0.94,0.9,0.88,0.96,0.81",2024-01-17 05:48:49,Military Sector
32276485,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,63,206,22,0.97571,2000,"9.82,10.72,10.6,10.37,9.55,8.95,7.55,7.61,6.67,6.25,6.23,6.01,5.34,4.65,4.74,5.23,5.09,4.42,4.15,4.18,4.51,4.69",2000,"5.5,5.88,6.16,5.78,5.34,4.91,4.68,4.33,4.0,3.83,3.55,3.57,3.61,3.56,3.49,3.34,3.25,3.16,2.97,2.81,2.76,2.45",2024-01-19 05:35:22,Military Sector
2052154,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,63,182,16,0.90089,2006,"6.5,6.1,6.1,6.2,6.5,6.8,7.0,7.3,7.9,8.2,8.3,8.1,8.2,8.2,7.899999999999999,7.6",2006,"7.5,6.8,7.0,6.9,6.8,7.2,8.2,8.5,8.6,9.1,9.2,8.9,8.6,8.3,8.0,7.7",2023-12-15 05:25:15,Social Sector
3773088,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,63,182,16,0.98022,2006,"8.0,7.8,7.8,7.6,7.4,7.4,7.4,7.1,6.8,6.5,6.2,6.0,5.7,5.7,5.4,5.1",2006,"8.0,8.2,7.9,8.1,7.9,7.6,7.3,7.0,6.7,6.4,6.4,6.2,5.9,5.6,5.3,5.2",2023-12-17 07:50:28,Human Rights Development
5444944,The Fund For Peace,Fragile State Index,P2: Public Services,2023,63,182,16,0.98941,2006,"7.3,6.7,6.3,6.4,6.1,5.9,5.9,5.6,5.7,5.4,5.1,4.9,4.6000000000000005,4.3,4.230977023349143,4.7",2006,"6.9,6.2,5.9,5.7,5.5,5.3,5.0,5.1,5.0,4.7,4.4,4.2,3.9,3.6,3.3000000000000003,4.3",2023-12-19 01:51:17,Political State Sector
6343291,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,63,182,16,0.92571,2006,"8.0,7.7,7.5,7.6,7.4,7.1,7.1,7.2,7.1,7.1,6.8,7.1,6.6,6.3,6.193830870308871,6.5",2006,"8.0,7.5,7.0,7.0,6.7,6.3,6.0,5.7,5.4,5.1,4.8,4.6,4.699999999999999,4.4,4.1000000000000005,4.6",2023-12-19 20:29:42,Social Sector
3773049,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,63,142,16,0.98693,2006,"8.0,7.8,7.8,7.6,7.4,7.4,7.4,7.1,6.8,6.5,6.2,6.0,5.7,5.7,5.4,5.1",2006,"7.5,7.5,7.2,7.0,6.8,6.5,6.2,5.9,5.6,5.3,5.0,4.8,4.5,4.2,3.9,3.8",2023-12-17 07:50:26,Human Rights Development
4591067,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,63,142,16,0.91215,2006,"6.0,6.2,6.2,6.2,6.0,5.7,5.7,5.4,5.1,4.7,4.4,4.7,5.2,5.3,5.281330356633816,5.2",2006,"8.0,8.4,8.4,8.0,7.8,7.5,7.2,6.9,6.6,6.4,6.3,6.6,6.388532468382307,6.7,7.0,7.5",2023-12-18 09:07:57,Human Rights Development
5444922,The Fund For Peace,Fragile State Index,P2: Public Services,2023,63,142,16,0.94646,2006,"7.3,6.7,6.3,6.4,6.1,5.9,5.9,5.6,5.7,5.4,5.1,4.9,4.6000000000000005,4.3,4.230977023349143,4.7",2006,"7.0,7.1,7.0,6.7,6.7,6.3,6.0,5.7,5.4,5.4,5.1,4.9,4.7427387249033925,4.5,4.7060704179532,5.2",2023-12-19 01:51:13,Political State Sector
6343283,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,63,142,16,0.91612,2006,"8.0,7.7,7.5,7.6,7.4,7.1,7.1,7.2,7.1,7.1,6.8,7.1,6.6,6.3,6.193830870308871,6.5",2006,"7.0,7.0,7.0,6.6,6.4,6.1,5.8,5.9,5.6,5.3,5.0,4.8,4.5,4.2,3.9,5.4",2023-12-19 20:29:41,Social Sector
31323197,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,63,131,22,0.97042,2000,"2.55,2.99,3.28,3.18,2.88,2.71,2.61,2.38,2.18,2.03,1.95,1.84,1.65,1.61,1.69,1.72,1.67,1.42,1.25,1.18,1.12,1.12",2001,"2.08,2.22,2.61,2.26,2.17,2.01,1.96,1.82,1.87,1.49,1.55,1.41,1.5,1.46,1.5,1.38,1.1,0.96,0.89,1.0,0.99,0.96",2024-01-17 05:48:49,Military Sector
32276492,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,63,131,22,0.90025,2000,"9.82,10.72,10.6,10.37,9.55,8.95,7.55,7.61,6.67,6.25,6.23,6.01,5.34,4.65,4.74,5.23,5.09,4.42,4.15,4.18,4.51,4.69",2001,"6.78,7.51,8.55,8.03,8.46,7.49,7.57,6.78,6.06,5.6,5.73,4.96,5.4,5.53,6.09,6.06,4.99,4.21,3.79,3.96,4.15,4.28",2024-01-19 05:35:23,Military Sector
2052135,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,63,227,16,0.92654,2006,"6.5,6.1,6.1,6.2,6.5,6.8,7.0,7.3,7.9,8.2,8.3,8.1,8.2,8.2,7.899999999999999,7.6",2006,"6.0,5.9,5.9,6.2,6.5,7.0,7.5,7.2,7.3,7.8,7.9,8.3,8.0,7.7,7.4,7.1",2023-12-15 05:25:13,Social Sector
3772864,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,63,227,16,0.9688,2006,"8.0,7.8,7.8,7.6,7.4,7.4,7.4,7.1,6.8,6.5,6.2,6.0,5.7,5.7,5.4,5.1",2006,"7.5,7.4,7.2,7.2,7.0,6.6,6.3,6.0,5.7,5.4,5.1,4.9,5.0,4.9,4.6000000000000005,4.5",2023-12-17 07:50:13,Human Rights Development
5444889,The Fund For Peace,Fragile State Index,P2: Public Services,2023,63,227,16,0.93237,2006,"7.3,6.7,6.3,6.4,6.1,5.9,5.9,5.6,5.7,5.4,5.1,4.9,4.6000000000000005,4.3,4.230977023349143,4.7",2006,"6.0,5.9,5.9,6.1,5.7,5.3,5.0,5.0,5.2,4.9,4.6,4.4,4.1000000000000005,4.0,4.014628528518518,5.0",2023-12-19 01:51:07,Political State Sector
6343258,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,63,227,16,0.90788,2006,"8.0,7.7,7.5,7.6,7.4,7.1,7.1,7.2,7.1,7.1,6.8,7.1,6.6,6.3,6.193830870308871,6.5",2006,"5.7,5.6,5.6,5.9,5.7,5.5,5.2,4.9,4.7,4.7,4.4,4.2,3.9,3.6,3.311284497654845,4.3",2023-12-19 20:29:40,Social Sector
3772637,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,63,176,15,0.97888,2006,"8.0,7.8,7.8,7.6,7.4,7.4,7.4,7.1,6.8,6.5,6.2,6.0,5.7,5.7,5.4",2006,"4.7,4.8,4.8,4.9,4.8,4.7,4.4,3.9,3.8,3.5,3.2,3.0,2.7,2.4,2.1",2023-12-17 07:50:00,Human Rights Development
4591037,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,63,176,15,0.93699,2006,"6.0,6.2,6.2,6.2,6.0,5.7,5.7,5.4,5.1,4.7,4.4,4.7,5.2,5.3,5.281330356633816",2006,"6.5,6.5,6.4,6.1,5.9,5.6,5.3,5.0,4.7,4.4,4.2,4.5,4.461169761490381,4.7,4.62425044149712",2023-12-18 09:07:55,Human Rights Development
5444821,The Fund For Peace,Fragile State Index,P2: Public Services,2023,63,176,15,0.97628,2006,"7.3,6.7,6.3,6.4,6.1,5.9,5.9,5.6,5.7,5.4,5.1,4.9,4.6000000000000005,4.3,4.230977023349143",2006,"4.3,4.2,3.8,3.9,3.7,3.3,3.1,2.8,3.1,2.8,2.5,2.3,2.0,2.1,2.0044834772027382",2023-12-19 01:50:53,Political State Sector
6343220,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,63,176,15,0.93184,2006,"8.0,7.7,7.5,7.6,7.4,7.1,7.1,7.2,7.1,7.1,6.8,7.1,6.6,6.3,6.193830870308871",2006,"5.0,4.9,4.8,4.9,4.7,4.3,3.8,3.5,3.6,3.3,3.0,3.0,2.7,2.4,2.1",2023-12-19 20:29:37,Social Sector
31323179,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,63,206,21,0.92821,2000,"2.55,2.99,3.28,3.18,2.88,2.71,2.61,2.38,2.18,2.03,1.95,1.84,1.65,1.61,1.69,1.72,1.67,1.42,1.25,1.18,1.12",2000,"1.39,1.48,1.53,1.47,1.36,1.23,1.15,1.06,1.04,1.09,1.0,1.0,1.03,1.03,1.02,1.01,0.97,0.94,0.9,0.88,0.96",2024-01-17 05:48:48,Military Sector
32276461,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,63,206,21,0.98299,2000,"9.82,10.72,10.6,10.37,9.55,8.95,7.55,7.61,6.67,6.25,6.23,6.01,5.34,4.65,4.74,5.23,5.09,4.42,4.15,4.18,4.51",2000,"5.5,5.88,6.16,5.78,5.34,4.91,4.68,4.33,4.0,3.83,3.55,3.57,3.61,3.56,3.49,3.34,3.25,3.16,2.97,2.81,2.76",2024-01-19 05:35:21,Military Sector
3772755,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,63,142,15,0.9865,2006,"8.0,7.8,7.8,7.6,7.4,7.4,7.4,7.1,6.8,6.5,6.2,6.0,5.7,5.7,5.4",2006,"7.5,7.5,7.2,7.0,6.8,6.5,6.2,5.9,5.6,5.3,5.0,4.8,4.5,4.2,3.9",2023-12-17 07:50:07,Human Rights Development
4591047,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,63,142,15,0.93503,2006,"6.0,6.2,6.2,6.2,6.0,5.7,5.7,5.4,5.1,4.7,4.4,4.7,5.2,5.3,5.281330356633816",2006,"8.0,8.4,8.4,8.0,7.8,7.5,7.2,6.9,6.6,6.4,6.3,6.6,6.388532468382307,6.7,7.0",2023-12-18 09:07:56,Human Rights Development
5444847,The Fund For Peace,Fragile State Index,P2: Public Services,2023,63,142,15,0.94845,2006,"7.3,6.7,6.3,6.4,6.1,5.9,5.9,5.6,5.7,5.4,5.1,4.9,4.6000000000000005,4.3,4.230977023349143",2006,"7.0,7.1,7.0,6.7,6.7,6.3,6.0,5.7,5.4,5.4,5.1,4.9,4.7427387249033925,4.5,4.7060704179532",2023-12-19 01:50:59,Political State Sector
6343236,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,63,142,15,0.94262,2006,"8.0,7.7,7.5,7.6,7.4,7.1,7.1,7.2,7.1,7.1,6.8,7.1,6.6,6.3,6.193830870308871",2006,"7.0,7.0,7.0,6.6,6.4,6.1,5.8,5.9,5.6,5.3,5.0,4.8,4.5,4.2,3.9",2023-12-19 20:29:38,Social Sector
2052132,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,63,182,15,0.91547,2006,"6.5,6.1,6.1,6.2,6.5,6.8,7.0,7.3,7.9,8.2,8.3,8.1,8.2,8.2,7.899999999999999",2006,"7.5,6.8,7.0,6.9,6.8,7.2,8.2,8.5,8.6,9.1,9.2,8.9,8.6,8.3,8.0",2023-12-15 05:25:13,Social Sector
3772809,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,63,182,15,0.97633,2006,"8.0,7.8,7.8,7.6,7.4,7.4,7.4,7.1,6.8,6.5,6.2,6.0,5.7,5.7,5.4",2006,"8.0,8.2,7.9,8.1,7.9,7.6,7.3,7.0,6.7,6.4,6.4,6.2,5.9,5.6,5.3",2023-12-17 07:50:10,Human Rights Development
5444873,The Fund For Peace,Fragile State Index,P2: Public Services,2023,63,182,15,0.99308,2006,"7.3,6.7,6.3,6.4,6.1,5.9,5.9,5.6,5.7,5.4,5.1,4.9,4.6000000000000005,4.3,4.230977023349143",2006,"6.9,6.2,5.9,5.7,5.5,5.3,5.0,5.1,5.0,4.7,4.4,4.2,3.9,3.6,3.3000000000000003",2023-12-19 01:51:04,Political State Sector
6343248,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,63,182,15,0.92124,2006,"8.0,7.7,7.5,7.6,7.4,7.1,7.1,7.2,7.1,7.1,6.8,7.1,6.6,6.3,6.193830870308871",2006,"8.0,7.5,7.0,7.0,6.7,6.3,6.0,5.7,5.4,5.1,4.8,4.6,4.699999999999999,4.4,4.1000000000000005",2023-12-19 20:29:39,Social Sector
3772641,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,63,98,15,0.98669,2006,"8.0,7.8,7.8,7.6,7.4,7.4,7.4,7.1,6.8,6.5,6.2,6.0,5.7,5.7,5.4",2006,"6.4,6.3,6.1,6.1,5.9,5.5,5.2,4.9,4.6,4.3,4.0,3.8,3.5,3.2,2.9000000000000004",2023-12-17 07:50:00,Human Rights Development
4591038,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,63,98,15,0.94487,2006,"6.0,6.2,6.2,6.2,6.0,5.7,5.7,5.4,5.1,4.7,4.4,4.7,5.2,5.3,5.281330356633816",2006,"5.0,5.0,5.0,5.0,4.8,4.5,4.2,3.9,3.6,3.3,3.0,3.3,3.0,3.6,3.883504694173115",2023-12-18 09:07:55,Human Rights Development
5444822,The Fund For Peace,Fragile State Index,P2: Public Services,2023,63,98,15,0.94098,2006,"7.3,6.7,6.3,6.4,6.1,5.9,5.9,5.6,5.7,5.4,5.1,4.9,4.6000000000000005,4.3,4.230977023349143",2006,"4.2,3.8,3.8,3.8,3.6,3.7,3.4,3.1,3.2,3.3,3.4,3.2,2.9000000000000004,2.6,2.444640484057868",2023-12-19 01:50:53,Political State Sector
6343221,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,63,98,15,0.92055,2006,"8.0,7.7,7.5,7.6,7.4,7.1,7.1,7.2,7.1,7.1,6.8,7.1,6.6,6.3,6.193830870308871",2006,"3.7,3.7,3.7,3.5,3.3,3.1,2.8,2.5,2.8,2.3,2.0,1.8,1.5,1.4,1.2515993931622165",2023-12-19 20:29:37,Social Sector
2052100,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,63,227,15,0.93079,2006,"6.5,6.1,6.1,6.2,6.5,6.8,7.0,7.3,7.9,8.2,8.3,8.1,8.2,8.2,7.899999999999999",2006,"6.0,5.9,5.9,6.2,6.5,7.0,7.5,7.2,7.3,7.8,7.9,8.3,8.0,7.7,7.4",2023-12-15 05:25:11,Social Sector
3772509,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,63,227,15,0.96965,2006,"8.0,7.8,7.8,7.6,7.4,7.4,7.4,7.1,6.8,6.5,6.2,6.0,5.7,5.7,5.4",2006,"7.5,7.4,7.2,7.2,7.0,6.6,6.3,6.0,5.7,5.4,5.1,4.9,5.0,4.9,4.6000000000000005",2023-12-17 07:49:51,Human Rights Development
5444803,The Fund For Peace,Fragile State Index,P2: Public Services,2023,63,227,15,0.95931,2006,"7.3,6.7,6.3,6.4,6.1,5.9,5.9,5.6,5.7,5.4,5.1,4.9,4.6000000000000005,4.3,4.230977023349143",2006,"6.0,5.9,5.9,6.1,5.7,5.3,5.0,5.0,5.2,4.9,4.6,4.4,4.1000000000000005,4.0,4.014628528518518",2023-12-19 01:50:49,Political State Sector
6343196,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,63,227,15,0.91205,2006,"8.0,7.7,7.5,7.6,7.4,7.1,7.1,7.2,7.1,7.1,6.8,7.1,6.6,6.3,6.193830870308871",2006,"5.7,5.6,5.6,5.9,5.7,5.5,5.2,4.9,4.7,4.7,4.4,4.2,3.9,3.6,3.311284497654845",2023-12-19 20:29:35,Social Sector
31323182,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,63,44,21,0.92702,2000,"2.55,2.99,3.28,3.18,2.88,2.71,2.61,2.38,2.18,2.03,1.95,1.84,1.65,1.61,1.69,1.72,1.67,1.42,1.25,1.18,1.12",2002,"2.53,2.7,2.71,2.53,2.51,2.33,2.58,2.28,2.25,2.26,2.05,1.99,1.97,1.91,1.92,1.94,1.88,1.86,2.09,1.93,1.83",2024-01-17 05:48:48,Military Sector
32276470,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,63,44,21,0.94156,2000,"9.82,10.72,10.6,10.37,9.55,8.95,7.55,7.61,6.67,6.25,6.23,6.01,5.34,4.65,4.74,5.23,5.09,4.42,4.15,4.18,4.51",2002,"10.91,12.17,13.03,12.52,13.38,12.07,11.86,9.11,9.61,9.89,8.86,8.63,8.25,7.63,7.59,7.61,7.33,7.04,7.15,5.79,7.01",2024-01-19 05:35:21,Military Sector
3772649,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,63,57,15,0.95056,2006,"8.0,7.8,7.8,7.6,7.4,7.4,7.4,7.1,6.8,6.5,6.2,6.0,5.7,5.7,5.4",2006,"4.0,3.9,3.9,4.3,4.1,3.8,3.5,3.8,3.5,3.2,2.9,2.7,2.4000000000000004,2.1,1.8",2023-12-17 07:50:01,Human Rights Development
4591040,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,63,57,15,0.92459,2006,"6.0,6.2,6.2,6.2,6.0,5.7,5.7,5.4,5.1,4.7,4.4,4.7,5.2,5.3,5.281330356633816",2006,"5.0,5.0,4.8,4.5,4.3,4.0,3.7,3.4,3.1,2.8,2.5,2.8,2.5,3.0,3.26694540142059",2023-12-18 09:07:55,Human Rights Development
5444825,The Fund For Peace,Fragile State Index,P2: Public Services,2023,63,57,15,0.91955,2006,"7.3,6.7,6.3,6.4,6.1,5.9,5.9,5.6,5.7,5.4,5.1,4.9,4.6000000000000005,4.3,4.230977023349143",2006,"3.9,3.8,3.8,3.8,3.6,3.9,3.6,3.7,3.4,3.1,2.8,2.6,2.3000000000000003,2.0,1.74262486368676",2023-12-19 01:50:54,Political State Sector
6343222,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,63,57,15,0.9181,2006,"8.0,7.7,7.5,7.6,7.4,7.1,7.1,7.2,7.1,7.1,6.8,7.1,6.6,6.3,6.193830870308871",2006,"4.0,4.0,3.8,3.5,3.3,3.0,2.8,2.5,2.4,1.9,1.6,1.4,1.1,1.0,0.9419068691335468",2023-12-19 20:29:37,Social Sector
31323185,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,63,131,21,0.92656,2000,"2.55,2.99,3.28,3.18,2.88,2.71,2.61,2.38,2.18,2.03,1.95,1.84,1.65,1.61,1.69,1.72,1.67,1.42,1.25,1.18,1.12",2002,"2.22,2.61,2.26,2.17,2.01,1.96,1.82,1.87,1.49,1.55,1.41,1.5,1.46,1.5,1.38,1.1,0.96,0.89,1.0,0.99,0.96",2024-01-17 05:48:49,Military Sector
32276472,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,63,131,21,0.92485,2000,"9.82,10.72,10.6,10.37,9.55,8.95,7.55,7.61,6.67,6.25,6.23,6.01,5.34,4.65,4.74,5.23,5.09,4.42,4.15,4.18,4.51",2002,"7.51,8.55,8.03,8.46,7.49,7.57,6.78,6.06,5.6,5.73,4.96,5.4,5.53,6.09,6.06,4.99,4.21,3.79,3.96,4.15,4.28",2024-01-19 05:35:22,Military Sector
32598020,OECD,FDI Total Restrictiveness Index,Electricity,2024,63,131,11,0.98075,1997,"0.197,0.113,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022",2003,"0.602,0.528,0.35,0.348,0.328,0.328,0.323,0.323,0.323,0.319,0.319",2024-01-26 06:49:47,Investments Sector
32604704,OECD,FDI Total Restrictiveness Index,Distribution,2024,63,131,11,1.0,1997,"0.015,0.015,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005",2003,"0.126,0.126,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007",2024-01-26 08:44:36,Investments Sector
32611226,OECD,FDI Total Restrictiveness Index,Media,2024,63,131,11,1.0,1997,"0.105,0.105,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043",2003,"0.37,0.37,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295",2024-01-26 14:34:17,Investments Sector
32620137,OECD,FDI Total Restrictiveness Index,Financial Services,2024,63,131,11,0.91877,1997,"0.184,0.173,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.094",2003,"0.4549999999999999,0.445,0.29,0.29,0.255,0.255,0.254,0.253,0.253,0.252,0.252",2024-01-26 19:15:25,Investments Sector
32632484,OECD,FDI Total Restrictiveness Index,Business Services,2024,63,131,11,1.0,1997,"0.301,0.301,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276",2003,"0.396,0.396,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296",2024-01-26 22:10:21,Investments Sector
32598029,OECD,FDI Total Restrictiveness Index,Electricity,2024,63,206,11,0.97435,1997,"0.197,0.113,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022",2003,"0.102,0.093,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052",2024-01-26 06:49:48,Investments Sector
32604706,OECD,FDI Total Restrictiveness Index,Distribution,2024,63,206,11,1.0,1997,"0.015,0.015,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005",2003,"0.06,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01",2024-01-26 08:44:36,Investments Sector
32611232,OECD,FDI Total Restrictiveness Index,Media,2024,63,206,11,1.0,1997,"0.105,0.105,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043",2003,"0.06,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01",2024-01-26 14:34:18,Investments Sector
