unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
2207656,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,65,243,17,0.93868,2006,"8.3,8.9,9.0,8.6,8.4,8.1,7.8,7.5,7.2,7.0,6.7,6.5,6.2,5.9,6.2,5.9,5.6",2006,"7.5,7.4,6.4,6.2,6.0,6.0,5.7,5.4,5.1,5.1,4.8,4.6,4.3,4.2,4.210822322932687,3.9,3.8",2023-12-15 08:22:11,Social Sector
4160496,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,65,243,17,0.92418,2006,"9.0,9.0,9.2,9.0,8.8,9.1,8.8,9.1,8.8,9.0,8.9,8.7,8.399999999999999,8.1,8.049823071355833,7.9,7.9",2006,"6.2,6.2,6.2,6.5,6.5,6.2,5.9,5.8,5.8,5.5,5.2,5.0,4.7,4.2,3.9,3.8,3.5",2023-12-17 19:06:43,Human Rights Development
5155326,The Fund For Peace,Fragile State Index,P1: State Legitimacy,2023,65,243,17,0.90194,2006,"9.0,9.4,9.4,9.4,9.6,9.6,9.4,9.6,9.7,9.8,9.9,9.8,9.785562547278078,9.8,9.83497397907534,9.8,9.8",2006,"7.0,7.0,7.2,7.3,7.3,7.5,7.5,7.8,8.0,8.1,8.4,8.3,8.326326058346442,8.4,8.323292196319452,8.4,8.3",2023-12-18 19:47:11,Political State Sector
7348781,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,65,243,17,0.93682,2006,"6.0,6.0,6.0,6.0,5.9,6.0,5.7,5.5,5.8,5.5,5.2,5.0,4.7,4.4,4.1000000000000005,4.2,3.9",2006,"5.9,5.9,5.9,6.0,6.2,6.1,5.9,5.6,5.4,5.1,5.4,5.2,5.2,4.9,4.6000000000000005,4.3,4.0",2023-12-20 17:27:05,Sovereignty
2207591,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,65,243,16,0.91751,2006,"8.3,8.9,9.0,8.6,8.4,8.1,7.8,7.5,7.2,7.0,6.7,6.5,6.2,5.9,6.2,5.9",2007,"7.4,6.4,6.2,6.0,6.0,5.7,5.4,5.1,5.1,4.8,4.6,4.3,4.2,4.210822322932687,3.9,3.8",2023-12-15 08:22:04,Social Sector
4160474,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,65,243,16,0.90566,2006,"9.0,9.0,9.2,9.0,8.8,9.1,8.8,9.1,8.8,9.0,8.9,8.7,8.399999999999999,8.1,8.049823071355833,7.9",2007,"6.2,6.2,6.5,6.5,6.2,5.9,5.8,5.8,5.5,5.2,5.0,4.7,4.2,3.9,3.8,3.5",2023-12-17 19:06:41,Human Rights Development
5155323,The Fund For Peace,Fragile State Index,P1: State Legitimacy,2023,65,243,16,0.90254,2006,"9.0,9.4,9.4,9.4,9.6,9.6,9.4,9.6,9.7,9.8,9.9,9.8,9.785562547278078,9.8,9.83497397907534,9.8",2007,"7.0,7.2,7.3,7.3,7.5,7.5,7.8,8.0,8.1,8.4,8.3,8.326326058346442,8.4,8.323292196319452,8.4,8.3",2023-12-18 19:47:10,Political State Sector
7348698,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,65,243,16,0.9405,2006,"6.0,6.0,6.0,6.0,5.9,6.0,5.7,5.5,5.8,5.5,5.2,5.0,4.7,4.4,4.1000000000000005,4.2",2007,"5.9,5.9,6.0,6.2,6.1,5.9,5.6,5.4,5.1,5.4,5.2,5.2,4.9,4.6000000000000005,4.3,4.0",2023-12-20 17:27:01,Sovereignty
4160489,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,65,48,17,0.92805,2006,"9.0,9.0,9.2,9.0,8.8,9.1,8.8,9.1,8.8,9.0,8.9,8.7,8.399999999999999,8.1,8.049823071355833,7.9,7.9",2006,"8.5,8.4,8.4,8.5,8.3,8.6,8.4,8.1,7.8,7.5,7.8,7.6,7.3,6.8,6.5,6.4,6.3",2023-12-17 19:06:43,Human Rights Development
4768084,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,65,48,17,0.99586,2006,"7.5,7.4,7.4,7.4,7.4,7.2,6.9,6.6,6.3,6.0,5.7,5.5,5.2,4.9,4.6000000000000005,4.3,4.0",2006,"8.5,8.4,8.4,8.5,8.3,7.9,7.6,7.3,7.0,6.7,6.3,6.2,5.9087947857992456,5.6,5.3,5.0,4.8",2023-12-18 12:23:39,Human Rights Development
7348769,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,65,48,17,0.92577,2006,"6.0,6.0,6.0,6.0,5.9,6.0,5.7,5.5,5.8,5.5,5.2,5.0,4.7,4.4,4.1000000000000005,4.2,3.9",2006,"7.1,7.0,7.6,8.0,8.0,7.7,7.4,7.1,6.8,6.5,6.2,6.0,5.7,5.4,5.7,5.4,5.1",2023-12-20 17:27:05,Sovereignty
