country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,country_a_id_fk
79,2007,2007,16,4,0.9464325,1,3.3678595,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",68
79,2007,2007,15,4,0.9477975000000001,1,3.2686785,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",68
79,2007,2007,17,3,0.9546466666666666,1,3.172788,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",68
222,2007,2007,17,3,0.94415,1,3.16649,"['Social Sector', 'Human Rights Development']",68
79,2007,2007,14,4,0.9437099999999999,1,3.166226,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",68
94,2007,2007,17,3,0.9387966666666667,1,3.163278,"['Social Sector', 'Human Rights Development']",68
94,2007,2006,17,3,0.9282033333333333,1,3.156922,"['Social Sector', 'Human Rights Development']",68
59,2007,2007,13,4,0.959175,1,3.0755049999999997,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",68
94,2007,2007,16,3,0.9465499999999999,1,3.06793,"['Social Sector', 'Human Rights Development']",68
59,2007,2007,16,3,0.9419933333333333,1,3.0651960000000003,"['Human Rights Development', 'Finance Economy Sector']",68
79,2007,2007,13,4,0.9409700000000001,1,3.064582,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",68
122,2007,2007,16,3,0.9368166666666666,1,3.06209,"['Social Sector', 'Human Rights Development']",68
94,2007,2006,16,3,0.9171699999999999,1,3.050302,"['Social Sector', 'Human Rights Development']",68
94,2007,2008,16,3,0.9153333333333333,1,3.0492,"['Social Sector', 'Human Rights Development']",68
129,2007,2007,16,3,0.91473,1,3.048838,"['Social Sector', 'Human Rights Development']",68
79,2007,2006,16,3,0.9146333333333333,1,3.04878,"['Social Sector', 'Human Rights Development']",68
59,2007,2007,15,3,0.9668899999999999,1,2.9801339999999996,"['Human Rights Development', 'Finance Economy Sector']",68
122,2007,2007,15,3,0.9512700000000001,1,2.9707619999999997,"['Social Sector', 'Human Rights Development']",68
122,2007,2008,15,3,0.9512633333333333,1,2.970758,"['Social Sector', 'Human Rights Development']",68
94,2007,2007,15,3,0.94125,1,2.96475,"['Social Sector', 'Human Rights Development']",68
94,2007,2008,15,3,0.9291466666666667,1,2.9574879999999997,"['Social Sector', 'Human Rights Development']",68
129,2007,2007,15,3,0.9284033333333334,1,2.957042,"['Social Sector', 'Human Rights Development']",68
66,2007,2009,15,3,0.9248966666666667,1,2.954938,"['Human Rights Development', 'Social Sector']",68
59,2007,2007,14,3,0.9726933333333333,1,2.883616,"['Human Rights Development', 'Finance Economy Sector']",68
122,2007,2008,14,3,0.9620799999999999,1,2.877248,"['Social Sector', 'Human Rights Development']",68
166,2007,2007,17,2,0.9595549999999999,1,2.8757330000000003,['Human Rights Development'],68
122,2007,2007,14,3,0.9538733333333335,1,2.872324,"['Social Sector', 'Human Rights Development']",68
134,2007,2007,17,2,0.953175,1,2.8719050000000004,['Social Sector'],68
54,2007,2006,17,2,0.952955,1,2.871773,['Social Sector'],68
54,2007,2007,17,2,0.95031,1,2.8701860000000003,['Social Sector'],68
205,2007,2007,17,2,0.940005,1,2.8640030000000003,['Human Rights Development'],68
82,2007,2006,17,2,0.938875,1,2.863325,"['Social Sector', 'Finance Economy Sector']",68
129,2007,2008,14,3,0.9379233333333333,1,2.862754,"['Social Sector', 'Human Rights Development']",68
122,2007,2007,17,2,0.93791,1,2.8627460000000005,"['Social Sector', 'Human Rights Development']",68
59,2007,2007,17,2,0.937615,1,2.862569,"['Human Rights Development', 'Finance Economy Sector']",68
66,2007,2009,14,3,0.9371666666666666,1,2.8623,"['Human Rights Development', 'Social Sector']",68
6,2007,2007,14,3,0.9367966666666666,1,2.862078,"['Human Rights Development', 'Finance Economy Sector']",68
92,2007,2007,17,2,0.93502,1,2.861012,['Social Sector'],68
129,2007,2007,14,3,0.9316800000000001,1,2.8590079999999998,"['Social Sector', 'Human Rights Development']",68
196,2007,2006,14,3,0.9288033333333333,1,2.8572819999999997,"['Human Rights Development', 'Finance Economy Sector']",68
94,2007,2007,14,3,0.92773,1,2.856638,"['Social Sector', 'Human Rights Development']",68
239,2007,2007,17,2,0.92399,1,2.854394,['Social Sector'],68
205,2007,2006,17,2,0.92111,1,2.852666,['Human Rights Development'],68
94,2007,2008,14,3,0.9210833333333334,1,2.8526499999999997,"['Social Sector', 'Human Rights Development']",68
163,2007,2007,17,2,0.920165,1,2.8520990000000004,['Social Sector'],68
79,2007,2006,17,2,0.918365,1,2.851019,"['Social Sector', 'Human Rights Development']",68
137,2007,2007,17,2,0.90564,1,2.8433840000000004,"['Human Rights Development', 'Finance Economy Sector']",68
222,2007,2007,16,2,0.964275,1,2.7785650000000004,"['Social Sector', 'Human Rights Development']",68
122,2007,2008,16,2,0.96292,1,2.777752,['Human Rights Development'],68
72,2007,2008,16,2,0.960415,1,2.776249,"['Social Sector', 'Human Rights Development']",68
122,2007,2007,13,3,0.96002,1,2.776012,"['Social Sector', 'Human Rights Development']",68
166,2007,2007,16,2,0.95963,1,2.7757780000000003,['Human Rights Development'],68
222,2007,2008,16,2,0.959455,1,2.7756730000000003,"['Social Sector', 'Human Rights Development']",68
122,2007,2008,13,3,0.95905,1,2.77543,"['Social Sector', 'Human Rights Development']",68
6,2007,2007,13,3,0.95146,1,2.7708760000000003,"['Human Rights Development', 'Finance Economy Sector']",68
134,2007,2008,16,2,0.9491499999999999,1,2.7694900000000002,['Social Sector'],68
134,2007,2007,16,2,0.9452849999999999,1,2.7671710000000003,['Social Sector'],68
54,2007,2006,16,2,0.94492,1,2.7669520000000003,['Social Sector'],68
54,2007,2007,16,2,0.94163,1,2.764978,['Social Sector'],68
166,2007,2007,13,3,0.9413300000000001,1,2.7647980000000003,['Human Rights Development'],68
129,2007,2008,13,3,0.9408066666666667,1,2.7644840000000004,"['Social Sector', 'Human Rights Development']",68
196,2007,2008,16,2,0.9405399999999999,1,2.7643240000000002,"['Human Rights Development', 'Social Sector']",68
205,2007,2007,16,2,0.9398850000000001,1,2.7639310000000004,['Human Rights Development'],68
66,2007,2009,13,3,0.93919,1,2.7635140000000002,"['Human Rights Development', 'Social Sector']",68
129,2007,2008,16,2,0.93847,1,2.7630820000000003,['Human Rights Development'],68
196,2007,2006,13,3,0.9379533333333333,1,2.762772,"['Human Rights Development', 'Finance Economy Sector']",68
249,2007,2008,16,2,0.9367300000000001,1,2.7620380000000004,"['Social Sector', 'Human Rights Development']",68
56,2007,2008,16,2,0.9366049999999999,1,2.761963,['Social Sector'],68
72,2007,2007,16,2,0.935915,1,2.761549,"['Social Sector', 'Human Rights Development']",68
82,2007,2006,16,2,0.934245,1,2.7605470000000003,"['Social Sector', 'Finance Economy Sector']",68
239,2007,2008,16,2,0.93403,1,2.760418,['Social Sector'],68
54,2007,2008,16,2,0.933995,1,2.760397,['Social Sector'],68
205,2007,2006,16,2,0.92626,1,2.755756,['Human Rights Development'],68
205,2007,2008,16,2,0.92608,1,2.7556480000000003,"['Social Sector', 'Human Rights Development']",68
129,2007,2007,13,3,0.92543,1,2.755258,"['Social Sector', 'Human Rights Development']",68
166,2007,2008,16,2,0.92231,1,2.753386,['Human Rights Development'],68
92,2007,2007,16,2,0.922095,1,2.753257,['Social Sector'],68
249,2007,2007,13,3,0.9214433333333334,1,2.752866,['Human Rights Development'],68
248,2007,2006,13,3,0.9212833333333333,1,2.75277,"['Human Rights Development', 'Finance Economy Sector']",68
124,2007,2007,13,3,0.9208933333333333,1,2.752536,"['Human Rights Development', 'Finance Economy Sector']",68
248,2007,2007,13,3,0.92089,1,2.7525340000000003,"['Human Rights Development', 'Finance Economy Sector']",68
206,2007,2008,16,2,0.91823,1,2.750938,"['Human Rights Development', 'Finance Economy Sector']",68
137,2007,2007,13,3,0.9158266666666667,1,2.749496,"['Social Sector', 'Human Rights Development', 'Finance Economy Sector']",68
206,2007,2007,16,2,0.9154599999999999,1,2.749276,"['Human Rights Development', 'Finance Economy Sector']",68
42,2007,2008,16,2,0.913815,1,2.748289,['Human Rights Development'],68
110,2007,2008,16,2,0.9131,1,2.74786,"['Social Sector', 'Human Rights Development']",68
66,2007,2007,13,3,0.9119866666666666,1,2.747192,"['Human Rights Development', 'Finance Economy Sector']",68
137,2007,2007,16,2,0.9071450000000001,1,2.7442870000000004,"['Human Rights Development', 'Finance Economy Sector']",68
59,2007,2007,12,3,0.97517,1,2.685102,"['Human Rights Development', 'Finance Economy Sector']",68
222,2007,2007,15,2,0.9692350000000001,1,2.681541,"['Social Sector', 'Human Rights Development']",68
72,2007,2008,15,2,0.96389,1,2.678334,"['Social Sector', 'Human Rights Development']",68
166,2007,2007,15,2,0.9594,1,2.67564,['Human Rights Development'],68
249,2007,2008,15,2,0.957015,1,2.6742090000000003,['Human Rights Development'],68
222,2007,2008,15,2,0.956295,1,2.6737770000000003,"['Social Sector', 'Human Rights Development']",68
205,2007,2008,15,2,0.950485,1,2.670291,"['Social Sector', 'Human Rights Development']",68
79,2007,2007,12,3,0.9503333333333334,1,2.6702000000000004,"['Human Rights Development', 'Finance Economy Sector']",68
6,2007,2007,12,3,0.9495266666666667,1,2.669716,"['Human Rights Development', 'Finance Economy Sector']",68
129,2007,2008,15,2,0.944025,1,2.666415,['Human Rights Development'],68
