unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
1742589,The Fund For Peace,Fragile State Index,Total,2023,72,109,17,0.91137,2007,"75.7,76.6,78.8,80.5,81.1,80.5,80.8,79.0,76.7,76.2,76.9,74.51822129476686,71.7,69.85212211648623,70.4,68.9,70.19999999999999",2006,"66.8,65.1,65.7,68.6,67.4,67.1,65.8,65.6,64.9,64.6,65.0,65.2,63.11945865018858,61.2,60.02494703870308,61.2,62.1",2023-12-14 16:22:24
2771847,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,72,109,17,0.98753,2007,"7.5,7.5,7.3,7.4,7.6,7.6,7.3,7.3,7.0,7.1,6.9,6.6000000000000005,6.3,6.0,5.7,5.4,5.4",2006,"4.5,4.3,4.3,4.5,4.5,4.3,4.0,4.0,4.0,3.9,3.6,3.4,3.1,2.8,2.5,2.2,1.9",2023-12-16 05:11:58
4344256,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,72,109,17,0.92083,2007,"7.5,7.5,7.7,7.5,7.7,7.7,7.4,7.1,6.8,6.5,6.3,6.0,5.7,5.4,5.1,5.0,5.0",2006,"6.5,6.7,6.5,6.7,6.5,6.2,6.2,5.9,5.8,5.9,5.6,5.1,4.8,4.5,4.2,4.7,5.4",2023-12-18 04:39:09
5238394,The Fund For Peace,Fragile State Index,P1: State Legitimacy,2023,72,109,17,0.98144,2007,"9.0,8.7,8.6,8.9,8.6,8.8,8.8,7.8,7.4,7.1,6.9,6.6000000000000005,6.3,6.0,5.7,5.8,6.1",2006,"7.0,7.0,6.9,7.0,6.8,6.5,6.4,6.1,5.6,5.3,5.0,4.8,4.5,4.2,3.9,3.6,3.7",2023-12-18 21:22:37
6532402,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,72,109,17,0.90122,2007,"5.9,5.9,6.1,5.9,5.9,5.1,5.2,5.0,4.7,4.4,4.9,4.4,4.1,4.076567812123965,4.1,4.1,4.6",2006,"6.5,6.1,6.1,6.4,6.0,6.2,5.9,5.6,5.5,5.2,4.9,5.2,4.7,4.4,4.1000000000000005,4.6,5.1",2023-12-20 00:29:14
2423490,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,72,222,16,0.94281,2007,"8.2,8.2,8.2,8.2,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9",2007,"8.8,8.5,8.8,8.7,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3",2023-12-15 12:38:24
2771837,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,72,222,16,0.95286,2007,"7.5,7.5,7.3,7.4,7.6,7.6,7.3,7.3,7.0,7.1,6.9,6.6000000000000005,6.3,6.0,5.7,5.4",2007,"7.1,7.1,7.3,7.5,7.1,6.8,6.8,6.8,6.5,6.7,6.5,6.2,5.9,5.6000000000000005,5.3,5.3",2023-12-16 05:11:58
4815215,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,72,222,16,0.95839,2007,"5.4,6.0,6.5,6.6,6.9,7.3,7.0,7.3,7.6,7.9,8.2,8.5,8.2,7.899999999999999,7.6,7.5",2007,"5.3,5.3,5.7,6.1,5.8,6.1,6.4,6.7,7.0,7.3,7.6,7.899999999999999,7.6,7.3,7.0,6.9",2023-12-18 13:18:34
5238386,The Fund For Peace,Fragile State Index,P1: State Legitimacy,2023,72,222,16,0.9699,2007,"9.0,8.7,8.6,8.9,8.6,8.8,8.8,7.8,7.4,7.1,6.9,6.6000000000000005,6.3,6.0,5.7,5.8",2007,"9.5,9.0,9.4,9.1,8.8,8.5,8.0,7.7,7.4,7.1,6.9,6.4,6.1,5.8,5.5,5.2",2023-12-18 21:22:36
6914888,The Fund For Peace,Fragile State Index,S2: Refugees and IDPs,2023,72,222,16,0.96118,2007,"4.0,4.0,4.3,4.2,3.9,3.3,3.8,3.7,3.4,3.3,3.1,2.9826732274461394,2.7,2.9,2.8,2.7",2007,"8.5,8.6,9.0,9.1,8.0,7.7,7.4,7.1,6.8,6.5,6.3,6.0,5.7,5.7,5.4,5.4",2023-12-20 09:14:27
1742252,The Fund For Peace,Fragile State Index,Total,2023,72,131,16,0.94317,2007,"75.7,76.6,78.8,80.5,81.1,80.5,80.8,79.0,76.7,76.2,76.9,74.51822129476686,71.7,69.85212211648623,70.4,68.9",2007,"65.9,67.2,68.9,69.2,68.7,68.5,66.1,66.2,65.9,66.1,65.4,63.59483707832034,60.5,57.561895525091394,56.89999999999999,56.4",2023-12-14 16:22:00
4344030,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,72,131,16,0.96053,2007,"7.5,7.5,7.7,7.5,7.7,7.7,7.4,7.1,6.8,6.5,6.3,6.0,5.7,5.4,5.1,5.0",2007,"6.6,6.9,6.9,7.0,6.7,6.4,5.9,5.6,5.3,5.2,5.0,4.7,4.5,4.2,4.1,4.0",2023-12-18 04:38:56
4815187,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,72,131,16,0.92106,2007,"5.4,6.0,6.5,6.6,6.9,7.3,7.0,7.3,7.6,7.9,8.2,8.5,8.2,7.899999999999999,7.6,7.5",2007,"3.6,3.6,3.8,3.9,4.2,4.4,4.8,4.8,4.5,4.7,5.0,5.3,5.1,4.8,4.5,4.4",2023-12-18 13:18:32
6532321,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,72,131,16,0.9292,2007,"5.9,5.9,6.1,5.9,5.9,5.1,5.2,5.0,4.7,4.4,4.9,4.4,4.1,4.076567812123965,4.1,4.1",2007,"6.3,6.3,6.5,6.3,6.0,5.7,5.6,5.5,5.8,5.5,5.3,5.0,4.7,4.4,4.4,5.0",2023-12-20 00:29:09
6914855,The Fund For Peace,Fragile State Index,S2: Refugees and IDPs,2023,72,131,16,0.92584,2007,"4.0,4.0,4.3,4.2,3.9,3.3,3.8,3.7,3.4,3.3,3.1,2.9826732274461394,2.7,2.9,2.8,2.7",2007,"4.1,5.0,5.2,5.0,4.8,4.5,4.6,4.5,4.2,3.9,3.7,3.7,3.4,3.3,3.0,3.1",2023-12-20 09:14:23
2423478,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,72,222,15,0.94162,2007,"8.2,8.2,8.2,8.2,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9",2007,"8.8,8.5,8.8,8.7,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3",2023-12-15 12:38:23
2771752,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,72,222,15,0.94341,2007,"7.5,7.5,7.3,7.4,7.6,7.6,7.3,7.3,7.0,7.1,6.9,6.6000000000000005,6.3,6.0,5.7",2007,"7.1,7.1,7.3,7.5,7.1,6.8,6.8,6.8,6.5,6.7,6.5,6.2,5.9,5.6000000000000005,5.3",2023-12-16 05:11:53
4815182,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,72,222,15,0.95826,2007,"5.4,6.0,6.5,6.6,6.9,7.3,7.0,7.3,7.6,7.9,8.2,8.5,8.2,7.899999999999999,7.6",2007,"5.3,5.3,5.7,6.1,5.8,6.1,6.4,6.7,7.0,7.3,7.6,7.899999999999999,7.6,7.3,7.0",2023-12-18 13:18:31
5238254,The Fund For Peace,Fragile State Index,P1: State Legitimacy,2023,72,222,15,0.9655,2007,"9.0,8.7,8.6,8.9,8.6,8.8,8.8,7.8,7.4,7.1,6.9,6.6000000000000005,6.3,6.0,5.7",2007,"9.5,9.0,9.4,9.1,8.8,8.5,8.0,7.7,7.4,7.1,6.9,6.4,6.1,5.8,5.5",2023-12-18 21:22:27
6914849,The Fund For Peace,Fragile State Index,S2: Refugees and IDPs,2023,72,222,15,0.95579,2007,"4.0,4.0,4.3,4.2,3.9,3.3,3.8,3.7,3.4,3.3,3.1,2.9826732274461394,2.7,2.9,2.8",2007,"8.5,8.6,9.0,9.1,8.0,7.7,7.4,7.1,6.8,6.5,6.3,6.0,5.7,5.7,5.4",2023-12-20 09:14:22
