country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,country_a_id_fk
21,1990,1990,32,5,0.9806377777777777,1,5.288382666666667,74
236,1990,1990,32,5,0.9735585185185186,1,5.2841351111111114,74
156,1990,1990,32,5,0.9687296296296296,1,5.281237777777778,74
235,1990,1991,32,4,0.9852438461538462,1,4.991146307692308,74
235,1990,1990,32,4,0.9823446153846154,1,4.9894067692307695,74
40,1990,1990,32,4,0.9823076923076923,1,4.9893846153846155,74
13,1990,1991,32,4,0.979988076923077,1,4.987992846153847,74
13,1990,1990,32,4,0.9794853846153846,1,4.987691230769231,74
40,1990,1991,32,4,0.9793711538461539,1,4.987622692307693,74
21,1990,1990,29,5,0.979248888888889,1,4.987549333333334,74
21,1990,1991,32,4,0.9788046153846154,1,4.987282769230769,74
153,1990,1990,32,4,0.9781480769230769,1,4.986888846153846,74
44,1990,1991,32,4,0.9757196153846154,1,4.98543176923077,74
153,1990,1991,32,4,0.9751673076923077,1,4.985100384615385,74
44,1990,1990,32,4,0.9738888461538462,1,4.984333307692308,74
156,1990,1990,29,5,0.9721166666666667,1,4.98327,74
165,1990,1990,32,4,0.971933076923077,1,4.983159846153846,74
216,1990,1990,32,4,0.971833125,1,4.983099875000001,74
156,1990,1991,32,4,0.9716357692307691,1,4.982981461538461,74
215,1990,1991,32,4,0.9712111538461539,1,4.9827266923076925,74
14,1990,1990,32,4,0.969140625,1,4.981484375,74
73,1990,1991,32,4,0.968841923076923,1,4.981305153846154,74
215,1990,1990,32,4,0.9649753846153846,1,4.978985230769231,74
73,1990,1990,32,4,0.9640111538461539,1,4.978406692307693,74
81,1990,1991,32,4,0.9631042307692308,1,4.9778625384615385,74
99,1990,1990,32,4,0.9625926923076923,1,4.977555615384616,74
104,1990,1990,29,5,0.943882962962963,1,4.966329777777778,74
127,1990,1990,32,4,0.9359612500000001,1,4.961576750000001,74
210,1990,1990,32,4,0.921848076923077,1,4.953108846153847,74
21,1990,1990,31,4,0.9852831249999999,1,4.891169875,74
216,1990,1990,31,4,0.97795125,1,4.88677075,74
236,1990,1990,31,4,0.9732625,1,4.8839575,74
156,1990,1990,31,4,0.9723318750000001,1,4.8833991249999995,74
127,1990,1990,31,4,0.935958125,1,4.861574875,74
21,1990,1990,30,4,0.97609375,1,4.785656250000001,74
156,1990,1990,30,4,0.9732275,1,4.7839365,74
14,1990,1990,30,4,0.9665250000000001,1,4.779915,74
104,1990,1990,30,4,0.9466487499999999,1,4.76798925,74
110,1990,1990,32,3,0.991236,1,4.6947415999999995,74
81,1990,1990,32,3,0.9909446666666667,1,4.6945668,74
215,1990,1994,29,4,0.9861688461538461,1,4.691701307692308,74
40,1990,1990,29,4,0.985555,1,4.691333,74
235,1990,1991,29,4,0.9854196153846154,1,4.69125176923077,74
235,1990,1992,29,4,0.9850992307692308,1,4.6910595384615394,74
215,1990,1993,29,4,0.9848503846153847,1,4.690910230769231,74
110,1990,1991,32,3,0.984376,1,4.6906256,74
40,1990,1991,29,4,0.9829688461538463,1,4.689781307692308,74
208,1990,1990,32,3,0.9823793333333334,1,4.6894276,74
235,1990,1993,29,4,0.9820453846153847,1,4.689227230769231,74
208,1990,1991,32,3,0.9814173333333333,1,4.6888504,74
215,1990,1992,29,4,0.9810865384615385,1,4.6886519230769235,74
13,1990,1990,29,4,0.9809242307692307,1,4.688554538461539,74
235,1990,1990,29,4,0.9809203846153847,1,4.688552230769231,74
21,1990,1994,29,4,0.980643076923077,1,4.688385846153847,74
235,1990,1994,29,4,0.9803480769230769,1,4.688208846153847,74
21,1990,1993,29,4,0.98034,1,4.688204000000001,74
13,1990,1991,29,4,0.9802453846153847,1,4.688147230769231,74
98,1990,1991,32,3,0.9796914285714287,1,4.687814857142857,74
