unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
3519911,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,74,163,17,0.96906,2006,"5.0,4.8,5.5,5.5,5.3,4.9,4.6,4.3,4.0,3.7,3.4,3.2,2.9000000000000004,3.4,3.1,3.0,2.9",2006,"7.5,7.4,7.4,7.3,7.1,6.8,6.5,6.2,5.9,5.6,5.4,5.2,4.9,4.9,4.6000000000000005,4.5,4.4",2023-12-16 19:08:43
5759653,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,74,163,17,0.96949,2006,"3.2,3.2,3.2,2.9,2.7,2.5,2.7,2.4,2.2,2.3,2.3,2.1,1.8884204594381029,1.6,1.3205953732088913,1.2,1.1",2006,"5.3,5.3,5.3,5.3,5.1,5.0,4.6,4.3,4.2,3.9,4.0,3.8,3.5,3.2,2.9000000000000004,3.0,2.7",2023-12-19 08:46:23
6254196,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,74,163,17,0.93261,2006,"4.0,4.1,4.1,3.9,3.7,3.3,3.0,2.7,3.0,2.8,3.0,2.8,2.5,2.2,1.9,3.9,3.4",2006,"5.7,5.4,5.4,5.0,4.8,4.5,4.2,3.9,3.8,3.3,3.0,3.3,2.8,2.5,2.2,4.2,4.5",2023-12-19 18:45:04
7114025,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,74,163,17,0.94547,2006,"2.0,2.0,2.0,2.4,2.2,2.0,1.7,1.4,1.6,1.4,2.0,1.8,1.8,1.5,1.2,0.9,0.6",2006,"6.3,6.4,6.4,6.8,6.6,6.2,5.9,5.6,5.9,5.9,6.2,6.0,6.3,6.1,5.8,5.5,5.2",2023-12-20 13:02:54
3519679,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,74,163,16,0.96602,2006,"5.0,4.8,5.5,5.5,5.3,4.9,4.6,4.3,4.0,3.7,3.4,3.2,2.9000000000000004,3.4,3.1,3.0",2006,"7.5,7.4,7.4,7.3,7.1,6.8,6.5,6.2,5.9,5.6,5.4,5.2,4.9,4.9,4.6000000000000005,4.5",2023-12-16 19:08:23
5759549,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,74,163,16,0.96301,2006,"3.2,3.2,3.2,2.9,2.7,2.5,2.7,2.4,2.2,2.3,2.3,2.1,1.8884204594381029,1.6,1.3205953732088913,1.2",2006,"5.3,5.3,5.3,5.3,5.1,5.0,4.6,4.3,4.2,3.9,4.0,3.8,3.5,3.2,2.9000000000000004,3.0",2023-12-19 08:46:16
6254184,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,74,163,16,0.93264,2006,"4.0,4.1,4.1,3.9,3.7,3.3,3.0,2.7,3.0,2.8,3.0,2.8,2.5,2.2,1.9,3.9",2006,"5.7,5.4,5.4,5.0,4.8,4.5,4.2,3.9,3.8,3.3,3.0,3.3,2.8,2.5,2.2,4.2",2023-12-19 18:45:03
7114023,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,74,163,16,0.92111,2006,"2.0,2.0,2.0,2.4,2.2,2.0,1.7,1.4,1.6,1.4,2.0,1.8,1.8,1.5,1.2,0.9",2006,"6.3,6.4,6.4,6.8,6.6,6.2,5.9,5.6,5.9,5.9,6.2,6.0,6.3,6.1,5.8,5.5",2023-12-20 13:02:53
2535318,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,74,203,16,0.92317,2006,"6.0,5.8,6.0,5.8,5.6,5.9,5.6,5.9,6.4,6.8,7.0,7.0,7.0,7.0,6.7,6.4",2006,"3.5,3.4,3.4,3.4,3.4,3.1,3.3,3.3,3.6,3.9,4.2,4.5,4.5,4.2,3.9,3.6",2023-12-15 14:47:58
3519754,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,74,203,16,0.92995,2006,"5.0,4.8,5.5,5.5,5.3,4.9,4.6,4.3,4.0,3.7,3.4,3.2,2.9000000000000004,3.4,3.1,3.0",2006,"5.5,5.4,5.2,5.2,5.0,4.7,4.4,4.5,4.2,3.9,3.6,3.4,3.1,2.8,2.5,2.4",2023-12-16 19:08:28
