country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,event_correlation_score,country_a_id_fk,event_correlation_count,similar_event_year_a,similar_raw_event,similar_event_year_b
196,2006,2007,11,5,0.9359328571428571,2,3.1615597142857146,"['Unknown', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,79,0,,,
42,2006,2006,14,4,0.9315450000000001,1,3.1589270000000003,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,79,0,,,
248,2006,2007,13,4,0.9480149999999999,1,3.068809,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,79,0,,,
42,2006,2006,13,4,0.9476675,1,3.0686005,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,79,0,,,
42,2006,2006,16,3,0.9335133333333333,1,3.060108,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,79,0,,,
248,2006,2006,13,4,0.9324049999999999,1,3.059443,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,79,0,,,
68,2006,2007,16,3,0.9146333333333333,1,3.04878,"['Social Sector', 'Human Rights Development']",0,79,0,,,
42,2006,2006,12,4,0.9489099999999999,1,2.9693460000000003,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,79,0,,,
248,2006,2007,12,4,0.9459299999999999,1,2.9675580000000004,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,79,0,,,
248,2006,2007,15,3,0.9395866666666667,1,2.963752,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,79,0,,,
42,2006,2006,15,3,0.9374433333333334,1,2.962466,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,79,0,,,
196,2006,2006,11,4,0.9671653846153846,2,2.8802992307692303,"['Unknown', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,79,0,,,
222,2006,2007,17,2,0.957145,1,2.8742870000000003,"['Social Sector', 'Human Rights Development']",0,79,0,,,
248,2006,2007,14,3,0.9511966666666667,1,2.8707179999999997,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,79,0,,,
196,2006,2006,17,2,0.94747,1,2.868482,"['Human Rights Development', 'Social Sector']",0,79,0,,,
42,2006,2006,11,4,0.9431674999999999,1,2.8659004999999995,"['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,79,0,,,
248,2006,2007,11,4,0.9375500000000001,1,2.86253,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector']",0,79,0,,,
220,2006,2006,17,2,0.936245,1,2.8617470000000003,"['Human Rights Development', 'Social Sector']",0,79,0,,,
130,2006,2006,17,2,0.93321,1,2.859926,"['Sovereignty', 'Social Sector']",0,79,0,,,
137,2006,2006,14,3,0.9327533333333333,1,2.8596519999999996,['Human Rights Development'],0,79,0,,,
