country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,country_a_id_fk
196,2006,2006,13,5,0.9449339999999999,1,3.3669604,"['Political State Sector', 'Finance Economy Sector', 'Social Sector', 'Sovereignty']",82
84,2006,2007,13,5,0.9369059999999999,1,3.3621435999999996,"['Finance Economy Sector', 'Social Sector', 'Sovereignty']",82
196,2006,2006,15,4,0.9331825,1,3.2599095,"['Political State Sector', 'Finance Economy Sector', 'Social Sector', 'Sovereignty']",82
172,2006,2006,17,3,0.9439133333333333,1,3.166348,"['Political State Sector', 'Human Rights Development', 'Social Sector']",82
196,2006,2006,14,4,0.9437175,1,3.1662305,"['Finance Economy Sector', 'Social Sector', 'Sovereignty']",82
84,2006,2007,11,5,0.9412739999999999,1,3.1647644,"['Finance Economy Sector', 'Social Sector', 'Sovereignty']",82
109,2006,2006,17,3,0.94015,1,3.16409,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",82
196,2006,2006,17,3,0.93582,1,3.161492,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",82
84,2006,2008,11,5,0.9312440000000001,1,3.1587464,"['Finance Economy Sector', 'Social Sector', 'Sovereignty']",82
23,2006,2006,17,3,0.9170333333333334,1,3.15022,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",82
84,2006,2007,10,5,0.9463440000000001,1,3.0678064000000003,"['Finance Economy Sector', 'Social Sector', 'Sovereignty']",82
196,2006,2006,16,3,0.94205,1,3.06523,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",82
109,2006,2006,16,3,0.9410033333333333,1,3.064602,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",82
196,2006,2007,16,3,0.9298299999999999,1,3.057898,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",82
23,2006,2006,16,3,0.92334,1,3.054004,"['Political State Sector', 'Social Sector']",82
84,2006,2009,9,5,0.95067,1,2.970402,"['Finance Economy Sector', 'Human Rights Development', 'Social Sector', 'Sovereignty']",82
84,2006,2007,12,4,0.9480675000000001,1,2.9688405,"['Finance Economy Sector', 'Social Sector', 'Sovereignty']",82
109,2006,2006,15,3,0.9406766666666666,1,2.964406,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",82
163,2006,2009,15,3,0.9343466666666668,1,2.9606079999999997,"['Political State Sector', 'Social Sector']",82
84,2006,2008,12,4,0.92912,1,2.957472,"['Finance Economy Sector', 'Social Sector', 'Sovereignty']",82
196,2006,2007,15,3,0.92531,1,2.955186,"['Political State Sector', 'Finance Economy Sector', 'Social Sector']",82
52,2006,2007,15,3,0.9212666666666666,1,2.9527599999999996,"['Political State Sector', 'Social Sector']",82
22,2006,2007,17,2,0.9637450000000001,1,2.8782470000000004,"['Political State Sector', 'Sovereignty']",82
196,2006,2006,11,4,0.95613,1,2.873678,"['Finance Economy Sector', 'Social Sector', 'Sovereignty']",82
40,2006,2006,17,2,0.95536,1,2.873216,"['Political State Sector', 'Social Sector']",82
222,2006,2007,17,2,0.95087,1,2.8705220000000002,"['Political State Sector', 'Social Sector']",82
25,2006,2006,17,2,0.9492400000000001,1,2.8695440000000003,"['Political State Sector', 'Sovereignty']",82
194,2006,2007,17,2,0.94798,1,2.8687880000000003,"['Political State Sector', 'Sovereignty']",82
196,2006,2007,17,2,0.945775,1,2.867465,"['Political State Sector', 'Finance Economy Sector']",82
84,2006,2007,14,3,0.9439666666666667,1,2.86638,"['Finance Economy Sector', 'Social Sector', 'Sovereignty']",82
217,2006,2007,14,3,0.9439233333333333,1,2.866354,"['Social Sector', 'Sovereignty']",82
109,2006,2007,17,2,0.942365,1,2.865419,"['Political State Sector', 'Social Sector']",82
10,2006,2007,14,3,0.9419433333333332,1,2.865166,"['Finance Economy Sector', 'Social Sector', 'Sovereignty']",82
52,2006,2006,17,2,0.941655,1,2.864993,"['Political State Sector', 'Social Sector']",82
134,2006,2007,17,2,0.94065,1,2.86439,"['Political State Sector', 'Social Sector']",82
37,2006,2007,17,2,0.939705,1,2.863823,"['Political State Sector', 'Social Sector']",82
68,2006,2007,17,2,0.938875,1,2.863325,"['Finance Economy Sector', 'Social Sector']",82
10,2006,2007,17,2,0.9384300000000001,1,2.8630580000000005,"['Social Sector', 'Sovereignty']",82
56,2006,2006,17,2,0.9375,1,2.8625000000000003,"['Political State Sector', 'Social Sector']",82
92,2006,2007,17,2,0.9372450000000001,1,2.862347,['Social Sector'],82
163,2006,2010,14,3,0.9366533333333332,1,2.861992,"['Political State Sector', 'Social Sector']",82
93,2006,2007,17,2,0.9356549999999999,1,2.861393,"['Political State Sector', 'Sovereignty']",82
133,2006,2007,14,3,0.9354299999999999,1,2.861258,"['Social Sector', 'Sovereignty']",82
16,2006,2007,17,2,0.93484,1,2.860904,"['Political State Sector', 'Social Sector']",82
40,2006,2007,17,2,0.934315,1,2.860589,"['Political State Sector', 'Social Sector']",82
10,2006,2006,14,3,0.9334866666666667,1,2.860092,"['Finance Economy Sector', 'Social Sector', 'Sovereignty']",82
