unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
649840,The Fund For Peace,Fragile State Index,Total,2023,84,248,14,0.9691,2006,"41.1,43.5,45.4,46.1,45.9,47.4,50.4,50.6,52.1,52.6,55.9,57.5,55.28241010073139,53.9",2007,"93.2,95.4,98.1,100.0,100.3,104.8,107.0,105.4,108.2,111.5,111.1,112.6715037597987,113.5,112.43869382016284",2023-12-13 18:00:49
1994222,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,84,248,14,0.93125,2006,"2.0,3.1,3.1,3.5,3.4,3.8,4.0,3.9,4.2,4.5,4.2,4.5,4.418852145311638,4.3",2007,"8.0,8.2,8.4,8.9,9.3,9.7,9.8,9.5,10.0,10.0,9.8,9.9,10.0,9.7",2023-12-15 04:17:01
2547527,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,84,248,14,0.91772,2006,"3.5,3.5,4.3,4.4,4.2,4.5,4.8,4.8,5.1,5.0,5.1,5.4,5.1000000000000005,4.8",2007,"7.3,7.3,7.7,8.2,8.6,9.0,9.0,9.3,9.4,9.5,9.3,9.5,9.6,9.698870493625387",2023-12-15 15:01:25
2907414,The Fund For Peace,Fragile State Index,E1: Economy,2023,84,248,14,0.90275,2006,"3.5,3.5,3.7,4.0,4.3,5.1,5.9,6.4,6.5,6.5,7.0,6.5,6.2,5.7",2007,"8.0,8.2,8.2,7.9,7.7,8.7,9.2,9.1,9.3,9.4,9.3,9.6,9.7,9.4",2023-12-16 07:46:19
4995118,The Fund For Peace,Fragile State Index,P1: State Legitimacy,2023,84,248,14,0.91986,2006,"4.0,4.0,4.0,4.5,4.6,4.9,5.4,5.4,6.4,6.5,6.2,6.7,6.4,6.1",2007,"7.8,8.0,8.3,8.7,8.6,9.1,9.3,8.9,9.3,9.4,9.7,9.72850778707998,9.8,9.889823326537444",2023-12-18 16:40:24
7132892,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,84,248,14,0.95114,2006,"3.7,3.7,3.7,3.5,3.5,4.3,4.8,5.1,5.6,5.9,6.1,6.1,5.8,6.1",2007,"7.2,7.2,7.3,7.8,8.2,8.3,8.7,8.5,9.5,10.0,10.0,10.0,10.0,10.0",2023-12-20 13:24:25
649719,The Fund For Peace,Fragile State Index,Total,2023,84,248,13,0.96947,2006,"41.1,43.5,45.4,46.1,45.9,47.4,50.4,50.6,52.1,52.6,55.9,57.5,55.28241010073139",2007,"93.2,95.4,98.1,100.0,100.3,104.8,107.0,105.4,108.2,111.5,111.1,112.6715037597987,113.5",2023-12-13 18:00:40
1994195,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,84,248,13,0.9323,2006,"2.0,3.1,3.1,3.5,3.4,3.8,4.0,3.9,4.2,4.5,4.2,4.5,4.418852145311638",2007,"8.0,8.2,8.4,8.9,9.3,9.7,9.8,9.5,10.0,10.0,9.8,9.9,10.0",2023-12-15 04:16:58
2547480,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,84,248,13,0.93591,2006,"3.5,3.5,4.3,4.4,4.2,4.5,4.8,4.8,5.1,5.0,5.1,5.4,5.1000000000000005",2007,"7.3,7.3,7.7,8.2,8.6,9.0,9.0,9.3,9.4,9.5,9.3,9.5,9.6",2023-12-15 15:01:21
2907384,The Fund For Peace,Fragile State Index,E1: Economy,2023,84,248,13,0.91213,2006,"3.5,3.5,3.7,4.0,4.3,5.1,5.9,6.4,6.5,6.5,7.0,6.5,6.2",2007,"8.0,8.2,8.2,7.9,7.7,8.7,9.2,9.1,9.3,9.4,9.3,9.6,9.7",2023-12-16 07:46:17
4995071,The Fund For Peace,Fragile State Index,P1: State Legitimacy,2023,84,248,13,0.92646,2006,"4.0,4.0,4.0,4.5,4.6,4.9,5.4,5.4,6.4,6.5,6.2,6.7,6.4",2007,"7.8,8.0,8.3,8.7,8.6,9.1,9.3,8.9,9.3,9.4,9.7,9.72850778707998,9.8",2023-12-18 16:40:21
7132850,The Fund For Peace,Fragile State Index,X1: External Intervention,2023,84,248,13,0.94567,2006,"3.7,3.7,3.7,3.5,3.5,4.3,4.8,5.1,5.6,5.9,6.1,6.1,5.8",2007,"7.2,7.2,7.3,7.8,8.2,8.3,8.7,8.5,9.5,10.0,10.0,10.0,10.0",2023-12-20 13:24:22
649575,The Fund For Peace,Fragile State Index,Total,2023,84,248,12,0.96634,2006,"41.1,43.5,45.4,46.1,45.9,47.4,50.4,50.6,52.1,52.6,55.9,57.5",2007,"93.2,95.4,98.1,100.0,100.3,104.8,107.0,105.4,108.2,111.5,111.1,112.6715037597987",2023-12-13 18:00:29
