country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,country_a_id_fk
215,2006,2006,16,3,0.9120666666666667,1,3.04724,['Human Rights Development'],91
250,2006,2006,17,2,0.94789,1,2.8687340000000003,['Human Rights Development'],91
167,2006,2006,17,2,0.94025,1,2.8641500000000004,['Human Rights Development'],91
140,2006,2006,17,2,0.937665,1,2.8625990000000003,['Human Rights Development'],91
62,2006,2007,17,2,0.935835,1,2.861501,['Human Rights Development'],91
215,2006,2007,17,2,0.9259850000000001,1,2.8555910000000004,"['Social Sector', 'Human Rights Development']",91
117,2006,2006,17,2,0.9179999999999999,1,2.8508000000000004,['Human Rights Development'],91
221,2006,2006,17,2,0.917825,1,2.850695,"['Human Rights Development', 'Finance Economy Sector']",91
162,2006,2007,17,2,0.9134150000000001,1,2.8480490000000005,['Human Rights Development'],91
227,2006,2007,17,2,0.91203,1,2.8472180000000002,"['Human Rights Development', 'Social Sector']",91
132,2006,2007,17,2,0.9115800000000001,1,2.8469480000000003,['Human Rights Development'],91
147,2006,2006,17,2,0.91032,1,2.8461920000000003,"['Social Sector', 'Human Rights Development']",91
80,2006,2007,17,2,0.907045,1,2.844227,['Human Rights Development'],91
61,2006,2006,17,2,0.9026350000000001,1,2.841581,['Human Rights Development'],91
250,2006,2006,16,2,0.9531700000000001,1,2.7719020000000003,['Human Rights Development'],91
221,2006,2006,16,2,0.942395,1,2.7654370000000004,"['Human Rights Development', 'Finance Economy Sector']",91
140,2006,2006,16,2,0.93773,1,2.762638,['Human Rights Development'],91
62,2006,2007,16,2,0.93417,1,2.7605020000000002,['Human Rights Development'],91
62,2006,2006,16,2,0.9333199999999999,1,2.759992,['Human Rights Development'],91
103,2006,2007,16,2,0.932095,1,2.7592570000000003,['Human Rights Development'],91
103,2006,2008,16,2,0.929225,1,2.7575350000000003,['Human Rights Development'],91
167,2006,2006,16,2,0.928885,1,2.757331,['Human Rights Development'],91
232,2006,2006,16,2,0.928375,1,2.757025,"['Human Rights Development', 'Finance Economy Sector']",91
238,2006,2006,16,2,0.9267000000000001,1,2.7560200000000004,['Human Rights Development'],91
182,2006,2006,16,2,0.92432,1,2.754592,['Human Rights Development'],91
147,2006,2006,16,2,0.92388,1,2.754328,"['Social Sector', 'Human Rights Development']",91
45,2006,2006,16,2,0.918755,1,2.751253,['Human Rights Development'],91
56,2006,2007,16,2,0.912885,1,2.747731,['Human Rights Development'],91
61,2006,2006,16,2,0.91182,1,2.7470920000000003,['Human Rights Development'],91
80,2006,2007,16,2,0.911485,1,2.746891,['Human Rights Development'],91
45,2006,2007,16,2,0.911025,1,2.7466150000000003,['Human Rights Development'],91
78,2006,2007,16,2,0.9096,1,2.74576,"['Sovereignty', 'Human Rights Development']",91
162,2006,2007,16,2,0.908795,1,2.745277,['Human Rights Development'],91
250,2006,2006,15,2,0.95139,1,2.670834,['Human Rights Development'],91
221,2006,2006,15,2,0.9332849999999999,1,2.659971,"['Human Rights Development', 'Finance Economy Sector']",91
140,2006,2006,15,2,0.9312499999999999,1,2.65875,['Human Rights Development'],91
103,2006,2007,15,2,0.929745,1,2.6578470000000003,['Human Rights Development'],91
62,2006,2007,15,2,0.925205,1,2.655123,['Human Rights Development'],91
62,2006,2006,15,2,0.9249700000000001,1,2.654982,['Human Rights Development'],91
182,2006,2006,15,2,0.9225300000000001,1,2.653518,['Human Rights Development'],91
238,2006,2006,15,2,0.92145,1,2.65287,['Human Rights Development'],91
103,2006,2008,15,2,0.91941,1,2.651646,['Human Rights Development'],91
215,2006,2006,15,2,0.9193549999999999,1,2.651613,['Human Rights Development'],91
159,2006,2006,15,2,0.916865,1,2.650119,['Human Rights Development'],91
45,2006,2006,15,2,0.91266,1,2.647596,['Human Rights Development'],91
167,2006,2006,15,2,0.9106799999999999,1,2.646408,['Human Rights Development'],91
2,2008,2012,11,3,0.94525,2,2.56715,"['Human Rights Development', 'Finance Economy Sector']",91
250,2006,2006,14,2,0.9377800000000001,1,2.562668,['Human Rights Development'],91
121,2006,2006,14,2,0.93763,1,2.562578,['Human Rights Development'],91
86,2008,2008,11,3,0.9247966666666666,2,2.554878,"['Human Rights Development', 'Finance Economy Sector']",91
107,2006,2007,14,2,0.92349,1,2.554094,['Human Rights Development'],91
145,2008,2012,11,3,0.9204933333333334,2,2.552296,"['Human Rights Development', 'Finance Economy Sector']",91
25,2008,2007,11,3,0.9168533333333334,2,2.550112,"['Human Rights Development', 'Finance Economy Sector']",91
221,2006,2006,14,2,0.90804,1,2.544824,"['Human Rights Development', 'Finance Economy Sector']",91
103,2006,2007,14,2,0.90754,1,2.544524,['Human Rights Development'],91
121,2006,2006,13,2,0.94172,1,2.465032,['Human Rights Development'],91
107,2006,2007,13,2,0.938645,1,2.463187,['Human Rights Development'],91
250,2006,2006,13,2,0.924075,1,2.4544449999999998,['Human Rights Development'],91
69,2006,2006,13,2,0.90798,1,2.444788,"['Human Rights Development', 'Social Sector']",91
159,2006,2008,13,2,0.9071,1,2.44426,"['Social Sector', 'Finance Economy Sector']",91
159,2006,2006,13,2,0.90596,1,2.4435759999999997,"['Human Rights Development', 'Social Sector']",91
134,2007,2007,12,2,0.965905,2,2.3795430000000004,"['Human Rights Development', 'Finance Economy Sector']",91
192,2009,2013,9,3,0.9532866666666666,1,2.3719719999999995,"['Social Sector', 'Human Rights Development']",91
96,2007,2011,12,2,0.94811,2,2.368866,"['Human Rights Development', 'Finance Economy Sector']",91
