unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
31279548,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,96,3,22,0.92637,2000,"0.73,0.82,0.81,1.0,0.68,0.64,0.69,0.78,0.95,1.07,1.07,1.13,1.15,1.6,1.55,1.67,1.66,1.72,1.61,1.62,1.48,1.54",2000,"3.43,3.82,3.7,3.25,3.28,2.83,2.64,2.92,3.02,3.85,3.52,4.33,4.46,4.84,5.55,6.27,6.38,5.92,5.48,6.0,6.69,5.59",2024-01-17 04:26:47,Military Sector
31868166,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,96,3,22,0.90173,2000,"8.0,9.3,9.2,11.6,8.3,8.4,9.9,12.3,16.6,19.2,20.5,23.6,24.6,33.5,35.1,39.1,39.2,42.3,40.2,41.8,35.4,43.5",2000,"60.6,66.5,65.9,68.4,85.7,88.2,92.0,115.5,148.9,149.4,157.6,236.0,249.5,266.4,249.8,262.1,252.0,243.4,227.0,239.3,221.4,204.2",2024-01-17 22:27:53,Military Sector
31279547,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,96,38,21,0.91542,2000,"0.73,0.82,0.81,1.0,0.68,0.64,0.69,0.78,0.95,1.07,1.07,1.13,1.15,1.6,1.55,1.67,1.66,1.72,1.61,1.62,1.48",2002,"1.52,1.45,1.3,1.13,1.04,0.91,0.8,1.31,1.49,1.5,1.55,1.58,1.66,1.8,1.91,2.07,2.21,2.2,2.45,2.35,2.1",2024-01-17 04:26:47,Military Sector
31868123,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,96,38,21,0.97338,2000,"8.0,9.3,9.2,11.6,8.3,8.4,9.9,12.3,16.6,19.2,20.5,23.6,24.6,33.5,35.1,39.1,39.2,42.3,40.2,41.8,35.4",2002,"5.2,5.3,5.3,5.3,5.6,5.8,6.0,9.7,11.7,13.2,14.7,16.2,18.2,21.0,24.2,28.6,33.4,36.1,37.2,37.2,35.6",2024-01-17 22:27:51,Military Sector
31868114,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,96,133,21,0.94812,2000,"8.0,9.3,9.2,11.6,8.3,8.4,9.9,12.3,16.6,19.2,20.5,23.6,24.6,33.5,35.1,39.1,39.2,42.3,40.2,41.8,35.4",2002,"4.2,5.6,6.3,6.8,7.3,8.1,10.1,9.9,9.8,10.4,9.3,9.4,12.9,17.7,20.2,24.9,25.3,24.2,29.3,31.3,24.0",2024-01-17 22:27:50,Military Sector
32237609,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,96,133,21,0.92268,2000,"3.3,3.28,3.02,3.78,2.67,2.72,2.84,3.17,3.61,3.79,4.06,4.37,4.35,5.41,5.6,6.42,6.08,6.41,6.12,6.31,5.27",2002,"6.36,6.82,6.54,6.4,6.3,6.31,7.73,6.21,6.78,6.04,7.7,5.88,7.6,11.27,11.62,13.21,13.9,11.89,13.02,12.57,11.43",2024-01-19 04:14:13,Military Sector
31279546,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,96,3,21,0.91187,2000,"0.73,0.82,0.81,1.0,0.68,0.64,0.69,0.78,0.95,1.07,1.07,1.13,1.15,1.6,1.55,1.67,1.66,1.72,1.61,1.62,1.48",2002,"3.7,3.25,3.28,2.83,2.64,2.92,3.02,3.85,3.52,4.33,4.46,4.84,5.55,6.27,6.38,5.92,5.48,6.0,6.69,5.59,4.78",2024-01-17 04:26:47,Military Sector
32237608,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,96,3,21,0.94036,2000,"3.3,3.28,3.02,3.78,2.67,2.72,2.84,3.17,3.61,3.79,4.06,4.37,4.35,5.41,5.6,6.42,6.08,6.41,6.12,6.31,5.27",2002,"10.79,10.1,10.67,10.46,9.16,8.8,7.97,9.03,9.44,10.78,10.25,13.39,13.66,13.69,15.32,15.36,14.46,15.89,17.82,16.56,13.3",2024-01-19 04:14:13,Military Sector
31279544,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,96,3,21,0.92339,2000,"0.73,0.82,0.81,1.0,0.68,0.64,0.69,0.78,0.95,1.07,1.07,1.13,1.15,1.6,1.55,1.67,1.66,1.72,1.61,1.62,1.48",2000,"3.43,3.82,3.7,3.25,3.28,2.83,2.64,2.92,3.02,3.85,3.52,4.33,4.46,4.84,5.55,6.27,6.38,5.92,5.48,6.0,6.69",2024-01-17 04:26:47,Military Sector
31868111,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,96,3,21,0.92303,2000,"8.0,9.3,9.2,11.6,8.3,8.4,9.9,12.3,16.6,19.2,20.5,23.6,24.6,33.5,35.1,39.1,39.2,42.3,40.2,41.8,35.4",2000,"60.6,66.5,65.9,68.4,85.7,88.2,92.0,115.5,148.9,149.4,157.6,236.0,249.5,266.4,249.8,262.1,252.0,243.4,227.0,239.3,221.4",2024-01-17 22:27:50,Military Sector
31279541,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,96,38,20,0.92289,2000,"0.73,0.82,0.81,1.0,0.68,0.64,0.69,0.78,0.95,1.07,1.07,1.13,1.15,1.6,1.55,1.67,1.66,1.72,1.61,1.62",2003,"1.45,1.3,1.13,1.04,0.91,0.8,1.31,1.49,1.5,1.55,1.58,1.66,1.8,1.91,2.07,2.21,2.2,2.45,2.35,2.1",2024-01-17 04:26:46,Military Sector
31868055,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,96,38,20,0.98919,2000,"8.0,9.3,9.2,11.6,8.3,8.4,9.9,12.3,16.6,19.2,20.5,23.6,24.6,33.5,35.1,39.1,39.2,42.3,40.2,41.8",2003,"5.3,5.3,5.3,5.6,5.8,6.0,9.7,11.7,13.2,14.7,16.2,18.2,21.0,24.2,28.6,33.4,36.1,37.2,37.2,35.6",2024-01-17 22:27:47,Military Sector
31279540,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,96,38,20,0.91252,2000,"0.73,0.82,0.81,1.0,0.68,0.64,0.69,0.78,0.95,1.07,1.07,1.13,1.15,1.6,1.55,1.67,1.66,1.72,1.61,1.62",2002,"1.52,1.45,1.3,1.13,1.04,0.91,0.8,1.31,1.49,1.5,1.55,1.58,1.66,1.8,1.91,2.07,2.21,2.2,2.45,2.35",2024-01-17 04:26:46,Military Sector
31868054,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,96,38,20,0.97946,2000,"8.0,9.3,9.2,11.6,8.3,8.4,9.9,12.3,16.6,19.2,20.5,23.6,24.6,33.5,35.1,39.1,39.2,42.3,40.2,41.8",2002,"5.2,5.3,5.3,5.3,5.6,5.8,6.0,9.7,11.7,13.2,14.7,16.2,18.2,21.0,24.2,28.6,33.4,36.1,37.2,37.2",2024-01-17 22:27:46,Military Sector
2860968,The Fund For Peace,Fragile State Index,E1: Economy,2023,96,120,17,0.91683,2006,"7.6,7.6,7.2,7.2,7.5,7.0,7.2,6.9,6.6,6.3,6.6,6.4,6.400894551952806,6.1,5.8,6.4,6.0",2006,"5.5,5.8,5.0,5.5,6.3,5.8,5.3,4.0,4.3,4.0,3.7,3.5,3.764033878600933,3.5,3.2,3.7,3.4",2023-12-16 06:53:00,Finance Economy Sector
3385575,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,96,120,17,0.94868,2006,"9.0,8.7,8.7,8.5,8.3,8.1,8.1,8.1,7.8,7.7,7.9,7.7,7.4,7.1,6.8,6.9,6.7",2006,"7.0,7.0,6.0,6.2,6.0,5.7,5.4,4.9,4.6,4.6,4.3,4.1,3.8,3.5,3.2,3.5,3.6",2023-12-16 16:39:01,Human Rights Development
6199817,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,96,120,17,0.95145,2006,"8.8,7.8,7.2,7.8,7.6,7.6,7.3,7.0,6.7,6.8,6.5,6.3,5.8,5.9,5.6000000000000005,6.1,6.8",2006,"5.7,5.2,4.9,4.5,4.3,4.2,3.9,3.6,3.7,3.4,3.1,2.9,2.6,2.3,2.0,3.0,3.5",2023-12-19 17:41:42,Social Sector
31868040,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,96,133,20,0.94597,2000,"8.0,9.3,9.2,11.6,8.3,8.4,9.9,12.3,16.6,19.2,20.5,23.6,24.6,33.5,35.1,39.1,39.2,42.3,40.2,41.8",2002,"4.2,5.6,6.3,6.8,7.3,8.1,10.1,9.9,9.8,10.4,9.3,9.4,12.9,17.7,20.2,24.9,25.3,24.2,29.3,31.3",2024-01-17 22:27:45,Military Sector
32237606,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,96,133,20,0.92188,2000,"3.3,3.28,3.02,3.78,2.67,2.72,2.84,3.17,3.61,3.79,4.06,4.37,4.35,5.41,5.6,6.42,6.08,6.41,6.12,6.31",2002,"6.36,6.82,6.54,6.4,6.3,6.31,7.73,6.21,6.78,6.04,7.7,5.88,7.6,11.27,11.62,13.21,13.9,11.89,13.02,12.57",2024-01-19 04:14:13,Military Sector
31279537,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,96,3,20,0.94214,2000,"0.73,0.82,0.81,1.0,0.68,0.64,0.69,0.78,0.95,1.07,1.07,1.13,1.15,1.6,1.55,1.67,1.66,1.72,1.61,1.62",2000,"3.43,3.82,3.7,3.25,3.28,2.83,2.64,2.92,3.02,3.85,3.52,4.33,4.46,4.84,5.55,6.27,6.38,5.92,5.48,6.0",2024-01-17 04:26:46,Military Sector
31868036,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,96,3,20,0.92221,2000,"8.0,9.3,9.2,11.6,8.3,8.4,9.9,12.3,16.6,19.2,20.5,23.6,24.6,33.5,35.1,39.1,39.2,42.3,40.2,41.8",2000,"60.6,66.5,65.9,68.4,85.7,88.2,92.0,115.5,148.9,149.4,157.6,236.0,249.5,266.4,249.8,262.1,252.0,243.4,227.0,239.3",2024-01-17 22:27:45,Military Sector
31868041,SIPRI,Military Expenditure,Military Expenditure - Per Capita,2022,96,133,20,0.9552,2000,"8.0,9.3,9.2,11.6,8.3,8.4,9.9,12.3,16.6,19.2,20.5,23.6,24.6,33.5,35.1,39.1,39.2,42.3,40.2,41.8",2003,"5.6,6.3,6.8,7.3,8.1,10.1,9.9,9.8,10.4,9.3,9.4,12.9,17.7,20.2,24.9,25.3,24.2,29.3,31.3,24.0",2024-01-17 22:27:46,Military Sector
32237607,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,96,133,20,0.9079,2000,"3.3,3.28,3.02,3.78,2.67,2.72,2.84,3.17,3.61,3.79,4.06,4.37,4.35,5.41,5.6,6.42,6.08,6.41,6.12,6.31",2003,"6.82,6.54,6.4,6.3,6.31,7.73,6.21,6.78,6.04,7.7,5.88,7.6,11.27,11.62,13.21,13.9,11.89,13.02,12.57,11.43",2024-01-19 04:14:13,Military Sector
31279539,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,96,3,20,0.92089,2000,"0.73,0.82,0.81,1.0,0.68,0.64,0.69,0.78,0.95,1.07,1.07,1.13,1.15,1.6,1.55,1.67,1.66,1.72,1.61,1.62",2002,"3.7,3.25,3.28,2.83,2.64,2.92,3.02,3.85,3.52,4.33,4.46,4.84,5.55,6.27,6.38,5.92,5.48,6.0,6.69,5.59",2024-01-17 04:26:46,Military Sector
