unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
1686409,The Fund For Peace,Fragile State Index,Total,2023,99,144,17,0.90642,2007,"21.1,20.9,29.0,29.8,30.1,29.1,24.7,25.9,23.4,22.8,22.5,20.3,19.8,17.799999999999997,18.0,17.1,15.7",2007,"58.4,57.8,61.9,60.1,59.6,58.7,57.8,58.1,57.0,56.6,56.7,54.87347128912537,54.1,51.93521252189043,52.3,51.6,51.3",2023-12-14 15:17:06
2422796,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,99,144,17,0.92959,2007,"0.8,0.8,2.0,2.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8",2007,"4.9,4.7,5.7,5.3,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5",2023-12-15 12:37:26
5590398,The Fund For Peace,Fragile State Index,P2: Public Services,2023,99,144,17,0.91259,2007,"1.3,1.3,1.4,1.5,1.9,1.9,1.6,1.9,1.7,1.4,1.2,1.0,1.0,0.7,1.2,0.9,0.9",2007,"5.3,5.3,5.5,5.3,5.6,5.6,5.7,6.0,5.7,5.6,5.4,5.1000000000000005,4.8,4.720149372556243,5.2,4.9,4.8",2023-12-19 05:05:44
6039566,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,99,144,17,0.96249,2007,"2.1,2.1,2.1,1.9,1.6,1.6,1.3,1.4,1.1,1.0,1.0,0.8,1.0,0.7,0.5,0.4,0.4",2007,"6.7,6.2,6.6,6.4,6.0,5.7,5.4,5.1,4.8,4.7,4.5,4.4000965522751,4.2,3.967776260993986,4.0,4.1,4.2",2023-12-19 14:32:45
6901501,The Fund For Peace,Fragile State Index,S2: Refugees and IDPs,2023,99,144,17,0.9365,2007,"0.9,0.9,0.9,1.1,1.5,1.3,1.6,1.6,1.4,1.7,2.0,1.8,1.7,1.7,1.5,1.8,1.5",2007,"1.0,1.0,1.2,1.4,1.6,1.9,2.2,2.5,2.4,2.7,3.0,2.7,2.6,2.3,2.5,2.6,2.3",2023-12-20 08:59:15
1686452,The Fund For Peace,Fragile State Index,Total,2023,99,156,17,0.94255,2007,"21.1,20.9,29.0,29.8,30.1,29.1,24.7,25.9,23.4,22.8,22.5,20.3,19.8,17.799999999999997,18.0,17.1,15.7",2007,"20.5,21.4,23.3,23.9,24.8,25.6,22.7,24.1,22.6,21.3,22.6,20.888699780987427,20.1,17.879896291384675,18.4,17.5,16.7",2023-12-14 15:17:08
4309167,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,99,156,17,0.94532,2007,"2.5,2.8,2.5,2.3,2.2,1.9,1.7,1.9,1.6,1.3,1.1,0.9,0.9,1.0,1.3,1.4,1.5",2007,"4.0,4.0,4.2,4.3,4.0,3.7,3.4,3.1,2.8,2.5,2.3,2.0,1.9,1.6,2.1,2.3,2.6",2023-12-18 04:03:45
5590401,The Fund For Peace,Fragile State Index,P2: Public Services,2023,99,156,17,0.9731,2007,"1.3,1.3,1.4,1.5,1.9,1.9,1.6,1.9,1.7,1.4,1.2,1.0,1.0,0.7,1.2,0.9,0.9",2007,"1.4,1.4,1.4,1.6,1.9,2.1,1.8,2.1,1.9,1.6,1.4,1.1,1.0,0.8798962913846734,1.4,1.2,1.1",2023-12-19 05:05:44
6039581,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,99,156,17,0.9622,2007,"2.1,2.1,2.1,1.9,1.6,1.6,1.3,1.4,1.1,1.0,1.0,0.8,1.0,0.7,0.5,0.4,0.4",2007,"1.5,1.5,1.7,1.5,1.2,1.5,1.2,1.1,1.0,0.7,1.0,0.8266221611996114,0.8,0.5,0.5,0.5,0.5",2023-12-19 14:32:46
1686149,The Fund For Peace,Fragile State Index,Total,2023,99,156,16,0.9328,2007,"21.1,20.9,29.0,29.8,30.1,29.1,24.7,25.9,23.4,22.8,22.5,20.3,19.8,17.799999999999997,18.0,17.1",2007,"20.5,21.4,23.3,23.9,24.8,25.6,22.7,24.1,22.6,21.3,22.6,20.888699780987427,20.1,17.879896291384675,18.4,17.5",2023-12-14 15:16:46
4309030,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,99,156,16,0.94516,2007,"2.5,2.8,2.5,2.3,2.2,1.9,1.7,1.9,1.6,1.3,1.1,0.9,0.9,1.0,1.3,1.4",2007,"4.0,4.0,4.2,4.3,4.0,3.7,3.4,3.1,2.8,2.5,2.3,2.0,1.9,1.6,2.1,2.3",2023-12-18 04:03:36
5590397,The Fund For Peace,Fragile State Index,P2: Public Services,2023,99,156,16,0.97153,2007,"1.3,1.3,1.4,1.5,1.9,1.9,1.6,1.9,1.7,1.4,1.2,1.0,1.0,0.7,1.2,0.9",2007,"1.4,1.4,1.4,1.6,1.9,2.1,1.8,2.1,1.9,1.6,1.4,1.1,1.0,0.8798962913846734,1.4,1.2",2023-12-19 05:05:43
